Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0602,293,235,528,1326,39.82%,388,129,517
"Chief Justice, 14th Court of Appeals District",0603,554,794,1678,4843,34.65%,1071,574,1645
"Chief Justice, 14th Court of Appeals District",0604,702,518,1220,3005,40.60%,1010,176,1186
"Chief Justice, 14th Court of Appeals District",0605,907,556,1463,5582,26.21%,368,1058,1426
"Chief Justice, 14th Court of Appeals District",0606,176,70,246,937,26.25%,3,238,241
"Chief Justice, 14th Court of Appeals District",0607,52,51,113,728,15.52%,13,95,108
"Chief Justice, 14th Court of Appeals District",0608,31,47,78,537,14.53%,44,27,71
"Chief Justice, 14th Court of Appeals District",0609,557,680,1347,3384,39.80%,851,443,1294
"Chief Justice, 14th Court of Appeals District",0610,231,188,419,1927,21.74%,219,169,388
"Chief Justice, 14th Court of Appeals District",0611,495,242,737,2488,29.62%,26,695,721
"Chief Justice, 14th Court of Appeals District",0612,996,497,1493,3307,45.15%,1128,297,1425
"Chief Justice, 14th Court of Appeals District",0613,186,204,390,1554,25.10%,69,314,383
"Chief Justice, 14th Court of Appeals District",0614,737,566,1303,4207,30.97%,503,753,1256
"Chief Justice, 14th Court of Appeals District",0615,450,299,779,1967,39.60%,502,255,757
"Chief Justice, 14th Court of Appeals District",0616,739,663,1402,3436,40.80%,1002,354,1356
"Chief Justice, 14th Court of Appeals District",0617,541,393,934,3809,24.52%,389,529,918
"Chief Justice, 14th Court of Appeals District",0618,946,567,1513,6003,25.20%,766,701,1467
"Chief Justice, 14th Court of Appeals District",0619,1219,803,2022,4297,47.06%,1522,421,1943
"Chief Justice, 14th Court of Appeals District",0620,589,264,953,2897,32.90%,615,300,915
"Chief Justice, 14th Court of Appeals District",0621,154,101,255,1133,22.51%,139,105,244
"Chief Justice, 14th Court of Appeals District",0622,881,524,1405,4403,31.91%,879,480,1359
"Chief Justice, 14th Court of Appeals District",0623,887,487,1374,3691,37.23%,943,383,1326
"Chief Justice, 14th Court of Appeals District",0624,1,1,2,3,66.67%,1,1,2
"Chief Justice, 14th Court of Appeals District",0625,477,362,839,1820,46.10%,492,309,801
"Chief Justice, 14th Court of Appeals District",0626,551,440,1021,2861,35.69%,570,400,970
"Chief Justice, 14th Court of Appeals District",0627,345,322,668,3049,21.91%,251,386,637
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0628,152,219,371,1675,22.15%,196,166,362
"Chief Justice, 14th Court of Appeals District",0629,37,53,90,696,12.93%,16,73,89
"Chief Justice, 14th Court of Appeals District",0630,975,600,1575,3905,40.33%,115,1422,1537
"Chief Justice, 14th Court of Appeals District",0631,822,404,1226,2846,43.08%,908,277,1185
"Chief Justice, 14th Court of Appeals District",0632,7,4,11,343,3.21%,4,7,11
"Chief Justice, 14th Court of Appeals District",0633,943,731,1674,3559,47.04%,1206,415,1621
"Chief Justice, 14th Court of Appeals District",0634,458,442,900,3029,29.71%,593,281,874
"Chief Justice, 14th Court of Appeals District",0635,743,485,1228,3393,36.19%,930,266,1196
"Chief Justice, 14th Court of Appeals District",0636,835,874,1710,4140,41.30%,1478,184,1662
"Chief Justice, 14th Court of Appeals District",0637,409,362,771,2512,30.69%,194,537,731
"Chief Justice, 14th Court of Appeals District",0638,304,245,549,2204,24.91%,47,486,533
"Chief Justice, 14th Court of Appeals District",0639,549,547,1096,2526,43.39%,893,169,1062
"Chief Justice, 14th Court of Appeals District",0640,641,459,1100,3733,29.47%,692,378,1070
"Chief Justice, 14th Court of Appeals District",0641,649,596,1245,3650,34.11%,842,366,1208
"Chief Justice, 14th Court of Appeals District",0642,471,394,865,1764,49.04%,702,134,836
"Chief Justice, 14th Court of Appeals District",0643,934,653,1587,5945,26.69%,629,917,1546
"Chief Justice, 14th Court of Appeals District",0644,1020,823,1843,5523,33.37%,1223,549,1772
"Chief Justice, 14th Court of Appeals District",0645,655,594,1249,4185,29.84%,690,516,1206
"Chief Justice, 14th Court of Appeals District",0646,364,287,651,2220,29.32%,209,403,612
"Chief Justice, 14th Court of Appeals District",0647,904,470,1374,6084,22.58%,386,875,1261
"Chief Justice, 14th Court of Appeals District",0648,838,579,1417,3367,42.08%,1031,346,1377
"Chief Justice, 14th Court of Appeals District",0649,687,434,1121,4576,24.50%,372,679,1051
"Chief Justice, 14th Court of Appeals District",0650,906,766,1672,3888,43.00%,1230,382,1612
"Chief Justice, 14th Court of Appeals District",0651,963,766,1729,5128,33.72%,1121,543,1664
"Chief Justice, 14th Court of Appeals District",0652,467,515,982,2815,34.88%,169,775,944
"Chief Justice, 14th Court of Appeals District",0653,0,4,4,0,0.00%,0,4,4
"Chief Justice, 14th Court of Appeals District",0654,950,1005,1955,6208,31.49%,1107,790,1897
"Chief Justice, 14th Court of Appeals District",0655,1115,1079,2195,6855,32.02%,1394,734,2128
"Chief Justice, 14th Court of Appeals District",0656,579,393,972,2674,36.35%,37,913,950
"Chief Justice, 14th Court of Appeals District",0657,246,172,418,1292,32.35%,172,231,403
"Chief Justice, 14th Court of Appeals District",0658,540,426,966,2807,34.41%,633,315,948
"Chief Justice, 14th Court of Appeals District",0659,1149,788,1937,4856,39.89%,1392,490,1882
"Chief Justice, 14th Court of Appeals District",0660,950,825,1775,5372,33.04%,169,1571,1740
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0661,675,765,1440,4567,31.53%,853,536,1389
"Chief Justice, 14th Court of Appeals District",0662,1148,890,2038,4874,41.81%,1645,336,1981
"Chief Justice, 14th Court of Appeals District",0663,718,797,1515,3346,45.28%,760,667,1427
"Chief Justice, 14th Court of Appeals District",0664,352,250,602,2869,20.98%,131,440,571
"Chief Justice, 14th Court of Appeals District",0665,482,348,830,2154,38.53%,700,108,808
"Chief Justice, 14th Court of Appeals District",0666,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0667,488,502,990,2149,46.07%,781,180,961
"Chief Justice, 14th Court of Appeals District",0668,399,509,908,2775,32.72%,598,283,881
"Chief Justice, 14th Court of Appeals District",0669,850,738,1588,3425,46.36%,1153,365,1518
"Chief Justice, 14th Court of Appeals District",0670,955,471,1427,2983,47.84%,1143,236,1379
"Chief Justice, 14th Court of Appeals District",0671,403,565,968,3037,31.87%,598,337,935
"Chief Justice, 14th Court of Appeals District",0672,959,862,1821,5706,31.91%,1240,536,1776
"Chief Justice, 14th Court of Appeals District",0673,729,516,1245,2995,41.57%,983,216,1199
"Chief Justice, 14th Court of Appeals District",0674,1071,618,1689,4091,41.29%,1260,373,1633
"Chief Justice, 14th Court of Appeals District",0675,0,1,1,0,0.00%,1,0,1
"Chief Justice, 14th Court of Appeals District",0676,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0677,127,127,254,1266,20.06%,95,146,241
"Chief Justice, 14th Court of Appeals District",0678,166,108,274,735,37.28%,180,78,258
"Chief Justice, 14th Court of Appeals District",0679,635,520,1155,3381,34.16%,882,234,1116
"Chief Justice, 14th Court of Appeals District",0680,21,14,35,162,21.60%,13,21,34
"Chief Justice, 14th Court of Appeals District",0681,1,0,1,5,20.00%,1,0,1
"Chief Justice, 14th Court of Appeals District",0682,711,654,1365,4216,32.38%,1006,316,1322
"Chief Justice, 14th Court of Appeals District",0683,29,20,49,276,17.75%,9,37,46
"Chief Justice, 14th Court of Appeals District",0684,27,22,49,223,21.97%,28,20,48
"Chief Justice, 14th Court of Appeals District",0685,110,29,139,307,45.28%,63,68,131
"Chief Justice, 14th Court of Appeals District",0686,17,12,29,208,13.94%,11,17,28
"Chief Justice, 14th Court of Appeals District",0687,549,537,1086,2609,41.63%,738,293,1031
"Chief Justice, 14th Court of Appeals District",0688,999,617,1616,3504,46.12%,1302,265,1567
"Chief Justice, 14th Court of Appeals District",0689,211,387,598,2346,25.49%,310,264,574
"Chief Justice, 14th Court of Appeals District",0690,926,1104,2030,5102,39.79%,1667,311,1978
"Chief Justice, 14th Court of Appeals District",0691,2,5,7,25,28.00%,3,4,7
"Chief Justice, 14th Court of Appeals District",0692,444,548,992,2847,34.84%,762,201,963
"Chief Justice, 14th Court of Appeals District",0693,167,91,258,666,38.74%,79,169,248
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0694,260,120,380,845,44.97%,261,99,360
"Chief Justice, 14th Court of Appeals District",0695,232,193,425,1724,24.65%,274,138,412
"Chief Justice, 14th Court of Appeals District",0696,261,207,468,1982,23.61%,301,154,455
"Chief Justice, 14th Court of Appeals District",0697,605,613,1218,4413,27.60%,304,880,1184
"Chief Justice, 14th Court of Appeals District",0698,448,489,937,3189,29.38%,106,804,910
"Chief Justice, 14th Court of Appeals District",0699,568,414,982,2343,41.91%,667,260,927
"Chief Justice, 14th Court of Appeals District",0700,255,251,506,1371,36.91%,429,61,490
"Chief Justice, 14th Court of Appeals District",0701,56,43,99,588,16.84%,63,31,94
"Chief Justice, 14th Court of Appeals District",0702,54,70,134,539,24.86%,17,115,132
"Chief Justice, 14th Court of Appeals District",0703,372,490,862,1882,45.80%,634,188,822
"Chief Justice, 14th Court of Appeals District",0704,569,599,1168,3064,38.12%,948,179,1127
"Chief Justice, 14th Court of Appeals District",0705,114,113,227,1523,14.90%,31,189,220
"Chief Justice, 14th Court of Appeals District",0706,115,71,186,610,30.49%,96,80,176
"Chief Justice, 14th Court of Appeals District",0707,153,86,239,707,33.80%,153,75,228
"Chief Justice, 14th Court of Appeals District",0708,54,52,106,563,18.83%,52,49,101
"Chief Justice, 14th Court of Appeals District",0709,1375,947,2322,6848,33.91%,1420,849,2269
"Chief Justice, 14th Court of Appeals District",0710,371,462,833,2082,40.01%,469,322,791
"Chief Justice, 14th Court of Appeals District",0711,703,506,1209,3484,34.70%,749,407,1156
"Chief Justice, 14th Court of Appeals District",0712,491,463,954,3670,25.99%,409,525,934
"Chief Justice, 14th Court of Appeals District",0713,228,262,490,1907,25.69%,252,221,473
"Chief Justice, 14th Court of Appeals District",0714,35,19,55,296,18.58%,33,20,53
"Chief Justice, 14th Court of Appeals District",0715,176,187,363,1408,25.78%,209,138,347
"Chief Justice, 14th Court of Appeals District",0716,449,407,856,2680,31.94%,607,229,836
"Chief Justice, 14th Court of Appeals District",0717,373,250,623,2002,31.12%,78,532,610
"Chief Justice, 14th Court of Appeals District",0718,1017,806,1823,4229,43.11%,1307,432,1739
"Chief Justice, 14th Court of Appeals District",0719,247,137,384,1589,24.17%,228,142,370
"Chief Justice, 14th Court of Appeals District",0720,994,780,1774,4282,41.43%,1349,372,1721
"Chief Justice, 14th Court of Appeals District",0721,754,532,1286,2870,44.81%,862,369,1231
"Chief Justice, 14th Court of Appeals District",0722,872,494,1366,4479,30.50%,95,1224,1319
"Chief Justice, 14th Court of Appeals District",0723,401,202,603,1858,32.45%,132,456,588
"Chief Justice, 14th Court of Appeals District",0724,151,128,279,766,36.42%,214,55,269
"Chief Justice, 14th Court of Appeals District",0725,423,237,660,2237,29.50%,308,333,641
"Chief Justice, 14th Court of Appeals District",0726,592,402,994,2087,47.63%,873,99,972
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0727,338,290,628,2488,25.24%,205,388,593
"Chief Justice, 14th Court of Appeals District",0728,209,151,360,880,40.91%,225,122,347
"Chief Justice, 14th Court of Appeals District",0729,136,59,195,464,42.03%,120,72,192
"Chief Justice, 14th Court of Appeals District",0730,428,359,787,1747,45.05%,522,231,753
"Chief Justice, 14th Court of Appeals District",0731,58,27,85,352,24.15%,27,56,83
"Chief Justice, 14th Court of Appeals District",0732,441,324,765,1924,39.76%,490,237,727
"Chief Justice, 14th Court of Appeals District",0733,13,7,20,215,9.30%,7,11,18
"Chief Justice, 14th Court of Appeals District",0734,1558,962,2520,7005,35.97%,1747,706,2453
"Chief Justice, 14th Court of Appeals District",0735,8,0,6,18,33.33%,6,0,6
"Chief Justice, 14th Court of Appeals District",0736,3,1,4,22,18.18%,0,3,3
"Chief Justice, 14th Court of Appeals District",0737,11,7,18,51,35.29%,12,6,18
"Chief Justice, 14th Court of Appeals District",0738,139,100,239,1361,17.56%,45,182,227
"Chief Justice, 14th Court of Appeals District",0739,353,301,654,2955,22.13%,339,291,630
"Chief Justice, 14th Court of Appeals District",0740,96,98,194,939,20.66%,130,58,188
"Chief Justice, 14th Court of Appeals District",0741,0,1,1,0,0.00%,0,1,1
"Chief Justice, 14th Court of Appeals District",0742,0,11,11,0,0.00%,6,5,11
"Chief Justice, 14th Court of Appeals District",0743,15,18,33,210,15.71%,17,13,30
"Chief Justice, 14th Court of Appeals District",0744,456,392,848,2027,41.84%,559,249,808
"Chief Justice, 14th Court of Appeals District",0745,683,372,1055,2494,42.30%,658,355,1013
"Chief Justice, 14th Court of Appeals District",0746,114,77,191,691,27.64%,93,96,189
"Chief Justice, 14th Court of Appeals District",0747,550,467,1017,3743,27.17%,501,488,989
"Chief Justice, 14th Court of Appeals District",0748,170,140,310,1403,22.10%,167,136,303
"Chief Justice, 14th Court of Appeals District",0749,30,17,47,377,12.47%,9,37,46
"Chief Justice, 14th Court of Appeals District",0750,111,96,207,767,26.99%,126,77,203
"Chief Justice, 14th Court of Appeals District",0751,925,964,1889,5084,37.16%,1276,555,1831
"Chief Justice, 14th Court of Appeals District",0752,286,200,486,1483,32.77%,368,102,470
"Chief Justice, 14th Court of Appeals District",0753,55,73,128,259,49.42%,82,40,122
"Chief Justice, 14th Court of Appeals District",0754,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0755,442,584,1026,4294,23.89%,462,525,987
"Chief Justice, 14th Court of Appeals District",0756,251,177,428,1600,26.75%,171,243,414
"Chief Justice, 14th Court of Appeals District",0757,520,508,1028,4035,25.48%,185,813,998
"Chief Justice, 14th Court of Appeals District",0758,1114,692,1806,4096,44.09%,1464,288,1752
"Chief Justice, 14th Court of Appeals District",0759,465,413,878,2730,32.16%,561,287,848
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0760,1432,639,2071,4367,47.42%,1743,246,1989
"Chief Justice, 14th Court of Appeals District",0761,548,253,801,1550,51.68%,563,200,763
"Chief Justice, 14th Court of Appeals District",0762,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0763,108,146,254,1212,20.96%,107,134,241
"Chief Justice, 14th Court of Appeals District",0764,1133,774,1907,5217,36.55%,1216,641,1857
"Chief Justice, 14th Court of Appeals District",0765,647,426,1073,4055,26.46%,456,576,1032
"Chief Justice, 14th Court of Appeals District",0766,40,25,65,392,16.58%,16,44,60
"Chief Justice, 14th Court of Appeals District",0767,10,2,12,86,13.95%,6,6,12
"Chief Justice, 14th Court of Appeals District",0768,1359,1015,2374,5857,40.53%,1959,365,2324
"Chief Justice, 14th Court of Appeals District",0769,54,16,70,183,38.25%,3,66,69
"Chief Justice, 14th Court of Appeals District",0770,31,25,56,323,17.34%,27,28,55
"Chief Justice, 14th Court of Appeals District",0771,324,254,578,2426,23.83%,335,223,558
"Chief Justice, 14th Court of Appeals District",0772,1792,851,2643,5709,46.30%,2050,503,2553
"Chief Justice, 14th Court of Appeals District",0773,473,312,785,2918,26.90%,215,510,725
"Chief Justice, 14th Court of Appeals District",0774,30,41,71,378,18.78%,15,53,68
"Chief Justice, 14th Court of Appeals District",0775,18,3,21,92,22.83%,0,21,21
"Chief Justice, 14th Court of Appeals District",0776,551,496,1047,3053,34.29%,609,391,1000
"Chief Justice, 14th Court of Appeals District",0777,46,40,86,652,13.19%,29,54,83
"Chief Justice, 14th Court of Appeals District",0778,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0779,64,51,115,940,12.23%,40,69,109
"Chief Justice, 14th Court of Appeals District",0780,63,59,122,595,20.50%,71,48,119
"Chief Justice, 14th Court of Appeals District",0781,666,273,939,3603,26.06%,433,414,847
"Chief Justice, 14th Court of Appeals District",0782,368,370,738,2236,33.01%,469,250,719
"Chief Justice, 14th Court of Appeals District",0783,49,13,62,294,21.09%,45,15,60
"Chief Justice, 14th Court of Appeals District",0784,208,128,336,1079,31.14%,6,317,323
"Chief Justice, 14th Court of Appeals District",0785,28,25,53,296,17.91%,28,25,53
"Chief Justice, 14th Court of Appeals District",0786,100,98,198,1251,15.83%,76,118,194
"Chief Justice, 14th Court of Appeals District",0787,46,52,98,488,20.08%,32,59,91
"Chief Justice, 14th Court of Appeals District",0788,74,32,106,454,23.35%,49,55,104
"Chief Justice, 14th Court of Appeals District",0789,0,3,3,3,100.00%,1,2,3
"Chief Justice, 14th Court of Appeals District",0790,0,0,0,3,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0791,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0792,269,239,508,1865,27.24%,127,355,482
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0793,448,247,695,2484,27.98%,420,249,669
"Chief Justice, 14th Court of Appeals District",0794,124,144,268,2710,9.89%,34,227,261
"Chief Justice, 14th Court of Appeals District",0795,90,125,215,1217,17.67%,77,126,203
"Chief Justice, 14th Court of Appeals District",0796,83,51,134,476,28.15%,77,53,130
"Chief Justice, 14th Court of Appeals District",0797,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0798,99,111,210,500,42.00%,83,117,200
"Chief Justice, 14th Court of Appeals District",0799,28,15,43,161,26.71%,9,34,43
"Chief Justice, 14th Court of Appeals District",0800,588,642,1230,2932,41.95%,850,325,1175
"Chief Justice, 14th Court of Appeals District",0801,32,14,46,258,17.83%,16,28,44
"Chief Justice, 14th Court of Appeals District",0802,51,27,78,312,25.00%,17,60,77
"Chief Justice, 14th Court of Appeals District",0803,725,511,1236,2893,42.72%,918,282,1200
"Chief Justice, 14th Court of Appeals District",0804,932,591,1523,4768,31.94%,972,510,1482
"Chief Justice, 14th Court of Appeals District",0805,765,533,1298,2866,45.29%,1056,204,1260
"Chief Justice, 14th Court of Appeals District",0806,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0807,211,204,415,2028,20.46%,97,302,399
"Chief Justice, 14th Court of Appeals District",0808,12,17,29,131,22.14%,9,20,29
"Chief Justice, 14th Court of Appeals District",0809,7,6,13,92,14.13%,5,6,11
"Chief Justice, 14th Court of Appeals District",0810,9,16,25,211,11.85%,8,16,24
"Chief Justice, 14th Court of Appeals District",0811,29,50,79,270,29.26%,27,50,77
"Chief Justice, 14th Court of Appeals District",0812,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0813,938,761,1699,5807,29.26%,852,801,1653
"Chief Justice, 14th Court of Appeals District",0814,673,533,1206,5102,23.64%,302,867,1169
"Chief Justice, 14th Court of Appeals District",0815,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0816,10,0,10,73,13.70%,3,7,10
"Chief Justice, 14th Court of Appeals District",0817,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0818,86,39,125,616,20.29%,26,93,119
"Chief Justice, 14th Court of Appeals District",0819,64,30,94,240,39.17%,52,34,86
"Chief Justice, 14th Court of Appeals District",0820,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0821,124,120,244,1242,19.65%,31,205,236
"Chief Justice, 14th Court of Appeals District",0822,332,167,499,1535,32.51%,13,474,487
"Chief Justice, 14th Court of Appeals District",0823,821,564,1385,5087,27.23%,808,540,1348
"Chief Justice, 14th Court of Appeals District",0824,428,282,710,2700,26.30%,157,534,691
"Chief Justice, 14th Court of Appeals District",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0826,73,50,123,358,34.36%,63,56,119
"Chief Justice, 14th Court of Appeals District",0827,60,98,158,979,16.14%,72,81,153
"Chief Justice, 14th Court of Appeals District",0828,541,388,929,1916,48.49%,754,143,897
"Chief Justice, 14th Court of Appeals District",0829,54,22,76,264,28.79%,18,57,75
"Chief Justice, 14th Court of Appeals District",0830,0,0,0,2,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0831,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0832,34,28,62,352,17.61%,17,41,58
"Chief Justice, 14th Court of Appeals District",0833,0,1,1,20,5.00%,0,1,1
"Chief Justice, 14th Court of Appeals District",0834,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0835,38,19,57,290,19.66%,12,40,52
"Chief Justice, 14th Court of Appeals District",0836,3,0,3,19,15.79%,1,2,3
"Chief Justice, 14th Court of Appeals District",0837,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0838,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0839,136,118,254,1128,22.52%,51,194,245
"Chief Justice, 14th Court of Appeals District",0840,381,174,555,1705,32.55%,197,348,545
"Chief Justice, 14th Court of Appeals District",0841,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0842,421,434,855,3259,26.24%,399,428,827
"Chief Justice, 14th Court of Appeals District",0843,0,1,1,0,0.00%,0,1,1
"Chief Justice, 14th Court of Appeals District",0844,1,0,1,11,9.09%,0,1,1
"Chief Justice, 14th Court of Appeals District",0845,54,9,63,134,47.01%,37,23,60
"Chief Justice, 14th Court of Appeals District",0846,23,24,47,229,20.52%,2,42,44
"Chief Justice, 14th Court of Appeals District",0847,305,211,516,2015,25.61%,145,355,500
"Chief Justice, 14th Court of Appeals District",0848,489,266,755,1856,40.68%,229,499,728
"Chief Justice, 14th Court of Appeals District",0849,201,291,492,2124,23.16%,194,280,474
"Chief Justice, 14th Court of Appeals District",0850,46,41,87,210,41.43%,34,52,86
"Chief Justice, 14th Court of Appeals District",0851,1029,657,1686,4709,35.80%,1140,486,1626
"Chief Justice, 14th Court of Appeals District",0852,0,0,0,1,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0853,575,620,1296,2882,44.97%,1005,240,1245
"Chief Justice, 14th Court of Appeals District",0854,15,26,41,172,23.84%,8,31,39
"Chief Justice, 14th Court of Appeals District",0855,5,9,14,16,87.50%,5,8,13
"Chief Justice, 14th Court of Appeals District",0856,0,1,1,0,0.00%,0,1,1
"Chief Justice, 14th Court of Appeals District",0857,0,0,0,1,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0858,63,34,97,343,28.28%,4,90,94
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0859,157,106,263,890,29.55%,69,188,257
"Chief Justice, 14th Court of Appeals District",0860,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0861,315,199,514,1842,27.90%,84,418,502
"Chief Justice, 14th Court of Appeals District",0862,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0863,101,54,155,584,26.54%,7,147,154
"Chief Justice, 14th Court of Appeals District",0864,193,299,492,2569,19.15%,141,328,469
"Chief Justice, 14th Court of Appeals District",0865,2,3,5,21,23.81%,0,5,5
"Chief Justice, 14th Court of Appeals District",0866,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0867,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0868,236,271,507,2326,21.80%,162,323,485
"Chief Justice, 14th Court of Appeals District",0869,53,39,92,470,19.57%,23,66,89
"Chief Justice, 14th Court of Appeals District",0870,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0871,1,0,1,3,33.33%,0,1,1
"Chief Justice, 14th Court of Appeals District",0872,5,3,8,59,13.56%,4,4,8
"Chief Justice, 14th Court of Appeals District",0873,98,75,173,737,23.47%,42,127,169
"Chief Justice, 14th Court of Appeals District",0874,763,707,1470,3223,45.61%,1112,309,1421
"Chief Justice, 14th Court of Appeals District",0875,905,527,1432,5147,27.82%,699,691,1390
"Chief Justice, 14th Court of Appeals District",0876,698,641,1339,3265,41.01%,1035,268,1303
"Chief Justice, 14th Court of Appeals District",0877,476,382,858,3032,28.30%,348,491,839
"Chief Justice, 14th Court of Appeals District",0878,427,354,781,1666,46.88%,654,104,758
"Chief Justice, 14th Court of Appeals District",0879,407,294,701,2667,26.28%,362,309,671
"Chief Justice, 14th Court of Appeals District",0880,543,447,990,2352,42.09%,801,157,958
"Chief Justice, 14th Court of Appeals District",0881,594,540,1134,4479,25.32%,393,719,1112
"Chief Justice, 14th Court of Appeals District",0882,426,291,717,2422,29.60%,433,262,695
"Chief Justice, 14th Court of Appeals District",0883,643,702,1345,5408,24.87%,246,1063,1309
"Chief Justice, 14th Court of Appeals District",0884,57,25,82,377,21.75%,9,70,79
"Chief Justice, 14th Court of Appeals District",0885,562,368,930,2619,35.51%,548,361,909
"Chief Justice, 14th Court of Appeals District",0886,128,108,236,675,34.96%,139,85,224
"Chief Justice, 14th Court of Appeals District",0887,50,67,117,418,27.99%,55,53,108
"Chief Justice, 14th Court of Appeals District",0888,0,3,3,0,0.00%,2,1,3
"Chief Justice, 14th Court of Appeals District",0889,14,0,14,57,24.56%,5,8,13
"Chief Justice, 14th Court of Appeals District",0890,164,103,267,1095,24.38%,90,160,250
"Chief Justice, 14th Court of Appeals District",0891,317,243,560,1331,42.07%,218,309,527
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0892,115,86,201,808,24.88%,71,121,192
"Chief Justice, 14th Court of Appeals District",0893,0,2,2,6,33.33%,0,2,2
"Chief Justice, 14th Court of Appeals District",0894,0,3,3,0,0.00%,2,1,3
"Chief Justice, 14th Court of Appeals District",0895,156,286,442,793,55.74%,188,221,409
"Chief Justice, 14th Court of Appeals District",0896,370,297,667,1459,45.72%,254,374,628
"Chief Justice, 14th Court of Appeals District",0897,252,297,549,1701,32.28%,319,214,533
"Chief Justice, 14th Court of Appeals District",0898,0,0,0,3,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0899,2,0,2,8,25.00%,0,2,2
"Chief Justice, 14th Court of Appeals District",0900,0,2,2,10,20.00%,1,1,2
"Chief Justice, 14th Court of Appeals District",0901,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0902,394,486,880,2139,41.14%,491,344,835
"Chief Justice, 14th Court of Appeals District",0903,3,7,10,50,20.00%,3,6,9
"Chief Justice, 14th Court of Appeals District",0904,1,0,1,7,14.29%,1,0,1
"Chief Justice, 14th Court of Appeals District",0905,123,100,223,904,24.67%,101,110,211
