Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Gordon Goodman,Totals
"Justice, 14th Court of Appeals District, Place 7",0608,31,47,78,537,14.53%,43,28,71
"Justice, 14th Court of Appeals District, Place 7",0609,667,680,1347,3384,39.80%,866,422,1288
"Justice, 14th Court of Appeals District, Place 7",0610,231,188,419,1927,21.74%,222,168,390
"Justice, 14th Court of Appeals District, Place 7",0611,495,242,737,2488,29.62%,22,700,722
"Justice, 14th Court of Appeals District, Place 7",0612,996,497,1493,3307,45.15%,1134,291,1425
"Justice, 14th Court of Appeals District, Place 7",0613,186,204,390,1554,25.10%,65,319,384
"Justice, 14th Court of Appeals District, Place 7",0614,737,566,1303,4207,30.97%,506,750,1256
"Justice, 14th Court of Appeals District, Place 7",0615,480,299,779,1967,39.60%,502,257,759
"Justice, 14th Court of Appeals District, Place 7",0616,739,663,1402,3436,40.80%,997,357,1354
"Justice, 14th Court of Appeals District, Place 7",0617,541,393,934,3809,24.52%,399,518,917
"Justice, 14th Court of Appeals District, Place 7",0618,946,567,1513,6003,25.20%,773,697,1470
"Justice, 14th Court of Appeals District, Place 7",0619,1219,803,2022,4297,47.06%,1529,417,1946
"Justice, 14th Court of Appeals District, Place 7",0620,689,264,953,2897,32.90%,623,297,920
"Justice, 14th Court of Appeals District, Place 7",0621,154,101,255,1133,22.51%,135,108,243
"Justice, 14th Court of Appeals District, Place 7",0622,881,524,1405,4403,31.91%,891,469,1360
"Justice, 14th Court of Appeals District, Place 7",0623,887,487,1374,3691,37.23%,948,378,1326
"Justice, 14th Court of Appeals District, Place 7",0624,1,1,2,3,66.67%,1,1,2
"Justice, 14th Court of Appeals District, Place 7",0625,477,362,839,1820,46.10%,495,307,802
"Justice, 14th Court of Appeals District, Place 7",0626,581,440,1021,2861,35.69%,590,383,973
"Justice, 14th Court of Appeals District, Place 7",0627,346,322,668,3049,21.91%,250,387,637
"Justice, 14th Court of Appeals District, Place 7",0628,152,219,371,1675,22.15%,201,161,362
"Justice, 14th Court of Appeals District, Place 7",0629,37,53,90,696,12.93%,17,73,90
"Justice, 14th Court of Appeals District, Place 7",0630,975,600,1575,3905,40.33%,120,1416,1536
"Justice, 14th Court of Appeals District, Place 7",0631,822,404,1226,2846,43.08%,914,271,1185
"Justice, 14th Court of Appeals District, Place 7",0632,7,4,11,343,3.21%,4,7,11
"Justice, 14th Court of Appeals District, Place 7",0633,943,731,1674,3559,47.04%,1210,409,1619
"Justice, 14th Court of Appeals District, Place 7",0634,458,442,900,3029,29.71%,607,265,872
"Justice, 14th Court of Appeals District, Place 7",0635,743,485,1228,3393,36.19%,942,253,1195
"Justice, 14th Court of Appeals District, Place 7",0636,835,874,1710,4140,41.30%,1493,171,1664
"Justice, 14th Court of Appeals District, Place 7",0637,409,362,771,2512,30.69%,195,532,727
"Justice, 14th Court of Appeals District, Place 7",0638,304,245,549,2204,24.91%,44,488,532
"Justice, 14th Court of Appeals District, Place 7",0639,549,547,1096,2526,43.39%,895,160,1055
"Justice, 14th Court of Appeals District, Place 7",0640,641,459,1100,3733,29.47%,693,380,1073
"Justice, 14th Court of Appeals District, Place 7",0641,649,596,1245,3650,34.11%,838,361,1199
"Justice, 14th Court of Appeals District, Place 7",0642,471,394,865,1764,49.04%,703,126,829
"Justice, 14th Court of Appeals District, Place 7",0643,934,653,1587,5945,26.69%,634,905,1539
"Justice, 14th Court of Appeals District, Place 7",0644,1020,823,1843,5523,33.37%,1238,540,1778
"Justice, 14th Court of Appeals District, Place 7",0645,655,594,1249,4185,29.84%,702,500,1202
"Justice, 14th Court of Appeals District, Place 7",0646,364,287,651,2220,29.32%,208,405,613
"Justice, 14th Court of Appeals District, Place 7",0647,904,470,1374,6084,22.58%,381,877,1258
"Justice, 14th Court of Appeals District, Place 7",0648,838,579,1417,3367,42.08%,1033,340,1373
"Justice, 14th Court of Appeals District, Place 7",0649,687,434,1121,4576,24.50%,379,675,1054
"Justice, 14th Court of Appeals District, Place 7",0650,906,766,1672,3888,43.00%,1243,366,1609
"Justice, 14th Court of Appeals District, Place 7",0651,963,766,1729,5128,33.72%,1125,534,1659
"Justice, 14th Court of Appeals District, Place 7",0652,467,515,982,2815,34.88%,173,773,946
"Justice, 14th Court of Appeals District, Place 7",0653,0,4,4,0,0.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 7",0654,950,1005,1955,6208,31.49%,1116,780,1896
"Justice, 14th Court of Appeals District, Place 7",0655,1115,1079,2195,6855,32.02%,1401,728,2129
"Justice, 14th Court of Appeals District, Place 7",0656,579,393,972,2674,36.35%,34,916,950
"Justice, 14th Court of Appeals District, Place 7",0657,246,172,418,1292,32.35%,172,233,405
"Justice, 14th Court of Appeals District, Place 7",0658,540,426,966,2807,34.41%,637,309,946
"Justice, 14th Court of Appeals District, Place 7",0659,1149,788,1937,4856,39.89%,1404,479,1883
"Justice, 14th Court of Appeals District, Place 7",0660,950,825,1775,5372,33.04%,169,1564,1733
"Justice, 14th Court of Appeals District, Place 7",0661,675,765,1440,4567,31.53%,858,525,1383
"Justice, 14th Court of Appeals District, Place 7",0662,1148,890,2038,4874,41.81%,1659,326,1985
"Justice, 14th Court of Appeals District, Place 7",0663,718,797,1515,3346,45.28%,786,637,1423
"Justice, 14th Court of Appeals District, Place 7",0664,352,250,602,2869,20.98%,136,436,572
"Justice, 14th Court of Appeals District, Place 7",0665,482,348,830,2154,38.53%,708,101,809
"Justice, 14th Court of Appeals District, Place 7",0666,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0667,488,502,990,2149,46.07%,784,171,955
"Justice, 14th Court of Appeals District, Place 7",0668,399,509,908,2775,32.72%,599,282,881
"Justice, 14th Court of Appeals District, Place 7",0669,850,738,1588,3425,46.36%,1162,362,1524
"Justice, 14th Court of Appeals District, Place 7",0670,955,471,1427,2983,47.84%,1149,229,1378
"Justice, 14th Court of Appeals District, Place 7",0671,403,565,968,3037,31.87%,610,324,934
"Justice, 14th Court of Appeals District, Place 7",0672,959,862,1821,5706,31.91%,1254,525,1779
"Justice, 14th Court of Appeals District, Place 7",0673,729,516,1245,2995,41.57%,1000,194,1194
"Justice, 14th Court of Appeals District, Place 7",0674,1071,618,1689,4091,41.29%,1273,356,1629
"Justice, 14th Court of Appeals District, Place 7",0675,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",0676,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0677,127,127,254,1266,20.06%,93,147,240
"Justice, 14th Court of Appeals District, Place 7",0678,166,108,274,735,37.28%,185,73,258
"Justice, 14th Court of Appeals District, Place 7",0679,635,520,1155,3381,34.16%,889,218,1107
"Justice, 14th Court of Appeals District, Place 7",0680,21,14,35,162,21.60%,13,21,34
"Justice, 14th Court of Appeals District, Place 7",0681,1,0,1,5,20.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",0682,711,654,1365,4216,32.38%,1022,304,1326
"Justice, 14th Court of Appeals District, Place 7",0683,29,20,49,276,17.75%,10,35,45
"Justice, 14th Court of Appeals District, Place 7",0684,27,22,49,223,21.97%,26,21,47
"Justice, 14th Court of Appeals District, Place 7",0685,110,29,139,307,45.28%,63,68,131
"Justice, 14th Court of Appeals District, Place 7",0686,17,12,29,208,13.94%,12,16,28
"Justice, 14th Court of Appeals District, Place 7",0687,549,537,1085,2609,41.63%,756,275,1031
"Justice, 14th Court of Appeals District, Place 7",0688,999,617,1616,3504,46.12%,1304,260,1564
"Justice, 14th Court of Appeals District, Place 7",0689,211,387,598,2346,25.49%,310,266,576
"Justice, 14th Court of Appeals District, Place 7",0690,926,1104,2030,5102,39.79%,1672,304,1976
"Justice, 14th Court of Appeals District, Place 7",0691,2,5,7,25,28.00%,3,4,7
"Justice, 14th Court of Appeals District, Place 7",0692,444,548,992,2847,34.84%,755,202,957
"Justice, 14th Court of Appeals District, Place 7",0693,167,91,258,666,38.74%,77,174,251
"Justice, 14th Court of Appeals District, Place 7",0694,260,120,380,845,44.97%,265,92,357
"Justice, 14th Court of Appeals District, Place 7",0695,232,193,425,1724,24.65%,280,134,414
"Justice, 14th Court of Appeals District, Place 7",0696,261,207,468,1982,23.61%,307,146,453
"Justice, 14th Court of Appeals District, Place 7",0697,605,613,1218,4413,27.60%,315,867,1182
"Justice, 14th Court of Appeals District, Place 7",0698,448,489,937,3189,29.38%,105,807,912
"Justice, 14th Court of Appeals District, Place 7",0699,568,414,982,2343,41.91%,672,254,926
"Justice, 14th Court of Appeals District, Place 7",0700,255,251,506,1371,36.91%,429,60,489
"Justice, 14th Court of Appeals District, Place 7",0701,56,43,99,588,16.84%,61,33,94
"Justice, 14th Court of Appeals District, Place 7",0702,54,70,134,539,24.86%,18,114,132
"Justice, 14th Court of Appeals District, Place 7",0703,372,490,862,1882,45.80%,639,184,823
"Justice, 14th Court of Appeals District, Place 7",0704,569,599,1168,3064,38.12%,962,166,1128
"Justice, 14th Court of Appeals District, Place 7",0705,114,113,227,1523,14.90%,30,191,221
"Justice, 14th Court of Appeals District, Place 7",0706,115,71,186,610,30.49%,95,81,176
"Justice, 14th Court of Appeals District, Place 7",0707,153,86,239,707,33.80%,162,63,225
"Justice, 14th Court of Appeals District, Place 7",0708,54,52,106,563,18.83%,53,49,102
"Justice, 14th Court of Appeals District, Place 7",0709,1375,947,2322,6848,33.91%,1432,838,2270
"Justice, 14th Court of Appeals District, Place 7",0710,371,462,833,2082,40.01%,476,305,781
"Justice, 14th Court of Appeals District, Place 7",0711,703,506,1209,3484,34.70%,762,391,1153
"Justice, 14th Court of Appeals District, Place 7",0712,491,463,954,3670,25.99%,413,519,932
"Justice, 14th Court of Appeals District, Place 7",0713,228,262,490,1907,25.69%,250,221,471
"Justice, 14th Court of Appeals District, Place 7",0714,35,19,55,296,18.58%,35,18,53
"Justice, 14th Court of Appeals District, Place 7",0715,176,187,363,1408,25.78%,216,132,348
"Justice, 14th Court of Appeals District, Place 7",0716,449,407,856,2680,31.94%,608,229,837
"Justice, 14th Court of Appeals District, Place 7",0717,373,250,623,2002,31.12%,74,533,607
"Justice, 14th Court of Appeals District, Place 7",0718,1017,806,1823,4229,43.11%,1310,424,1734
"Justice, 14th Court of Appeals District, Place 7",0719,247,137,384,1589,24.17%,237,133,370
"Justice, 14th Court of Appeals District, Place 7",0720,994,780,1774,4282,41.43%,1354,366,1720
"Justice, 14th Court of Appeals District, Place 7",0721,754,532,1286,2870,44.81%,857,368,1225
"Justice, 14th Court of Appeals District, Place 7",0722,872,494,1366,4479,30.50%,100,1220,1320
"Justice, 14th Court of Appeals District, Place 7",0723,401,202,603,1858,32.45%,134,453,587
"Justice, 14th Court of Appeals District, Place 7",0724,151,128,279,766,36.42%,215,52,267
"Justice, 14th Court of Appeals District, Place 7",0725,423,237,660,2237,29.50%,314,326,640
"Justice, 14th Court of Appeals District, Place 7",0726,592,402,994,2087,47.63%,878,96,974
"Justice, 14th Court of Appeals District, Place 7",0727,338,290,628,2488,25.24%,215,380,595
"Justice, 14th Court of Appeals District, Place 7",0728,209,151,360,880,40.91%,223,120,343
"Justice, 14th Court of Appeals District, Place 7",0729,136,59,195,464,42.03%,124,68,192
"Justice, 14th Court of Appeals District, Place 7",0730,428,359,787,1747,45.05%,534,216,750
"Justice, 14th Court of Appeals District, Place 7",0731,58,27,85,352,24.15%,26,57,83
"Justice, 14th Court of Appeals District, Place 7",0732,441,324,765,1924,39.76%,487,240,727
"Justice, 14th Court of Appeals District, Place 7",0733,13,7,20,215,9.30%,7,11,18
"Justice, 14th Court of Appeals District, Place 7",0734,1558,962,2520,7005,35.97%,1761,693,2454
"Justice, 14th Court of Appeals District, Place 7",0735,8,0,6,18,33.33%,6,0,6
"Justice, 14th Court of Appeals District, Place 7",0736,3,1,4,22,18.18%,0,3,3
"Justice, 14th Court of Appeals District, Place 7",0737,11,7,18,51,35.29%,13,5,18
"Justice, 14th Court of Appeals District, Place 7",0738,139,100,239,1361,17.56%,48,185,233
"Justice, 14th Court of Appeals District, Place 7",0739,353,301,654,2955,22.13%,349,278,627
"Justice, 14th Court of Appeals District, Place 7",0740,96,98,194,939,20.66%,128,59,187
"Justice, 14th Court of Appeals District, Place 7",0741,0,1,1,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0742,0,11,11,0,0.00%,6,5,11
"Justice, 14th Court of Appeals District, Place 7",0743,15,18,33,210,15.71%,18,12,30
"Justice, 14th Court of Appeals District, Place 7",0744,456,392,848,2027,41.84%,563,241,804
"Justice, 14th Court of Appeals District, Place 7",0745,683,372,1055,2494,42.30%,663,348,1011
"Justice, 14th Court of Appeals District, Place 7",0746,114,77,191,691,27.64%,95,93,188
"Justice, 14th Court of Appeals District, Place 7",0747,550,467,1017,3743,27.17%,497,487,984
"Justice, 14th Court of Appeals District, Place 7",0748,170,140,310,1403,22.10%,165,136,301
"Justice, 14th Court of Appeals District, Place 7",0749,30,17,47,377,12.47%,9,37,46
"Justice, 14th Court of Appeals District, Place 7",0750,111,96,207,767,26.99%,128,75,203
"Justice, 14th Court of Appeals District, Place 7",0751,925,964,1889,5084,37.16%,1275,551,1826
"Justice, 14th Court of Appeals District, Place 7",0752,286,200,486,1483,32.77%,373,93,466
"Justice, 14th Court of Appeals District, Place 7",0753,55,73,128,259,49.42%,83,39,122
"Justice, 14th Court of Appeals District, Place 7",0754,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0755,442,584,1026,4294,23.89%,474,514,988
"Justice, 14th Court of Appeals District, Place 7",0756,251,177,428,1600,26.75%,172,240,412
"Justice, 14th Court of Appeals District, Place 7",0757,520,508,1028,4035,25.48%,183,819,1002
"Justice, 14th Court of Appeals District, Place 7",0758,1114,692,1806,4096,44.09%,1467,287,1754
"Justice, 14th Court of Appeals District, Place 7",0759,465,413,878,2730,32.16%,565,283,848
"Justice, 14th Court of Appeals District, Place 7",0760,1432,639,2071,4367,47.42%,1750,246,1996
"Justice, 14th Court of Appeals District, Place 7",0761,548,253,801,1550,51.68%,580,180,760
"Justice, 14th Court of Appeals District, Place 7",0762,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0763,108,146,254,1212,20.96%,106,137,243
"Justice, 14th Court of Appeals District, Place 7",0764,1133,774,1907,5217,36.55%,1224,630,1854
"Justice, 14th Court of Appeals District, Place 7",0765,647,426,1073,4055,26.46%,458,572,1030
"Justice, 14th Court of Appeals District, Place 7",0766,40,25,65,392,16.58%,18,42,60
"Justice, 14th Court of Appeals District, Place 7",0767,10,2,12,86,13.95%,6,6,12
"Justice, 14th Court of Appeals District, Place 7",0768,1359,1015,2374,5857,40.53%,1966,356,2322
"Justice, 14th Court of Appeals District, Place 7",0769,54,16,70,183,38.25%,3,66,69
"Justice, 14th Court of Appeals District, Place 7",0770,31,25,56,323,17.34%,25,30,55
"Justice, 14th Court of Appeals District, Place 7",0771,324,254,578,2426,23.83%,342,216,558
"Justice, 14th Court of Appeals District, Place 7",0772,1792,851,2643,5709,46.30%,2048,496,2544
"Justice, 14th Court of Appeals District, Place 7",0773,473,312,785,2918,26.90%,212,510,722
"Justice, 14th Court of Appeals District, Place 7",0774,30,41,71,378,18.78%,17,51,68
"Justice, 14th Court of Appeals District, Place 7",0775,18,3,21,92,22.83%,0,20,20
"Justice, 14th Court of Appeals District, Place 7",0776,551,496,1047,3053,34.29%,616,385,1001
"Justice, 14th Court of Appeals District, Place 7",0777,46,40,86,652,13.19%,31,55,86
"Justice, 14th Court of Appeals District, Place 7",0778,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0779,64,51,115,940,12.23%,44,67,111
"Justice, 14th Court of Appeals District, Place 7",0780,63,59,122,595,20.50%,71,49,120
"Justice, 14th Court of Appeals District, Place 7",0781,666,273,939,3603,26.06%,429,421,850
"Justice, 14th Court of Appeals District, Place 7",0782,368,370,738,2236,33.01%,468,249,717
"Justice, 14th Court of Appeals District, Place 7",0783,49,13,62,294,21.09%,45,14,59
"Justice, 14th Court of Appeals District, Place 7",0784,208,128,336,1079,31.14%,6,319,325
"Justice, 14th Court of Appeals District, Place 7",0785,28,25,53,296,17.91%,28,25,53
"Justice, 14th Court of Appeals District, Place 7",0786,100,98,198,1251,15.83%,80,113,193
"Justice, 14th Court of Appeals District, Place 7",0787,46,52,98,488,20.08%,33,60,93
"Justice, 14th Court of Appeals District, Place 7",0788,74,32,106,454,23.35%,50,55,105
"Justice, 14th Court of Appeals District, Place 7",0789,0,3,3,3,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 7",0790,0,0,0,3,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0791,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0792,269,239,508,1865,27.24%,132,355,487
"Justice, 14th Court of Appeals District, Place 7",0793,448,247,695,2484,27.98%,429,242,671
"Justice, 14th Court of Appeals District, Place 7",0794,124,144,268,2710,9.89%,34,225,259
"Justice, 14th Court of Appeals District, Place 7",0795,90,125,215,1217,17.67%,80,123,203
"Justice, 14th Court of Appeals District, Place 7",0796,83,51,134,476,28.15%,76,54,130
"Justice, 14th Court of Appeals District, Place 7",0797,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0798,99,111,210,500,42.00%,82,119,201
"Justice, 14th Court of Appeals District, Place 7",0799,28,15,43,161,26.71%,9,34,43
"Justice, 14th Court of Appeals District, Place 7",0800,588,642,1230,2932,41.95%,846,331,1177
"Justice, 14th Court of Appeals District, Place 7",0801,32,14,46,258,17.83%,17,26,43
"Justice, 14th Court of Appeals District, Place 7",0802,51,27,78,312,25.00%,19,59,78
"Justice, 14th Court of Appeals District, Place 7",0803,725,511,1236,2893,42.72%,925,270,1195
"Justice, 14th Court of Appeals District, Place 7",0804,932,591,1523,4768,31.94%,977,501,1478
"Justice, 14th Court of Appeals District, Place 7",0805,765,533,1298,2866,45.29%,1054,203,1257
"Justice, 14th Court of Appeals District, Place 7",0806,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0807,211,204,415,2028,20.46%,94,305,399
"Justice, 14th Court of Appeals District, Place 7",0808,12,17,29,131,22.14%,10,19,29
"Justice, 14th Court of Appeals District, Place 7",0809,7,6,13,92,14.13%,5,6,11
"Justice, 14th Court of Appeals District, Place 7",0810,9,16,25,211,11.85%,8,16,24
"Justice, 14th Court of Appeals District, Place 7",0811,29,50,79,270,29.26%,29,48,77
"Justice, 14th Court of Appeals District, Place 7",0812,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0813,938,761,1699,5807,29.26%,858,793,1651
"Justice, 14th Court of Appeals District, Place 7",0814,673,533,1206,5102,23.64%,315,852,1167
"Justice, 14th Court of Appeals District, Place 7",0815,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0816,10,0,10,73,13.70%,3,7,10
"Justice, 14th Court of Appeals District, Place 7",0817,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0818,86,39,125,616,20.29%,27,93,120
"Justice, 14th Court of Appeals District, Place 7",0819,64,30,94,240,39.17%,58,30,88
"Justice, 14th Court of Appeals District, Place 7",0820,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0821,124,120,244,1242,19.65%,34,202,236
"Justice, 14th Court of Appeals District, Place 7",0822,332,167,499,1535,32.51%,16,474,490
"Justice, 14th Court of Appeals District, Place 7",0823,821,564,1385,5087,27.23%,815,528,1343
"Justice, 14th Court of Appeals District, Place 7",0824,428,282,710,2700,26.30%,158,533,691
"Justice, 14th Court of Appeals District, Place 7",0825,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0826,73,50,123,358,34.36%,67,49,116
"Justice, 14th Court of Appeals District, Place 7",0827,60,98,158,979,16.14%,71,81,152
"Justice, 14th Court of Appeals District, Place 7",0828,541,388,929,1916,48.49%,761,137,898
"Justice, 14th Court of Appeals District, Place 7",0829,54,22,76,264,28.79%,18,58,76
"Justice, 14th Court of Appeals District, Place 7",0830,0,0,0,2,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0831,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0832,34,28,62,352,17.61%,17,43,60
"Justice, 14th Court of Appeals District, Place 7",0833,0,1,1,20,5.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",0834,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0835,38,19,57,290,19.66%,13,39,52
"Justice, 14th Court of Appeals District, Place 7",0836,3,0,3,19,15.79%,1,1,2
"Justice, 14th Court of Appeals District, Place 7",0837,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0838,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0839,136,118,254,1128,22.52%,52,192,244
"Justice, 14th Court of Appeals District, Place 7",0840,381,174,555,1705,32.55%,199,344,543
"Justice, 14th Court of Appeals District, Place 7",0841,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0842,421,434,855,3259,26.24%,398,427,825
"Justice, 14th Court of Appeals District, Place 7",0843,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",0844,1,0,1,11,9.09%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",0845,54,9,63,134,47.01%,38,22,60
"Justice, 14th Court of Appeals District, Place 7",0846,23,24,47,229,20.52%,2,43,45
"Justice, 14th Court of Appeals District, Place 7",0847,305,211,516,2015,25.61%,143,356,499
"Justice, 14th Court of Appeals District, Place 7",0848,489,266,755,1856,40.68%,235,493,728
"Justice, 14th Court of Appeals District, Place 7",0849,201,291,492,2124,23.16%,195,277,472
"Justice, 14th Court of Appeals District, Place 7",0850,45,41,87,210,41.43%,31,53,84
"Justice, 14th Court of Appeals District, Place 7",0851,1029,657,1686,4709,35.80%,1144,477,1621
"Justice, 14th Court of Appeals District, Place 7",0852,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0853,575,620,1296,2882,44.97%,1003,237,1240
"Justice, 14th Court of Appeals District, Place 7",0854,15,26,41,172,23.84%,6,33,39
"Justice, 14th Court of Appeals District, Place 7",0855,5,9,14,16,87.50%,5,8,13
"Justice, 14th Court of Appeals District, Place 7",0856,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",0857,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0858,63,34,97,343,28.28%,3,91,94
"Justice, 14th Court of Appeals District, Place 7",0859,157,106,263,890,29.55%,72,185,257
"Justice, 14th Court of Appeals District, Place 7",0860,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0861,315,199,514,1842,27.90%,87,415,502
"Justice, 14th Court of Appeals District, Place 7",0862,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0863,101,54,155,584,26.54%,7,147,154
"Justice, 14th Court of Appeals District, Place 7",0864,193,299,492,2569,19.15%,143,327,470
"Justice, 14th Court of Appeals District, Place 7",0865,2,3,5,21,23.81%,0,5,5
"Justice, 14th Court of Appeals District, Place 7",0866,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0867,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0868,236,271,507,2326,21.80%,163,321,484
"Justice, 14th Court of Appeals District, Place 7",0869,53,39,92,470,19.57%,24,65,89
"Justice, 14th Court of Appeals District, Place 7",0870,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0871,1,0,1,3,33.33%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",0872,5,3,8,59,13.56%,4,4,8
"Justice, 14th Court of Appeals District, Place 7",0873,98,75,173,737,23.47%,43,126,169
"Justice, 14th Court of Appeals District, Place 7",0874,763,707,1470,3223,45.61%,1122,299,1421
"Justice, 14th Court of Appeals District, Place 7",0875,905,527,1432,5147,27.82%,706,685,1391
"Justice, 14th Court of Appeals District, Place 7",0876,698,641,1339,3265,41.01%,1044,261,1305
"Justice, 14th Court of Appeals District, Place 7",0877,476,382,858,3032,28.30%,356,478,834
"Justice, 14th Court of Appeals District, Place 7",0878,427,354,781,1666,46.88%,666,97,763
"Justice, 14th Court of Appeals District, Place 7",0879,407,294,701,2667,26.28%,366,307,673
"Justice, 14th Court of Appeals District, Place 7",0880,543,447,990,2352,42.09%,807,151,958
"Justice, 14th Court of Appeals District, Place 7",0881,594,540,1134,4479,25.32%,402,709,1111
"Justice, 14th Court of Appeals District, Place 7",0882,426,291,717,2422,29.60%,438,258,696
"Justice, 14th Court of Appeals District, Place 7",0883,643,702,1345,5408,24.87%,248,1064,1312
"Justice, 14th Court of Appeals District, Place 7",0884,57,25,82,377,21.75%,9,70,79
"Justice, 14th Court of Appeals District, Place 7",0885,582,368,930,2619,35.51%,559,352,911
"Justice, 14th Court of Appeals District, Place 7",0886,128,108,236,675,34.96%,139,84,223
"Justice, 14th Court of Appeals District, Place 7",0887,50,67,117,418,27.99%,58,51,109
"Justice, 14th Court of Appeals District, Place 7",0888,0,3,3,0,0.00%,2,1,3
"Justice, 14th Court of Appeals District, Place 7",0889,14,0,14,57,24.56%,5,8,13
"Justice, 14th Court of Appeals District, Place 7",0890,164,103,267,1095,24.38%,94,153,247
"Justice, 14th Court of Appeals District, Place 7",0891,317,243,560,1331,42.07%,221,306,527
"Justice, 14th Court of Appeals District, Place 7",0892,115,86,201,808,24.88%,74,116,190
"Justice, 14th Court of Appeals District, Place 7",0893,0,2,2,6,33.33%,0,2,2
"Justice, 14th Court of Appeals District, Place 7",0894,0,3,3,0,0.00%,2,1,3
"Justice, 14th Court of Appeals District, Place 7",0895,155,286,442,793,55.74%,208,196,404
"Justice, 14th Court of Appeals District, Place 7",0896,370,297,667,1459,45.72%,261,357,618
"Justice, 14th Court of Appeals District, Place 7",0897,252,297,549,1701,32.28%,323,211,534
"Justice, 14th Court of Appeals District, Place 7",0898,0,0,0,3,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0899,2,0,2,8,25.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 7",0900,0,2,2,10,20.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 7",0901,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0902,394,486,880,2139,41.14%,498,334,832
"Justice, 14th Court of Appeals District, Place 7",0903,3,7,10,50,20.00%,3,6,9
"Justice, 14th Court of Appeals District, Place 7",0904,1,0,1,7,14.29%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",0905,123,100,223,904,24.67%,104,110,214
"Justice, 14th Court of Appeals District, Place 7",0906,8,6,14,25,56.00%,9,4,13
"Justice, 14th Court of Appeals District, Place 7",0907,12,19,31,181,17.13%,6,25,31
"Justice, 14th Court of Appeals District, Place 7",0908,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",0909,2,1,3,18,16.67%,0,3,3
"Justice, 14th Court of Appeals District, Place 7",0910,25,24,49,217,22.58%,20,24,44
"Justice, 14th Court of Appeals District, Place 7",0911,118,60,178,551,32.30%,120,52,172
"Justice, 14th Court of Appeals District, Place 7",0912,316,201,517,1273,40.61%,345,147,492
"Justice, 14th Court of Appeals District, Place 7",0913,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0914,169,179,348,701,49.64%,281,54,335
