Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0645,654,594,1248,4185,29.82%,695,500,1195
"Judge, County Criminal Court No. 7",0646,364,287,651,2220,29.32%,210,405,615
"Judge, County Criminal Court No. 7",0647,904,470,1374,6084,22.58%,390,867,1257
"Judge, County Criminal Court No. 7",0648,838,579,1417,3367,42.08%,1023,344,1367
"Judge, County Criminal Court No. 7",0649,687,434,1121,4576,24.50%,367,676,1043
"Judge, County Criminal Court No. 7",0650,906,766,1672,3888,43.00%,1231,359,1590
"Judge, County Criminal Court No. 7",0651,963,766,1729,5128,33.72%,1108,539,1647
"Judge, County Criminal Court No. 7",0652,467,515,982,2815,34.88%,177,771,948
"Judge, County Criminal Court No. 7",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Criminal Court No. 7",0654,950,1005,1955,6208,31.49%,1075,803,1878
"Judge, County Criminal Court No. 7",0655,1115,1079,2195,6855,32.02%,1383,725,2108
"Judge, County Criminal Court No. 7",0656,579,393,972,2674,36.35%,37,913,950
"Judge, County Criminal Court No. 7",0657,246,172,418,1292,32.35%,172,227,399
"Judge, County Criminal Court No. 7",0658,540,426,966,2807,34.41%,638,303,941
"Judge, County Criminal Court No. 7",0659,1149,788,1937,4856,39.89%,1399,475,1874
"Judge, County Criminal Court No. 7",0660,950,825,1775,5372,33.04%,165,1564,1729
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0661,675,765,1440,4567,31.53%,850,533,1383
"Judge, County Criminal Court No. 7",0662,1148,890,2038,4874,41.81%,1644,326,1970
"Judge, County Criminal Court No. 7",0663,717,797,1514,3346,45.25%,758,645,1403
"Judge, County Criminal Court No. 7",0664,352,250,602,2869,20.98%,130,446,576
"Judge, County Criminal Court No. 7",0665,482,348,830,2154,38.53%,705,95,800
"Judge, County Criminal Court No. 7",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0667,488,502,990,2149,46.07%,786,163,949
"Judge, County Criminal Court No. 7",0668,399,509,908,2775,32.72%,601,282,883
"Judge, County Criminal Court No. 7",0669,850,738,1,588,3425,46.36%,1156,354,1510
"Judge, County Criminal Court No. 7",0670,955,471,1427,2983,47.84%,1151,217,1368
"Judge, County Criminal Court No. 7",0671,403,565,968,3037,31.87%,596,327,923
"Judge, County Criminal Court No. 7",0672,959,862,1821,5706,31.91%,1245,521,1766
"Judge, County Criminal Court No. 7",0673,729,516,1245,2995,41.57%,1000,188,1188
"Judge, County Criminal Court No. 7",0674,1071,618,1689,4091,41.29%,1268,358,1626
"Judge, County Criminal Court No. 7",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 7",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0677,127,127,254,1266,20.06%,92,146,238
"Judge, County Criminal Court No. 7",0678,166,108,274,735,37.28%,183,70,253
"Judge, County Criminal Court No. 7",0679,635,520,1155,3381,34.16%,871,232,1103
"Judge, County Criminal Court No. 7",0680,21,14,35,162,21.60%,13,22,35
"Judge, County Criminal Court No. 7",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 7",0682,711,654,1365,4216,32.38%,1008,311,1319
"Judge, County Criminal Court No. 7",0683,29,20,49,276,17.75%,10,36,46
"Judge, County Criminal Court No. 7",0684,27,22,49,223,21.97%,26,20,46
"Judge, County Criminal Court No. 7",0685,110,29,139,307,45.28%,63,66,129
"Judge, County Criminal Court No. 7",0686,17,12,29,208,13.94%,12,16,28
"Judge, County Criminal Court No. 7",0687,549,537,1085,2609,41.63%,739,277,1016
"Judge, County Criminal Court No. 7",0688,999,617,1616,3504,46.12%,1300,246,1546
"Judge, County Criminal Court No. 7",0689,211,387,598,2346,25.49%,305,260,565
"Judge, County Criminal Court No. 7",0690,926,1104,2030,5102,39.79%,1659,303,1962
"Judge, County Criminal Court No. 7",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Criminal Court No. 7",0692,444,548,992,2847,34.84%,759,191,950
"Judge, County Criminal Court No. 7",0693,167,91,258,666,38.74%,73,173,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0694,260,120,380,845,44.97%,263,91,354
"Judge, County Criminal Court No. 7",0695,232,193,425,1724,24.65%,273,134,407
"Judge, County Criminal Court No. 7",0696,261,207,468,1982,23.61%,297,147,444
"Judge, County Criminal Court No. 7",0697,605,613,1218,4413,27.60%,306,867,1173
"Judge, County Criminal Court No. 7",0698,448,489,937,3189,29.38%,99,813,912
"Judge, County Criminal Court No. 7",0699,568,414,982,2343,41.91%,669,249,918
"Judge, County Criminal Court No. 7",0700,255,251,506,1371,36.91%,424,57,481
"Judge, County Criminal Court No. 7",0701,56,43,99,588,16.84%,60,32,92
"Judge, County Criminal Court No. 7",0702,54,70,134,539,24.86%,17,115,132
"Judge, County Criminal Court No. 7",0703,372,490,862,1882,45.80%,637,183,820
"Judge, County Criminal Court No. 7",0704,569,599,1168,3064,38.12%,946,169,1115
"Judge, County Criminal Court No. 7",0705,114,113,227,1523,14.90%,32,185,217
"Judge, County Criminal Court No. 7",0706,115,71,186,610,30.49%,94,81,175
"Judge, County Criminal Court No. 7",0707,153,86,239,707,33.80%,155,69,224
"Judge, County Criminal Court No. 7",0708,54,52,106,563,18.83%,48,49,97
"Judge, County Criminal Court No. 7",0709,1375,947,2322,6848,33.91%,1409,843,2252
"Judge, County Criminal Court No. 7",0710,371,462,833,2082,40.01%,464,307,771
"Judge, County Criminal Court No. 7",0711,702,506,1208,3484,34.67%,748,390,1138
"Judge, County Criminal Court No. 7",0712,491,463,954,3670,25.99%,412,524,936
"Judge, County Criminal Court No. 7",0713,228,262,490,1907,25.69%,248,216,464
"Judge, County Criminal Court No. 7",0714,35,19,55,296,18.58%,33,20,53
"Judge, County Criminal Court No. 7",0715,176,187,363,1408,25.78%,208,136,344
"Judge, County Criminal Court No. 7",0716,449,407,856,2680,31.94%,610,223,833
"Judge, County Criminal Court No. 7",0717,373,250,623,2002,31.12%,71,535,606
"Judge, County Criminal Court No. 7",0718,1017,806,1823,4229,43.11%,1307,410,1717
"Judge, County Criminal Court No. 7",0719,247,137,384,1589,24.17%,229,136,365
"Judge, County Criminal Court No. 7",0720,994,780,1774,4282,41.43%,1351,360,1711
"Judge, County Criminal Court No. 7",0721,754,532,1286,2870,44.81%,857,357,1214
"Judge, County Criminal Court No. 7",0722,871,494,1365,4479,30.48%,96,1227,1323
"Judge, County Criminal Court No. 7",0723,401,202,603,1858,32.45%,132,447,579
"Judge, County Criminal Court No. 7",0724,151,128,279,766,36.42%,214,52,266
"Judge, County Criminal Court No. 7",0725,423,237,660,2237,29.50%,310,329,639
"Judge, County Criminal Court No. 7",0726,592,402,994,2087,47.63%,871,97,968
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0727,338,290,628,2488,25.24%,206,385,591
"Judge, County Criminal Court No. 7",0728,209,151,360,880,40.91%,225,113,338
"Judge, County Criminal Court No. 7",0729,136,59,195,464,42.03%,121,67,188
"Judge, County Criminal Court No. 7",0730,428,359,787,1747,45.05%,515,225,740
"Judge, County Criminal Court No. 7",0731,58,27,85,352,24.15%,26,57,83
"Judge, County Criminal Court No. 7",0732,441,324,765,1924,39.76%,482,240,722
"Judge, County Criminal Court No. 7",0733,13,7,20,215,9.30%,7,11,18
"Judge, County Criminal Court No. 7",0734,1558,962,2520,7005,35.97%,1743,698,2441
"Judge, County Criminal Court No. 7",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Criminal Court No. 7",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Criminal Court No. 7",0737,11,7,18,51,35.29%,13,5,18
"Judge, County Criminal Court No. 7",0738,139,100,239,1361,17.56%,47,184,231
"Judge, County Criminal Court No. 7",0739,353,301,654,2955,22.13%,345,283,628
"Judge, County Criminal Court No. 7",0740,96,98,194,939,20.66%,130,55,185
"Judge, County Criminal Court No. 7",0741,0,1,1,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Criminal Court No. 7",0743,15,18,33,210,15.71%,18,13,31
"Judge, County Criminal Court No. 7",0744,456,392,848,2027,41.84%,563,234,797
"Judge, County Criminal Court No. 7",0745,683,372,1055,2494,42.30%,662,340,1002
"Judge, County Criminal Court No. 7",0746,114,77,191,691,27.64%,91,96,187
"Judge, County Criminal Court No. 7",0747,550,467,1017,3743,27.17%,505,482,987
"Judge, County Criminal Court No. 7",0748,170,140,310,1403,22.10%,161,135,296
"Judge, County Criminal Court No. 7",0749,30,17,47,377,12.47%,10,36,46
"Judge, County Criminal Court No. 7",0750,111,96,207,767,26.99%,127,76,203
"Judge, County Criminal Court No. 7",0751,925,964,1889,5084,37.16%,1252,552,1804
"Judge, County Criminal Court No. 7",0752,286,200,486,1483,32.77%,367,97,464
"Judge, County Criminal Court No. 7",0753,55,73,128,259,49.42%,80,41,121
"Judge, County Criminal Court No. 7",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0755,442,584,1026,4294,23.89%,447,539,986
"Judge, County Criminal Court No. 7",0756,251,177,428,1600,26.75%,176,235,411
"Judge, County Criminal Court No. 7",0757,520,508,1028,4035,25.48%,185,810,995
"Judge, County Criminal Court No. 7",0758,1114,692,1806,4096,44.09%,1468,275,1743
"Judge, County Criminal Court No. 7",0759,465,413,878,2730,32.16%,563,281,844
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0760,1432,639,2071,4367,47.42%,1735,245,1980
"Judge, County Criminal Court No. 7",0761,548,253,801,1550,51.68%,563,175,738
"Judge, County Criminal Court No. 7",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0763,108,146,254,1212,20.96%,100,145,245
"Judge, County Criminal Court No. 7",0764,1133,774,1907,5217,36.55%,1214,631,1845
"Judge, County Criminal Court No. 7",0765,647,426,1073,4055,26.46%,454,567,1021
"Judge, County Criminal Court No. 7",0766,40,25,65,392,16.58%,17,41,58
"Judge, County Criminal Court No. 7",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Criminal Court No. 7",0768,1359,1015,2374,5857,40.53%,1941,367,2308
"Judge, County Criminal Court No. 7",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Criminal Court No. 7",0770,31,25,56,323,17.34%,25,27,52
"Judge, County Criminal Court No. 7",0771,324,254,578,2426,23.83%,344,213,557
"Judge, County Criminal Court No. 7",0772,1792,851,2643,5709,46.30%,2031,484,2515
"Judge, County Criminal Court No. 7",0773,473,312,785,2918,26.90%,222,498,720
"Judge, County Criminal Court No. 7",0774,30,41,71,378,18.78%,16,53,69
"Judge, County Criminal Court No. 7",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Criminal Court No. 7",0776,551,496,1047,3053,34.29%,624,380,1004
"Judge, County Criminal Court No. 7",0777,46,40,86,652,13.19%,31,54,85
"Judge, County Criminal Court No. 7",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0779,64,51,115,940,12.23%,42,70,112
"Judge, County Criminal Court No. 7",0780,63,59,122,595,20.50%,71,47,118
"Judge, County Criminal Court No. 7",0781,666,273,939,3603,26.06%,426,416,842
"Judge, County Criminal Court No. 7",0782,368,370,738,2236,33.01%,463,244,707
"Judge, County Criminal Court No. 7",0783,49,13,62,294,21.09%,46,13,59
"Judge, County Criminal Court No. 7",0784,208,128,336,1079,31.14%,8,312,320
"Judge, County Criminal Court No. 7",0785,28,25,53,296,17.91%,27,26,53
"Judge, County Criminal Court No. 7",0786,100,98,198,1251,15.83%,76,115,191
"Judge, County Criminal Court No. 7",0787,46,52,98,488,20.08%,33,62,95
"Judge, County Criminal Court No. 7",0788,74,32,106,454,23.35%,48,54,102
"Judge, County Criminal Court No. 7",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Criminal Court No. 7",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0792,269,239,508,1865,27.24%,118,363,481
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0793,448,247,695,2484,27.98%,413,257,670
"Judge, County Criminal Court No. 7",0794,124,144,268,2710,9.89%,32,228,260
"Judge, County Criminal Court No. 7",0795,90,125,215,1217,17.67%,76,128,204
"Judge, County Criminal Court No. 7",0796,83,51,134,476,28.15%,75,54,129
"Judge, County Criminal Court No. 7",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0798,99,111,210,500,42.00%,84,117,201
"Judge, County Criminal Court No. 7",0799,28,15,43,161,26.71%,8,35,43
"Judge, County Criminal Court No. 7",0800,588,642,1230,2932,41.95%,846,322,1168
"Judge, County Criminal Court No. 7",0801,32,14,46,258,17.83%,15,28,43
"Judge, County Criminal Court No. 7",0802,51,27,78,312,25.00%,16,60,76
"Judge, County Criminal Court No. 7",0803,725,511,1236,2893,42.72%,920,274,1194
"Judge, County Criminal Court No. 7",0804,932,591,1523,4768,31.94%,972,504,1476
"Judge, County Criminal Court No. 7",0805,765,533,1298,2866,45.29%,1058,194,1252
"Judge, County Criminal Court No. 7",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0807,211,204,415,2028,20.46%,94,300,394
"Judge, County Criminal Court No. 7",0808,12,17,29,131,22.14%,11,18,29
"Judge, County Criminal Court No. 7",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Criminal Court No. 7",0810,9,16,25,211,11.85%,6,17,23
"Judge, County Criminal Court No. 7",0811,29,50,79,270,29.26%,25,52,77
"Judge, County Criminal Court No. 7",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0813,938,761,1699,5807,29.26%,848,800,1648
"Judge, County Criminal Court No. 7",0814,673,533,1206,5102,23.64%,310,859,1169
"Judge, County Criminal Court No. 7",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Criminal Court No. 7",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0818,86,39,125,616,20.29%,29,91,120
"Judge, County Criminal Court No. 7",0819,64,30,94,240,39.17%,53,31,84
"Judge, County Criminal Court No. 7",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0821,124,120,244,1242,19.65%,31,204,235
"Judge, County Criminal Court No. 7",0822,332,167,499,1535,32.51%,14,469,483
"Judge, County Criminal Court No. 7",0823,821,564,1385,5087,27.23%,805,532,1337
"Judge, County Criminal Court No. 7",0824,428,282,710,2700,26.30%,156,533,689
"Judge, County Criminal Court No. 7",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0826,73,50,123,358,34.36%,70,43,113
"Judge, County Criminal Court No. 7",0827,60,98,158,979,16.14%,73,79,152
"Judge, County Criminal Court No. 7",0828,541,388,929,1916,48.49%,752,131,883
"Judge, County Criminal Court No. 7",0829,54,22,76,264,28.79%,19,57,76
"Judge, County Criminal Court No. 7",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0832,34,28,62,352,17.61%,17,42,59
"Judge, County Criminal Court No. 7",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Criminal Court No. 7",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0835,38,19,57,290,19.66%,13,39,52
"Judge, County Criminal Court No. 7",0836,3,0,3,19,15.79%,0,3,3
"Judge, County Criminal Court No. 7",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0839,136,118,254,1128,22.52%,51,190,241
"Judge, County Criminal Court No. 7",0840,381,174,555,1705,32.55%,192,348,540
"Judge, County Criminal Court No. 7",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0842,421,434,855,3259,26.24%,392,426,818
"Judge, County Criminal Court No. 7",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 7",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Criminal Court No. 7",0845,54,9,63,134,47.01%,38,20,58
"Judge, County Criminal Court No. 7",0846,23,24,47,229,20.52%,3,42,45
"Judge, County Criminal Court No. 7",0847,305,211,516,2015,25.61%,148,352,500
"Judge, County Criminal Court No. 7",0848,489,266,755,1856,40.68%,225,498,723
"Judge, County Criminal Court No. 7",0849,201,291,492,2124,23.16%,188,286,474
"Judge, County Criminal Court No. 7",0850,45,41,87,210,41.43%,32,53,85
"Judge, County Criminal Court No. 7",0851,1029,657,1686,4709,35.80%,1139,479,1618
"Judge, County Criminal Court No. 7",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0853,575,620,1296,2882,44.97%,1005,236,1241
"Judge, County Criminal Court No. 7",0854,15,26,41,172,23.84%,8,32,40
"Judge, County Criminal Court No. 7",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Criminal Court No. 7",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 7",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0858,63,34,97,343,28.28%,3,90,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0859,157,106,263,890,29.55%,70,187,257
"Judge, County Criminal Court No. 7",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0861,315,199,514,1842,27.90%,85,414,499
"Judge, County Criminal Court No. 7",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0863,101,54,155,584,26.54%,8,146,154
"Judge, County Criminal Court No. 7",0864,193,299,492,2569,19.15%,140,332,472
"Judge, County Criminal Court No. 7",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Criminal Court No. 7",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0868,236,271,507,2326,21.80%,159,329,488
"Judge, County Criminal Court No. 7",0869,53,39,92,470,19.57%,24,65,89
"Judge, County Criminal Court No. 7",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Criminal Court No. 7",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Criminal Court No. 7",0873,98,75,173,737,23.47%,44,125,169
"Judge, County Criminal Court No. 7",0874,763,707,1470,3223,45.61%,1119,294,1413
"Judge, County Criminal Court No. 7",0875,904,527,1431,5147,27.80%,701,683,1384
"Judge, County Criminal Court No. 7",0876,698,641,1339,3265,41.01%,1033,259,1292
"Judge, County Criminal Court No. 7",0877,476,382,858,3032,28.30%,352,484,836
"Judge, County Criminal Court No. 7",0878,427,354,781,1666,46.88%,659,103,762
"Judge, County Criminal Court No. 7",0879,407,294,701,2667,26.28%,358,309,667
"Judge, County Criminal Court No. 7",0880,543,447,990,2352,42.09%,804,151,955
"Judge, County Criminal Court No. 7",0881,593,540,1133,4479,25.30%,397,707,1104
"Judge, County Criminal Court No. 7",0882,426,291,717,2422,29.60%,431,259,690
"Judge, County Criminal Court No. 7",0883,543,702,1345,5408,24.87%,240,1065,1305
"Judge, County Criminal Court No. 7",0884,57,25,82,377,21.75%,9,70,79
"Judge, County Criminal Court No. 7",0885,552,358,930,2619,35.51%,550,354,904
"Judge, County Criminal Court No. 7",0886,128,108,236,675,34.96%,140,82,222
"Judge, County Criminal Court No. 7",0887,50,67,117,418,27.99%,53,54,107
"Judge, County Criminal Court No. 7",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 7",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Criminal Court No. 7",0890,164,103,267,1095,24.38%,89,157,246
"Judge, County Criminal Court No. 7",0891,317,243,560,1331,42.07%,227,298,525
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0892,115,86,201,808,24.88%,77,113,190
"Judge, County Criminal Court No. 7",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Criminal Court No. 7",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No. 7",0895,156,286,442,793,55.74%,190,199,389
"Judge, County Criminal Court No. 7",0896,370,297,667,1459,45.72%,262,350,612
"Judge, County Criminal Court No. 7",0897,252,297,549,1701,32.28%,323,209,532
"Judge, County Criminal Court No. 7",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Criminal Court No. 7",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Criminal Court No. 7",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0902,394,486,880,2139,41.14%,490,331,821
"Judge, County Criminal Court No. 7",0903,3,7,10,50,20.00%,2,6,8
"Judge, County Criminal Court No. 7",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Criminal Court No. 7",0905,123,100,223,904,24.67%,100,114,214
"Judge, County Criminal Court No. 7",0906,8,6,14,25,56.00%,7,5,12
"Judge, County Criminal Court No. 7",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Criminal Court No. 7",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No. 7",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Criminal Court No. 7",0910,25,24,49,217,22.58%,19,26,45
"Judge, County Criminal Court No. 7",0911,118,60,178,551,32.30%,120,50,170
"Judge, County Criminal Court No. 7",0912,316,201,517,1273,40.61%,345,143,488
"Judge, County Criminal Court No. 7",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0914,169,179,348,701,49.64%,283,52,335
"Judge, County Criminal Court No. 7",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0916,417,240,657,1491,44.06%,522,113,635
"Judge, County Criminal Court No. 7",0917,177,62,239,483,49.48%,158,65,223
"Judge, County Criminal Court No. 7",0918,304,168,472,883,53.45%,369,76,445
"Judge, County Criminal Court No. 7",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Criminal Court No. 7",0921,32,15,47,119,39.50%,34,13,47
"Judge, County Criminal Court No. 7",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0923,470,137,607,1511,40.17%,454,135,589
"Judge, County Criminal Court No. 7",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0926,171,128,299,796,37.56%,227,61,288
"Judge, County Criminal Court No. 7",0927,44,30,74,270,27.41%,31,36,67
"Judge, County Criminal Court No. 7",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Criminal Court No. 7",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0930,109,54,163,584,27.91%,5,154,159
"Judge, County Criminal Court No. 7",0931,30,40,70,130,53.85%,35,24,59
"Judge, County Criminal Court No. 7",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0933,115,85,200,627,31.90%,57,136,193
"Judge, County Criminal Court No. 7",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Criminal Court No. 7",0935,3,2,5,54,9.26%,2,1,3
"Judge, County Criminal Court No. 7",0936,8,2,10,81,12.35%,3,7,10
"Judge, County Criminal Court No. 7",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0938,30,14,44,231,19.05%,14,28,42
"Judge, County Criminal Court No. 7",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Criminal Court No. 7",0942,53,27,80,156,51.28%,66,10,76
"Judge, County Criminal Court No. 7",0943,164,80,244,547,44.61%,170,57,227
"Judge, County Criminal Court No. 7",0944,20,4,24,45,53.33%,20,1,21
"Judge, County Criminal Court No. 7",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Criminal Court No. 7",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Criminal Court No. 7",0947,177,246,423,799,52.94%,227,172,399
"Judge, County Criminal Court No. 7",0948,0,14,14,1,1400.00%,10,3,13
"Judge, County Criminal Court No. 7",0949,34,27,61,193,31.61%,32,29,61
"Judge, County Criminal Court No. 7",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Criminal Court No. 7",0952,15,15,31,71,43.66%,17,12,29
"Judge, County Criminal Court No. 7",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Criminal Court No. 7",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0955,3,2,5,19,26.32%,4,0,4
"Judge, County Criminal Court No. 7",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Criminal Court No. 7",0957,97,95,192,562,34.16%,24,168,192
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0958,81,129,210,1081,19.43%,51,153,204
"Judge, County Criminal Court No. 7",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0960,196,157,353,976,36.17%,72,271,343
"Judge, County Criminal Court No. 7",0961,15,0,16,56,28.57%,0,16,16
"Judge, County Criminal Court No. 7",0962,10,17,27,88,30.68%,3,24,27
"Judge, County Criminal Court No. 7",0963,54,41,105,426,24.65%,57,42,99
"Judge, County Criminal Court No. 7",0964,568,437,1005,2372,42.37%,620,354,974
"Judge, County Criminal Court No. 7",0965,31,21,52,343,15.16%,27,24,51
"Judge, County Criminal Court No. 7",0966,129,83,212,1148,18.47%,74,132,206
"Judge, County Criminal Court No. 7",0967,15,48,63,165,38.18%,18,44,62
"Judge, County Criminal Court No. 7",0968,119,30,149,692,21.53%,32,115,147
"Judge, County Criminal Court No. 7",0969,156,73,229,604,37.91%,1,225,226
"Judge, County Criminal Court No. 7",0970,83,36,119,731,16.28%,18,98,116
"Judge, County Criminal Court No. 7",0971,11,8,19,147,12.93%,2,15,17
"Judge, County Criminal Court No. 7",0972,e,8,14,31,45.16%,13,0,13
