Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,"DEM Debra ""Debby"" Kerner",Totals
"County School Trustee, Position 5, At Large",0681,1,0,1,5,20.00%,1,0,1
"County School Trustee, Position 5, At Large",0682,711,654,1365,4216,32.38%,1008,314,1322
"County School Trustee, Position 5, At Large",0683,29,20,49,276,17.75%,9,36,45
"County School Trustee, Position 5, At Large",0684,27,22,49,223,21.97%,25,22,47
"County School Trustee, Position 5, At Large",0685,110,29,139,307,45.28%,63,67,130
"County School Trustee, Position 5, At Large",0686,17,12,29,208,13.94%,10,18,28
"County School Trustee, Position 5, At Large",0687,549,537,1086,2609,41.63%,724,302,1026
"County School Trustee, Position 5, At Large",0688,999,617,1616,3504,46.12%,1287,279,1566
"County School Trustee, Position 5, At Large",0689,211,387,598,2346,25.49%,303,266,569
"County School Trustee, Position 5, At Large",0690,926,1104,2030,5102,39.79%,1635,332,1967
"County School Trustee, Position 5, At Large",0691,2,5,7,25,28.00%,2,4,6
"County School Trustee, Position 5, At Large",0692,444,548,992,2847,34.84%,734,223,957
"County School Trustee, Position 5, At Large",0693,167,91,258,666,38.74%,71,173,244
"County School Trustee, Position 5, At Large",0694,250,120,380,845,44.97%,248,110,358
"County School Trustee, Position 5, At Large",0695,232,193,425,1724,24.65%,272,137,409
"County School Trustee, Position 5, At Large",0696,251,207,468,1982,23.61%,290,157,447
"County School Trustee, Position 5, At Large",0697,505,613,1218,4413,27.60%,307,871,1178
"County School Trustee, Position 5, At Large",0698,448,489,937,3189,29.38%,102,807,909
"County School Trustee, Position 5, At Large",0699,558,414,982,2343,41.91%,627,294,921
"County School Trustee, Position 5, At Large",0700,255,251,506,1371,36.91%,428,60,488
"County School Trustee, Position 5, At Large",0701,56,43,99,588,16.84%,62,31,93
"County School Trustee, Position 5, At Large",0702,54,70,134,539,24.86%,18,114,132
"County School Trustee, Position 5, At Large",0703,372,490,862,1882,45.80%,612,209,821
"County School Trustee, Position 5, At Large",0704,569,599,1168,3064,38.12%,937,188,1125
"County School Trustee, Position 5, At Large",0705,114,113,227,1523,14.90%,31,188,219
"County School Trustee, Position 5, At Large",0706,115,71,186,610,30.49%,90,86,176
"County School Trustee, Position 5, At Large",0707,153,86,239,707,33.80%,150,79,229
"County School Trustee, Position 5, At Large",0708,54,52,106,563,18.83%,50,48,98
"County School Trustee, Position 5, At Large",0709,1375,947,2322,6848,33.91%,1399,862,2261
"County School Trustee, Position 5, At Large",0710,371,462,833,2082,40.01%,451,329,780
"County School Trustee, Position 5, At Large",0711,702,506,1208,3484,34.67%,730,423,1153
"County School Trustee, Position 5, At Large",0712,491,463,954,3670,25.99%,408,527,935
"County School Trustee, Position 5, At Large",0713,228,262,490,1907,25.69%,252,220,472
"County School Trustee, Position 5, At Large",0714,35,19,55,296,18.58%,33,20,53
"County School Trustee, Position 5, At Large",0715,175,187,363,1408,25.78%,208,136,344
"County School Trustee, Position 5, At Large",0716,449,407,856,2680,31.94%,599,234,833
"County School Trustee, Position 5, At Large",0717,373,250,623,2002,31.12%,73,536,609
"County School Trustee, Position 5, At Large",0718,1017,806,1823,4229,43.11%,1258,473,1731
"County School Trustee, Position 5, At Large",0719,247,137,384,1589,24.17%,228,141,369
"County School Trustee, Position 5, At Large",0720,994,780,1774,4282,41.43%,1315,400,1715
"County School Trustee, Position 5, At Large",0721,754,532,1286,2870,44.81%,824,398,1222
"County School Trustee, Position 5, At Large",0722,871,494,1365,4479,30.48%,99,1218,1317
"County School Trustee, Position 5, At Large",0723,401,202,603,1858,32.45%,130,452,582
"County School Trustee, Position 5, At Large",0724,151,128,279,766,36.42%,205,62,267
"County School Trustee, Position 5, At Large",0725,423,237,660,2237,29.50%,312,329,641
"County School Trustee, Position 5, At Large",0726,592,402,994,2087,47.63%,867,101,968
"County School Trustee, Position 5, At Large",0727,338,290,628,2488,25.24%,207,388,595
"County School Trustee, Position 5, At Large",0728,209,151,360,880,40.91%,210,127,337
"County School Trustee, Position 5, At Large",0729,136,59,195,464,42.03%,119,71,190
"County School Trustee, Position 5, At Large",0730,428,359,787,1747,45.05%,501,242,743
"County School Trustee, Position 5, At Large",0731,58,27,85,352,24.15%,24,58,82
"County School Trustee, Position 5, At Large",0732,441,324,765,1924,39.76%,472,251,723
"County School Trustee, Position 5, At Large",0733,13,7,20,215,9.30%,8,10,18
"County School Trustee, Position 5, At Large",0734,1558,962,2520,7005,35.97%,1732,719,2451
"County School Trustee, Position 5, At Large",0735,8,0,6,18,33.33%,6,0,6
"County School Trustee, Position 5, At Large",0736,3,1,4,22,18.18%,0,3,3
"County School Trustee, Position 5, At Large",0737,11,7,18,51,35.29%,13,5,18
"County School Trustee, Position 5, At Large",0738,139,100,239,1361,17.56%,46,187,233
"County School Trustee, Position 5, At Large",0739,353,301,654,2955,22.13%,341,290,631
"County School Trustee, Position 5, At Large",0740,96,98,194,939,20.66%,127,56,183
"County School Trustee, Position 5, At Large",0741,0,1,1,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0742,0,11,11,0,0.00%,6,5,11
"County School Trustee, Position 5, At Large",0743,15,18,33,210,15.71%,17,14,31
"County School Trustee, Position 5, At Large",0744,456,392,848,2027,41.84%,530,273,803
"County School Trustee, Position 5, At Large",0745,683,372,1055,2494,42.30%,633,370,1003
"County School Trustee, Position 5, At Large",0746,114,77,191,691,27.64%,91,97,188
"County School Trustee, Position 5, At Large",0747,550,467,1017,3743,27.17%,504,487,991
"County School Trustee, Position 5, At Large",0748,170,140,310,1403,22.10%,160,139,299
"County School Trustee, Position 5, At Large",0749,30,17,47,377,12.47%,8,37,45
"County School Trustee, Position 5, At Large",0750,111,96,207,767,26.99%,128,76,204
"County School Trustee, Position 5, At Large",0751,925,964,1889,5084,37.16%,1242,580,1822
"County School Trustee, Position 5, At Large",0752,286,200,486,1483,32.77%,367,102,469
"County School Trustee, Position 5, At Large",0753,55,73,128,259,49.42%,78,44,122
"County School Trustee, Position 5, At Large",0754,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0755,442,584,1026,4294,23.89%,455,527,982
"County School Trustee, Position 5, At Large",0756,251,177,428,1600,26.75%,169,240,409
"County School Trustee, Position 5, At Large",0757,520,508,1028,4035,25.48%,186,813,999
"County School Trustee, Position 5, At Large",0758,1114,692,1806,4096,44.09%,1437,312,1749
"County School Trustee, Position 5, At Large",0759,465,413,878,2730,32.16%,560,287,847
"County School Trustee, Position 5, At Large",0760,1432,639,2071,4367,47.42%,1692,296,1988
"County School Trustee, Position 5, At Large",0761,548,253,801,1550,51.68%,547,213,760
"County School Trustee, Position 5, At Large",0762,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0763,108,146,254,1212,20.96%,104,139,243
"County School Trustee, Position 5, At Large",0764,1133,774,1907,5217,36.55%,1198,652,1850
"County School Trustee, Position 5, At Large",0765,647,426,1073,4055,26.46%,441,581,1022
"County School Trustee, Position 5, At Large",0766,40,25,65,392,16.58%,16,44,60
"County School Trustee, Position 5, At Large",0767,10,2,12,86,13.95%,6,5,11
"County School Trustee, Position 5, At Large",0768,1359,1015,2374,5857,40.53%,1930,388,2318
"County School Trustee, Position 5, At Large",0769,54,16,70,183,38.25%,3,66,69
"County School Trustee, Position 5, At Large",0770,31,25,56,323,17.34%,27,25,52
"County School Trustee, Position 5, At Large",0771,324,254,578,2426,23.83%,337,225,562
"County School Trustee, Position 5, At Large",0772,1792,851,2643,5709,46.30%,1982,557,2539
"County School Trustee, Position 5, At Large",0773,473,312,785,2918,26.90%,220,500,720
"County School Trustee, Position 5, At Large",0774,30,41,71,378,18.78%,16,53,69
"County School Trustee, Position 5, At Large",0775,18,3,21,92,22.83%,0,21,21
"County School Trustee, Position 5, At Large",0776,551,496,1047,3053,34.29%,620,388,1008
"County School Trustee, Position 5, At Large",0777,46,40,86,652,13.19%,28,57,85
"County School Trustee, Position 5, At Large",0778,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0779,64,51,115,940,12.23%,42,68,110
"County School Trustee, Position 5, At Large",0780,63,59,122,595,20.50%,69,49,118
"County School Trustee, Position 5, At Large",0781,666,273,939,3603,26.06%,428,420,848
"County School Trustee, Position 5, At Large",0782,368,370,738,2236,33.01%,458,252,710
"County School Trustee, Position 5, At Large",0783,49,13,62,294,21.09%,45,15,60
"County School Trustee, Position 5, At Large",0784,208,128,336,1079,31.14%,6,314,320
"County School Trustee, Position 5, At Large",0785,28,25,53,296,17.91%,27,26,53
"County School Trustee, Position 5, At Large",0786,100,98,198,1251,15.83%,73,118,191
"County School Trustee, Position 5, At Large",0787,46,52,98,488,20.08%,35,60,95
"County School Trustee, Position 5, At Large",0788,74,32,106,454,23.35%,52,52,104
"County School Trustee, Position 5, At Large",0789,0,3,3,3,100.00%,0,3,3
"County School Trustee, Position 5, At Large",0790,0,0,0,3,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0791,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0792,269,239,508,1865,27.24%,122,359,481
"County School Trustee, Position 5, At Large",0793,448,247,695,2484,27.98%,411,261,672
"County School Trustee, Position 5, At Large",0794,124,144,268,2710,9.89%,31,230,261
"County School Trustee, Position 5, At Large",0795,90,125,215,1217,17.67%,76,129,205
"County School Trustee, Position 5, At Large",0796,83,51,134,476,28.15%,76,54,130
"County School Trustee, Position 5, At Large",0797,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0798,99,111,210,500,42.00%,83,117,200
"County School Trustee, Position 5, At Large",0799,28,15,43,161,26.71%,8,35,43
"County School Trustee, Position 5, At Large",0800,588,642,1230,2932,41.95%,828,350,1178
"County School Trustee, Position 5, At Large",0801,32,14,46,258,17.83%,15,28,43
"County School Trustee, Position 5, At Large",0802,51,27,78,312,25.00%,14,63,77
"County School Trustee, Position 5, At Large",0803,725,511,1236,2893,42.72%,902,298,1200
"County School Trustee, Position 5, At Large",0804,932,591,1523,4768,31.94%,963,519,1482
"County School Trustee, Position 5, At Large",0805,765,533,1298,2866,45.29%,1042,211,1253
"County School Trustee, Position 5, At Large",0806,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0807,211,204,415,2028,20.46%,94,307,401
"County School Trustee, Position 5, At Large",0808,12,17,29,131,22.14%,5,22,27
"County School Trustee, Position 5, At Large",0809,7,6,13,92,14.13%,5,6,11
"County School Trustee, Position 5, At Large",0810,9,16,25,211,11.85%,9,15,24
"County School Trustee, Position 5, At Large",0811,29,50,79,270,29.26%,26,51,77
"County School Trustee, Position 5, At Large",0812,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0813,938,761,1699,5807,29.26%,849,806,1655
"County School Trustee, Position 5, At Large",0814,673,533,1206,5102,23.64%,297,870,1167
"County School Trustee, Position 5, At Large",0815,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0816,10,0,10,73,13.70%,3,7,10
"County School Trustee, Position 5, At Large",0817,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0818,86,39,125,616,20.29%,28,92,120
"County School Trustee, Position 5, At Large",0819,64,30,94,240,39.17%,47,36,83
"County School Trustee, Position 5, At Large",0820,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0821,124,120,244,1242,19.65%,33,202,235
"County School Trustee, Position 5, At Large",0822,332,167,499,1535,32.51%,16,466,482
"County School Trustee, Position 5, At Large",0823,821,564,1385,5087,27.23%,795,546,1341
"County School Trustee, Position 5, At Large",0824,428,282,710,2700,26.30%,163,528,691
"County School Trustee, Position 5, At Large",0825,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0826,73,50,123,358,34.36%,57,60,117
"County School Trustee, Position 5, At Large",0827,60,98,158,979,16.14%,73,80,153
"County School Trustee, Position 5, At Large",0828,541,388,929,1916,48.49%,740,159,899
"County School Trustee, Position 5, At Large",0829,54,22,76,264,28.79%,19,56,75
"County School Trustee, Position 5, At Large",0830,0,0,0,2,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0831,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0832,34,28,62,352,17.61%,18,40,58
"County School Trustee, Position 5, At Large",0833,0,1,1,20,5.00%,0,1,1
"County School Trustee, Position 5, At Large",0834,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0835,38,19,57,290,19.66%,12,41,53
"County School Trustee, Position 5, At Large",0836,3,0,3,19,15.79%,0,3,3
"County School Trustee, Position 5, At Large",0837,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0838,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0839,136,118,254,1128,22.52%,48,195,243
"County School Trustee, Position 5, At Large",0840,381,174,555,1705,32.55%,195,345,540
"County School Trustee, Position 5, At Large",0841,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0842,421,434,855,3259,26.24%,404,424,828
"County School Trustee, Position 5, At Large",0843,0,1,1,0,0.00%,0,1,1
"County School Trustee, Position 5, At Large",0844,1,0,1,11,9.09%,0,1,1
"County School Trustee, Position 5, At Large",0845,54,9,63,134,47.01%,38,21,59
"County School Trustee, Position 5, At Large",0845,23,24,47,229,20.52%,2,44,46
"County School Trustee, Position 5, At Large",0847,305,211,516,2015,25.61%,142,357,499
"County School Trustee, Position 5, At Large",0848,489,266,755,1856,40.68%,214,511,725
"County School Trustee, Position 5, At Large",0849,201,291,492,2124,23.16%,194,278,472
"County School Trustee, Position 5, At Large",0850,46,41,87,21,0,41.43%,33,52,85
"County School Trustee, Position 5, At Large",0851,1029,657,1686,4709,35.80%,1132,490,1622
"County School Trustee, Position 5, At Large",0852,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0853675,620,1296,2882,44.97%,980,260,1240
"County School Trustee, Position 5, At Large",0854,15,26,41,172,23.84%,7,32,39
"County School Trustee, Position 5, At Large",0855,5,9,14,16,87.50%,5,8,13
"County School Trustee, Position 5, At Large",0856,0,1,1,0,0.00%,0,1,1
"County School Trustee, Position 5, At Large",0857,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0858,63,34,97,343,28.28%,3,92,95
"County School Trustee, Position 5, At Large",0859,157,106,263,890,29.55%,69,188,257
"County School Trustee, Position 5, At Large",0860,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0861,315,199,514,1842,27.90%,84,417,501
"County School Trustee, Position 5, At Large",0862,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0863,101,54,155,584,26.54%,7,147,154
"County School Trustee, Position 5, At Large",0864,193,299,492,2569,19.15%,143,330,473
"County School Trustee, Position 5, At Large",0865,2,3,5,21,23.81%,0,5,5
"County School Trustee, Position 5, At Large",0866,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0867,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0868,236,271,507,2326,21.80%,165,325,490
"County School Trustee, Position 5, At Large",0869,53,39,92,470,19.57%,22,69,91
"County School Trustee, Position 5, At Large",0870,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0871,1,0,1,3,33.33%,0,1,1
"County School Trustee, Position 5, At Large",0872,5,3,8,59,13.56%,4,4,8
"County School Trustee, Position 5, At Large",0873,98,75,173,737,23.47%,43,126,169
"County School Trustee, Position 5, At Large",0874,763,707,1470,3223,45.61%,1091,327,1418
"County School Trustee, Position 5, At Large",0875,904,527,1431,5147,27.80%,692,705,1397
"County School Trustee, Position 5, At Large",0876,698,641,1339,3265,41.01%,1012,284,1296
"County School Trustee, Position 5, At Large",0877,476,382,858,3032,28.30%,344,495,839
"County School Trustee, Position 5, At Large",0878,427,354,781,1666,46.88%,641,123,764
"County School Trustee, Position 5, At Large",0879,407,294,701,2667,26.28%,362,312,674
"County School Trustee, Position 5, At Large",0880,543,447,990,2352,42.09%,792,166,958
"County School Trustee, Position 5, At Large",0881,593,540,1133,4479,25.30%,399,710,1109
"County School Trustee, Position 5, At Large",0882,426,291,717,2422,29.60%,432,261,693
"County School Trustee, Position 5, At Large",0883,643,702,1345,5408,24.87%,239,1077,1316
"County School Trustee, Position 5, At Large",0884,57,25,82,377,21.75%,9,70,79
"County School Trustee, Position 5, At Large",0885,562,368,930,2619,35.51%,545,364,909
"County School Trustee, Position 5, At Large",0886,128,108,236,675,34.96%,125,100,225
"County School Trustee, Position 5, At Large",0887,50,67,117,418,27.99%,54,54,108
"County School Trustee, Position 5, At Large",0888,0,3,3,0,0.00%,2,1,3
"County School Trustee, Position 5, At Large",0889,14,0,14,57,24.56%,5,8,13
"County School Trustee, Position 5, At Large",0890,164,103,267,1095,24.38%,73,170,243
"County School Trustee, Position 5, At Large",0891,317,243,560,1331,42.07%,194,335,529
"County School Trustee, Position 5, At Large",0892,115,86,201,808,24.88%,74,115,189
"County School Trustee, Position 5, At Large",0893,0,2,2,6,33.33%,0,2,2
"County School Trustee, Position 5, At Large",0894,0,3,3,0,0.00%,2,1,3
"County School Trustee, Position 5, At Large",0895,156,286,442,793,55.74%,147,254,401
"County School Trustee, Position 5, At Large",0896,370,297,667,1459,45.72%,221,400,621
"County School Trustee, Position 5, At Large",0897,252,297,549,1701,32.28%,316,218,534
"County School Trustee, Position 5, At Large",0898,0,0,0,3,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0899,2,0,2,8,25.00%,0,2,2
"County School Trustee, Position 5, At Large",0900,0,2,2,10,20.00%,1,1,2
"County School Trustee, Position 5, At Large",0901,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0902,394,486,880,2139,41.14%,464,363,827
"County School Trustee, Position 5, At Large",0903,3,7,10,50,20.00%,3,6,9
"County School Trustee, Position 5, At Large",0904,1,0,1,7,14.29%,1,0,1
"County School Trustee, Position 5, At Large",0905,123,100,223,904,24.67%,103,111,214
"County School Trustee, Position 5, At Large",0906,8,6,14,25,56.00%,7,6,13
"County School Trustee, Position 5, At Large",0907,12,19,31,181,17.13%,6,25,31
"County School Trustee, Position 5, At Large",0908,0,1,1,0,0.00%,0,1,1
"County School Trustee, Position 5, At Large",0909,2,1,3,18,16.67%,0,3,3
"County School Trustee, Position 5, At Large",0910,25,24,49,217,22.58%,21,25,46
"County School Trustee, Position 5, At Large",0911,118,60,178,551,32.30%,120,52,172
"County School Trustee, Position 5, At Large",0912,316,201,517,1273,40.61%,336,152,488
"County School Trustee, Position 5, At Large",0913,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0914,169,179,348,701,49.64%,276,60,336
"County School Trustee, Position 5, At Large",0915,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0916,417,240,657,1491,44.06%,524,110,634
"County School Trustee, Position 5, At Large",0917,177,62,239,483,49.48%,154,73,227
"County School Trustee, Position 5, At Large",0918,304,168,472,883,53.45%,350,102,452
"County School Trustee, Position 5, At Large",0919,0,0,0,3,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0920,22,12,34,71,47.89%,24,9,33
"County School Trustee, Position 5, At Large",0921,32,15,47,119,39.50%,34,13,47
"County School Trustee, Position 5, At Large",0922,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0923,470,137,607,1511,40.17%,456,137,593
"County School Trustee, Position 5, At Large",0924,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0925,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0926,171,128,299,796,37.56%,221,67,288
"County School Trustee, Position 5, At Large",0927,44,30,74,270,27.41%,28,40,68
"County School Trustee, Position 5, At Large",0928,3,0,3,8,37.50%,0,3,3
"County School Trustee, Position 5, At Large",0929,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0930,109,54,163,584,27.91%,6,154,160
"County School Trustee, Position 5, At Large",0931,30,40,70,130,53.85%,35,30,65
"County School Trustee, Position 5, At Large",0932,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0933,115,85,200,627,31.90%,55,139,194
"County School Trustee, Position 5, At Large",0934,2,0,2,63,3.17%,1,1,2
"County School Trustee, Position 5, At Large",0935,3,2,5,54,9.26%,1,2,3
"County School Trustee, Position 5, At Large",0936,8,2,10,81,12.35%,3,6,9
"County School Trustee, Position 5, At Large",0937,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0938,30,14,44,231,19.05%,13,30,43
"County School Trustee, Position 5, At Large",0939,0,0,0,2,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0940,0,0,0,10,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0941,9,10,19,25,76.00%,17,2,19
"County School Trustee, Position 5, At Large",0942,53,27,80,156,51.28%,65,13,78
"County School Trustee, Position 5, At Large",0943,164,80,244,547,44.61%,160,70,230
"County School Trustee, Position 5, At Large",0944,20,4,24,45,53.33%,18,2,20
"County School Trustee, Position 5, At Large",0945,1,2,3,17,17.65%,1,2,3
"County School Trustee, Position 5, At Large",0946,0,1,1,13,7.69%,0,1,1
"County School Trustee, Position 5, At Large",0947,177,246,423,799,52.94%,213,186,399
"County School Trustee, Position 5, At Large",0948,0,14,14,1,1400.00%,10,2,12
"County School Trustee, Position 5, At Large",0949,34,27,61,193,31.61%,29,32,61
"County School Trustee, Position 5, At Large",0950,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0951,33,30,63,277,22.74%,17,45,62
"County School Trustee, Position 5, At Large",0952,15,15,31,71,43.66%,14,14,28
"County School Trustee, Position 5, At Large",0953,18,9,27,275,9.82%,4,22,26
"County School Trustee, Position 5, At Large",0954,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0955,3,2,5,19,26.32%,4,1,5
"County School Trustee, Position 5, At Large",0956,2,4,6,11,54.55%,1,4,5
"County School Trustee, Position 5, At Large",0957,97,95,192,562,34.16%,19,171,190
"County School Trustee, Position 5, At Large",0958,81,129,210,1081,19.43%,52,152,204
"County School Trustee, Position 5, At Large",0959,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0960,196,157,353,976,36.17%,71,270,341
"County School Trustee, Position 5, At Large",0961,15,0,16,56,28.57%,0,16,16
"County School Trustee, Position 5, At Large",0962,10,17,27,88,30.68%,4,23,27
"County School Trustee, Position 5, At Large",0963,54,41,105,426,24.65%,57,42,99
"County School Trustee, Position 5, At Large",0964,568,437,1005,2372,42.37%,610,366,976
"County School Trustee, Position 5, At Large",0965,31,21,52,343,15.16%,26,25,51
"County School Trustee, Position 5, At Large",0966,129,83,212,1148,18.47%,78,130,208
"County School Trustee, Position 5, At Large",0967,15,48,63,165,38.18%,19,43,62
"County School Trustee, Position 5, At Large",0968,119,30,149,692,21.53%,31,117,148
"County School Trustee, Position 5, At Large",0969,156,73,229,604,37.91%,1,225,226
"County School Trustee, Position 5, At Large",0970,83,36,119,731,16.28%,17,98,115
"County School Trustee, Position 5, At Large",0971,11,8,19,147,12.93%,2,15,17
"County School Trustee, Position 5, At Large",09726,8,14,31,45.16%,13,0,13
"County School Trustee, Position 5, At Large",0973,24,19,43,111,38.74%,19,20,39
"County School Trustee, Position 5, At Large",0974,57,36,93,299,31.10%,57,33,90
"County School Trustee, Position 5, At Large",0975,55,30,85,193,44.04%,40,39,79
"County School Trustee, Position 5, At Large",0976,58,62,130,683,19.03%,86,40,126
"County School Trustee, Position 5, At Large",0977,50,43,93,572,16.26%,40,52,92
"County School Trustee, Position 5, At Large",0978,77,79,156,546,28.57%,28,124,152
"County School Trustee, Position 5, At Large",0979,2,6,8,27,29.63%,4,3,7
"County School Trustee, Position 5, At Large",0980,280,321,601,1389,43.27%,446,123,569
"County School Trustee, Position 5, At Large",0981,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0982,312,312,624,1567,39.82%,503,95,598
"County School Trustee, Position 5, At Large",0983,11,21,32,161,19.88%,22,10,32
"County School Trustee, Position 5, At Large",0984,18,9,27,192,14.06%,4,22,26
"County School Trustee, Position 5, At Large",0985,117,63,180,351,51.28%,88,82,170
"County School Trustee, Position 5, At Large",0986,43,30,73,463,15.77%,11,61,72
"County School Trustee, Position 5, At Large",0987,231,90,321,1155,27.79%,29,285,314
"County School Trustee, Position 5, At Large",0988,24,12,36,123,29.27%,33,3,36
"County School Trustee, Position 5, At Large",09896,6,12,43,27.91%,8,4,12
"County School Trustee, Position 5, At Large",0990,16,1,17,140,12.14%,7,9,16
"County School Trustee, Position 5, At Large",0991,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0992,157,107,264,1048,25.19%,145,103,248
"County School Trustee, Position 5, At Large",0993,169,101,270,568,47.54%,219,45,264
"County School Trustee, Position 5, At Large",09946,5,11,25,44.00%,2,9,11
"County School Trustee, Position 5, At Large",0995,295,156,451,1393,32.38%,27,415,442
"County School Trustee, Position 5, At Large",0996,135,140,275,694,39.63%,153,102,255
"County School Trustee, Position 5, At Large",0997,101,163,264,1656,15.94%,57,201,258
"County School Trustee, Position 5, At Large",0998,5,1,6,57,10.53%,3,3,6
"County School Trustee, Position 5, At Large",0999,17,10,27,68,39.71%,23,3,26
"County School Trustee, Position 5, At Large",1000,42,6,48,405,11.85%,12,35,47
"County School Trustee, Position 5, At Large",1001,228,136,364,1565,23.26%,89,257,346
"County School Trustee, Position 5, At Large",1002,170,139,309,1744,17.72%,55,243,298
"County School Trustee, Position 5, At Large",1003,1,0,1,0,0.00%,1,0,1
"County School Trustee, Position 5, At Large",1004,111,139,250,654,38.23%,123,105,228
"County School Trustee, Position 5, At Large",1005,0,8,8,0,0.00%,3,3,6
"County School Trustee, Position 5, At Large",1006,1,0,1,5,20.00%,1,0,1
"County School Trustee, Position 5, At Large",1007,208,188,396,1547,25.60%,93,290,383
"County School Trustee, Position 5, At Large",1008,32,12,44,151,29.14%,33,11,44
"County School Trustee, Position 5, At Large",1009,0,0,0,9,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1010,59,35,94,459,20.48%,16,76,92
"County School Trustee, Position 5, At Large",1011,8,1,9,26,34.62%,5,3,8
"County School Trustee, Position 5, At Large",1012,134,201,335,1365,24.54%,99,228,327
"County School Trustee, Position 5, At Large",1013,0,6,6,58,10.34%,3,3,6
"County School Trustee, Position 5, At Large",1014,4,6,10,31,32.26%,1,9,10
"County School Trustee, Position 5, At Large",1015,5,4,9,25,36.00%,2,6,8
"County School Trustee, Position 5, At Large",1016,252,212,464,1691,27.44%,223,226,449
"County School Trustee, Position 5, At Large",1017,61,44,105,330,31.82%,32,71,103
"County School Trustee, Position 5, At Large",1018,93,64,157,494,31.78%,69,84,153
"County School Trustee, Position 5, At Large",1019,130,107,237,1456,16.28%,10,224,234
"County School Trustee, Position 5, At Large",1020,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1021,0,0,0,2,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1022,97,79,176,441,39.91%,131,34,165
"County School Trustee, Position 5, At Large",1023,430,315,745,2026,36.77%,526,191,717
"County School Trustee, Position 5, At Large",1024,55,61,116,249,46.59%,62,45,107
"County School Trustee, Position 5, At Large",1025,0,1,1,14,7.14%,1,0,1
"County School Trustee, Position 5, At Large",1026,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1027,1,0,1,8,12.50%,1,0,1
"County School Trustee, Position 5, At Large",1028,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1029,537,719,1256,2927,42.91%,970,239,1209
"County School Trustee, Position 5, At Large",1030,231,151,382,785,48.66%,328,49,377
