Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0578,409,538,947,1799,52.64%,586,321,907
"Justice, 1st Court of Appeals District, Place 3",0579,75,101,176,1056,16.67%,32,135,167
"Justice, 1st Court of Appeals District, Place 3",0580,179,118,297,1031,28.81%,4,285,289
"Justice, 1st Court of Appeals District, Place 3",0581,212,174,386,1032,37.40%,7,370,377
"Justice, 1st Court of Appeals District, Place 3",0582,258,171,429,1588,27.02%,20,399,419
"Justice, 1st Court of Appeals District, Place 3",0583,225,131,356,1262,28.21%,10,338,348
"Justice, 1st Court of Appeals District, Place 3",0584,182,93,275,1014,27.12%,11,258,269
"Justice, 1st Court of Appeals District, Place 3",0585,417,172,589,2511,23.46%,21,562,583
"Justice, 1st Court of Appeals District, Place 3",0586,638,680,1318,4316,30.54%,796,476,1272
"Justice, 1st Court of Appeals District, Place 3",0587,436,284,720,2598,27.71%,285,414,699
"Justice, 1st Court of Appeals District, Place 3",0588,758,674,1432,3645,39.29%,1021,372,1393
"Justice, 1st Court of Appeals District, Place 3",0589,500,386,886,3420,25.91%,492,375,867
"Justice, 1st Court of Appeals District, Place 3",0590,772,399,1171,2162,54.16%,924,214,1138
"Justice, 1st Court of Appeals District, Place 3",0591,183,231,414,2121,19.52%,120,278,398
"Justice, 1st Court of Appeals District, Place 3",0592,133,157,290,1350,21.48%,80,200,280
"Justice, 1st Court of Appeals District, Place 3",0593,543,564,1107,4380,25.27%,543,517,1060
"Justice, 1st Court of Appeals District, Place 3",0594,561,326,887,2490,35.62%,258,601,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0595,201,178,379,1693,22.39%,75,295,370
"Justice, 1st Court of Appeals District, Place 3",0596,441,348,789,3007,26.24%,440,326,766
"Justice, 1st Court of Appeals District, Place 3",0597,367,394,761,3653,20.83%,333,417,750
"Justice, 1st Court of Appeals District, Place 3",0598,195,57,252,728,34.62%,204,43,247
"Justice, 1st Court of Appeals District, Place 3",0599,850,578,1428,4950,28.85%,516,873,1389
"Justice, 1st Court of Appeals District, Place 3",0600,667,429,1096,3957,27.70%,447,601,1048
"Justice, 1st Court of Appeals District, Place 3",0601,1073,756,1829,4057,45.08%,1390,380,1770
"Justice, 1st Court of Appeals District, Place 3",0602,293,235,528,1326,39.82%,391,126,517
"Justice, 1st Court of Appeals District, Place 3",0603,554,794,1678,4843,34.65%,1074,572,1646
"Justice, 1st Court of Appeals District, Place 3",0604,702,518,1220,3005,40.60%,1005,182,1187
"Justice, 1st Court of Appeals District, Place 3",0605,907,556,1463,5582,26.21%,361,1064,1425
"Justice, 1st Court of Appeals District, Place 3",0606,176,70,246,937,26.25%,4,235,239
"Justice, 1st Court of Appeals District, Place 3",0607,52,51,113,728,15.52%,12,96,108
"Justice, 1st Court of Appeals District, Place 3",0608,31,47,78,537,14.53%,44,27,71
"Justice, 1st Court of Appeals District, Place 3",0609,557,680,1347,3384,39.80%,844,446,1290
"Justice, 1st Court of Appeals District, Place 3",0610,231,188,419,1927,21.74%,219,170,389
"Justice, 1st Court of Appeals District, Place 3",0611,495,242,737,2488,29.62%,24,697,721
"Justice, 1st Court of Appeals District, Place 3",0612,996,497,1493,3307,45.15%,1125,305,1430
"Justice, 1st Court of Appeals District, Place 3",0613,186,204,390,1554,25.10%,63,321,384
"Justice, 1st Court of Appeals District, Place 3",0614,737,566,1303,4207,30.97%,501,751,1252
"Justice, 1st Court of Appeals District, Place 3",0615,450,299,779,1967,39.60%,497,262,759
"Justice, 1st Court of Appeals District, Place 3",0616,739,663,1402,3436,40.80%,981,374,1355
"Justice, 1st Court of Appeals District, Place 3",0617,541,393,934,3809,24.52%,382,538,920
"Justice, 1st Court of Appeals District, Place 3",0618,945,567,1513,6003,25.20%,768,706,1474
"Justice, 1st Court of Appeals District, Place 3",0619,1219,803,2022,4297,47.06%,1524,417,1941
"Justice, 1st Court of Appeals District, Place 3",0620,589,264,953,2897,32.90%,610,302,912
"Justice, 1st Court of Appeals District, Place 3",0621,154,101,255,1133,22.51%,137,106,243
"Justice, 1st Court of Appeals District, Place 3",0622,881,524,1405,4403,31.91,%,870,492,1362
"Justice, 1st Court of Appeals District, Place 3",0623,887,487,1374,3691,37.23%,940,386,1326
"Justice, 1st Court of Appeals District, Place 3",0624,1,1,2,3,66.67%,1,1,2
"Justice, 1st Court of Appeals District, Place 3",0625,477,362,839,1820,46.10%,484,323,807
"Justice, 1st Court of Appeals District, Place 3",0626,551,440,1021,2861,35.69%,573,403,976
"Justice, 1st Court of Appeals District, Place 3",0627,346,322,668,3049,21.91%,249,393,642
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0628,152,219,371,1675,22.15%,193,168,361
"Justice, 1st Court of Appeals District, Place 3",0629,37,53,90,696,12.93%,14,75,89
"Justice, 1st Court of Appeals District, Place 3",0630,975,600,1575,3905,40.33%,112,1425,1537
"Justice, 1st Court of Appeals District, Place 3",0631,822,404,1226,2846,43.08%,903,287,1190
"Justice, 1st Court of Appeals District, Place 3",0632,7,4,11,343,3.21%,4,7,11
"Justice, 1st Court of Appeals District, Place 3",0633,943,731,1674,3559,47.04%,1197,429,1626
"Justice, 1st Court of Appeals District, Place 3",0634,458,442,900,3029,29.71%,596,278,874
"Justice, 1st Court of Appeals District, Place 3",0635,743,485,1228,3393,36.19%,927,268,1195
"Justice, 1st Court of Appeals District, Place 3",0636,835,874,1710,4140,41.30%,1477,190,1667
"Justice, 1st Court of Appeals District, Place 3",0637,409,362,771,2512,30.69%,190,537,727
"Justice, 1st Court of Appeals District, Place 3",0638,304,245,549,2204,24.91%,43,489,532
"Justice, 1st Court of Appeals District, Place 3",0639,549,547,1096,2526,43.39%,882,182,1064
"Justice, 1st Court of Appeals District, Place 3",0640,641,459,1100,3733,29.47%,697,375,1072
"Justice, 1st Court of Appeals District, Place 3",0641,649,596,1245,3650,34.11%,839,371,1210
"Justice, 1st Court of Appeals District, Place 3",0642,471,394,865,1764,49.04%,696,140,836
"Justice, 1st Court of Appeals District, Place 3",0643,934,653,1587,5945,26.69%,632,914,1546
"Justice, 1st Court of Appeals District, Place 3",0644,1020,823,1843,5523,33.37%,1220,558,1778
"Justice, 1st Court of Appeals District, Place 3",0645,655,594,1249,4185,29.84%,687,521,1208
"Justice, 1st Court of Appeals District, Place 3",0646,364,287,651,2220,29.32%,216,398,614
"Justice, 1st Court of Appeals District, Place 3",0647,904,470,1374,6084,22.58%,396,866,1262
"Justice, 1st Court of Appeals District, Place 3",0648,838,579,1417,3367,42.08%,1026,353,1379
"Justice, 1st Court of Appeals District, Place 3",0649,687,434,1121,4576,24.50%,374,680,1054
"Justice, 1st Court of Appeals District, Place 3",0650,906,766,1672,3888,43.00%,1225,385,1610
"Justice, 1st Court of Appeals District, Place 3",0651,963,766,1729,5128,33.72%,1113,555,1668
"Justice, 1st Court of Appeals District, Place 3",0652,467,515,982,2815,34.88%,174,780,954
"Justice, 1st Court of Appeals District, Place 3",0653,0,4,4,0,0.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 3",0654,950,1005,1955,6208,31.49%,1088,813,1901
"Justice, 1st Court of Appeals District, Place 3",0655,1115,1079,2195,6855,32.02%,1381,749,2130
"Justice, 1st Court of Appeals District, Place 3",0656,579,393,972,2674,36.35%,40,912,952
"Justice, 1st Court of Appeals District, Place 3",0657,246,172,418,1292,32.35%,173,232,405
"Justice, 1st Court of Appeals District, Place 3",0658,540,426,966,2807,34.41%,634,315,949
"Justice, 1st Court of Appeals District, Place 3",0659,1149,788,1937,4856,39.89%,1398,484,1882
"Justice, 1st Court of Appeals District, Place 3",0660,950,825,1775,5372,33.04%,167,1574,1741
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0661,675,765,1440,4567,31.53%,843,545,1388
"Justice, 1st Court of Appeals District, Place 3",0662,1148,890,2038,4874,41.81%,1632,357,1989
"Justice, 1st Court of Appeals District, Place 3",0663,718,797,1515,3346,45.28%,761,669,1430
"Justice, 1st Court of Appeals District, Place 3",0664,352,250,602,2869,20.98%,130,443,573
"Justice, 1st Court of Appeals District, Place 3",0665,482,348,830,2154,38.53%,698,113,811
"Justice, 1st Court of Appeals District, Place 3",0666,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0667,488,502,990,2149,46.07%,787,177,964
"Justice, 1st Court of Appeals District, Place 3",0668,399,509,908,2775,32.72%,595,287,882
"Justice, 1st Court of Appeals District, Place 3",0669,850,738,1588,3425,46.36%,1149,375,1524
"Justice, 1st Court of Appeals District, Place 3",0670,955,471,1427,2983,47.84%,1145,233,1378
"Justice, 1st Court of Appeals District, Place 3",0671,403,565,968,3037,31.87%,594,339,933
"Justice, 1st Court of Appeals District, Place 3",0672,959,862,1821,5706,31.91%,1240,537,1777
"Justice, 1st Court of Appeals District, Place 3",0673,729,516,1245,2995,41.57%,987,216,1203
"Justice, 1st Court of Appeals District, Place 3",0674,1071,618,1689,4091,41.29%,1256,379,1635
"Justice, 1st Court of Appeals District, Place 3",0675,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",0676,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0677,127,127,254,1266,20.06%,94,146,240
"Justice, 1st Court of Appeals District, Place 3",0678,166,108,274,735,37.28%,183,76,259
"Justice, 1st Court of Appeals District, Place 3",0679,635,520,1155,3381,34.16%,880,235,1115
"Justice, 1st Court of Appeals District, Place 3",0680,21,14,35,162,21.60%,12,23,35
"Justice, 1st Court of Appeals District, Place 3",0681,1,0,1,5,20.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",0682,711,654,1365,4216,32.38%,997,330,1327
"Justice, 1st Court of Appeals District, Place 3",0683,29,20,49,276,17.75%,9,36,45
"Justice, 1st Court of Appeals District, Place 3",0684,27,22,49,223,21.97%,25,22,47
"Justice, 1st Court of Appeals District, Place 3",0685,110,29,139,307,45.28%,61,70,131
"Justice, 1st Court of Appeals District, Place 3",0686,17,12,29,208,13.94%,10,18,28
"Justice, 1st Court of Appeals District, Place 3",0687,549,537,1086,2609,41.63%,737,297,1034
"Justice, 1st Court of Appeals District, Place 3",0688,999,617,1616,3504,46.12%,1295,277,1572
"Justice, 1st Court of Appeals District, Place 3",0689,211,387,598,2346,25.49%,302,271,573
"Justice, 1st Court of Appeals District, Place 3",0690,926,1104,2030,5102,39.79%,1657,322,1979
"Justice, 1st Court of Appeals District, Place 3",0691,2,5,7,25,28.00%,3,4,7
"Justice, 1st Court of Appeals District, Place 3",0692,444,548,992,2847,34.84%,759,206,965
"Justice, 1st Court of Appeals District, Place 3",0693,167,91,258,666,38.74%,75,176,251
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0694,260,120,380,845,44.97%,262,95,357
"Justice, 1st Court of Appeals District, Place 3",0695,232,193,425,1724,24.65%,272,143,415
"Justice, 1st Court of Appeals District, Place 3",0696,261,207,468,1982,23.61%,297,157,454
"Justice, 1st Court of Appeals District, Place 3",0697,605,613,1218,4413,27.60%,306,875,1181
"Justice, 1st Court of Appeals District, Place 3",0698,448,489,937,3189,29.38%,105,808,913
"Justice, 1st Court of Appeals District, Place 3",0699,568,414,982,2343,41.91,%,666,260,926
"Justice, 1st Court of Appeals District, Place 3",0700,255,251,506,1371,36.91%,425,65,490
"Justice, 1st Court of Appeals District, Place 3",0701,56,43,99,588,16.84%,65,29,94
"Justice, 1st Court of Appeals District, Place 3",0702,54,70,134,539,24.86%,18,113,131
"Justice, 1st Court of Appeals District, Place 3",0703,372,490,862,1882,45.80%,636,191,827
"Justice, 1st Court of Appeals District, Place 3",0704,569,599,1168,3064,38.12%,949,185,1134
"Justice, 1st Court of Appeals District, Place 3",0705,114,113,227,1523,14.90%,32,189,221
"Justice, 1st Court of Appeals District, Place 3",0706,115,71,186,610,30.49%,93,83,176
"Justice, 1st Court of Appeals District, Place 3",0707,153,86,239,707,33.80%,156,70,226
"Justice, 1st Court of Appeals District, Place 3",0708,54,52,106,563,18.83%,51,50,101
"Justice, 1st Court of Appeals District, Place 3",0709,1375,947,2322,6848,33.91%,1412,858,2270
"Justice, 1st Court of Appeals District, Place 3",0710,371,462,833,2082,40.01%,463,326,789
"Justice, 1st Court of Appeals District, Place 3",0711,703,506,1209,3484,34.70%,746,410,1156
"Justice, 1st Court of Appeals District, Place 3",0712,491,463,954,3670,25.99%,410,523,933
"Justice, 1st Court of Appeals District, Place 3",0713,228,262,490,1907,25.69%,251,223,474
"Justice, 1st Court of Appeals District, Place 3",0714,35,19,55,296,18.58%,34,19,53
"Justice, 1st Court of Appeals District, Place 3",0715,176,187,363,1408,25.78%,210,138,348
"Justice, 1st Court of Appeals District, Place 3",0716,449,407,856,2680,31.94%,597,241,838
"Justice, 1st Court of Appeals District, Place 3",0717,373,250,623,2002,31.12%,77,532,609
"Justice, 1st Court of Appeals District, Place 3",0718,1017,806,1823,4229,43.11%,1296,449,1745
"Justice, 1st Court of Appeals District, Place 3",0719,247,137,384,1589,24.17%,231,141,372
"Justice, 1st Court of Appeals District, Place 3",0720,994,780,1774,4282,41.43%,1339,383,1722
"Justice, 1st Court of Appeals District, Place 3",0721,754,532,1286,2870,44.81%,852,379,1231
"Justice, 1st Court of Appeals District, Place 3",0722,872,494,1366,4479,30.50%,101,1229,1330
"Justice, 1st Court of Appeals District, Place 3",0723,401,202,603,1858,32.45%,131,457,588
"Justice, 1st Court of Appeals District, Place 3",0724,151,128,279,766,36.42%,208,59,267
"Justice, 1st Court of Appeals District, Place 3",0725,423,237,660,2237,29.50%,309,332,641
"Justice, 1st Court of Appeals District, Place 3",0726,592,402,994,2087,47.63%,867,107,974
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0727,338,290,628,2488,25.24%,208,390,598
"Justice, 1st Court of Appeals District, Place 3",0728,209,151,360,880,40.91%,224,124,348
"Justice, 1st Court of Appeals District, Place 3",0729,136,59,195,464,42.03%,121,71,192
"Justice, 1st Court of Appeals District, Place 3",0730,428,359,787,1747,45.05%,516,238,754
"Justice, 1st Court of Appeals District, Place 3",0731,58,27,85,352,24.15%,25,59,84
"Justice, 1st Court of Appeals District, Place 3",0732,441,324,765,1924,39.76%,481,247,728
"Justice, 1st Court of Appeals District, Place 3",0733,13,7,20,215,9.30%,7,12,19
"Justice, 1st Court of Appeals District, Place 3",0734,1558,962,2520,7005,35.97%,1737,717,2454
"Justice, 1st Court of Appeals District, Place 3",0735,8,0,6,18,33.33%,6,0,6
"Justice, 1st Court of Appeals District, Place 3",0736,3,1,4,22,18.18%,0,3,3
"Justice, 1st Court of Appeals District, Place 3",0737,11,7,18,51,35.29%,13,5,18
"Justice, 1st Court of Appeals District, Place 3",0738,139,100,239,1361,17.56%,45,184,229
"Justice, 1st Court of Appeals District, Place 3",0739,353,301,654,2955,22.13%,339,291,630
"Justice, 1st Court of Appeals District, Place 3",0740,96,98,194,939,20.66%,125,63,188
"Justice, 1st Court of Appeals District, Place 3",0741,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0742,0,11,11,0,0.00%,6,5,11
"Justice, 1st Court of Appeals District, Place 3",0743,15,18,33,210,15.71%,16,14,30
"Justice, 1st Court of Appeals District, Place 3",0744,456,392,848,2027,41.84%,560,246,806
"Justice, 1st Court of Appeals District, Place 3",0745,683,372,1055,2494,42.30%,648,370,1018
"Justice, 1st Court of Appeals District, Place 3",0746,114,77,191,691,27.64%,93,95,188
"Justice, 1st Court of Appeals District, Place 3",0747,550,467,1017,3743,27.17%,504,484,988
"Justice, 1st Court of Appeals District, Place 3",0748,170,140,310,1403,22.10%,166,135,301
"Justice, 1st Court of Appeals District, Place 3",0749,30,17,47,377,12.47%,9,37,46
"Justice, 1st Court of Appeals District, Place 3",0750,111,96,207,767,26.99%,128,75,203
"Justice, 1st Court of Appeals District, Place 3",0751,925,964,1889,5084,37.16%,1265,567,1832
"Justice, 1st Court of Appeals District, Place 3",0752,286,200,486,1483,32.77%,370,99,469
"Justice, 1st Court of Appeals District, Place 3",0753,55,73,128,259,49.42%,83,40,123
"Justice, 1st Court of Appeals District, Place 3",0754,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0755,442,584,1026,4294,23.89%,452,534,986
"Justice, 1st Court of Appeals District, Place 3",0756,251,177,428,1600,26.75%,174,240,414
"Justice, 1st Court of Appeals District, Place 3",0757,520,508,1028,4035,25.48%,176,823,999
"Justice, 1st Court of Appeals District, Place 3",0758,1114,692,1806,4096,44.09%,1460,293,1753
"Justice, 1st Court of Appeals District, Place 3",0759,465,413,878,2730,32.16%,562,287,849
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0760,1432,639,2071,4367,47.42%,1738,250,1988
"Justice, 1st Court of Appeals District, Place 3",0761,548,253,801,1550,51.68%,561,201,762
"Justice, 1st Court of Appeals District, Place 3",0762,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0763,108,146,254,1212,20.96%,99,142,241
"Justice, 1st Court of Appeals District, Place 3",0764,1133,774,1907,5217,36.55%,1212,650,1862
"Justice, 1st Court of Appeals District, Place 3",0765,647,426,1073,4055,26.46%,447,586,1033
"Justice, 1st Court of Appeals District, Place 3",0766,40,25,65,392,16.58%,18,41,59
"Justice, 1st Court of Appeals District, Place 3",0767,10,2,12,86,13.95%,6,6,12
"Justice, 1st Court of Appeals District, Place 3",0768,1359,1015,2374,5857,40.53%,1946,375,2321
"Justice, 1st Court of Appeals District, Place 3",0769,54,16,70,183,38.25%,4,65,69
"Justice, 1st Court of Appeals District, Place 3",0770,31,25,56,323,17.34%,26,29,55
"Justice, 1st Court of Appeals District, Place 3",0771,324,254,578,2426,23.83%,338,222,560
"Justice, 1st Court of Appeals District, Place 3",0772,1792,851,2643,5709,46.30%,2027,520,2547
"Justice, 1st Court of Appeals District, Place 3",0773,473,312,785,2918,26.90%,219,510,729
"Justice, 1st Court of Appeals District, Place 3",0774,30,41,71,378,18.78%,15,53,68
"Justice, 1st Court of Appeals District, Place 3",0775,18,3,21,92,22.83%,0,21,21
"Justice, 1st Court of Appeals District, Place 3",0776,551,496,1047,3053,34.29%,612,389,1001
"Justice, 1st Court of Appeals District, Place 3",0777,46,40,86,652,13.19%,30,54,84
"Justice, 1st Court of Appeals District, Place 3",0778,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0779,64,51,115,940,12.23%,39,71,110
"Justice, 1st Court of Appeals District, Place 3",0780,63,59,122,595,20.50%,70,50,120
"Justice, 1st Court of Appeals District, Place 3",0781,666,273,939,3603,26.06%,432,422,854
"Justice, 1st Court of Appeals District, Place 3",0782,368,370,738,2236,33.01%,468,253,721
"Justice, 1st Court of Appeals District, Place 3",0783,49,13,62,294,21.09%,45,15,60
"Justice, 1st Court of Appeals District, Place 3",0784,208,128,336,1079,31.14%,5,319,324
"Justice, 1st Court of Appeals District, Place 3",0785,28,25,53,296,17.91%,27,26,53
"Justice, 1st Court of Appeals District, Place 3",0786,100,98,198,1251,15.83%,75,119,194
"Justice, 1st Court of Appeals District, Place 3",0787,46,52,98,488,20.08%,36,56,92
"Justice, 1st Court of Appeals District, Place 3",0788,74,32,106,454,23.35%,51,54,105
"Justice, 1st Court of Appeals District, Place 3",0789,0,3,3,3,100.00%,0,3,3
"Justice, 1st Court of Appeals District, Place 3",0790,0,0,0,3,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0791,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0792,269,239,508,1865,27.24%,119,367,486
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0793,448,247,695,2484,27.98%,416,257,673
"Justice, 1st Court of Appeals District, Place 3",0794,124,144,268,2710,9.89%,34,227,261
"Justice, 1st Court of Appeals District, Place 3",0795,90,125,215,1217,17.67%,81,122,203
"Justice, 1st Court of Appeals District, Place 3",0796,83,51,134,476,28.15%,77,53,130
"Justice, 1st Court of Appeals District, Place 3",0797,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0798,99,111,210,500,42.00%,79,123,202
"Justice, 1st Court of Appeals District, Place 3",0799,28,15,43,161,26.71%,10,33,43
"Justice, 1st Court of Appeals District, Place 3",0800,588,642,1230,2932,41.95%,836,340,1176
"Justice, 1st Court of Appeals District, Place 3",0801,32,14,46,258,17.83%,17,27,44
"Justice, 1st Court of Appeals District, Place 3",0802,51,27,78,312,25.00%,17,61,78
"Justice, 1st Court of Appeals District, Place 3",0803,725,511,1236,2893,42.72%,920,284,1204
"Justice, 1st Court of Appeals District, Place 3",0804,932,591,1523,4768,31.94%,965,519,1484
"Justice, 1st Court of Appeals District, Place 3",0805,765,533,1298,2866,45.29%,1046,211,1257
"Justice, 1st Court of Appeals District, Place 3",0806,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0807,211,204,415,2028,20.46%,91,308,399
"Justice, 1st Court of Appeals District, Place 3",0808,12,17,29,131,22.14%,9,20,29
"Justice, 1st Court of Appeals District, Place 3",0809,7,6,13,92,14.13%,5,6,11
"Justice, 1st Court of Appeals District, Place 3",0810,9,16,25,211,11.85%,8,16,24
"Justice, 1st Court of Appeals District, Place 3",0811,29,50,79,270,29.26%,26,51,77
"Justice, 1st Court of Appeals District, Place 3",0812,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0813,938,761,1699,5807,29.26%,851,805,1656
"Justice, 1st Court of Appeals District, Place 3",0814,673,533,1206,5102,23.64%,302,868,1170
"Justice, 1st Court of Appeals District, Place 3",0815,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0816,10,0,10,73,13.70%,3,7,10
"Justice, 1st Court of Appeals District, Place 3",0817,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0818,86,39,125,616,20.29%,26,93,119
"Justice, 1st Court of Appeals District, Place 3",0819,64,30,94,240,39.17%,53,35,88
"Justice, 1st Court of Appeals District, Place 3",0820,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0821,124,120,244,1242,19.65%,34,203,237
"Justice, 1st Court of Appeals District, Place 3",0822,332,167,499,1535,32.51%,15,472,487
"Justice, 1st Court of Appeals District, Place 3",0823,821,564,1385,5087,27.23%,810,538,1348
"Justice, 1st Court of Appeals District, Place 3",0824,428,282,710,2700,26.30%,153,541,694
"Justice, 1st Court of Appeals District, Place 3",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0826,73,50,123,358,34.36%,64,52,116
"Justice, 1st Court of Appeals District, Place 3",0827,60,98,158,979,16.14%,71,82,153
"Justice, 1st Court of Appeals District, Place 3",0828,541,388,929,1916,48.49%,755,144,899
"Justice, 1st Court of Appeals District, Place 3",0829,54,22,76,264,28.79%,18,58,76
"Justice, 1st Court of Appeals District, Place 3",0830,0,0,0,2,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0831,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0832,34,28,62,352,17.61%,17,41,58
"Justice, 1st Court of Appeals District, Place 3",0833,0,1,1,20,5.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0834,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0835,38,19,57,290,19.66%,12,40,52
"Justice, 1st Court of Appeals District, Place 3",0836,3,0,3,19,15.79%,1,2,3
"Justice, 1st Court of Appeals District, Place 3",0837,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0838,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0839,136,118,254,1128,22.52%,53,191,244
"Justice, 1st Court of Appeals District, Place 3",0840,381,174,555,1705,32.55%,191,353,544
"Justice, 1st Court of Appeals District, Place 3",0841,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0842,421,434,855,3259,26.24%,393,432,825
"Justice, 1st Court of Appeals District, Place 3",0843,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0844,1,0,1,11,9.09%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0845,54,9,63,134,47.01%,38,21,59
"Justice, 1st Court of Appeals District, Place 3",0846,23,24,47,229,20.52%,2,42,44
"Justice, 1st Court of Appeals District, Place 3",0847,305,211,516,2015,25.61%,143,358,501
"Justice, 1st Court of Appeals District, Place 3",0848,489,266,755,1856,40.68%,224,505,729
"Justice, 1st Court of Appeals District, Place 3",0849,201,291,492,2124,23.16%,193,282,475
"Justice, 1st Court of Appeals District, Place 3",0850,46,41,87,210,41.43%,30,56,86
"Justice, 1st Court of Appeals District, Place 3",0851,1029,657,1686,4709,35.80%,1126,502,1628
"Justice, 1st Court of Appeals District, Place 3",0852,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0853,575,620,1296,2882,44.97%,996,251,1247
"Justice, 1st Court of Appeals District, Place 3",0854,15,26,41,172,23.84%,7,32,39
"Justice, 1st Court of Appeals District, Place 3",0855,5,9,14,16,87.50%,5,8,13
"Justice, 1st Court of Appeals District, Place 3",0856,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0857,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0858,63,34,97,343,28.28%,3,91,94
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0859,157,106,263,890,29.55%,69,190,259
"Justice, 1st Court of Appeals District, Place 3",0860,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0861,315,199,514,1842,27.90%,88,416,504
"Justice, 1st Court of Appeals District, Place 3",0862,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0863,101,54,155,584,26.54%,11,141,152
"Justice, 1st Court of Appeals District, Place 3",0864,193,299,492,2569,19.15%,139,328,467
"Justice, 1st Court of Appeals District, Place 3",0865,2,3,5,21,23.81%,0,5,5
"Justice, 1st Court of Appeals District, Place 3",0866,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0867,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0868,236,271,507,2326,21.80%,164,323,487
