Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0647,904,470,1374,6084,22.58%,381,857,11,15,1264
Commissioner of Agriculture,0648,838,579,1417,3367,42.08%,1003,341,30,14,1388
Commissioner of Agriculture,0649,687,434,1121,4576,24.50%,359,675,26,15,1075
Commissioner of Agriculture,0650,906,766,1672,3888,43.00%,1194,374,40,20,1628
Commissioner of Agriculture,0651,963,766,1729,5128,33.72%,1092,534,42,16,1684
Commissioner of Agriculture,0652,467,515,982,2815,34.88%,166,765,11,14,956
Commissioner of Agriculture,0653,0,4,4,0,0.00%,0,4,0,0,4
Commissioner of Agriculture,0554,950,1005,1955,6208,31.49%,1071,785,34,21,1911
Commissioner of Agriculture,0655,1115,1079,2195,6855,32.02%,1340,708,64,33,2145
Commissioner of Agriculture,0656,579,393,972,2674,36.35%,35,905,5,7,952
Commissioner of Agriculture,0657,247,172,419,1292,32.43%,173,230,5,3,411
Commissioner of Agriculture,0658,540,426,966,2807,34.41%,608,308,21,13,950
Commissioner of Agriculture,0659,1150,788,1938,4856,39.91%,1369,467,43,26,1905
Commissioner of Agriculture,0660,950,825,1775,5372,33.04%,163,1552,10,16,1741
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0661,675,765,1440,4567,31.53%,821,525,29,33,1408
Commissioner of Agriculture,0662,1148,890,2038,4874,41.81%,1618,342,30,10,2000
Commissioner of Agriculture,0663,719,797,1515,3346,45.31%,745,632,39,30,1446
Commissioner of Agriculture,0664,352,250,602,2869,20.98%,127,432,8,12,579
Commissioner of Agriculture,0665,484,348,832,2154,38.63%,687,97,24,14,822
Commissioner of Agriculture,0666,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0667,488,502,990,2149,46.07%,758,174,29,12,973
Commissioner of Agriculture,0668,399,509,908,2775,32.72%,570,273,37,12,892
Commissioner of Agriculture,0669,850,738,1,588,3425,46.36%,1147,361,17,23,1548
Commissioner of Agriculture,0670,957,471,1428,2983,47.87%,1123,222,39,15,1399
Commissioner of Agriculture,0671,403,565,968,3037,31.87%,588,319,23,10,940
Commissioner of Agriculture,0672,960,862,1822,5706,31.93%,1219,516,36,18,1789
Commissioner of Agriculture,0673,729,516,1245,2995,41.57%,976,205,22,12,1215
Commissioner of Agriculture,0674,1071,618,1689,4091,41.29%,1241,352,33,23,1649
Commissioner of Agriculture,0675,0,1,1,0,0.00%,1,0,0,0,1
Commissioner of Agriculture,0676,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0677,127,127,254,1266,20.06%,94,147,5,0,246
Commissioner of Agriculture,0678,166,108,274,735,37.28%,174,79,8,4,265
Commissioner of Agriculture,0679,635,520,1155,3381,34.16%,857,240,17,8,1122
Commissioner of Agriculture,0680,21,14,35,162,21.60%,13,19,0,2,34
Commissioner of Agriculture,0681,1,0,1,5,20.00%,1,0,0,0,1
Commissioner of Agriculture,0682,711,654,1365,4216,32.38%,978,312,30,16,1336
Commissioner of Agriculture,0683,29,20,49,276,17.75%,11,32,0,3,46
Commissioner of Agriculture,0684,28,22,50,223,22.42%,24,24,1,0,49
Commissioner of Agriculture,0685,110,29,139,307,45.28%,61,69,1,3,134
Commissioner of Agriculture,0686,17,12,29,208,13.94%,13,14,2,0,29
Commissioner of Agriculture,0687,549,537,1086,2609,41.63%,730,284,23,10,1047
Commissioner of Agriculture,0688,999,617,1616,3504,46.12%,1281,260,23,19,1583
Commissioner of Agriculture,0689,211,387,598,2346,25.49%,296,257,16,16,585
Commissioner of Agriculture,0690,926,1104,2030,5102,39.79%,1616,305,55,13,1989
Commissioner of Agriculture,0691,2,5,7,25,28.00%,3,4,0,0,7
Commissioner of Agriculture,0692,444,548,992,2847,34.84%,752,191,23,8,974
Commissioner of Agriculture,0693,167,91,258,666,38.74%,74,165,10,2,251
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0694,260,120,380,845,44.97%,259,97,6,7,369
Commissioner of Agriculture,0695,232,193,425,1724,24.65%,264,135,10,6,415
Commissioner of Agriculture,0696,261,207,468,1982,23.61%,290,145,13,6,454
Commissioner of Agriculture,0697,605,613,1218,4413,27.60%,304,852,15,20,1191
Commissioner of Agriculture,0698,448,489,937,3189,29.38%,98,798,8,11,915
Commissioner of Agriculture,0699,568,414,982,2343,41.91%,665,246,19,8,938
Commissioner of Agriculture,0700,255,251,506,1371,36.91%,425,59,7,5,496
Commissioner of Agriculture,0701,56,43,99,588,16.84%,61,30,3,1,95
Commissioner of Agriculture,0702,54,70,134,539,24.86%,17,111,2,1,131
Commissioner of Agriculture,0703,372,490,862,1882,45.80%,614,182,22,16,834
Commissioner of Agriculture,0704,569,599,1168,3064,38.12%,943,174,18,5,1140
Commissioner of Agriculture,0705,114,113,227,1523,14.90%,28,187,1,7,223
Commissioner of Agriculture,0706,115,71,186,610,30.49%,95,78,3,7,183
Commissioner of Agriculture,0707,153,86,239,707,33.80%,153,61,9,6,229
Commissioner of Agriculture,0708,54,52,106,563,18.83%,50,45,4,3,102
Commissioner of Agriculture,0709,1375,947,2322,6848,33.91%,1380,828,52,22,2282
Commissioner of Agriculture,0710,371,462,833,2082,40.01%,462,291,29,12,794
Commissioner of Agriculture,0711,703,506,1209,3484,34.70%,731,387,33,20,1171
Commissioner of Agriculture,0712,491,463,954,3670,25.99%,400,500,20,18,938
Commissioner of Agriculture,0713,228,262,490,1907,25.69%,242,214,14,8,478
Commissioner of Agriculture,0714,35,19,55,296,18.58%,34,19,0,0,53
Commissioner of Agriculture,0715,176,187,363,1408,25.78%,205,137,3,3,348
Commissioner of Agriculture,0716,449,407,856,2680,31.94%,590,227,22,7,846
Commissioner of Agriculture,0717,373,250,623,2002,31.12%,77,524,5,5,611
Commissioner of Agriculture,0718,1017,806,1823,4229,43.11%,1285,412,47,19,1763
Commissioner of Agriculture,0719,247,137,384,1589,24.17%,229,134,9,4,376
Commissioner of Agriculture,0720,995,780,1775,4282,41.45%,1312,369,40,16,1737
Commissioner of Agriculture,0721,754,532,1286,2870,44.81%,856,340,31,22,1249
Commissioner of Agriculture,0722,873,494,1367,4479,30.52%,91,1210,10,20,1331
Commissioner of Agriculture,0723,401,202,603,1858,32.45%,129,447,3,7,586
Commissioner of Agriculture,0724,151,128,279,766,36.42%,217,45,3,7,272
Commissioner of Agriculture,0725,423,237,660,2237,29.50%,302,330,6,7,645
Commissioner of Agriculture,0726,592,402,994,2087,47.63%,859,102,16,5,982
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0727,338,290,628,2488,25.24%,197,377,19,11,604
Commissioner of Agriculture,0728,209,151,360,880,40.91%,223,112,7,7,349
Commissioner of Agriculture,0729,136,59,195,464,42.03%,120,71,2,0,193
Commissioner of Agriculture,0730,428,359,787,1747,45.05%,512,212,16,11,751
Commissioner of Agriculture,0731,58,27,85,352,24.15%,23,58,1,1,83
Commissioner of Agriculture,0732,441,324,765,1924,39.76%,473,230,27,14,744
Commissioner of Agriculture,0733,13,7,20,215,9.30%,7,11,1,0,19
Commissioner of Agriculture,0734,1558,962,2520,7005,35.97%,1713,686,56,26,2481
Commissioner of Agriculture,0735,6,0,8,18,33.33%,6,0,0,0,6
Commissioner of Agriculture,0736,3,1,4,22,18.18%,0,3,0,1,4
Commissioner of Agriculture,0737,11,7,18,51,35.29%,13,5,0,0,18
Commissioner of Agriculture,0738,139,100,239,1361,17.56%,43,183,2,2,230
Commissioner of Agriculture,0739,353,301,654,2955,22.13%,333,280,15,8,636
Commissioner of Agriculture,0740,96,98,194,939,20.66%,123,57,3,6,189
Commissioner of Agriculture,0741,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of Agriculture,0742,0,11,11,0,0.00%,6,5,0,0,11
Commissioner of Agriculture,0743,15,18,33,210,15.71%,15,13,1,1,30
Commissioner of Agriculture,0744,456,392,848,2027,41.84%,546,241,26,10,823
Commissioner of Agriculture,0745,683,372,1055,2494,42.30%,650,333,32,16,1031
Commissioner of Agriculture,0746,114,77,191,691,27.64%,90,85,5,8,188
Commissioner of Agriculture,0747,551,467,1018,3743,27.20%,465,460,40,27,992
Commissioner of Agriculture,0748,172,140,312,1403,22.24%,150,132,15,6,303
Commissioner of Agriculture,0749,30,17,47,377,12.47%,8,37,0,0,45
Commissioner of Agriculture,0750,111,96,207,767,26.99%,124,68,7,4,203
Commissioner of Agriculture,0751,925,964,1889,5084,37.16%,1231,523,62,29,1845
Commissioner of Agriculture,0752,286,200,486,1483,32.77%,358,94,15,6,473
Commissioner of Agriculture,0753,55,73,128,259,49.42%,81,37,5,0,123
Commissioner of Agriculture,0754,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0755,442,584,1026,4294,23.89%,428,532,20,15,995
Commissioner of Agriculture,0756,251,177,428,1600,26.75%,166,243,6,1,416
Commissioner of Agriculture,0757,520,508,1028,4035,25.48%,173,804,7,19,1003
Commissioner of Agriculture,0758,1114,692,1806,4096,44.09%,1423,282,47,18,1770
Commissioner of Agriculture,0759,465,413,878,2730,32.16%,553,273,21,10,857
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0760,1432,639,2071,4367,47.42%,1738,240,33,10,2021
Commissioner of Agriculture,0761,548,253,801,1550,51.68%,556,197,16,6,775
Commissioner of Agriculture,0762,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0763,108,146,254,1212,20.96%,97,135,11,2,245
Commissioner of Agriculture,0764,1133,774,1907,5217,36.55%,1186,629,34,19,1868
Commissioner of Agriculture,0765,648,426,1074,4055,26.49%,438,557,32,17,1044
Commissioner of Agriculture,0766,40,25,65,392,16.58%,16,44,1,2,63
Commissioner of Agriculture,0767,10,2,12,86,13.95%,6,5,1,0,12
Commissioner of Agriculture,0768,1359,1015,2374,5857,40.53%,1908,347,51,28,2334
Commissioner of Agriculture,0769,54,16,70,183,38.25%,3,64,0,1,68
Commissioner of Agriculture,0770,31,25,56,323,17.34%,24,27,3,2,56
Commissioner of Agriculture,0771,324,254,578,2426,23.83%,324,202,20,12,558
Commissioner of Agriculture,0772,1792,851,2643,5709,46.30%,2012,487,55,23,2577
Commissioner of Agriculture,0773,473,312,785,2918,26.90%,214,499,8,15,736
Commissioner of Agriculture,0774,30,41,71,378,18.78%,15,49,4,1,69
Commissioner of Agriculture,0775,18,3,21,92,22.83%,0,20,0,0,20
Commissioner of Agriculture,0776,551,496,1047,3053,34.29%,603,370,30,15,1018
Commissioner of Agriculture,0777,46,40,86,652,13.19%,29,53,1,1,84
Commissioner of Agriculture,0778,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0779,64,51,115,940,12.23%,41,68,2,0,111
Commissioner of Agriculture,0780,63,59,122,595,20.50%,72,46,0,3,121
Commissioner of Agriculture,0781,666,273,939,3603,26.06%,407,418,24,15,864
Commissioner of Agriculture,0782,368,370,738,2236,33.01%,454,243,21,11,729
Commissioner of Agriculture,0783,49,13,62,294,21.09%,45,14,1,1,61
Commissioner of Agriculture,0784,208,128,336,1079,31.14%,6,315,3,0,324
Commissioner of Agriculture,0785,28,25,53,296,17.91%,25,25,3,0,53
Commissioner of Agriculture,0786,100,98,198,1251,15.83%,71,115,5,2,193
Commissioner of Agriculture,0787,46,52,98,488,20.08%,34,61,0,0,95
Commissioner of Agriculture,0788,74,32,106,454,23.35%,47,51,4,3,105
Commissioner of Agriculture,0789,0,3,3,3,100.00%,1,2,0,0,3
Commissioner of Agriculture,0790,0,0,0,3,0.00%,0,0,0,0,0
Commissioner of Agriculture,0791,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0792,269,239,508,1865,27.24%,124,355,5,4,488
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0793,448,247,695,2484,27.98%,402,247,19,11,679
Commissioner of Agriculture,0794,124,144,268,2710,9.89%,26,223,4,6,259
Commissioner of Agriculture,0795,90,125,215,1217,17.67%,79,122,3,4,208
Commissioner of Agriculture,0796,83,51,134,476,28.15%,77,49,2,1,129
Commissioner of Agriculture,0797,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0798,99,111,210,500,42.00%,71,109,7,16,203
Commissioner of Agriculture,0799,28,15,43,161,26.71%,8,35,0,0,43
Commissioner of Agriculture,0800,588,642,1230,2932,41.95%,827,327,24,13,1191
Commissioner of Agriculture,0801,32,14,46,258,17.83%,13,28,2,2,45
Commissioner of Agriculture,0802,51,27,78,312,25.00%,15,51,3,7,76
Commissioner of Agriculture,0803,725,511,1236,2893,42.72%,906,273,23,12,1214
Commissioner of Agriculture,0804,933,591,1524,4768,31.96%,952,484,39,20,1495
Commissioner of Agriculture,0805,765,533,1298,2866,45.29%,1034,192,33,9,1268
Commissioner of Agriculture,0806,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0807,211,204,415,2028,20.46%,93,291,12,11,407
Commissioner of Agriculture,0808,12,17,29,131,22.14%,9,17,0,2,28
Commissioner of Agriculture,0809,7,6,13,92,14.13%,5,6,0,0,11
Commissioner of Agriculture,0810,9,16,25,211,11.85%,7,16,0,1,24
Commissioner of Agriculture,0811,29,50,79,270,29.26%,26,48,1,1,76
Commissioner of Agriculture,0812,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0813,938,761,1699,5807,29.26%,818,782,48,17,1665
Commissioner of Agriculture,0814,673,533,1206,5102,23.64%,298,834,22,23,1177
Commissioner of Agriculture,0815,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0816,10,0,10,73,13.70%,2,7,1,0,10
Commissioner of Agriculture,0817,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0818,86,39,125,616,20.29%,29,92,1,1,123
Commissioner of Agriculture,0819,64,30,94,240,39.17%,52,33,2,1,88
Commissioner of Agriculture,0820,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0821,124,120,244,1242,19.65%,31,198,3,4,236
Commissioner of Agriculture,0822,332,167,499,1535,32.51%,15,473,1,2,491
Commissioner of Agriculture,0823,821,564,1385,5087,27.23%,782,526,31,19,1358
Commissioner of Agriculture,0824,428,282,710,2700,26.30%,151,518,11,12,692
Commissioner of Agriculture,0825,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0826,73,50,123,358,34.36%,69,46,0,3,118
Commissioner of Agriculture,0827,60,98,158,979,16.14%,68,77,5,4,154
Commissioner of Agriculture,0828,541,388,929,1916,48.49%,741,130,30,5,906
Commissioner of Agriculture,0829,54,22,76,264,28.79%,19,54,0,1,74
Commissioner of Agriculture,0830,0,0,0,2,0.00%,0,0,0,0,0
Commissioner of Agriculture,0831,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0832,34,28,62,352,17.61%,17,40,1,2,60
Commissioner of Agriculture,0833,0,1,1,20,5.00%,0,1,0,0,1
Commissioner of Agriculture,0834,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0835,38,19,57,290,19.66%,13,36,2,1,52
Commissioner of Agriculture,0836,3,0,3,19,15.79%,1,2,0,0,3
Commissioner of Agriculture,0837,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0838,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0839,136,118,254,1128,22.52%,46,182,11,8,247
Commissioner of Agriculture,0840,381,174,555,1705,32.55%,196,340,4,5,545
Commissioner of Agriculture,0841,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0842,421,434,855,3259,26.24%,383,421,10,14,828
Commissioner of Agriculture,0843,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of Agriculture,0844,1,0,1,11,9.09%,0,1,0,0,1
Commissioner of Agriculture,0845,54,9,63,134,47.01%,40,20,0,1,61
Commissioner of Agriculture,0846,23,24,47,229,20.52%,2,43,2,0,47
Commissioner of Agriculture,0847,306,211,517,2015,25.66%,138,356,10,6,510
Commissioner of Agriculture,0848,489,266,755,1856,40.68%,225,486,13,12,736
Commissioner of Agriculture,0849,201,291,492,2124,23.16%,179,275,13,11,478
Commissioner of Agriculture,0850,45,41,87,210,41.43%,31,52,1,2,86
Commissioner of Agriculture,0851,1029,657,1686,4709,35.80%,1107,467,48,23,1645
Commissioner of Agriculture,0852,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of Agriculture,0853,575,620,1296,2882,44.97%,989,237,22,11,1259
Commissioner of Agriculture,0854,15,26,41,172,23.84%,5,32,2,0,39
Commissioner of Agriculture,0855,5,9,14,16,87.50%,4,7,0,2,13
Commissioner of Agriculture,0856,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of Agriculture,0857,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of Agriculture,0858,63,34,97,343,28.28%,3,91,1,0,95
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0859,157,106,263,890,29.55%,68,186,5,2,261
Commissioner of Agriculture,0860,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0861,315,199,514,1842,27.90%,85,409,2,8,504
Commissioner of Agriculture,0862,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0863,101,54,155,584,26.54%,7,145,1,1,154
Commissioner of Agriculture,0864,193,299,492,2569,19.15%,129,325,12,8,474
Commissioner of Agriculture,0865,2,3,5,21,23.81%,0,5,0,0,5
Commissioner of Agriculture,0866,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0867,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0868,236,271,507,2326,21.80%,159,321,7,4,491
Commissioner of Agriculture,0869,53,39,92,470,19.57%,23,62,2,2,89
Commissioner of Agriculture,0870,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0871,1,0,1,3,33.33%,0,1,0,0,1
Commissioner of Agriculture,0872,5,3,8,59,13.56%,4,4,0,0,8
Commissioner of Agriculture,0873,98,75,173,737,23.47%,43,123,5,0,171
Commissioner of Agriculture,0874,764,707,1471,3223,45.64%,1100,297,27,13,1437
Commissioner of Agriculture,0875,905,527,1432,5147,27.82%,678,664,37,18,1397
Commissioner of Agriculture,0876,698,641,1339,3265,41.01%,1015,272,22,9,1318
Commissioner of Agriculture,0877,476,382,858,3032,28.30%,337,476,19,11,843
Commissioner of Agriculture,0878,428,354,782,1666,46.94%,643,96,22,7,768
Commissioner of Agriculture,0879,407,294,701,2667,26.28%,343,309,21,10,683
Commissioner of Agriculture,0880,543,447,990,2352,42.09%,798,147,13,11,969
Commissioner of Agriculture,0881,596,540,1136,4479,25.36%,385,692,25,19,1121
Commissioner of Agriculture,0882,426,291,717,2422,29.60%,415,253,20,11,699
Commissioner of Agriculture,0883,643,702,1345,5408,24.87%,234,1047,19,19,1319
Commissioner of Agriculture,0884,57,25,82,377,21.75%,7,70,1,1,79
Commissioner of Agriculture,0885,562,368,930,2619,35.51%,533,364,21,2,920
Commissioner of Agriculture,0886,128,108,236,675,34.96%,126,86,6,3,221
Commissioner of Agriculture,0887,51,67,118,418,28.23%,56,44,9,4,113
Commissioner of Agriculture,0888,0,3,3,0,0.00%,2,1,0,0,3
Commissioner of Agriculture,0889,14,0,14,57,24.56%,5,8,0,0,13
Commissioner of Agriculture,0890,164,103,267,1095,24.38%,90,147,9,11,257
Commissioner of Agriculture,0891,319,243,562,1331,42.22%,207,309,11,11,538
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0892,115,86,201,808,24.88%,69,108,12,7,196
Commissioner of Agriculture,0893,0,2,2,6,33.33%,0,2,0,0,2
Commissioner of Agriculture,0894,0,3,3,0,0.00%,2,1,0,0,3
Commissioner of Agriculture,0895,156,286,442,793,55.74%,174,216,12,9,411
Commissioner of Agriculture,0896,370,297,667,1459,45.72%,251,350,21,15,637
Commissioner of Agriculture,0897,253,297,550,1701,32.33%,303,210,20,7,540
Commissioner of Agriculture,0898,0,0,0,3,0.00%,0,0,0,0,0
Commissioner of Agriculture,0899,2,0,2,8,25.00%,0,2,0,0,2
Commissioner of Agriculture,0900,0,2,2,10,20.00%,1,1,0,0,2
Commissioner of Agriculture,0901,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0902,396,486,882,2139,41.23%,471,329,23,19,842
Commissioner of Agriculture,0903,3,7,10,50,20.00%,2,5,2,0,9
Commissioner of Agriculture,0904,1,0,1,7,14.29%,1,0,0,0,1
Commissioner of Agriculture,0905,123,100,223,904,24.67%,96,111,4,2,213
Commissioner of Agriculture,0906,8,6,14,25,56.00%,9,5,0,0,14
Commissioner of Agriculture,0907,12,19,31,181,17.13%,6,24,0,1,31
Commissioner of Agriculture,0908,0,1,1,0,0.00%,0,1,0,0,1
Commissioner of Agriculture,0909,2,1,3,18,16.67%,0,3,0,0,3
Commissioner of Agriculture,0910,25,24,49,217,22.58%,19,23,0,3,45
Commissioner of Agriculture,0911,118,60,178,551,32.30%,122,47,2,4,175
Commissioner of Agriculture,0912,316,201,517,1273,40.61%,328,153,15,4,500
Commissioner of Agriculture,0913,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0914,169,179,348,701,49.64%,273,54,13,0,340
Commissioner of Agriculture,0915,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0916,417,240,657,1491,44.06%,519,107,9,7,642
Commissioner of Agriculture,0917,177,62,239,483,49.48%,162,60,11,0,233
Commissioner of Agriculture,0918,304,168,472,883,53.45%,366,82,5,6,459
Commissioner of Agriculture,0919,0,0,0,3,0.00%,0,0,0,0,0
Commissioner of Agriculture,0920,22,12,34,71,47.89%,23,9,1,0,33
Commissioner of Agriculture,0921,32,15,47,119,39.50%,33,12,1,0,46
Commissioner of Agriculture,0922,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0923,470,137,607,1511,40.17%,458,129,5,5,597
Commissioner of Agriculture,0924,0,0,0,0,0.00%,0,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0925,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0926,171,128,299,796,37.56%,216,65,7,4,292
Commissioner of Agriculture,0927,44,30,74,270,27.41%,30,37,2,1,70
Commissioner of Agriculture,0928,3,0,3,8,37.50%,0,3,0,0,3
Commissioner of Agriculture,0929,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0930,109,54,163,584,27.91%,6,156,0,0,162
Commissioner of Agriculture,0931,30,40,70,130,53.85%,36,26,2,1,65
Commissioner of Agriculture,0932,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0933,115,85,200,627,31.90%,51,130,4,11,196
Commissioner of Agriculture,0934,2,0,2,63,3.17%,1,1,0,0,2
Commissioner of Agriculture,0935,3,2,5,54,9.26%,1,1,0,2,4
Commissioner of Agriculture,0936,8,2,10,81,12.35%,3,6,0,0,9
Commissioner of Agriculture,0937,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0938,30,14,44,231,19.05%,14,28,1,0,43
Commissioner of Agriculture,0939,0,0,0,2,0.00%,0,0,0,0,0
Commissioner of Agriculture,0940,0,0,0,10,0.00%,0,0,0,0,0
Commissioner of Agriculture,0941,9,10,19,25,76.00%,19,0,0,0,19
Commissioner of Agriculture,0942,53,27,80,156,51.28%,61,11,4,3,79
Commissioner of Agriculture,0943,166,80,246,547,44.97%,175,59,1,2,237
Commissioner of Agriculture,0944,20,4,24,45,53.33%,20,0,0,0,20
Commissioner of Agriculture,0945,1,2,3,17,17.65%,1,2,0,0,3
Commissioner of Agriculture,0946,0,1,1,13,7.69%,0,1,0,0,1
Commissioner of Agriculture,0947,177,246,423,799,52.94%,217,169,16,12,414
Commissioner of Agriculture,0948,0,14,14,1,1400.00%,8,3,0,0,11
Commissioner of Agriculture,0949,34,27,61,193,31.61%,30,28,1,2,61
Commissioner of Agriculture,0950,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of Agriculture,0951,33,30,63,277,22.74%,16,45,0,1,62
Commissioner of Agriculture,0952,18,15,33,71,46.48%,17,11,2,3,33
Commissioner of Agriculture,0953,18,9,27,275,9.82%,4,22,1,0,27
Commissioner of Agriculture,0954,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of Agriculture,0955,3,2,5,19,26.32%,4,1,0,0,5
Commissioner of Agriculture,0956,2,4,6,11,54.55%,2,4,0,0,6
Commissioner of Agriculture,0957,97,95,192,562,34.16%,18,166,3,5,192
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0958,81,129,210,1081,19.43%,47,151,4,4,206
Commissioner of Agriculture,0959,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0960,196,157,353,976,36.17%,67,264,11,5,347
Commissioner of Agriculture,0961,16,0,16,56,28.57%,0,15,1,0,16
Commissioner of Agriculture,0962,10,17,27,88,30.68%,4,19,3,1,27
Commissioner of Agriculture,0963,64,41,105,426,24.65%,57,41,0,4,102
Commissioner of Agriculture,0964,568,437,1005,2372,42.37%,618,347,12,8,985
Commissioner of Agriculture,0965,31,21,52,343,15.16%,26,22,1,3,52
Commissioner of Agriculture,0966,129,83,212,1148,18.47%,72,128,5,1,206
Commissioner of Agriculture,0967,15,48,63,165,38.18%,19,41,2,0,62
Commissioner of Agriculture,0968,119,30,149,692,21.53%,28,117,1,2,148
Commissioner of Agriculture,0969,156,73,229,604,37.91%,2,220,3,2,227
Commissioner of Agriculture,0970,83,36,119,731,16.28%,16,98,0,3,117
Commissioner of Agriculture,0971,11,8,19,147,12.93%,2,14,0,1,17
Commissioner of Agriculture,0972,6,8,14,31,45.16%,13,1,0,0,14
Commissioner of Agriculture,0973,24,19,43,111,38.74%,19,19,0,2,40
Commissioner of Agriculture,0974,57,36,93,299,31.10%,57,31,2,1,91
Commissioner of Agriculture,0975,55,30,85,193,44.04%,41,39,1,0,81
