Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0674,1071,618,1689,4091,41.29%,1256,369,1625
"District Judge, 247th Judicial District",0675,0,1,1,0,0.00%,1,0,1
"District Judge, 247th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0677,127,127,254,1266,20.06%,91,148,239
"District Judge, 247th Judicial District",0678,166,108,274,735,37.28%,177,78,255
"District Judge, 247th Judicial District",0679,635,520,1155,3381,34.16%,872,231,1103
"District Judge, 247th Judicial District",0680,21,14,35,162,21.60%,13,22,35
"District Judge, 247th Judicial District",0681,1,0,1,5,20.00%,1,0,1
"District Judge, 247th Judicial District",0682,711,654,1365,4216,32.38%,1013,307,1320
"District Judge, 247th Judicial District",0683,29,20,49,276,17.75%,8,37,45
"District Judge, 247th Judicial District",0684,27,22,49,223,21.97%,25,22,47
"District Judge, 247th Judicial District",0685,110,29,139,307,45.28%,64,66,130
"District Judge, 247th Judicial District",0686,17,12,29,208,13.94%,11,17,28
"District Judge, 247th Judicial District",0687,549,537,1086,2609,41.63%,724,294,1018
"District Judge, 247th Judicial District",0688,999,617,1616,3504,46.12%,1284,269,1553
"District Judge, 247th Judicial District",0689,211,387,598,2346,25.49%,305,264,569
"District Judge, 247th Judicial District",0690,926,1104,2030,5102,39.79%,1649,314,1963
"District Judge, 247th Judicial District",0691,2,5,7,25,28.00%,4,3,7
"District Judge, 247th Judicial District",0692,444,548,992,2847,34.84%,734,220,954
"District Judge, 247th Judicial District",0693,167,91,258,666,38.74%,72,176,248
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0694,260,120,380,845,44.97%,250,106,356
"District Judge, 247th Judicial District",0695,232,193,425,1724,24.65%,275,136,411
"District Judge, 247th Judicial District",0696,261,207,468,1982,23.61%,304,148,452
"District Judge, 247th Judicial District",0697,605,613,1218,4413,27.60%,312,864,1176
"District Judge, 247th Judicial District",0698,448,489,937,3189,29.38%,97,814,911
"District Judge, 247th Judicial District",0699,568,414,982,2343,41.91%,631,293,924
"District Judge, 247th Judicial District",0700,255,251,506,1371,36.91%,427,60,487
"District Judge, 247th Judicial District",0701,56,43,99,588,16.84%,63,30,93
"District Judge, 247th Judicial District",0702,54,70,134,539,24.86%,18,114,132
"District Judge, 247th Judicial District",0703,372,490,862,1882,45.80%,615,208,823
"District Judge, 247th Judicial District",0704,569,599,1168,3064,38.12%,950,175,1125
"District Judge, 247th Judicial District",0705,114,113,227,1523,14.90%,30,190,220
"District Judge, 247th Judicial District",0706,115,71,186,610,30.49%,90,83,173
"District Judge, 247th Judicial District",0707,153,86,239,707,33.80%,146,78,224
"District Judge, 247th Judicial District",0708,54,52,106,563,18.83%,52,48,100
"District Judge, 247th Judicial District",0709,1375,947,2322,6848,33.91%,1409,846,2255
"District Judge, 247th Judicial District",0710,371,462,833,2082,40.01%,445,327,772
"District Judge, 247th Judicial District",0711,702,506,1208,3484,34.67%,720,418,1138
"District Judge, 247th Judicial District",0712,491,463,954,3670,25.99%,412,520,932
"District Judge, 247th Judicial District",0713,228,262,490,1907,25.69%,247,219,466
"District Judge, 247th Judicial District",0714,35,19,55,296,18.58%,35,17,52
"District Judge, 247th Judicial District",0715,176,187,363,1408,25.78%,204,141,345
"District Judge, 247th Judicial District",0716,449,407,856,2680,31.94%,603,230,833
"District Judge, 247th Judicial District",0717,373,250,623,2002,31.12%,74,535,609
"District Judge, 247th Judicial District",0718,1017,806,1823,4229,43.11%,1263,461,1724
"District Judge, 247th Judicial District",0719,247,137,384,1589,24.17%,235,133,368
"District Judge, 247th Judicial District",0720,994,780,1774,4282,41.43%,1320,395,1715
"District Judge, 247th Judicial District",0721,754,532,1286,2870,44.81%,837,386,1223
"District Judge, 247th Judicial District",0722,871,494,1365,4479,30.48%,98,1227,1325
"District Judge, 247th Judicial District",0723,401,202,603,1858,32.45%,130,453,583
"District Judge, 247th Judicial District",0724,151,128,279,766,36.42%,203,60,263
"District Judge, 247th Judicial District",0725,423,237,660,2237,29.50%,309,328,637
"District Judge, 247th Judicial District",0726,592,402,994,2087,47.63%,869,103,972
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0727,338,290,628,2488,25.24%,202,391,593
"District Judge, 247th Judicial District",0728,209,151,360,880,40.91%,214,127,341
"District Judge, 247th Judicial District",0729,136,59,195,464,42.03%,123,69,192
"District Judge, 247th Judicial District",0730,428,359,787,1747,45.05%,495,247,742
"District Judge, 247th Judicial District",0731,58,27,85,352,24.15%,24,59,83
"District Judge, 247th Judicial District",0732,441,324,765,1924,39.76%,478,246,724
"District Judge, 247th Judicial District",0733,13,7,20,215,9.30%,7,11,18
"District Judge, 247th Judicial District",0734,1558,962,2520,7005,35.97%,1727,720,2447
"District Judge, 247th Judicial District",0735,8,0,6,18,33.33%,6,0,6
"District Judge, 247th Judicial District",0736,3,1,4,22,18.18%,0,3,3
"District Judge, 247th Judicial District",0737,11,7,18,51,35.29%,14,4,18
"District Judge, 247th Judicial District",0738,139,100,239,1361,17.56%,47,185,232
"District Judge, 247th Judicial District",0739,353,301,654,2955,22.13%,337,290,627
"District Judge, 247th Judicial District",0740,96,98,194,939,20.66%,128,57,185
"District Judge, 247th Judicial District",0741,0,1,1,0,0.00%,0,1,1
"District Judge, 247th Judicial District",0742,0,11,11,0,0.00%,6,5,11
"District Judge, 247th Judicial District",0743,15,18,33,210,15.71%,20,11,31
"District Judge, 247th Judicial District",0744,456,392,848,2027,41.84%,539,265,804
"District Judge, 247th Judicial District",0745,683,372,1055,2494,42.30%,641,358,999
"District Judge, 247th Judicial District",0746,114,77,191,691,27.64%,94,94,188
"District Judge, 247th Judicial District",0747,550,467,1017,3743,27.17%,501,483,984
"District Judge, 247th Judicial District",0748,170,140,310,1403,22.10%,161,139,300
"District Judge, 247th Judicial District",0749,30,17,47,377,12.47%,8,37,45
"District Judge, 247th Judicial District",0750,111,96,207,767,26.99%,125,78,203
"District Judge, 247th Judicial District",0751,925,964,1889,5084,37.16%,1246,565,1811
"District Judge, 247th Judicial District",0752,286,200,486,1483,32.77%,367,99,466
"District Judge, 247th Judicial District",0753,55,73,128,259,49.42%,79,43,122
"District Judge, 247th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0755,442,584,1026,4294,23.89%,448,533,981
"District Judge, 247th Judicial District",0756,251,177,428,1600,26.75%,168,243,411
"District Judge, 247th Judicial District",0757,520,508,1028,4035,25.48%,180,813,993
"District Judge, 247th Judicial District",0758,1114,692,1806,4096,44.09%,1443,304,1747
"District Judge, 247th Judicial District",0759,465,413,878,2730,32.16%,558,288,846
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0760,1432,639,2071,4367,47.42%,1697,290,1987
"District Judge, 247th Judicial District",0761,548,253,801,1550,51.68%,539,205,744
"District Judge, 247th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0763,108,146,254,1212,20.96%,101,139,240
"District Judge, 247th Judicial District",0764,1133,774,1907,5217,36.55%,1208,643,1851
"District Judge, 247th Judicial District",0765,647,426,1073,4055,26.46%,439,578,1017
"District Judge, 247th Judicial District",0766,40,25,65,392,16.58%,17,40,57
"District Judge, 247th Judicial District",0767,10,2,12,86,13.95%,6,6,12
"District Judge, 247th Judicial District",0768,1359,1015,2374,5857,40.53%,1930,376,2306
"District Judge, 247th Judicial District",0769,54,16,70,183,38.25%,3,66,69
"District Judge, 247th Judicial District",0770,31,25,56,323,17.34%,27,27,54
"District Judge, 247th Judicial District",0771,324,254,578,2426,23.83%,336,223,559
"District Judge, 247th Judicial District",0772,1792,851,2643,5709,46.30%,2001,521,2522
"District Judge, 247th Judicial District",0773,473,312,785,2918,26.90%,215,505,720
"District Judge, 247th Judicial District",0774,30,41,71,378,18.78%,15,54,69
"District Judge, 247th Judicial District",0775,18,3,21,92,22.83%,0,21,21
"District Judge, 247th Judicial District",0776,551,496,1047,3053,34.29%,611,388,999
"District Judge, 247th Judicial District",0777,46,40,86,652,13.19%,31,51,82
"District Judge, 247th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0779,64,51,115,940,12.23%,42,68,110
"District Judge, 247th Judicial District",0780,63,59,122,595,20.50%,70,49,119
"District Judge, 247th Judicial District",0781,666,273,939,3603,26.06%,429,412,841
"District Judge, 247th Judicial District",0782,368,370,738,2236,33.01%,467,251,718
"District Judge, 247th Judicial District",0783,49,13,62,294,21.09%,45,15,60
"District Judge, 247th Judicial District",0784,208,128,336,1079,31.14%,9,314,323
"District Judge, 247th Judicial District",0785,28,25,53,296,17.91%,28,25,53
"District Judge, 247th Judicial District",0786,100,98,198,1251,15.83%,75,118,193
"District Judge, 247th Judicial District",0787,46,52,98,488,20.08%,32,62,94
"District Judge, 247th Judicial District",0788,74,32,106,454,23.35%,51,52,103
"District Judge, 247th Judicial District",0789,0,3,3,3,100.00%,0,3,3
"District Judge, 247th Judicial District",0790,0,0,0,3,0.00%,0,0,0
"District Judge, 247th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0792,269,239,508,1865,27.24%,127,356,483
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0793,448,247,695,2484,27.98%,413,255,668
"District Judge, 247th Judicial District",0794,124,144,268,2710,9.89%,36,227,263
"District Judge, 247th Judicial District",0795,90,125,215,1217,17.67%,77,126,203
"District Judge, 247th Judicial District",0796,83,51,134,476,28.15%,73,57,130
"District Judge, 247th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0798,99,111,210,500,42.00%,84,115,199
"District Judge, 247th Judicial District",0799,28,15,43,161,26.71%,7,35,42
"District Judge, 247th Judicial District",0800,588,642,1230,2932,41.95%,830,333,1163
"District Judge, 247th Judicial District",0801,32,14,46,258,17.83%,16,26,42
"District Judge, 247th Judicial District",0802,51,27,78,312,25.00%,17,60,77
"District Judge, 247th Judicial District",0803,725,511,1236,2893,42.72%,905,291,1196
"District Judge, 247th Judicial District",0804,932,591,1523,4768,31.94%,968,508,1476
"District Judge, 247th Judicial District",0805,765,533,1298,2866,45.29%,1039,216,1255
"District Judge, 247th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0807,211,204,415,2028,20.46%,95,304,399
"District Judge, 247th Judicial District",0808,12,17,29,131,22.14%,7,21,28
"District Judge, 247th Judicial District",0809,7,6,13,92,14.13%,5,6,11
"District Judge, 247th Judicial District",0810,9,16,25,211,11.85%,8,16,24
"District Judge, 247th Judicial District",0811,29,50,79,270,29.26%,26,51,77
"District Judge, 247th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0813,938,761,1699,5807,29.26%,847,798,1645
"District Judge, 247th Judicial District",0814,673,533,1206,5102,23.64%,314,857,1171
"District Judge, 247th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0816,10,0,10,73,13.70%,3,7,10
"District Judge, 247th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0818,86,39,125,616,20.29%,27,92,119
"District Judge, 247th Judicial District",0819,64,30,94,240,39.17%,50,34,84
"District Judge, 247th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0821,124,120,244,1242,19.65%,33,202,235
"District Judge, 247th Judicial District",0822,332,167,499,1535,32.51%,16,469,485
"District Judge, 247th Judicial District",0823,821,564,1385,5087,27.23%,788,550,1338
"District Judge, 247th Judicial District",0824,428,282,710,2700,26.30%,161,527,688
"District Judge, 247th Judicial District",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0826,73,50,123,358,34.36%,54,59,113
"District Judge, 247th Judicial District",0827,60,98,158,979,16.14%,68,84,152
"District Judge, 247th Judicial District",0828,541,388,929,1916,48.49%,734,153,887
"District Judge, 247th Judicial District",0829,54,22,76,264,28.79%,18,57,75
"District Judge, 247th Judicial District",0830,0,0,0,2,0.00%,0,0,0
"District Judge, 247th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0832,34,28,62,352,17.61%,19,39,58
"District Judge, 247th Judicial District",0833,0,1,1,20,5.00%,0,1,1
"District Judge, 247th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0835,38,19,57,290,19.66%,13,38,51
"District Judge, 247th Judicial District",0836,3,0,3,19,15.79%,0,3,3
"District Judge, 247th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0839,136,118,254,1128,22.52%,54,187,241
"District Judge, 247th Judicial District",0840,381,174,555,1705,32.55%,195,346,541
"District Judge, 247th Judicial District",0841,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0842,421,434,855,3259,26.24%,390,431,821
"District Judge, 247th Judicial District",0843,0,1,1,0,0.00%,0,1,1
"District Judge, 247th Judicial District",0844,1,0,1,11,9.09%,0,1,1
"District Judge, 247th Judicial District",0845,54,9,63,134,47.01%,39,21,60
"District Judge, 247th Judicial District",0846,23,24,47,229,20.52%,3,42,45
"District Judge, 247th Judicial District",0847,305,211,516,2015,25.61%,141,360,501
"District Judge, 247th Judicial District",0848,489,266,755,1856,40.68%,219,500,719
"District Judge, 247th Judicial District",0849,201,291,492,2124,23.16%,196,274,470
"District Judge, 247th Judicial District",0850,45,41,87,210,41.43%,32,53,85
"District Judge, 247th Judicial District",0851,1029,657,1686,4709,35.80%,1129,493,1622
"District Judge, 247th Judicial District",0852,0,0,0,1,0.00%,0,0,0
"District Judge, 247th Judicial District",0853,575,620,1296,2882,44.97%,991,247,1238
"District Judge, 247th Judicial District",0854,15,26,41,172,23.84%,7,32,39
"District Judge, 247th Judicial District",0855,5,9,14,16,87.50%,5,8,13
"District Judge, 247th Judicial District",0856,0,1,1,0,0.00%,0,1,1
"District Judge, 247th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 247th Judicial District",0858,63,34,97,343,28.28%,3,91,94
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0859,157,106,263,890,29.55%,69,188,257
"District Judge, 247th Judicial District",0860,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0861,315,199,514,1842,27.90%,85,419,504
"District Judge, 247th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0863,101,54,155,584,26.54%,7,147,154
"District Judge, 247th Judicial District",0864,193,299,492,2569,19.15%,140,328,468
"District Judge, 247th Judicial District",0865,2,3,5,21,23.81%,0,5,5
"District Judge, 247th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0868,236,271,507,2326,21.80%,164,321,485
"District Judge, 247th Judicial District",0869,53,39,92,470,19.57%,21,69,90
"District Judge, 247th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0871,1,0,1,3,33.33%,0,1,1
"District Judge, 247th Judicial District",0872,5,3,8,59,13.56%,4,4,8
"District Judge, 247th Judicial District",0873,98,75,173,737,23.47%,45,123,168
"District Judge, 247th Judicial District",0874,763,707,1470,3223,45.61%,1093,319,1412
"District Judge, 247th Judicial District",0875,904,527,1431,5147,27.80%,691,691,1382
"District Judge, 247th Judicial District",0876,698,641,1339,3265,41.01%,1018,281,1299
"District Judge, 247th Judicial District",0877,476,382,858,3032,28.30%,348,490,838
"District Judge, 247th Judicial District",0878,427,354,781,1666,46.88%,649,113,762
"District Judge, 247th Judicial District",0879,407,294,701,2667,26.28%,363,304,667
"District Judge, 247th Judicial District",0880,543,447,990,2352,42.09%,787,167,954
"District Judge, 247th Judicial District",0881,593,540,1133,4479,25.30%,397,706,1103
"District Judge, 247th Judicial District",0882,426,291,717,2422,29.60%,432,260,692
"District Judge, 247th Judicial District",0883,643,702,1345,5408,24.87%,239,1063,1302
"District Judge, 247th Judicial District",0884,57,25,82,377,21.75%,9,70,79
"District Judge, 247th Judicial District",0885,562,368,930,2619,35.51%,544,365,909
"District Judge, 247th Judicial District",0886,128,108,236,675,34.96%,124,100,224
"District Judge, 247th Judicial District",0887,50,67,117,418,27.99%,52,57,109
"District Judge, 247th Judicial District",0888,0,3,3,0,0.00%,2,1,3
"District Judge, 247th Judicial District",0889,14,0,14,57,24.56%,5,8,13
"District Judge, 247th Judicial District",0890,164,103,267,1095,24.38%,79,166,245
"District Judge, 247th Judicial District",0891,317,243,560,1331,42.07%,196,325,521
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0892,115,86,201,808,24.88%,68,121,189
"District Judge, 247th Judicial District",0893,0,2,2,6,33.33%,0,2,2
"District Judge, 247th Judicial District",0894,0,3,3,0,0.00%,2,1,3
"District Judge, 247th Judicial District",0895,156,286,442,793,55.74%,147,254,401
"District Judge, 247th Judicial District",0896,370,297,667,1459,45.72%,223,399,622
"District Judge, 247th Judicial District",0897,252,297,549,1701,32.28%,317,210,527
"District Judge, 247th Judicial District",0898,0,0,0,3,0.00%,0,0,0
"District Judge, 247th Judicial District",0899,2,0,2,8,25.00%,0,2,2
"District Judge, 247th Judicial District",0900,0,2,2,10,20.00%,1,1,2
"District Judge, 247th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0902,394,486,880,2139,41.14%,468,355,823
"District Judge, 247th Judicial District",0903,3,7,10,50,20.00%,3,6,9
"District Judge, 247th Judicial District",0904,1,0,1,7,14.29%,1,0,1
"District Judge, 247th Judicial District",0905,123,100,223,904,24.67%,97,112,209
"District Judge, 247th Judicial District",0906,8,6,14,25,56.00%,6,6,12
"District Judge, 247th Judicial District",0907,12,19,31,181,17.13%,6,25,31
"District Judge, 247th Judicial District",0908,0,1,1,0,0.00%,1,0,1
"District Judge, 247th Judicial District",0909,2,1,3,18,16.67%,0,3,3
"District Judge, 247th Judicial District",0910,25,24,49,217,22.58%,22,24,46
"District Judge, 247th Judicial District",0911,118,60,178,551,32.30%,117,54,171
"District Judge, 247th Judicial District",0912,316,201,517,1273,40.61%,339,151,490
"District Judge, 247th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0914,169,179,348,701,49.64%,274,60,334
"District Judge, 247th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0916,417,240,657,1491,44.06%,522,115,637
"District Judge, 247th Judicial District",0917,177,62,239,483,49.48%,153,71,224
"District Judge, 247th Judicial District",0918,304,168,472,883,53.45%,353,95,448
"District Judge, 247th Judicial District",0919,0,0,0,3,0.00%,0,0,0
"District Judge, 247th Judicial District",0920,22,12,34,71,47.89%,23,10,33
"District Judge, 247th Judicial District",0921,32,15,47,119,39.50%,34,12,46
"District Judge, 247th Judicial District",0922,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0923,470,137,607,1511,40.17%,456,132,588
"District Judge, 247th Judicial District",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0926,171,128,299,796,37.56%,221,67,288
"District Judge, 247th Judicial District",0927,44,30,74,270,27.41%,28,40,68
"District Judge, 247th Judicial District",0928,3,0,3,8,37.50%,0,3,3
"District Judge, 247th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0930,109,54,163,584,27.91%,7,151,158
"District Judge, 247th Judicial District",0931,30,40,70,130,53.85%,31,31,62
"District Judge, 247th Judicial District",0932,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0933,115,85,200,627,31.90%,56,138,194
"District Judge, 247th Judicial District",0934,2,0,2,63,3.17%,1,1,2
"District Judge, 247th Judicial District",0935,3,2,5,54,9.26%,1,2,3
"District Judge, 247th Judicial District",0936,s,2,10,81,12.35%,3,6,9
"District Judge, 247th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0938,30,14,44,231,19.05%,12,31,43
"District Judge, 247th Judicial District",0939,0,0,0,2,0.00%,0,0,0
"District Judge, 247th Judicial District",0940,0,0,0,10,0.00%,0,0,0
"District Judge, 247th Judicial District",0941,9,10,19,25,76.00%,17,2,19
"District Judge, 247th Judicial District",0942,53,27,80,156,51.28%,65,13,78
"District Judge, 247th Judicial District",0943,164,80,244,547,44.61%,157,71,228
"District Judge, 247th Judicial District",0944,20,4,24,45,53.33%,18,1,19
"District Judge, 247th Judicial District",0945,1,2,3,17,17.65%,1,2,3
"District Judge, 247th Judicial District",0946,0,1,1,13,7.69%,0,1,1
"District Judge, 247th Judicial District",0947,177,246,423,799,52.94%,211,187,398
"District Judge, 247th Judicial District",0948,0,14,14,1,1400.00%,8,3,11
"District Judge, 247th Judicial District",0949,34,27,61,193,31.61%,31,30,61
"District Judge, 247th Judicial District",0950,0,0,0,1,0.00%,0,0,0
"District Judge, 247th Judicial District",0951,33,30,63,277,22.74%,17,44,61
"District Judge, 247th Judicial District",0952,16,15,31,71,43.66%,15,14,29
"District Judge, 247th Judicial District",0953,18,9,27,275,9.82%,4,23,27
"District Judge, 247th Judicial District",0954,0,0,0,1,0.00%,0,0,0
"District Judge, 247th Judicial District",0955,3,2,5,19,26.32%,4,1,5
"District Judge, 247th Judicial District",0956,2,4,6,11,54.55%,2,4,6
"District Judge, 247th Judicial District",0957,97,95,192,562,34.16%,21,168,189
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0958,81,129,210,1081,19.43%,52,153,205
"District Judge, 247th Judicial District",0959,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0960,196,157,353,976,36.17%,67,272,339
"District Judge, 247th Judicial District",0961,15,0,16,56,28.57%,0,16,16
"District Judge, 247th Judicial District",0962,10,17,27,88,30.68%,3,24,27
"District Judge, 247th Judicial District",0963,54,41,105,426,24.65%,56,43,99
"District Judge, 247th Judicial District",0964,568,437,1005,2372,42.37%,617,353,970
"District Judge, 247th Judicial District",0965,31,21,52,343,15.16%,28,24,52
"District Judge, 247th Judicial District",0966,129,83,212,1148,18.47%,78,129,207
"District Judge, 247th Judicial District",0967,15,48,63,165,38.18%,19,43,62
"District Judge, 247th Judicial District",0968,119,30,149,692,21.53%,30,117,147
"District Judge, 247th Judicial District",0969,156,73,229,604,37.91%,1,224,225
"District Judge, 247th Judicial District",0970,83,36,119,731,16.28%,17,97,114
"District Judge, 247th Judicial District",0971,11,8,19,147,12.93%,2,15,17
"District Judge, 247th Judicial District",0972,e,8,14,31,45.16%,13,0,13
"District Judge, 247th Judicial District",0973,24,19,43,111,38.74%,19,20,39
"District Judge, 247th Judicial District",0974,57,36,93,299,31.10%,58,32,90
"District Judge, 247th Judicial District",0975,55,30,85,193,44.04%,38,40,78
"District Judge, 247th Judicial District",0976,58,62,130,683,19.03%,84,43,127
"District Judge, 247th Judicial District",0977,50,43,93,572,16.26%,41,51,92
"District Judge, 247th Judicial District",0978,77,79,156,546,28.57%,29,124,153
"District Judge, 247th Judicial District",0979,2,6,8,27,29.63%,4,3,7
"District Judge, 247th Judicial District",0980,280,321,601,1389,43.27%,446,123,569
"District Judge, 247th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0982,312,312,624,1567,39.82%,509,90,599
"District Judge, 247th Judicial District",0983,11,21,32,161,19.88%,19,12,31
"District Judge, 247th Judicial District",0984,18,9,27,192,14.06%,4,22,26
"District Judge, 247th Judicial District",0985,117,63,180,351,51.28%,91,75,166
"District Judge, 247th Judicial District",0986,43,30,73,463,15.77%,11,61,72
"District Judge, 247th Judicial District",0987,231,90,321,1155,27.79%,29,283,312
"District Judge, 247th Judicial District",0988,24,12,36,123,29.27%,33,3,36
"District Judge, 247th Judicial District",0989,e,6,12,43,27.91%,8,4,12
"District Judge, 247th Judicial District",0990,16,1,17,140,12.14%,7,9,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 247th Judicial District",0992,157,107,264,1048,25.19%,145,107,252
"District Judge, 247th Judicial District",0993,169,101,270,568,47.54%,219,42,261
"District Judge, 247th Judicial District",0994,5,5,11,25,44.00%,2,9,11
"District Judge, 247th Judicial District",0995,295,156,451,1393,32.38%,31,411,442
"District Judge, 247th Judicial District",0996,135,140,275,694,39.63%,156,99,255
"District Judge, 247th Judicial District",0997,101,163,264,1656,15.94%,59,201,260
"District Judge, 247th Judicial District",0998,5,1,6,57,10.53%,3,3,6
"District Judge, 247th Judicial District",0999,17,10,27,68,39.71%,23,3,26
"District Judge, 247th Judicial District",1000,42,6,48,405,11.85%,13,34,47
"District Judge, 247th Judicial District",1001,228,136,364,1565,23.26%,93,253,346
"District Judge, 247th Judicial District",1002,170,139,309,1744,17.72%,55,235,290
"District Judge, 247th Judicial District",1003,1,0,1,0,0.00%,1,0,1
"District Judge, 247th Judicial District",1004,111,139,250,654,38.23%,117,113,230
"District Judge, 247th Judicial District",1005,0,8,8,0,0.00%,4,2,6
"District Judge, 247th Judicial District",1006,1,0,1,5,20.00%,1,0,1
"District Judge, 247th Judicial District",1007,208,188,396,1547,25.60%,92,286,378
"District Judge, 247th Judicial District",1008,32,12,44,151,29.14%,34,9,43
"District Judge, 247th Judicial District",1009,0,0,0,9,0.00%,0,0,0
"District Judge, 247th Judicial District",1010,59,35,94,459,20.48%,17,74,91
"District Judge, 247th Judicial District",1011,8,1,9,26,34.62%,4,5,9
"District Judge, 247th Judicial District",1012,134,201,335,1365,24.54%,102,223,325
"District Judge, 247th Judicial District",1013,0,6,6,58,10.34%,4,2,6
"District Judge, 247th Judicial District",1014,4,6,10,31,32.26%,1,9,10
"District Judge, 247th Judicial District",1015,5,4,9,25,36.00%,3,5,8
"District Judge, 247th Judicial District",1016,252,212,464,1691,27.44%,228,214,442
"District Judge, 247th Judicial District",1017,61,44,105,330,31.82%,32,71,103
"District Judge, 247th Judicial District",1018,93,64,157,494,31.78%,72,80,152
"District Judge, 247th Judicial District",1019,130,107,237,1456,16.28%,13,221,234
"District Judge, 247th Judicial District",1020,0,0,0,1,0.00%,0,0,0
