Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM William Moody,LIB Tom Oxford,Totals
"Chief Justice, Supreme Court",0681,1,0,1,5,20.00%,1,0,0,1
"Chief Justice, Supreme Court",0682,711,654,1365,4216,32.38%,1009,304,27,1340
"Chief Justice, Supreme Court",0683,29,20,49,276,17.75%,9,36,0,45
"Chief Justice, Supreme Court",0684,28,22,50,223,22.42%,27,21,1,49
"Chief Justice, Supreme Court",0685,110,29,139,307,45.28%,65,66,3,134
"Chief Justice, Supreme Court",0686,17,12,29,208,13.94%,8,17,4,29
"Chief Justice, Supreme Court",0687,549,537,1086,2609,41.63%,736,281,32,1049
"Chief Justice, Supreme Court",0688,999,617,1616,3504,46.12%,1303,253,27,1583
"Chief Justice, Supreme Court",0689,211,387,598,2346,25.49%,306,264,13,583
"Chief Justice, Supreme Court",0690,926,1104,2030,5102,39.79%,1648,297,55,2000
"Chief Justice, Supreme Court",0691,2,5,7,25,28.00%,4,3,0,7
"Chief Justice, Supreme Court",0692,444,548,992,2847,34.84%,757,196,23,976
"Chief Justice, Supreme Court",0693,167,91,258,666,38.74%,73,170,9,252
"Chief Justice, Supreme Court",0694,260,120,380,845,44.97%,262,96,10,368
"Chief Justice, Supreme Court",0695,232,193,425,1724,24.65%,264,135,17,416
"Chief Justice, Supreme Court",0696,261,207,468,1982,23.61%,294,153,12,459
"Chief Justice, Supreme Court",0697,605,613,1218,4413,27.60%,307,866,24,1197
"Chief Justice, Supreme Court",0698,448,489,937,3189,29.38%,101,808,10,919
"Chief Justice, Supreme Court",0699,568,414,982,2343,41.91%,673,252,15,940
"Chief Justice, Supreme Court",0700,255,251,506,1371,36.91%,425,61,8,494
"Chief Justice, Supreme Court",0701,56,43,99,588,16.84%,64,30,2,96
"Chief Justice, Supreme Court",0702,64,70,134,539,24.86%,17,113,1,131
"Chief Justice, Supreme Court",0703,372,490,862,1882,45.80%,641,176,21,838
"Chief Justice, Supreme Court",0704,569,599,1168,3064,38.12%,956,174,22,1152
"Chief Justice, Supreme Court",0705,114,113,227,1523,14.90%,29,189,4,222
"Chief Justice, Supreme Court",0706,115,71,186,610,30.49%,100,79,4,183
"Chief Justice, Supreme Court",0707,153,86,239,707,33.80%,159,65,8,232
"Chief Justice, Supreme Court",0708,54,52,106,563,18.83%,53,46,3,102
"Chief Justice, Supreme Court",0709,1375,947,2322,6848,33.91%,1394,839,58,2291
"Chief Justice, Supreme Court",0710,371,462,833,2082,40.01%,460,319,30,809
"Chief Justice, Supreme Court",0711,703,506,1209,3484,34.70%,746,398,31,1175
"Chief Justice, Supreme Court",0712,491,463,954,3670,25.99%,404,512,25,941
"Chief Justice, Supreme Court",0713,228,262,490,1907,25.69%,251,218,13,482
"Chief Justice, Supreme Court",0714,36,19,55,296,18.58%,31,21,1,53
"Chief Justice, Supreme Court",0715,176,187,363,1408,25.78%,214,132,5,351
"Chief Justice, Supreme Court",0716,449,407,856,2680,31.94%,604,220,21,845
"Chief Justice, Supreme Court",0717,373,250,623,2002,31.12%,75,529,6,610
"Chief Justice, Supreme Court",0718,1017,806,1823,4229,43.11%,1321,422,38,1781
"Chief Justice, Supreme Court",0719,247,137,384,1589,24.17%,234,132,8,374
"Chief Justice, Supreme Court",0720,995,780,1775,4282,41.45%,1326,364,46,1736
"Chief Justice, Supreme Court",0721,754,532,1286,2870,44.81%,865,353,36,1254
"Chief Justice, Supreme Court",0722,873,494,1367,4479,30.52%,95,1224,12,1331
"Chief Justice, Supreme Court",0723,401,202,603,1858,32.45%,131,448,9,588
"Chief Justice, Supreme Court",0724,151,128,279,766,36.42%,221,49,3,273
"Chief Justice, Supreme Court",0725,423,237,660,2237,29.50%,310,329,7,646
"Chief Justice, Supreme Court",0726,592,402,994,2087,47.63%,870,94,18,982
"Chief Justice, Supreme Court",0727,338,290,628,2488,25.24%,207,383,17,607
"Chief Justice, Supreme Court",0728,209,151,360,880,40.91%,220,116,17,353
"Chief Justice, Supreme Court",0729,136,59,195,464,42.03%,123,67,4,194
"Chief Justice, Supreme Court",0730,428,359,787,1747,45.05%,525,215,17,757
"Chief Justice, Supreme Court",0731,58,27,85,352,24.15%,26,57,1,84
"Chief Justice, Supreme Court",0732,441,324,765,1924,39.76%,480,237,28,745
"Chief Justice, Supreme Court",0733,13,7,20,215,9.30%,8,10,1,19
"Chief Justice, Supreme Court",0734,1558,962,2520,7005,35.97%,1729,708,46,2483
"Chief Justice, Supreme Court",0735,6,0,6,18,33.33%,6,0,0,6
"Chief Justice, Supreme Court",0736,3,1,4,22,18.18%,0,3,0,3
"Chief Justice, Supreme Court",0737,11,7,18,51,35.29%,13,5,0,18
"Chief Justice, Supreme Court",0738,139,100,239,1361,17.56%,46,183,4,233
"Chief Justice, Supreme Court",0739,353,301,654,2955,22.13%,342,279,15,636
"Chief Justice, Supreme Court",0740,96,98,194,939,20.66%,127,59,3,189
"Chief Justice, Supreme Court",0741,0,1,1,0,0.00%,0,1,0,1
"Chief Justice, Supreme Court",0742,0,11,11,0,0.00%,6,5,0,11
"Chief Justice, Supreme Court",0743,15,18,33,210,15.71%,17,13,0,30
"Chief Justice, Supreme Court",0744,456,392,848,2027,41.84%,556,246,23,825
"Chief Justice, Supreme Court",0745,683,372,1055,2494,42.30%,656,339,33,1028
"Chief Justice, Supreme Court",0746,114,77,191,691,27.64%,90,91,7,188
"Chief Justice, Supreme Court",0747,551,467,1018,3743,27.20%,482,471,43,996
"Chief Justice, Supreme Court",0748,172,140,312,1403,22.24%,158,127,22,307
"Chief Justice, Supreme Court",0749,30,17,47,377,12.47%,9,36,0,45
"Chief Justice, Supreme Court",0750,111,96,207,767,26.99%,126,73,6,205
"Chief Justice, Supreme Court",0751,925,964,1889,5084,37.16%,1252,547,56,1855
"Chief Justice, Supreme Court",0752,286,200,486,1483,32.77%,365,99,11,475
"Chief Justice, Supreme Court",0753,55,73,128,259,49.42%,81,38,5,124
"Chief Justice, Supreme Court",0754,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0755,442,584,1026,4294,23.89%,449,521,23,993
"Chief Justice, Supreme Court",0756,251,177,428,1600,26.75%,172,241,5,418
"Chief Justice, Supreme Court",0757,520,508,1028,4035,25.48%,175,817,10,1002
"Chief Justice, Supreme Court",0758,1114,692,1806,4096,44.09%,1454,275,43,1772
"Chief Justice, Supreme Court",0759,465,413,878,2730,32.16%,563,277,21,861
"Chief Justice, Supreme Court",0760,1432,639,2071,4367,47.42%,1760,238,34,2032
"Chief Justice, Supreme Court",0761,548,253,801,1550,51.68%,564,194,20,778
"Chief Justice, Supreme Court",0762,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0763,108,146,254,1212,20.96%,102,134,9,245
"Chief Justice, Supreme Court",0764,1133,774,1907,5217,36.55%,1201,634,35,1870
"Chief Justice, Supreme Court",0765,648,426,1074,4055,26.49%,437,565,41,1043
"Chief Justice, Supreme Court",0766,40,25,65,392,16.58%,17,43,0,60
"Chief Justice, Supreme Court",0767,10,2,12,86,13.95%,6,6,0,12
"Chief Justice, Supreme Court",0768,1359,1015,2374,5857,40.53%,1937,354,52,2343
"Chief Justice, Supreme Court",0769,54,16,70,183,38.25%,3,62,3,68
"Chief Justice, Supreme Court",0770,31,25,56,323,17.34%,25,27,3,55
"Chief Justice, Supreme Court",0771,324,254,578,2426,23.83%,329,215,20,564
"Chief Justice, Supreme Court",0772,1792,851,2643,5709,46.30%,2034,489,62,2585
"Chief Justice, Supreme Court",0773,473,312,785,2918,26.90%,214,504,14,732
"Chief Justice, Supreme Court",0774,30,41,71,378,18.78%,16,52,1,69
"Chief Justice, Supreme Court",0775,18,3,21,92,22.83%,0,21,0,21
"Chief Justice, Supreme Court",0776,551,496,1047,3053,34.29%,609,374,34,1017
"Chief Justice, Supreme Court",0777,46,40,86,652,13.19%,33,52,0,85
"Chief Justice, Supreme Court",0778,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0779,64,51,115,940,12.23%,40,69,1,110
"Chief Justice, Supreme Court",0780,63,59,122,595,20.50%,70,48,3,121
"Chief Justice, Supreme Court",0781,666,273,939,3603,26.06%,427,416,20,863
"Chief Justice, Supreme Court",0782,368,370,738,2236,33.01%,467,239,24,730
"Chief Justice, Supreme Court",0783,49,13,62,294,21.09%,44,15,1,60
"Chief Justice, Supreme Court",0784,208,128,336,1079,31.14%,5,317,2,324
"Chief Justice, Supreme Court",0785,28,25,53,296,17.91%,31,21,1,53
"Chief Justice, Supreme Court",0786,100,98,198,1251,15.83%,71,118,5,194
"Chief Justice, Supreme Court",0787,46,52,98,488,20.08%,33,58,3,94
"Chief Justice, Supreme Court",0788,74,32,106,454,23.35%,49,53,3,105
"Chief Justice, Supreme Court",0789,0,3,3,3,100.00%,1,2,0,3
"Chief Justice, Supreme Court",0790,0,0,0,3,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0791,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0792,269,239,508,1865,27.24%,128,352,8,488
"Chief Justice, Supreme Court",0793,448,247,695,2484,27.98%,413,245,21,679
"Chief Justice, Supreme Court",0794,124,144,268,2710,9.89%,34,223,5,262
"Chief Justice, Supreme Court",0795,90,125,215,1217,17.67%,79,124,3,206
"Chief Justice, Supreme Court",0796,83,51,134,476,28.15%,74,53,3,130
"Chief Justice, Supreme Court",0797,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0798,99,111,210,500,42.00%,80,111,11,202
"Chief Justice, Supreme Court",0799,28,15,43,161,26.71%,7,34,2,43
"Chief Justice, Supreme Court",0800,588,642,1230,2932,41.95%,844,330,23,1197
"Chief Justice, Supreme Court",0801,32,14,46,258,17.83%,15,28,2,45
"Chief Justice, Supreme Court",0802,51,27,78,312,25.00%,16,60,2,78
"Chief Justice, Supreme Court",0803,725,511,1236,2893,42.72%,915,273,29,1217
"Chief Justice, Supreme Court",0804,933,591,1524,4768,31.96%,968,500,33,1501
"Chief Justice, Supreme Court",0805,765,533,1298,2866,45.29%,1046,200,32,1278
"Chief Justice, Supreme Court",0806,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0807,211,204,415,2028,20.46%,92,295,22,409
"Chief Justice, Supreme Court",0808,12,17,29,131,22.14%,9,20,0,29
"Chief Justice, Supreme Court",0809,7,6,13,92,14.13%,5,6,0,11
"Chief Justice, Supreme Court",0810,9,16,25,211,11.85%,8,16,0,24
"Chief Justice, Supreme Court",0811,29,50,79,270,29.26%,25,49,1,75
"Chief Justice, Supreme Court",0812,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0813,938,761,1699,5807,29.26%,837,791,46,1674
"Chief Justice, Supreme Court",0814,673,533,1206,5102,23.64%,302,856,21,1179
"Chief Justice, Supreme Court",0815,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0816,10,0,10,73,13.70%,2,8,0,10
"Chief Justice, Supreme Court",0817,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0818,86,39,125,616,20.29%,27,90,3,120
"Chief Justice, Supreme Court",0819,64,30,94,240,39.17%,56,30,3,89
"Chief Justice, Supreme Court",0820,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0821,124,120,244,1242,19.65%,32,203,3,238
"Chief Justice, Supreme Court",0822,332,167,499,1535,32.51%,15,469,2,486
"Chief Justice, Supreme Court",0823,821,564,1385,5087,27.23%,801,525,34,1360
"Chief Justice, Supreme Court",0824,428,282,710,2700,26.30%,158,525,14,697
"Chief Justice, Supreme Court",0825,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0826,73,50,123,358,34.36%,71,48,0,119
"Chief Justice, Supreme Court",0827,60,98,158,979,16.14%,68,80,5,153
"Chief Justice, Supreme Court",0828,541,388,929,1916,48.49%,753,142,24,919
"Chief Justice, Supreme Court",0829,54,22,76,264,28.79%,17,57,1,75
"Chief Justice, Supreme Court",0830,0,0,0,2,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0831,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0832,34,28,62,352,17.61%,16,39,4,59
"Chief Justice, Supreme Court",0833,0,1,1,20,5.00%,0,1,0,1
"Chief Justice, Supreme Court",0834,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0835,38,19,57,290,19.66%,14,38,1,53
"Chief Justice, Supreme Court",0836,3,0,3,19,15.79%,1,2,0,3
"Chief Justice, Supreme Court",0837,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0838,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0839,136,118,254,1128,22.52%,46,187,14,247
"Chief Justice, Supreme Court",0840,381,174,555,1705,32.55%,196,344,5,545
"Chief Justice, Supreme Court",0841,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0842,421,434,855,3259,26.24%,390,418,24,832
"Chief Justice, Supreme Court",0843,0,1,1,0,0.00%,0,1,0,1
"Chief Justice, Supreme Court",0844,1,0,1,11,9.09%,0,1,0,1
"Chief Justice, Supreme Court",0845,54,9,63,134,47.01%,39,21,1,61
"Chief Justice, Supreme Court",0846,23,24,47,229,20.52%,2,44,1,47
"Chief Justice, Supreme Court",0847,306,211,517,2015,25.66%,144,353,8,505
"Chief Justice, Supreme Court",0848,489,266,755,1856,40.68%,233,489,10,732
"Chief Justice, Supreme Court",0849,201,291,492,2124,23.16%,190,270,16,476
"Chief Justice, Supreme Court",0850,46,41,87,210,41.43%,31,54,0,85
"Chief Justice, Supreme Court",0851,1029,657,1686,4709,35.80%,1127,476,45,1648
"Chief Justice, Supreme Court",0852,0,0,0,1,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0853,575,620,1296,2882,44.97%,1005,238,25,1268
"Chief Justice, Supreme Court",0854,15,26,41,172,23.84%,6,33,1,40
"Chief Justice, Supreme Court",0855,5,9,14,16,87.50%,4,7,1,12
"Chief Justice, Supreme Court",0856,0,1,1,0,0.00%,0,1,0,1
"Chief Justice, Supreme Court",0857,0,0,0,1,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0858,63,34,97,343,28.28%,3,91,0,94
"Chief Justice, Supreme Court",0859,157,106,263,890,29.55%,68,186,4,258
"Chief Justice, Supreme Court",0860,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0861,315,199,514,1842,27.90%,85,418,3,506
"Chief Justice, Supreme Court",0862,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0863,101,54,155,584,26.54%,7,147,0,154
"Chief Justice, Supreme Court",0864,193,299,492,2569,19.15%,141,326,10,477
"Chief Justice, Supreme Court",0865,2,3,5,21,23.81%,0,5,0,5
"Chief Justice, Supreme Court",0866,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0867,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0868,236,271,507,2326,21.80%,159,325,5,489
"Chief Justice, Supreme Court",0869,53,39,92,470,19.57%,23,64,2,89
"Chief Justice, Supreme Court",0870,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0871,1,0,1,3,33.33%,0,1,0,1
"Chief Justice, Supreme Court",0872,5,3,8,59,13.56%,4,4,0,8
"Chief Justice, Supreme Court",0873,98,75,173,737,23.4,7%,42,124,4,170
"Chief Justice, Supreme Court",0874,764,707,1471,3223,45.64%,1109,296,35,1440
"Chief Justice, Supreme Court",0875,905,527,1432,5147,27.82%,694,678,33,1405
"Chief Justice, Supreme Court",0876,698,641,1339,3265,41.01%,1033,267,21,1321
"Chief Justice, Supreme Court",0877,476,382,858,3032,28.30%,351,469,24,844
"Chief Justice, Supreme Court",0878,428,354,782,1666,46.94%,656,98,18,772
"Chief Justice, Supreme Court",0879,407,294,701,2667,26.28%,350,306,25,681
"Chief Justice, Supreme Court",0880,543,447,990,2352,42.09%,804,148,16,968
"Chief Justice, Supreme Court",0881,596,540,1136,4479,25.36%,394,704,23,1121
"Chief Justice, Supreme Court",0882,426,291,717,2422,29.60%,427,254,21,702
"Chief Justice, Supreme Court",0883,643,702,1345,5408,24.87%,239,1060,18,1317
"Chief Justice, Supreme Court",0884,57,25,82,377,21.75%,7,71,1,79
"Chief Justice, Supreme Court",0885,562,368,930,2619,35.51%,539,361,20,920
"Chief Justice, Supreme Court",0886,128,108,236,675,34.96%,138,87,4,229
"Chief Justice, Supreme Court",0887,51,67,118,418,28.23%,57,52,5,114
"Chief Justice, Supreme Court",0888,0,3,3,0,0.00%,2,1,0,3
"Chief Justice, Supreme Court",0889,14,0,14,57,24.56%,5,8,0,13
"Chief Justice, Supreme Court",0890,164,103,267,1095,24.38%,92,160,9,261
"Chief Justice, Supreme Court",0891,319,243,562,1331,42.22%,234,301,9,544
"Chief Justice, Supreme Court",0892,115,86,201,808,24.88%,69,116,13,198
"Chief Justice, Supreme Court",0893,0,2,2,6,33.33%,0,2,0,2
"Chief Justice, Supreme Court",0894,0,3,3,0,0.00%,2,1,0,3
"Chief Justice, Supreme Court",0895,156,286,442,793,55.74%,200,214,8,422
"Chief Justice, Supreme Court",0896,370,297,667,1459,45.72%,272,356,21,649
"Chief Justice, Supreme Court",0897,253,297,550,1701,32.33%,318,206,15,539
"Chief Justice, Supreme Court",0898,0,0,0,3,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0899,2,0,2,8,25.00%,0,2,0,2
"Chief Justice, Supreme Court",0900,0,2,2,10,20.00%,1,1,0,2
"Chief Justice, Supreme Court",0901,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0902,396,486,882,2139,41.23%,486,343,25,854
"Chief Justice, Supreme Court",0903,3,7,10,50,20.00%,2,5,2,9
"Chief Justice, Supreme Court",0904,1,0,1,7,14.29%,1,0,0,1
"Chief Justice, Supreme Court",0905,123,100,223,904,24.67%,100,111,3,214
"Chief Justice, Supreme Court",0906,8,6,14,25,56.00%,9,5,0,14
"Chief Justice, Supreme Court",0907,12,19,31,181,17.13%,6,25,0,31
"Chief Justice, Supreme Court",0908,0,1,1,0,0.00%,0,1,0,1
"Chief Justice, Supreme Court",0909,2,1,3,18,16.67%,0,3,0,3
"Chief Justice, Supreme Court",0910,25,24,49,217,22.58%,20,24,1,45
"Chief Justice, Supreme Court",0911,118,60,178,551,32.30%,120,52,3,175
"Chief Justice, Supreme Court",0912,316,201,517,1273,40.61%,339,150,11,500
"Chief Justice, Supreme Court",0913,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0914,169,179,348,701,49.64%,272,54,12,338
"Chief Justice, Supreme Court",0915,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0916,417,240,657,1491,44.06%,523,108,14,645
"Chief Justice, Supreme Court",0917,177,62,239,483,49.48%,161,64,10,235
"Chief Justice, Supreme Court",0918,304,168,472,883,53.45%,370,88,8,466
"Chief Justice, Supreme Court",0919,0,0,0,3,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0920,22,12,34,71,47.89%,23,10,0,33
"Chief Justice, Supreme Court",0921,32,15,47,119,39.50%,32,12,3,47
"Chief Justice, Supreme Court",0922,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0923,470,137,607,1511,40.17%,457,138,5,600
"Chief Justice, Supreme Court",0924,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0925,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0926,171,128,299,796,37.56%,223,65,8,296
"Chief Justice, Supreme Court",0927,44,30,74,270,27.41%,29,40,2,71
"Chief Justice, Supreme Court",0928,3,0,3,8,37.50%,0,3,0,3
"Chief Justice, Supreme Court",0929,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0930,109,54,163,584,27.91%,6,157,0,163
"Chief Justice, Supreme Court",0931,30,40,70,130,53.85%,37,28,2,67
"Chief Justice, Supreme Court",0932,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0933,115,85,200,627,31.90%,57,133,5,195
"Chief Justice, Supreme Court",0934,2,0,2,63,3.17%,1,1,0,2
"Chief Justice, Supreme Court",0935,3,2,5,54,9.26%,1,2,1,4
"Chief Justice, Supreme Court",0936,8,2,10,81,12.35%,3,6,0,9
"Chief Justice, Supreme Court",0937,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0938,30,14,44,231,19.05%,15,28,0,43
"Chief Justice, Supreme Court",0939,0,0,0,2,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0940,0,0,0,10,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0941,9,10,19,25,76.00%,19,0,0,19
"Chief Justice, Supreme Court",0942,53,27,80,156,51.28%,64,13,2,79
"Chief Justice, Supreme Court",0943,166,80,246,547,44.97%,181,57,1,239
"Chief Justice, Supreme Court",0944,20,4,24,45,53.33%,20,0,0,20
"Chief Justice, Supreme Court",0945,1,2,3,17,17.65%,0,2,0,2
"Chief Justice, Supreme Court",0946,0,1,1,13,7.69%,0,1,0,1
"Chief Justice, Supreme Court",0947,177,246,423,799,52.94%,220,179,16,415
"Chief Justice, Supreme Court",0948,0,14,14,1,1400.00%,10,2,0,12
"Chief Justice, Supreme Court",0949,34,27,61,193,31.61%,30,25,6,61
"Chief Justice, Supreme Court",0950,0,0,0,1,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0951,33,30,63,277,22.74%,17,46,0,63
"Chief Justice, Supreme Court",0952,18,15,33,71,46.48%,19,12,1,32
"Chief Justice, Supreme Court",0953,18,9,27,275,9.82%,4,22,1,27
"Chief Justice, Supreme Court",0954,0,0,0,1,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0955,3,2,5,19,26.32%,4,1,0,5
"Chief Justice, Supreme Court",0956,2,4,6,11,54.55%,2,4,0,6
"Chief Justice, Supreme Court",0957,97,95,192,562,34.16%,20,170,2,192
"Chief Justice, Supreme Court",0958,81,129,210,1081,19.43%,51,151,3,205
"Chief Justice, Supreme Court",0959,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0960,196,157,353,976,36.17%,70,267,9,346
"Chief Justice, Supreme Court",0961,15,0,16,56,28.57%,0,16,0,16
"Chief Justice, Supreme Court",0962,10,17,27,88,30.68%,5,20,2,27
"Chief Justice, Supreme Court",0963,54,41,105,426,24.65%,56,44,1,101
"Chief Justice, Supreme Court",0964,568,437,1005,2372,42.37%,623,350,17,990
"Chief Justice, Supreme Court",0965,31,21,52,343,15.16%,29,22,1,52
"Chief Justice, Supreme Court",0966,129,83,212,1148,18.47%,74,128,6,208
"Chief Justice, Supreme Court",0967,15,48,63,165,38.18%,19,43,0,62
"Chief Justice, Supreme Court",0968,119,30,149,692,21.53%,30,117,1,148
"Chief Justice, Supreme Court",0969,156,73,229,604,37.91%,0,226,1,227
"Chief Justice, Supreme Court",0970,83,36,119,731,16.28%,17,99,0,116
"Chief Justice, Supreme Court",0971,11,8,19,147,12.93%,1,16,0,17
"Chief Justice, Supreme Court",09726,8,14,31,45.16%,14,0,0,14
"Chief Justice, Supreme Court",0973,24,19,43,111,38.74%,22,18,0,40
"Chief Justice, Supreme Court",0974,57,36,93,299,31.10%,58,32,2,92
"Chief Justice, Supreme Court",0975,55,30,85,193,44.04%,42,40,1,83
"Chief Justice, Supreme Court",0976,58,62,130,683,19.03%,85,42,3,130
"Chief Justice, Supreme Court",0977,50,43,93,572,16.26%,40,49,4,93
"Chief Justice, Supreme Court",0978,77,79,156,546,28.57%,30,123,2,155
"Chief Justice, Supreme Court",0979,2,6,8,27,29.63%,5,3,0,8
"Chief Justice, Supreme Court",0980,280,321,601,1389,43.27%,455,122,9,586
"Chief Justice, Supreme Court",0981,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0982,312,312,624,1567,39.82%,513,91,9,613
"Chief Justice, Supreme Court",0983,12,21,33,161,20.50%,20,12,1,33
"Chief Justice, Supreme Court",0984,18,9,27,192,14.06%,4,22,0,26
"Chief Justice, Supreme Court",0985,117,63,180,351,51.28%,96,73,5,174
"Chief Justice, Supreme Court",0986,43,30,73,463,15.77%,11,61,0,72
"Chief Justice, Supreme Court",0987,231,90,321,1155,27.79%,25,286,4,315
"Chief Justice, Supreme Court",0988,24,12,36,123,29.27%,33,3,0,36
"Chief Justice, Supreme Court",09896,6,12,43,27.91%,7,4,1,12
"Chief Justice, Supreme Court",0990,16,1,17,140,12.14%,9,7,0,16
"Chief Justice, Supreme Court",0991,0,0,0,1,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0992,157,107,264,1048,25.19%,143,105,10,258
"Chief Justice, Supreme Court",0993,159,101,270,568,47.54%,218,39,8,265
"Chief Justice, Supreme Court",09946,5,11,25,44.00%,2,9,0,11
"Chief Justice, Supreme Court",0995,296,156,452,1393,32.45%,27,408,8,443
"Chief Justice, Supreme Court",0996,136,140,276,694,39.77%,152,105,7,264
"Chief Justice, Supreme Court",0997,101,163,264,1656,15.94%,56,198,6,260
"Chief Justice, Supreme Court",0998,5,1,6,57,10.53%,3,3,0,6
"Chief Justice, Supreme Court",0999,17,10,27,68,39.71%,24,3,0,27
"Chief Justice, Supreme Court",1000,42,6,48,405,11.85%,12,35,0,47
"Chief Justice, Supreme Court",1001,228,136,364,1565,23.26%,93,247,7,347
"Chief Justice, Supreme Court",1002,170,139,309,1744,17.72%,53,233,9,295
"Chief Justice, Supreme Court",1003,1,0,1,0,0.00%,1,0,0,1
"Chief Justice, Supreme Court",1004,111,139,250,654,38.23%,123,101,13,237
"Chief Justice, Supreme Court",1005,0,8,8,0,0.00%,4,2,1,7
"Chief Justice, Supreme Court",1006,1,0,1,5,20.00%,1,0,0,1
"Chief Justice, Supreme Court",1007,208,188,396,1547,25.60%,90,286,9,385
"Chief Justice, Supreme Court",1008,32,12,44,151,29.14%,36,7,0,43
"Chief Justice, Supreme Court",1009,0,0,0,9,0.00%,0,0,0,0
"Chief Justice, Supreme Court",1010,59,35,94,459,20.48%,16,75,2,93
"Chief Justice, Supreme Court",1011,8,1,9,26,34.62%,5,3,0,8
"Chief Justice, Supreme Court",1012,134,201,335,1365,24.54%,102,224,2,328
"Chief Justice, Supreme Court",1013,0,6,6,58,10.34%,2,3,1,6
"Chief Justice, Supreme Court",1014,4,6,10,31,32.26%,1,9,0,10
"Chief Justice, Supreme Court",1015,5,4,9,25,36.00%,2,6,0,8
"Chief Justice, Supreme Court",1016,252,212,464,1691,27.44%,227,214,15,456
"Chief Justice, Supreme Court",1017,61,44,105,330,31.82%,31,71,2,104
"Chief Justice, Supreme Court",1018,93,64,157,494,31.78%,73,79,2,154
"Chief Justice, Supreme Court",1019,130,107,237,1456,16.28%,10,219,4,233
"Chief Justice, Supreme Court",1020,0,0,0,1,0.00%,0,0,0,0
"Chief Justice, Supreme Court",1021,0,0,0,2,0.00%,0,0,0,0
"Chief Justice, Supreme Court",1022,97,79,176,441,39.91%,130,32,8,170
"Chief Justice, Supreme Court",1023,430,315,745,2026,36.77%,533,189,9,731
"Chief Justice, Supreme Court",1024,55,61,116,249,46.59%,64,44,3,111
"Chief Justice, Supreme Court",1025,0,1,1,14,7.14%,1,0,0,1
"Chief Justice, Supreme Court",1026,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",1027,1,0,1,8,12.50%,1,0,0,1
"Chief Justice, Supreme Court",1028,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",1029,538,719,1257,2927,42.94%,997,210,26,1233
"Chief Justice, Supreme Court",1030,231,151,382,785,48.66%,336,37,4,377
