Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,"REP Michael ""Mike"" Schneider",Totals
"Family District Judge, 315th Judicial District",0721,754,532,1286,2870,44.81%,906,906
"Family District Judge, 315th Judicial District",0722,871,494,1365,4479,30.48%,180,180
"Family District Judge, 315th Judicial District",0723,401,202,603,1858,32.45%,175,175
"Family District Judge, 315th Judicial District",0724,151,128,279,766,36.42%,224,224
"Family District Judge, 315th Judicial District",0725,423,237,660,2237,29.50%,350,350
"Family District Judge, 315th Judicial District",0726,592,402,994,2087,47.63%,890,890
"Family District Judge, 315th Judicial District",0727,338,290,628,2488,25.24%,264,264
"Family District Judge, 315th Judicial District",0728,209,151,360,880,40.91%,235,235
"Family District Judge, 315th Judicial District",0729,136,59,195,464,42.03%,125,125
"Family District Judge, 315th Judicial District",0730,428,359,787,1747,45.05%,555,555
"Family District Judge, 315th Judicial District",0731,58,27,85,352,24.15%,33,33
"Family District Judge, 315th Judicial District",0732,441,324,765,1924,39.76%,519,519
"Family District Judge, 315th Judicial District",0733,13,7,20,215,9.30%,9,9
"Family District Judge, 315th Judicial District",0734,1558,962,2520,7005,35.97%,1870,1870
"Family District Judge, 315th Judicial District",07356,0,6,18,33.33%,6,6
"Family District Judge, 315th Judicial District",0736,3,1,4,22,18.18%,0,0
"Family District Judge, 315th Judicial District",0737,11,7,18,51,35.29%,14,14
"Family District Judge, 315th Judicial District",0738,139,100,239,1361,17.56%,60,60
"Family District Judge, 315th Judicial District",0739,353,301,654,2955,22.13%,371,371
"Family District Judge, 315th Judicial District",0740,96,98,194,939,20.66%,131,131
"Family District Judge, 315th Judicial District",0741,0,1,1,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0742,0,11,11,0,0.00%,6,6
"Family District Judge, 315th Judicial District",0743,15,18,33,210,15.71%,24,24
"Family District Judge, 315th Judicial District",0744,456,392,848,2027,41.84%,576,576
"Family District Judge, 315th Judicial District",0745,683,372,1055,2494,42.30%,691,691
"Family District Judge, 315th Judicial District",0746,114,77,191,691,27.64%,109,109
"Family District Judge, 315th Judicial District",0747,550,467,1017,3743,27.17%,568,568
"Family District Judge, 315th Judicial District",0748,170,140,310,1403,22.10%,192,192
"Family District Judge, 315th Judicial District",0749,30,17,47,377,12.47%,11,11
"Family District Judge, 315th Judicial District",0750,111,96,207,767,26.99%,140,140
"Family District Judge, 315th Judicial District",0751,925,964,1889,5084,37.16%,1372,1372
"Family District Judge, 315th Judicial District",0752,286,200,486,1483,32.77%,390,390
"Family District Judge, 315th Judicial District",0753,55,73,128,259,49.42%,92,92
"Family District Judge, 315th Judicial District",0754,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0755,442,584,1026,4294,23.89%,538,538
"Family District Judge, 315th Judicial District",0756,251,177,428,1600,26.75%,194,194
"Family District Judge, 315th Judicial District",0757,520,508,1028,4035,25.48%,279,279
"Family District Judge, 315th Judicial District",0758,1114,692,1806,4096,44.09%,1522,1522
"Family District Judge, 315th Judicial District",0759,465,413,878,2730,32.16%,611,611
"Family District Judge, 315th Judicial District",0760,1432,639,2071,4367,47.42%,1766,1766
"Family District Judge, 315th Judicial District",0761,548,253,801,1550,51.68%,603,603
"Family District Judge, 315th Judicial District",0762,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0763,108,146,254,1212,20.96%,127,127
"Family District Judge, 315th Judicial District",0764,1133,774,1907,5217,36.55%,1298,1298
"Family District Judge, 315th Judicial District",0765,647,426,1073,4055,26.46%,519,519
"Family District Judge, 315th Judicial District",0766,40,25,65,392,16.58%,22,22
"Family District Judge, 315th Judicial District",0767,10,2,12,86,13.95%,7,7
"Family District Judge, 315th Judicial District",0768,1359,1015,2374,5857,40.53%,2005,2005
"Family District Judge, 315th Judicial District",0769,54,16,70,183,38.25%,5,5
"Family District Judge, 315th Judicial District",0770,31,25,56,323,17.34%,36,36
"Family District Judge, 315th Judicial District",0771,324,254,578,2426,23.83%,369,369
"Family District Judge, 315th Judicial District",0772,1792,851,2643,5709,46.30%,2107,2107
"Family District Judge, 315th Judicial District",0773,473,312,785,2918,26.90%,272,272
"Family District Judge, 315th Judicial District",0774,30,41,71,378,18.78%,22,22
"Family District Judge, 315th Judicial District",0775,18,3,21,92,22.83%,2,2
"Family District Judge, 315th Judicial District",0776,551,496,1047,3053,34.29%,671,671
"Family District Judge, 315th Judicial District",0777,46,40,86,652,13.19%,39,39
"Family District Judge, 315th Judicial District",0778,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0779,64,51,115,940,12.23%,50,50
"Family District Judge, 315th Judicial District",0780,63,59,122,595,20.50%,76,76
"Family District Judge, 315th Judicial District",0781,666,273,939,3603,26.06%,486,486
"Family District Judge, 315th Judicial District",0782,368,370,738,2236,33.01%,505,505
"Family District Judge, 315th Judicial District",0783,49,13,62,294,21.09%,48,48
"Family District Judge, 315th Judicial District",0784,208,128,336,1079,31.14%,15,15
"Family District Judge, 315th Judicial District",0785,28,25,53,296,17.91%,32,32
"Family District Judge, 315th Judicial District",0786,100,98,198,1251,15.83%,92,92
"Family District Judge, 315th Judicial District",0787,46,52,98,488,20.08%,48,48
"Family District Judge, 315th Judicial District",0788,74,32,106,454,23.35%,50,50
"Family District Judge, 315th Judicial District",0789,0,3,3,3,100.00%,1,1
"Family District Judge, 315th Judicial District",0790,0,0,0,3,0.00%,0,0
"Family District Judge, 315th Judicial District",0791,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0792,269,239,508,1865,27.24%,162,162
"Family District Judge, 315th Judicial District",0793,448,247,695,2484,27.98%,458,458
"Family District Judge, 315th Judicial District",0794,124,144,268,2710,9.89%,64,64
"Family District Judge, 315th Judicial District",0795,90,125,215,1217,17.67%,107,107
"Family District Judge, 315th Judicial District",0796,83,51,134,476,28.15%,84,84
"Family District Judge, 315th Judicial District",0797,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0798,99,111,210,500,42.00%,98,98
"Family District Judge, 315th Judicial District",0799,28,15,43,161,26.71%,14,14
"Family District Judge, 315th Judicial District",0800,588,642,1230,2932,41.95%,904,904
"Family District Judge, 315th Judicial District",0801,32,14,46,258,17.83%,19,19
"Family District Judge, 315th Judicial District",0802,51,27,78,312,25.00%,19,19
"Family District Judge, 315th Judicial District",0803,725,511,1236,2893,42.72%,964,964
"Family District Judge, 315th Judicial District",0804,932,591,1523,4768,31.94%,1057,1057
"Family District Judge, 315th Judicial District",0805,765,533,1298,2866,45.29%,1078,1078
"Family District Judge, 315th Judicial District",0806,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0807,211,204,415,2028,20.46%,130,130
"Family District Judge, 315th Judicial District",0808,12,17,29,131,22.14%,12,12
"Family District Judge, 315th Judicial District",0809,7,6,13,92,14.13%,5,5
"Family District Judge, 315th Judicial District",0810,9,16,25,211,11.85%,9,9
"Family District Judge, 315th Judicial District",0811,29,50,79,270,29.26%,32,32
"Family District Judge, 315th Judicial District",0812,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0813,938,761,1699,5807,29.26%,970,970
"Family District Judge, 315th Judicial District",0814,673,533,1206,5102,23.64%,402,402
"Family District Judge, 315th Judicial District",0815,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0816,10,0,10,73,13.70%,3,3
"Family District Judge, 315th Judicial District",0817,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0818,88,39,125,616,20.29%,41,41
"Family District Judge, 315th Judicial District",0819,64,30,94,240,39.17%,55,55
"Family District Judge, 315th Judicial District",0820,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0821,124,120,244,1242,19.65%,47,47
"Family District Judge, 315th Judicial District",0822,332,167,499,1535,32.51%,38,38
"Family District Judge, 315th Judicial District",0823,821,564,1385,5087,27.23%,881,881
"Family District Judge, 315th Judicial District",0824,428,282,710,2700,26.30%,196,196
"Family District Judge, 315th Judicial District",0825,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0826,73,50,123,358,34.36%,71,71
"Family District Judge, 315th Judicial District",0827,60,98,158,979,16.14%,92,92
"Family District Judge, 315th Judicial District",0828,541,388,929,1916,48.49%,772,772
"Family District Judge, 315th Judicial District",0829,54,22,76,264,28.79%,27,27
"Family District Judge, 315th Judicial District",0830,0,0,0,2,0.00%,0,0
"Family District Judge, 315th Judicial District",0831,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0832,34,28,62,352,17.61%,24,24
"Family District Judge, 315th Judicial District",0833,0,1,1,20,5.00%,0,0
"Family District Judge, 315th Judicial District",0834,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0835,38,19,57,290,19.66%,14,14
"Family District Judge, 315th Judicial District",0836,3,0,3,19,15.79%,2,2
"Family District Judge, 315th Judicial District",0837,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0838,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0839,136,118,254,1128,22.52%,75,75
"Family District Judge, 315th Judicial District",0840,381,174,555,1705,32.55%,220,220
"Family District Judge, 315th Judicial District",0841,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0842,421,434,855,3259,26.24%,475,475
"Family District Judge, 315th Judicial District",0843,0,1,1,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0844,1,0,1,11,9.09%,0,0
"Family District Judge, 315th Judicial District",0845,54,9,63,134,47.01%,40,40
"Family District Judge, 315th Judicial District",0846,23,24,47,229,20.52%,8,8
"Family District Judge, 315th Judicial District",0847,305,211,516,2015,25.61%,183,183
"Family District Judge, 315th Judicial District",0848,489,266,755,1856,40.68%,272,272
"Family District Judge, 315th Judicial District",0849,201,291,492,2124,23.16%,226,226
"Family District Judge, 315th Judicial District",0850,45,41,87,210,41.43%,36,36
"Family District Judge, 315th Judicial District",0851,1029,657,1686,4709,35.80%,1214,1214
"Family District Judge, 315th Judicial District",0852,0,0,0,1,0.00%,0,0
"Family District Judge, 315th Judicial District",0853,575,620,1296,2882,44.97%,1037,1037
"Family District Judge, 315th Judicial District",0854,15,26,41,172,23.84%,13,13
"Family District Judge, 315th Judicial District",0855,5,9,14,16,87.50%,6,6
"Family District Judge, 315th Judicial District",0856,0,1,1,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0857,0,0,0,1,0.00%,0,0
"Family District Judge, 315th Judicial District",0858,63,34,97,343,28.28%,5,5
"Family District Judge, 315th Judicial District",0859,157,106,263,890,29.55%,86,86
"Family District Judge, 315th Judicial District",0860,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0861,315,199,514,1842,27.90%,122,122
"Family District Judge, 315th Judicial District",0862,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0863,101,54,155,584,26.54%,14,14
"Family District Judge, 315th Judicial District",0864,193,299,492,2569,19.15%,188,188
"Family District Judge, 315th Judicial District",0865,2,3,5,21,23.81%,0,0
"Family District Judge, 315th Judicial District",0866,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0867,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0868,236,271,507,2326,21.80%,202,202
"Family District Judge, 315th Judicial District",0869,53,39,92,470,19.57%,27,27
"Family District Judge, 315th Judicial District",0870,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0871,1,0,1,3,33.33%,0,0
"Family District Judge, 315th Judicial District",0872,5,3,8,59,13.56%,5,5
"Family District Judge, 315th Judicial District",0873,98,75,173,737,23.47%,56,56
"Family District Judge, 315th Judicial District",0874,763,707,1470,3223,45.61%,1167,1167
"Family District Judge, 315th Judicial District",0875,904,527,1431,5147,27.80%,801,801
"Family District Judge, 315th Judicial District",0876,698,641,1339,3265,41.01%,1073,1073
"Family District Judge, 315th Judicial District",0877,476,382,858,3032,28.30%,422,422
"Family District Judge, 315th Judicial District",0878,427,354,781,1666,46.88%,672,672
"Family District Judge, 315th Judicial District",0879,407,294,701,2667,26.28%,419,419
"Family District Judge, 315th Judicial District",0880,543,447,990,2352,42.09%,829,829
"Family District Judge, 315th Judicial District",0881,593,540,1133,4479,25.30%,489,489
"Family District Judge, 315th Judicial District",0882,426,291,717,2422,29.60%,474,474
"Family District Judge, 315th Judicial District",0883,643,702,1345,5408,24.87%,370,370
"Family District Judge, 315th Judicial District",0884,57,25,82,377,21.75%,10,10
"Family District Judge, 315th Judicial District",0885,562,368,930,2619,35.51%,604,604
"Family District Judge, 315th Judicial District",0886,128,108,236,675,34.96%,151,151
"Family District Judge, 315th Judicial District",0887,50,67,117,418,27.99%,66,66
"Family District Judge, 315th Judicial District",0888,0,3,3,0,0.00%,3,3
"Family District Judge, 315th Judicial District",0889,14,0,14,57,24.56%,6,6
"Family District Judge, 315th Judicial District",0890,164,103,267,1095,24.38%,114,114
"Family District Judge, 315th Judicial District",0891,317,243,560,1331,42.07%,260,260
"Family District Judge, 315th Judicial District",0892,115,86,201,808,24.88%,96,96
"Family District Judge, 315th Judicial District",0893,0,2,2,6,33.33%,0,0
"Family District Judge, 315th Judicial District",0894,0,3,3,0,0.00%,2,2
"Family District Judge, 315th Judicial District",0895,156,286,442,793,55.74%,215,215
"Family District Judge, 315th Judicial District",0896,370,297,667,1459,45.72%,289,289
"Family District Judge, 315th Judicial District",0897,252,297,549,1701,32.28%,352,352
"Family District Judge, 315th Judicial District",0898,0,0,0,3,0.00%,0,0
"Family District Judge, 315th Judicial District",0899,2,0,2,8,25.00%,0,0
"Family District Judge, 315th Judicial District",0900,0,2,2,10,20.00%,2,2
"Family District Judge, 315th Judicial District",0901,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0902,394,486,880,2139,41.14%,543,543
"Family District Judge, 315th Judicial District",0903,3,7,10,50,20.00%,3,3
"Family District Judge, 315th Judicial District",0904,1,0,1,7,14.29%,1,1
"Family District Judge, 315th Judicial District",0905,123,100,223,904,24.67%,116,116
"Family District Judge, 315th Judicial District",0906,8,6,14,25,56.00%,8,8
"Family District Judge, 315th Judicial District",0907,12,19,31,181,17.13%,8,8
"Family District Judge, 315th Judicial District",0908,0,1,1,0,0.00%,1,1
"Family District Judge, 315th Judicial District",0909,2,1,3,18,16.67%,2,2
"Family District Judge, 315th Judicial District",0910,25,24,49,217,22.58%,23,23
"Family District Judge, 315th Judicial District",0911,118,60,178,551,32.30%,126,126
"Family District Judge, 315th Judicial District",0912,316,201,517,1273,40.61%,360,360
"Family District Judge, 315th Judicial District",0913,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0914,169,179,348,701,49.64%,287,287
"Family District Judge, 315th Judicial District",0915,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0916,417,240,657,1491,44.06%,537,537
"Family District Judge, 315th Judicial District",0917,177,62,239,483,49.48%,157,157
"Family District Judge, 315th Judicial District",0918,304,168,472,883,53.45%,374,374
"Family District Judge, 315th Judicial District",0919,0,0,0,3,0.00%,0,0
"Family District Judge, 315th Judicial District",0920,22,12,34,71,47.89%,26,26
"Family District Judge, 315th Judicial District",0921,32,15,47,119,39.50%,36,36
"Family District Judge, 315th Judicial District",0922,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0923,470,137,607,1511,40.17%,478,478
"Family District Judge, 315th Judicial District",0924,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0925,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0926,171,128,299,796,37.56%,239,239
"Family District Judge, 315th Judicial District",0927,44,30,74,270,27.41%,37,37
"Family District Judge, 315th Judicial District",0928,3,0,3,8,37.50%,0,0
"Family District Judge, 315th Judicial District",0929,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0930,109,54,163,584,27.91%,9,9
"Family District Judge, 315th Judicial District",0931,30,40,70,130,53.85%,43,43
"Family District Judge, 315th Judicial District",0932,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0933,115,85,200,627,31.90%,76,76
"Family District Judge, 315th Judicial District",0934,2,0,2,63,3.17%,1,1
"Family District Judge, 315th Judicial District",0935,3,2,5,54,9.26%,2,2
"Family District Judge, 315th Judicial District",0936,8,2,10,81,12.35%,5,5
"Family District Judge, 315th Judicial District",0937,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0938,30,14,44,231,19.05%,16,16
"Family District Judge, 315th Judicial District",0939,0,0,0,2,0.00%,0,0
"Family District Judge, 315th Judicial District",0940,0,0,0,10,0.00%,0,0
"Family District Judge, 315th Judicial District",0941,9,10,19,25,76.00%,18,18
"Family District Judge, 315th Judicial District",0942,53,27,80,156,51.28%,71,71
"Family District Judge, 315th Judicial District",0943,164,80,244,547,44.61%,170,170
"Family District Judge, 315th Judicial District",0944,20,4,24,45,53.33%,19,19
"Family District Judge, 315th Judicial District",0945,1,2,3,17,17.65%,2,2
"Family District Judge, 315th Judicial District",0946,0,1,1,13,7.69%,0,0
"Family District Judge, 315th Judicial District",0947,177,246,423,799,52.94%,240,240
"Family District Judge, 315th Judicial District",0948,0,14,14,1,1400.00%,9,9
"Family District Judge, 315th Judicial District",0949,34,27,61,193,31.61%,40,40
"Family District Judge, 315th Judicial District",0950,0,0,0,1,0.00%,0,0
"Family District Judge, 315th Judicial District",0951,33,30,63,277,22.74%,21,21
"Family District Judge, 315th Judicial District",0952,15,15,31,71,43.66%,20,20
"Family District Judge, 315th Judicial District",0953,18,9,27,275,9.82%,6,6
"Family District Judge, 315th Judicial District",0954,0,0,0,1,0.00%,0,0
"Family District Judge, 315th Judicial District",0955,3,2,5,19,26.32%,4,4
"Family District Judge, 315th Judicial District",0956,2,4,6,11,54.55%,3,3
"Family District Judge, 315th Judicial District",0957,97,95,192,562,34.16%,43,43
"Family District Judge, 315th Judicial District",0958,81,129,210,1081,19.43%,69,69
"Family District Judge, 315th Judicial District",0959,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0960,196,157,353,976,36.17%,109,109
"Family District Judge, 315th Judicial District",0961,15,0,16,56,28.57%,2,2
"Family District Judge, 315th Judicial District",0962,10,17,27,88,30.68%,7,7
"Family District Judge, 315th Judicial District",0963,54,41,105,426,24.65%,63,63
"Family District Judge, 315th Judicial District",0964,568,437,1005,2372,42.37%,661,661
"Family District Judge, 315th Judicial District",0965,31,21,52,343,15.16%,34,34
"Family District Judge, 315th Judicial District",0966,129,83,212,1148,18.47%,91,91
"Family District Judge, 315th Judicial District",0967,15,48,63,165,38.18%,26,26
"Family District Judge, 315th Judicial District",0968,119,30,149,692,21.53%,41,41
"Family District Judge, 315th Judicial District",0969,156,73,229,604,37.91%,14,14
"Family District Judge, 315th Judicial District",0970,83,36,119,731,16.28%,25,25
"Family District Judge, 315th Judicial District",0971,11,8,19,147,12.93%,4,4
"Family District Judge, 315th Judicial District",09726,8,14,31,45.16%,13,13
"Family District Judge, 315th Judicial District",0973,24,19,43,111,38.74%,22,22
"Family District Judge, 315th Judicial District",0974,57,36,93,299,31.10%,65,65
"Family District Judge, 315th Judicial District",0975,55,30,85,193,44.04%,42,42
"Family District Judge, 315th Judicial District",0976,68,62,130,683,19.03%,95,95
"Family District Judge, 315th Judicial District",0977,50,43,93,572,16.26%,48,48
"Family District Judge, 315th Judicial District",0978,77,79,156,546,28.57%,46,46
"Family District Judge, 315th Judicial District",0979,2,6,8,27,29.63%,4,4
"Family District Judge, 315th Judicial District",0980,280,321,601,1389,43.27%,472,472
"Family District Judge, 315th Judicial District",0981,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0982,312,312,624,1567,39.82%,528,528
"Family District Judge, 315th Judicial District",0983,11,21,32,161,19.88%,22,22
"Family District Judge, 315th Judicial District",0984,18,9,27,192,14.06%,5,5
"Family District Judge, 315th Judicial District",0985,117,63,180,351,51.28%,106,106
"Family District Judge, 315th Judicial District",0986,43,30,73,463,15.77%,16,16
"Family District Judge, 315th Judicial District",0987,231,90,321,1155,27.79%,47,47
"Family District Judge, 315th Judicial District",0988,24,12,36,123,29.27%,33,33
"Family District Judge, 315th Judicial District",09896,6,12,43,27.91%,8,8
"Family District Judge, 315th Judicial District",0990,16,1,17,140,12.14%,10,10
"Family District Judge, 315th Judicial District",0991,0,0,0,1,0.00%,0,0
"Family District Judge, 315th Judicial District",0992,157,107,264,1048,25.19%,157,157
"Family District Judge, 315th Judicial District",0993,169,101,270,568,47.54%,222,222
"Family District Judge, 315th Judicial District",09946,5,11,25,44.00%,2,2
"Family District Judge, 315th Judicial District",0995,295,156,451,1393,32.38%,51,51
"Family District Judge, 315th Judicial District",0996,135,140,275,694,39.63%,173,173
"Family District Judge, 315th Judicial District",0997,101,163,264,1656,15.94%,88,88
"Family District Judge, 315th Judicial District",0998,5,1,6,57,10.53%,3,3
"Family District Judge, 315th Judicial District",0999,17,10,27,68,39.71%,21,21
"Family District Judge, 315th Judicial District",1000,42,6,48,405,11.85%,16,16
"Family District Judge, 315th Judicial District",1001,228,136,364,1565,23.26%,124,124
"Family District Judge, 315th Judicial District",1002,170,139,309,1744,17.72%,77,77
"Family District Judge, 315th Judicial District",1003,1,0,1,0,0.00%,1,1
"Family District Judge, 315th Judicial District",1004,111,139,250,654,38.23%,134,134
"Family District Judge, 315th Judicial District",1005,0,8,8,0,0.00%,4,4
"Family District Judge, 315th Judicial District",1006,1,0,1,5,20.00%,1,1
"Family District Judge, 315th Judicial District",1007,208,188,396,1547,25.60%,128,128
"Family District Judge, 315th Judicial District",1008,32,12,44,151,29.14%,35,35
"Family District Judge, 315th Judicial District",1009,0,0,0,9,0.00%,0,0
"Family District Judge, 315th Judicial District",1010,59,35,94,459,20.48%,24,24
"Family District Judge, 315th Judicial District",1011,8,1,9,26,34.62%,7,7
"Family District Judge, 315th Judicial District",1012,134,201,335,1365,24.54%,119,119
"Family District Judge, 315th Judicial District",1013,0,6,6,58,10.34%,4,4
"Family District Judge, 315th Judicial District",1014,4,6,10,31,32.26%,1,1
"Family District Judge, 315th Judicial District",1015,5,4,9,25,36.00%,3,3
"Family District Judge, 315th Judicial District",1016,252,212,464,1691,27.44%,265,265
"Family District Judge, 315th Judicial District",1017,61,44,105,330,31.82%,40,40
"Family District Judge, 315th Judicial District",1018,93,64,157,494,31.78%,81,81
"Family District Judge, 315th Judicial District",1019,130,107,237,1456,16.28%,29,29
"Family District Judge, 315th Judicial District",1020,0,0,0,1,0.00%,0,0
"Family District Judge, 315th Judicial District",1021,0,0,0,2,0.00%,0,0
"Family District Judge, 315th Judicial District",1022,97,79,176,441,39.91%,140,140
"Family District Judge, 315th Judicial District",1023,430,315,745,2026,36.77%,562,562
"Family District Judge, 315th Judicial District",1024,55,61,116,249,46.59%,67,67
"Family District Judge, 315th Judicial District",1025,0,1,1,14,7.14%,1,1
"Family District Judge, 315th Judicial District",1026,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1027,1,0,1,8,12.50%,1,1
"Family District Judge, 315th Judicial District",1028,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1029,537,719,1256,2927,42.91%,1037,1037
"Family District Judge, 315th Judicial District",1030,231,151,382,785,48.66%,336,336
"Family District Judge, 315th Judicial District",1031,59,71,130,792,16.41%,44,44
"Family District Judge, 315th Judicial District",1032,31,25,56,244,22.95%,39,39
"Family District Judge, 315th Judicial District",1033,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1034,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1035,2,4,6,138,4.35%,2,2
"Family District Judge, 315th Judicial District",1036,65,24,89,449,19.82%,76,76
"Family District Judge, 315th Judicial District",1037,19,11,30,76,39.47%,18,18
"Family District Judge, 315th Judicial District",1038,62,6,68,327,20.80%,12,12
"Family District Judge, 315th Judicial District",1039,2,0,2,25,8.00%,0,0
"Family District Judge, 315th Judicial District",1040,91,66,157,771,20.36%,84,84
"Family District Judge, 315th Judicial District",1041,0,2,2,0,0.00%,1,1
"Family District Judge, 315th Judicial District",1042,105,67,172,521,33.01%,61,61
"Family District Judge, 315th Judicial District",1043,5,6,12,33,36.36%,4,4
"Family District Judge, 315th Judicial District",1044,16,6,22,55,40.00%,11,11
"Family District Judge, 315th Judicial District",1045,197,173,370,1788,20.69%,72,72
"Family District Judge, 315th Judicial District",1046,11,5,16,62,25.81%,1,1
"Family District Judge, 315th Judicial District",1047,255,186,441,1568,28.13%,201,201
"Family District Judge, 315th Judicial District",1048,1,0,1,17,5.88%,0,0
"Family District Judge, 315th Judicial District",1049,14,45,59,290,20.34%,25,25
"Family District Judge, 315th Judicial District",1050,50,63,123,537,22.91%,44,44
"Family District Judge, 315th Judicial District",1051,0,31,31,0,0.00%,22,22
"Family District Judge, 315th Judicial District",1052,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1053,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1054,0,0,0,1,0.00%,0,0
"Family District Judge, 315th Judicial District",1055,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1056,4,2,6,8,75.00%,1,1
"Family District Judge, 315th Judicial District",1057,7,9,16,118,13.56%,4,4
"Family District Judge, 315th Judicial District",1058,241,285,526,1243,42.32%,140,140
"Family District Judge, 315th Judicial District",1059,3,3,6,28,21.43%,2,2
"Family District Judge, 315th Judicial District",1060,5,2,7,42,16.67%,5,5
"Family District Judge, 315th Judicial District",1061,332,184,516,1716,30.07%,312,312
"Family District Judge, 315th Judicial District",1062,17,6,23,201,11.44%,7,7
"Family District Judge, 315th Judicial District",1063,66,59,125,857,14.59%,31,31
"Family District Judge, 315th Judicial District",1064,25,11,36,119,30.25%,29,29
"Family District Judge, 315th Judicial District",1065,1,0,1,28,3.57%,0,0
"Family District Judge, 315th Judicial District",1066,72,0,72,229,31.44%,6,6
"Family District Judge, 315th Judicial District",1067,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",1068,22,8,30,121,24.79%,16,16
"Family District Judge, 315th Judicial District",1069,434,256,690,2580,26.74%,356,356
"Family District Judge, 315th Judicial District",Totals:,378846,308736,687582,2044361,,394089,394089
