Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0872,5,3,8,59,13.56%,4,4,8
District Clerk,0873,98,75,173,737,23.47%,45,125,170
District Clerk,0874,763,707,1470,3223,45.61%,1112,304,1416
District Clerk,0875,904,527,1431,5147,27.80%,704,687,1391
District Clerk,0876,698,641,1339,3265,41.01%,1040,263,1303
District Clerk,0877,476,382,858,3032,28.30%,354,484,838
District Clerk,0878,427,354,781,1666,46.88%,661,101,762
District Clerk,0879,407,294,701,2667,26.28%,358,313,671
District Clerk,0880,543,447,990,2352,42.09%,809,151,960
District Clerk,0881,593,540,1133,4479,25.30%,395,713,1108
District Clerk,0882,426,291,717,2422,29.60%,436,258,694
District Clerk,0883,643,702,1345,5408,24.87%,250,1059,1309
District Clerk,0884,57,25,82,377,21.75%,9,70,79
District Clerk,0885,562,368,930,2619,35.51%,556,354,910
District Clerk,0886,128,108,236,675,34.96%,141,83,224
District Clerk,0887,50,67,117,418,27.99%,57,53,110
District Clerk,0888,0,3,3,0,0.00%,2,1,3
District Clerk,0889,14,0,14,57,24.56%,4,9,13
District Clerk,0890,164,103,267,1095,24.38%,94,157,251
District Clerk,0891,317,243,560,1331,42.07%,221,306,527
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0892,115,86,201,808,24.88%,73,116,189
District Clerk,0893,0,2,2,6,33.33%,0,2,2
District Clerk,0894,0,3,3,0,0.00%,2,1,3
District Clerk,0895,156,286,442,793,55.74%,190,210,400
District Clerk,0896,370,297,667,1459,45.72%,265,362,627
District Clerk,0897,252,297,549,1701,32.28%,326,207,533
District Clerk,0898,0,0,0,3,0.00%,0,0,0
District Clerk,0899,2,0,2,8,25.00%,0,2,2
District Clerk,0900,0,2,2,10,20.00%,1,1,2
District Clerk,0901,0,0,0,0,0.00%,0,0,0
District Clerk,0902,394,486,880,2139,41.14%,500,336,836
District Clerk,0903,3,7,10,50,20.00%,3,6,9
District Clerk,0904,1,0,1,7,14.29%,1,0,1
District Clerk,0905,123,100,223,904,24.67%,101,111,212
District Clerk,0906,8,6,14,25,56.00%,7,5,12
District Clerk,0907,12,19,31,181,17.13%,6,25,31
District Clerk,0908,0,1,1,0,0.00%,0,1,1
District Clerk,0909,2,1,3,18,16.67%,0,3,3
District Clerk,0910,25,24,49,217,22.58%,22,24,46
District Clerk,0911,118,60,178,551,32.30%,123,51,174
District Clerk,0912,316,201,517,1273,40.61%,344,147,491
District Clerk,0913,0,0,0,0,0.00%,0,0,0
District Clerk,0914,169,179,348,701,49.64%,279,56,335
District Clerk,0915,0,0,0,0,0.00%,0,0,0
District Clerk,0916,417,240,657,1491,44.06%,528,108,636
District Clerk,0917,177,62,239,483,49.48%,162,63,225
District Clerk,0918,304,168,472,883,53.45%,364,83,447
District Clerk,0919,0,0,0,3,0.00%,0,0,0
District Clerk,0920,22,12,34,71,47.89%,23,10,33
District Clerk,0921,32,15,47,119,39.50%,34,12,46
District Clerk,0922,0,0,0,0,0.00%,0,0,0
District Clerk,0923,470,137,607,1511,40.17%,459,133,592
District Clerk,0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0925,0,0,0,0,0.00%,0,0,0
District Clerk,0926,171,128,299,796,37.56%,224,64,288
District Clerk,0927,44,30,74,270,27.41%,29,38,67
District Clerk,0928,3,0,3,8,37.50%,0,3,3
District Clerk,0929,0,0,0,0,0.00%,0,0,0
District Clerk,0930,109,54,163,584,27.91%,5,154,159
District Clerk,0931,30,40,70,130,53.85%,39,24,63
District Clerk,0932,0,0,0,0,0.00%,0,0,0
District Clerk,0933,115,85,200,627,31.90%,57,136,193
District Clerk,0934,2,0,2,63,3.17%,1,1,2
District Clerk,0935,3,2,5,54,9.26%,1,2,3
District Clerk,0936,s,2,10,81,12.35%,3,5,8
District Clerk,0937,0,0,0,0,0.00%,0,0,0
District Clerk,0938,30,14,44,231,19.05%,15,28,43
District Clerk,0939,0,0,0,2,0.00%,0,0,0
District Clerk,0940,0,0,0,10,0.00%,0,0,0
District Clerk,0941,9,10,19,25,76.00%,19,0,19
District Clerk,0942,53,27,80,156,51.28%,64,12,76
District Clerk,0943,164,80,244,547,44.61%,169,60,229
District Clerk,0944,20,4,24,45,53.33%,20,0,20
District Clerk,0945,1,2,3,17,17.65%,1,2,3
District Clerk,0946,0,1,1,13,7.69%,0,1,1
District Clerk,0947,177,246,423,799,52.94%,229,169,398
District Clerk,0948,0,14,14,1,1400.00%,11,2,13
District Clerk,0949,34,27,61,193,31.61%,31,30,61
District Clerk,0950,0,0,0,1,0.00%,0,0,0
District Clerk,0951,33,30,63,277,22.74%,17,46,63
District Clerk,0952,16,15,31,71,43.66%,16,13,29
District Clerk,0953,18,9,27,275,9.82%,4,22,26
District Clerk,0954,0,0,0,1,0.00%,0,0,0
District Clerk,0955,3,2,5,19,26.32%,4,1,5
District Clerk,0956,2,4,6,11,54.55%,1,4,5
District Clerk,0957,97,95,192,562,34.16%,21,169,190
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0958,81,129,210,1081,19.43%,56,148,204
District Clerk,0959,0,0,0,0,0.00%,0,0,0
District Clerk,0960,196,157,353,976,36.17%,72,270,342
District Clerk,0961,15,0,16,56,28.57%,0,16,16
District Clerk,0962,10,17,27,88,30.68%,5,22,27
District Clerk,0963,54,41,105,426,24.65%,57,43,100
District Clerk,0964,568,437,1005,2372,42.37%,626,346,972
District Clerk,0965,31,21,52,343,15.16%,28,23,51
District Clerk,0966,129,83,212,1148,18.47%,80,128,208
District Clerk,0967,15,48,63,165,38.18%,19,43,62
District Clerk,0968,119,30,149,692,21.53%,31,115,146
District Clerk,0969,156,73,229,604,37.91%,2,224,226
District Clerk,0970,83,36,119,731,16.28%,17,99,116
District Clerk,0971,11,8,19,147,12.93%,1,16,17
District Clerk,0972,e,8,14,31,45.16%,13,1,14
District Clerk,0973,24,19,43,111,38.74%,20,19,39
District Clerk,0974,57,36,93,299,31.10%,61,30,91
District Clerk,0975,55,30,85,193,44.04%,41,39,80
District Clerk,0976,58,62,130,683,19.03%,88,41,129
District Clerk,0977,50,43,93,572,16.26%,39,53,92
District Clerk,0978,77,79,156,546,28.57%,30,123,153
District Clerk,0979,2,6,8,27,29.63%,4,3,7
District Clerk,0980,280,321,601,1389,43.27%,459,120,579
District Clerk,0981,0,0,0,0,0.00%,0,0,0
District Clerk,0982,312,312,624,1567,39.82%,511,88,599
District Clerk,0983,11,21,32,161,19.88%,21,11,32
District Clerk,0984,18,9,27,192,14.06%,4,21,25
District Clerk,0985,117,63,180,351,51.28%,95,75,170
District Clerk,0986,43,30,73,463,15.77%,12,60,72
District Clerk,0987,231,90,321,1155,27.79%,31,283,314
District Clerk,0988,24,12,36,123,29.27%,34,2,36
District Clerk,0989,e,6,12,43,27.91%,9,3,12
District Clerk,0990,16,1,17,140,12.14%,6,10,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0991,0,0,0,1,0.00%,0,0,0
District Clerk,0992,157,107,264,1048,25.19%,149,105,254
District Clerk,0993,169,101,270,568,47.54%,224,38,262
District Clerk,0994,e,5,11,25,44.00%,2,9,11
District Clerk,0995,295,156,451,1393,32.38%,29,411,440
District Clerk,0996,135,140,275,694,39.63%,159,96,255
District Clerk,0997,101,163,264,1656,15.94%,60,200,260
District Clerk,0998,5,1,6,57,10.53%,3,3,6
District Clerk,0999,17,10,27,68,39.71%,23,3,26
District Clerk,1000,42,6,48,405,11.85%,12,35,47
District Clerk,1001,228,136,364,1565,23.26%,95,251,346
District Clerk,1002,170,139,309,1744,17.72%,59,236,295
District Clerk,1003,1,0,1,0,0.00%,1,0,1
District Clerk,1004,111,139,250,654,38.23%,122,108,230
District Clerk,1005,0,8,8,0,0.00%,3,3,6
District Clerk,1006,1,0,1,5,20.00%,1,0,1
District Clerk,1007,208,188,396,1547,25.60%,100,283,383
District Clerk,1008,32,12,44,151,29.14%,34,9,43
District Clerk,1009,0,0,0,9,0.00%,0,0,0
District Clerk,1010,59,35,94,459,20.48%,17,75,92
District Clerk,1011,8,1,9,26,34.62%,5,3,8
District Clerk,1012,134,201,335,1365,24.54%,105,223,328
District Clerk,1013,0,6,6,58,10.34%,4,2,6
District Clerk,1014,4,6,10,31,32.26%,1,9,10
District Clerk,1015,5,4,9,25,36.00%,2,6,8
District Clerk,1016,252,212,464,1691,27.44%,227,222,449
District Clerk,1017,61,44,105,330,31.82%,33,70,103
District Clerk,1018,93,64,157,494,31.78%,73,81,154
District Clerk,1019,130,107,237,1456,16.28%,12,222,234
District Clerk,1020,0,0,0,1,0.00%,0,0,0
District Clerk,1021,0,0,0,2,0.00%,0,0,0
District Clerk,1022,97,79,176,441,39.91%,133,31,164
District Clerk,1023,430,315,745,2026,36.77%,536,186,722
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,1024,55,61,116,249,46.59%,65,43,108
District Clerk,1025,0,1,1,14,7.14%,1,0,1
District Clerk,1026,0,0,0,0,0.00%,0,0,0
District Clerk,1027,1,0,1,8,12.50%,1,0,1
District Clerk,1028,0,0,0,0,0.00%,0,0,0
District Clerk,1029,537,719,1256,2927,42.91%,993,214,1207
District Clerk,1030,231,151,382,785,48.66%,337,38,375
District Clerk,1031,59,71,130,792,16.41%,37,86,123
District Clerk,1032,31,25,56,244,22.95%,34,18,52
District Clerk,1033,0,0,0,0,0.00%,0,0,0
District Clerk,1034,0,0,0,0,0.00%,0,0,0
District Clerk,1035,2,4,6,138,4.35%,1,4,5
District Clerk,1036,65,24,89,449,19.82%,75,13,88
District Clerk,1037,19,11,30,76,39.47%,18,11,29
District Clerk,1038,62,6,68,327,20.80%,9,56,65
District Clerk,1039,2,0,2,25,8.00%,0,2,2
District Clerk,1040,91,66,157,771,20.36%,73,78,151
District Clerk,1041,0,2,2,0,0.00%,1,1,2
District Clerk,1042,105,67,172,521,33.01%,55,109,164
District Clerk,1043,5,6,12,33,36.36%,4,8,12
District Clerk,1044,16,6,22,55,40.00%,8,13,21
District Clerk,1045,197,173,370,1788,20.69%,54,305,359
District Clerk,1046,11,5,16,62,25.81%,1,15,16
District Clerk,1047,255,186,441,1568,28.13%,159,269,428
District Clerk,1048,1,0,1,17,5.88%,1,0,1
District Clerk,1049,14,45,59,290,20.34%,22,35,57
District Clerk,1050,60,63,123,537,22.91%,34,85,119
District Clerk,1051,0,31,31,0,0.00%,20,9,29
District Clerk,1052,0,0,0,0,0.00%,0,0,0
District Clerk,1053,0,0,0,0,0.00%,0,0,0
District Clerk,1054,0,0,0,1,0.00%,0,0,0
District Clerk,1055,0,0,0,0,0.00%,0,0,0
District Clerk,1056,4,2,6,8,75.00%,1,5,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,1057,7,9,16,118,13.56%,3,12,15
District Clerk,1058,241,285,526,1243,42.32%,107,407,514
District Clerk,1059,3,3,6,28,21.43%,1,5,6
District Clerk,1060,5,2,7,42,16.67%,5,2,7
District Clerk,1061,332,184,516,1716,30.07%,276,222,498
District Clerk,1062,17,6,23,201,11.44%,4,16,20
District Clerk,1063,66,59,125,857,14.59%,20,101,121
District Clerk,1064,25,11,36,119,30.25%,29,7,36
District Clerk,1065,1,0,1,28,3.57%,0,1,1
District Clerk,1066,72,0,72,229,31.44%,3,65,68
District Clerk,1067,0,0,0,0,0.00%,0,0,0
District Clerk,1068,22,8,30,121,24.79%,13,16,29
District Clerk,1069,434,256,690,2580,26.74%,322,327,649
District Clerk,Totals:,378846,308736,687582,2044361,363886,295538,659424
