Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0658,540,426,966,2807,34.41%,637,305,942
"Judge, County Criminal Court No.4",0659,1149,788,1937,4856,39.89%,1398,480,1878
"Judge, County Criminal Court No.4",0660,950,825,1775,5372,33.04%,165,1568,1733
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0661,675,765,1440,4567,31.53%,841,545,1386
"Judge, County Criminal Court No.4",0662,1148,890,2038,4874,41.81%,1638,333,1971
"Judge, County Criminal Court No.4",0663,717,797,1514,3346,45.25%,780,621,1401
"Judge, County Criminal Court No.4",0664,352,250,602,2869,20.98%,140,430,570
"Judge, County Criminal Court No.4",0665,482,348,830,2154,38.53%,701,101,802
"Judge, County Criminal Court No.4",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0667,488,502,990,2149,46.07%,780,169,949
"Judge, County Criminal Court No.4",0668,399,509,908,2775,32.72%,593,289,882
"Judge, County Criminal Court No.4",0669,850,738,1588,3425,46.36%,1157,359,1516
"Judge, County Criminal Court No.4",0670,955,471,1427,2983,47.84%,1150,222,1372
"Judge, County Criminal Court No.4",0671,403,565,968,3037,31.87%,600,325,925
"Judge, County Criminal Court No.4",0672,959,862,1821,5706,31.91%,1245,518,1763
"Judge, County Criminal Court No.4",0673,729,516,1245,2995,41.57%,996,192,1188
"Judge, County Criminal Court No.4",0674,1071,618,1689,4091,41.29%,1268,364,1632
"Judge, County Criminal Court No.4",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Criminal Court No.4",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0677,127,127,254,1266,20.06%,96,141,237
"Judge, County Criminal Court No.4",0678,166,108,274,735,37.28%,179,73,252
"Judge, County Criminal Court No.4",0679,635,520,1155,3381,34.16%,880,225,1105
"Judge, County Criminal Court No.4",0680,21,14,35,162,21.60%,14,20,34
"Judge, County Criminal Court No.4",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No.4",0682,711,654,1365,4216,32.38%,1008,310,1318
"Judge, County Criminal Court No.4",0683,29,20,49,276,17.75%,10,34,44
"Judge, County Criminal Court No.4",0684,27,22,49,223,21.97%,25,22,47
"Judge, County Criminal Court No.4",0685,110,29,139,307,45.28%,62,67,129
"Judge, County Criminal Court No.4",0686,17,12,29,208,13.94%,11,17,28
"Judge, County Criminal Court No.4",0687,549,537,1085,2609,41.63%,743,275,1018
"Judge, County Criminal Court No.4",0688,999,617,1616,3504,46.12%,1297,251,1548
"Judge, County Criminal Court No.4",0689,211,387,598,2346,25.49%,307,259,566
"Judge, County Criminal Court No.4",0690,926,1104,2030,5102,39.79%,1648,314,1962
"Judge, County Criminal Court No.4",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Criminal Court No.4",0692,444,548,992,2847,34.84%,746,204,950
"Judge, County Criminal Court No.4",0693,167,91,258,666,38.74%,72,172,244
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0694,260,120,380,845,44.97%,261,96,357
"Judge, County Criminal Court No.4",0695,232,193,425,1724,24.65%,267,141,408
"Judge, County Criminal Court No.4",0696,261,207,468,1982,23.61%,298,148,446
"Judge, County Criminal Court No.4",0697,605,613,1218,4413,27.60%,305,868,1173
"Judge, County Criminal Court No.4",0698,448,489,937,3189,29.38%,104,810,914
"Judge, County Criminal Court No.4",0699,568,414,982,2343,41.91%,663,254,917
"Judge, County Criminal Court No.4",0700,255,251,506,1371,36.91%,424,61,485
"Judge, County Criminal Court No.4",0701,56,43,99,588,16.84%,61,31,92
"Judge, County Criminal Court No.4",0702,54,70,134,539,24.86%,19,113,132
"Judge, County Criminal Court No.4",0703,372,490,862,1882,45.80%,637,182,819
"Judge, County Criminal Court No.4",0704,569,599,1168,3064,38.12%,948,170,1118
"Judge, County Criminal Court No.4",0705,114,113,227,1523,14.90%,32,186,218
"Judge, County Criminal Court No.4",0706,115,71,186,610,30.49%,92,82,174
"Judge, County Criminal Court No.4",0707,153,86,239,707,33.80%,158,68,226
"Judge, County Criminal Court No.4",0708,54,52,106,563,18.83%,49,48,97
"Judge, County Criminal Court No.4",0709,1375,947,2322,6848,33.91%,1420,839,2259
"Judge, County Criminal Court No.4",0710,371,462,833,2082,40.01%,453,310,763
"Judge, County Criminal Court No.4",0711,702,506,1208,3484,34.67%,747,393,1140
"Judge, County Criminal Court No.4",0712,491,463,954,3670,25.99%,413,523,936
"Judge, County Criminal Court No.4",0713,228,262,490,1907,25.69%,244,222,466
"Judge, County Criminal Court No.4",0714,35,19,55,296,18.58%,33,20,53
"Judge, County Criminal Court No.4",0715,176,187,363,1408,25.78%,207,136,343
"Judge, County Criminal Court No.4",0716,449,407,856,2680,31.94%,603,228,831
"Judge, County Criminal Court No.4",0717,373,250,623,2002,31.12%,76,531,607
"Judge, County Criminal Court No.4",0718,1017,806,1823,4229,43.11%,1295,425,1720
"Judge, County Criminal Court No.4",0719,247,137,384,1589,24.17%,232,135,367
"Judge, County Criminal Court No.4",0720,994,780,1774,4282,41.43%,1348,364,1712
"Judge, County Criminal Court No.4",0721,754,532,1286,2870,44.81%,853,362,1215
"Judge, County Criminal Court No.4",0722,871,494,1365,4479,30.48%,102,1219,1321
"Judge, County Criminal Court No.4",0723,401,202,603,1858,32.45%,135,445,580
"Judge, County Criminal Court No.4",0724,151,128,279,766,36.42%,212,52,264
"Judge, County Criminal Court No.4",0725,423,237,660,2237,29.50%,315,323,638
"Judge, County Criminal Court No.4",0726,592,402,994,2087,47.63%,874,95,969
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0727,338,290,628,2488,25.24%,207,382,589
"Judge, County Criminal Court No.4",0728,209,151,360,880,40.91%,223,116,339
"Judge, County Criminal Court No.4",0729,136,59,195,464,42.03%,124,65,189
"Judge, County Criminal Court No.4",0730,428,359,787,1747,45.05%,517,221,738
"Judge, County Criminal Court No.4",0731,58,27,85,352,24.15%,27,56,83
"Judge, County Criminal Court No.4",0732,441,324,765,1924,39.76%,483,237,720
"Judge, County Criminal Court No.4",0733,13,7,20,215,9.30%,7,10,17
"Judge, County Criminal Court No.4",0734,1558,962,2520,7005,35.97%,1738,705,2443
"Judge, County Criminal Court No.4",0735,8,0,6,18,33.33%,6,0,6
"Judge, County Criminal Court No.4",0736,3,1,4,22,18.18%,0,3,3
"Judge, County Criminal Court No.4",0737,11,7,18,51,35.29%,13,5,18
"Judge, County Criminal Court No.4",0738,139,100,239,1361,17.56%,48,183,231
"Judge, County Criminal Court No.4",0739,353,301,654,2955,22.13%,339,288,627
"Judge, County Criminal Court No.4",0740,96,98,194,939,20.66%,130,55,185
"Judge, County Criminal Court No.4",0741,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No.4",0742,0,11,11,0,0.00%,6,5,11
"Judge, County Criminal Court No.4",0743,15,18,33,210,15.71%,17,14,31
"Judge, County Criminal Court No.4",0744,456,392,848,2027,41.84%,556,239,795
"Judge, County Criminal Court No.4",0745,683,372,1055,2494,42.30%,654,349,1003
"Judge, County Criminal Court No.4",0746,114,77,191,691,27.64%,94,94,188
"Judge, County Criminal Court No.4",0747,550,467,1017,3743,27.17%,509,481,990
"Judge, County Criminal Court No.4",0748,170,140,310,1403,22.10%,160,137,297
"Judge, County Criminal Court No.4",0749,30,17,47,377,12.47%,10,35,45
"Judge, County Criminal Court No.4",0750,111,96,207,767,26.99%,126,77,203
"Judge, County Criminal Court No.4",0751,925,964,1889,5084,37.16%,1261,545,1806
"Judge, County Criminal Court No.4",0752,286,200,486,1483,32.77%,371,92,463
"Judge, County Criminal Court No.4",0753,55,73,128,259,49.42%,80,41,121
"Judge, County Criminal Court No.4",0754,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0755,442,584,1026,4294,23.89%,453,527,980
"Judge, County Criminal Court No.4",0756,251,177,428,1600,26.75%,175,237,412
"Judge, County Criminal Court No.4",0757,520,508,1028,4035,25.48%,185,811,996
"Judge, County Criminal Court No.4",0758,1114,692,1806,4096,44.09%,1461,281,1742
"Judge, County Criminal Court No.4",0759,465,413,878,2730,32.16%,565,277,842
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0760,1432,639,2071,4367,47.42%,1727,252,1979
"Judge, County Criminal Court No.4",0761,548,253,801,1550,51.68%,561,184,745
"Judge, County Criminal Court No.4",0762,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0763,108,146,254,1212,20.96%,102,140,242
"Judge, County Criminal Court No.4",0764,1133,774,1907,5217,36.55%,1208,638,1846
"Judge, County Criminal Court No.4",0765,647,426,1073,4055,26.46%,463,558,1021
"Judge, County Criminal Court No.4",0766,40,25,65,392,16.58%,16,39,55
"Judge, County Criminal Court No.4",0767,10,2,12,86,13.95%,6,6,12
"Judge, County Criminal Court No.4",0768,1359,1015,2374,5857,40.53%,1944,365,2309
"Judge, County Criminal Court No.4",0769,54,16,70,183,38.25%,3,66,69
"Judge, County Criminal Court No.4",0770,31,25,56,323,17.34%,29,23,52
"Judge, County Criminal Court No.4",0771,324,254,578,2426,23.83%,337,220,557
"Judge, County Criminal Court No.4",0772,1792,851,2643,5709,46.30%,2029,487,2516
"Judge, County Criminal Court No.4",0773,473,312,785,2918,26.90%,214,505,719
"Judge, County Criminal Court No.4",0774,30,41,71,378,18.78%,15,54,69
"Judge, County Criminal Court No.4",0775,18,3,21,92,22.83%,0,21,21
"Judge, County Criminal Court No.4",0776,551,496,1047,3053,34.29%,619,382,1001
"Judge, County Criminal Court No.4",0777,46,40,86,652,13.19%,29,55,84
"Judge, County Criminal Court No.4",0778,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0779,64,51,115,940,12.23%,43,68,111
"Judge, County Criminal Court No.4",0780,63,59,122,595,20.50%,73,45,118
"Judge, County Criminal Court No.4",0781,666,273,939,3603,26.06%,436,403,839
"Judge, County Criminal Court No.4",0782,368,370,738,2236,33.01%,458,250,708
"Judge, County Criminal Court No.4",0783,49,13,62,294,21.09%,45,15,60
"Judge, County Criminal Court No.4",0784,208,128,336,1079,31.14%,7,313,320
"Judge, County Criminal Court No.4",0785,28,25,53,296,17.91%,27,26,53
"Judge, County Criminal Court No.4",0786,100,98,198,1251,15.83%,79,112,191
"Judge, County Criminal Court No.4",0787,46,52,98,488,20.08%,34,61,95
"Judge, County Criminal Court No.4",0788,74,32,106,454,23.35%,52,51,103
"Judge, County Criminal Court No.4",0789,0,3,3,3,100.00%,1,2,3
"Judge, County Criminal Court No.4",0790,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No.4",0791,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0792,269,239,508,1865,27.24%,124,358,482
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0793,448,247,695,2484,27.98%,419,253,672
"Judge, County Criminal Court No.4",0794,124,144,268,2710,9.89%,33,226,259
"Judge, County Criminal Court No.4",0795,90,125,215,1217,17.67%,81,121,202
"Judge, County Criminal Court No.4",0796,83,51,134,476,28.15%,76,53,129
"Judge, County Criminal Court No.4",0797,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0798,99,111,210,500,42.00%,83,116,199
"Judge, County Criminal Court No.4",0799,28,15,43,161,26.71%,8,35,43
"Judge, County Criminal Court No.4",0800,588,642,1230,2932,41.95%,842,328,1170
"Judge, County Criminal Court No.4",0801,32,14,46,258,17.83%,17,26,43
"Judge, County Criminal Court No.4",0802,51,27,78,312,25.00%,16,60,76
"Judge, County Criminal Court No.4",0803,725,511,1236,2893,42.72%,915,275,1190
"Judge, County Criminal Court No.4",0804,932,591,1523,4768,31.94%,974,503,1477
"Judge, County Criminal Court No.4",0805,765,533,1298,2866,45.29%,1056,199,1255
"Judge, County Criminal Court No.4",0806,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0807,211,204,415,2028,20.46%,91,306,397
"Judge, County Criminal Court No.4",0808,12,17,29,131,22.14%,9,18,27
"Judge, County Criminal Court No.4",0809,7,6,13,92,14.13%,5,6,11
"Judge, County Criminal Court No.4",0810,9,16,25,211,11.85%,8,16,24
"Judge, County Criminal Court No.4",0811,29,50,79,270,29.26%,27,50,77
"Judge, County Criminal Court No.4",0812,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0813,938,761,1699,5807,29.26%,859,793,1652
"Judge, County Criminal Court No.4",0814,673,533,1206,5102,23.64%,310,858,1168
"Judge, County Criminal Court No.4",0815,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0816,10,0,10,73,13.70%,3,7,10
"Judge, County Criminal Court No.4",0817,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0818,86,39,125,616,20.29%,28,92,120
"Judge, County Criminal Court No.4",0819,64,30,94,240,39.17%,53,29,82
"Judge, County Criminal Court No.4",0820,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0821,124,120,244,1242,19.65%,33,204,237
"Judge, County Criminal Court No.4",0822,332,167,499,1535,32.51%,15,466,481
"Judge, County Criminal Court No.4",0823,821,564,1385,5087,27.23%,807,535,1342
"Judge, County Criminal Court No.4",0824,428,282,710,2700,26.30%,160,529,689
"Judge, County Criminal Court No.4",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0826,73,50,123,358,34.36%,66,46,112
"Judge, County Criminal Court No.4",0827,60,98,158,979,16.14%,74,78,152
"Judge, County Criminal Court No.4",0828,541,388,929,1916,48.49%,754,130,884
"Judge, County Criminal Court No.4",0829,54,22,76,264,28.79%,18,58,76
"Judge, County Criminal Court No.4",0830,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No.4",0831,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0832,34,28,62,352,17.61%,20,41,61
"Judge, County Criminal Court No.4",0833,0,1,1,20,5.00%,0,1,1
"Judge, County Criminal Court No.4",0834,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0835,38,19,57,290,19.66%,12,41,53
"Judge, County Criminal Court No.4",0836,3,0,3,19,15.79%,0,3,3
"Judge, County Criminal Court No.4",0837,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0838,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0839,136,118,254,1128,22.52%,50,194,244
"Judge, County Criminal Court No.4",0840,381,174,555,1705,32.55%,196,345,541
"Judge, County Criminal Court No.4",0841,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0842,421,434,855,3259,26.24%,406,416,822
"Judge, County Criminal Court No.4",0843,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No.4",0844,1,0,1,11,9.09%,0,1,1
"Judge, County Criminal Court No.4",0845,54,9,63,134,47.01%,39,21,60
"Judge, County Criminal Court No.4",0846,23,24,47,229,20.52%,3,42,45
"Judge, County Criminal Court No.4",0847,305,211,516,2015,25.61%,146,353,499
"Judge, County Criminal Court No.4",0848,489,266,755,1856,40.68%,222,497,719
"Judge, County Criminal Court No.4",0849,201,291,492,2124,23.16%,197,273,470
"Judge, County Criminal Court No.4",0850,45,41,87,210,41.43%,33,52,85
"Judge, County Criminal Court No.4",0851,1029,657,1686,4709,35.80%,1139,474,1613
"Judge, County Criminal Court No.4",0852,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No.4",0853,575,620,1296,2882,44.97%,1000,238,1238
"Judge, County Criminal Court No.4",0854,15,26,41,172,23.84%,7,32,39
"Judge, County Criminal Court No.4",0855,5,9,14,16,87.50%,5,8,13
"Judge, County Criminal Court No.4",0856,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No.4",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No.4",0858,63,34,97,343,28.28%,3,91,94
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0859,157,106,263,890,29.55%,69,187,256
"Judge, County Criminal Court No.4",0860,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0861,315,199,514,1842,27.90%,82,419,501
"Judge, County Criminal Court No.4",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0863,101,54,155,584,26.54%,7,147,154
"Judge, County Criminal Court No.4",0864,193,299,492,2569,19.15%,139,329,468
"Judge, County Criminal Court No.4",0865,2,3,5,21,23.81%,0,5,5
"Judge, County Criminal Court No.4",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0868,236,271,507,2326,21.80%,168,319,487
"Judge, County Criminal Court No.4",0869,53,39,92,470,19.57%,24,67,91
"Judge, County Criminal Court No.4",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0871,1,0,1,3,33.33%,0,1,1
"Judge, County Criminal Court No.4",0872,5,3,8,59,13.56%,4,4,8
"Judge, County Criminal Court No.4",0873,98,75,173,737,23.47%,43,127,170
"Judge, County Criminal Court No.4",0874,763,707,1470,3223,45.61%,1110,302,1412
"Judge, County Criminal Court No.4",0875,904,527,1431,5147,27.80%,704,681,1385
"Judge, County Criminal Court No.4",0876,698,641,1339,3265,41.01,%,1034,264,1298
"Judge, County Criminal Court No.4",0877,476,382,858,3032,28.30%,350,487,837
"Judge, County Criminal Court No.4",0878,427,354,781,1666,46.88%,659,102,761
"Judge, County Criminal Court No.4",0879,407,294,701,2667,26.28%,358,308,666
"Judge, County Criminal Court No.4",0880,543,447,990,2352,42.09%,797,157,954
"Judge, County Criminal Court No.4",0881,593,540,1133,4479,25.30%,390,716,1106
"Judge, County Criminal Court No.4",0882,426,291,717,2422,29.60%,427,264,691
"Judge, County Criminal Court No.4",0883,643,702,1345,5408,24.87%,242,1066,1308
"Judge, County Criminal Court No.4",0884,57,25,82,377,21.75%,9,70,79
"Judge, County Criminal Court No.4",0885,562,368,930,2619,35.51%,550,358,908
"Judge, County Criminal Court No.4",0886,128,108,236,675,34.96%,137,85,222
"Judge, County Criminal Court No.4",0887,50,67,117,418,27.99%,55,52,107
"Judge, County Criminal Court No.4",0888,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No.4",0889,14,0,14,57,24.56%,5,8,13
"Judge, County Criminal Court No.4",0890,164,103,267,1095,24.38%,87,158,245
"Judge, County Criminal Court No.4",0891,317,243,560,1331,42.07%,221,301,522
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0892,115,86,201,808,24.88%,71,117,188
"Judge, County Criminal Court No.4",0893,0,2,2,6,33.33%,0,2,2
"Judge, County Criminal Court No.4",0894,0,3,3,0,0.00%,2,1,3
"Judge, County Criminal Court No.4",0895,156,286,442,793,55.74%,183,201,384
"Judge, County Criminal Court No.4",0896,370,297,667,1459,45.72%,252,356,608
"Judge, County Criminal Court No.4",0897,252,297,549,1701,32.28%,321,210,531
"Judge, County Criminal Court No.4",0898,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No.4",0899,2,0,2,8,25.00%,0,2,2
"Judge, County Criminal Court No.4",0900,0,2,2,10,20.00%,1,1,2
"Judge, County Criminal Court No.4",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0902,394,486,880,2139,41.14%,479,339,818
"Judge, County Criminal Court No.4",0903,3,7,10,50,20.00%,2,6,8
"Judge, County Criminal Court No.4",0904,1,0,1,7,14.29%,1,0,1
"Judge, County Criminal Court No.4",0905,123,100,223,904,24.67%,99,110,209
"Judge, County Criminal Court No.4",0906,8,6,14,25,56.00%,7,5,12
"Judge, County Criminal Court No.4",0907,12,19,31,181,17.13%,6,25,31
"Judge, County Criminal Court No.4",0908,0,1,1,0,0.00%,0,1,1
"Judge, County Criminal Court No.4",0909,2,1,3,18,16.67%,0,3,3
"Judge, County Criminal Court No.4",0910,25,24,49,217,22.58%,21,25,46
"Judge, County Criminal Court No.4",0911,118,60,178,551,32.30%,119,52,171
"Judge, County Criminal Court No.4",0912,316,201,517,1273,40.61%,338,150,488
"Judge, County Criminal Court No.4",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0914,169,179,348,701,49.64%,279,55,334
"Judge, County Criminal Court No.4",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0916,417,240,657,1491,44.06%,530,105,635
"Judge, County Criminal Court No.4",0917,177,62,239,483,49.48%,159,64,223
"Judge, County Criminal Court No.4",0918,304,168,472,883,53.45%,368,78,446
"Judge, County Criminal Court No.4",0919,0,0,0,3,0.00%,0,0,0
"Judge, County Criminal Court No.4",0920,22,12,34,71,47.89%,23,10,33
"Judge, County Criminal Court No.4",0921,32,15,47,119,39.50%,34,12,46
"Judge, County Criminal Court No.4",0922,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0923,470,137,607,1511,40.17%,453,136,589
"Judge, County Criminal Court No.4",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0926,171,128,299,796,37.56%,224,64,288
"Judge, County Criminal Court No.4",0927,44,30,74,270,27.41%,27,40,67
"Judge, County Criminal Court No.4",0928,3,0,3,8,37.50%,0,3,3
"Judge, County Criminal Court No.4",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0930,109,54,163,584,27.91%,6,153,159
"Judge, County Criminal Court No.4",0931,30,40,70,130,53.85%,33,26,59
"Judge, County Criminal Court No.4",0932,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0933,115,85,200,627,31.90%,57,138,195
"Judge, County Criminal Court No.4",0934,2,0,2,63,3.17%,1,1,2
"Judge, County Criminal Court No.4",0935,3,2,5,54,9.26%,2,1,3
"Judge, County Criminal Court No.4",0936,s,2,10,81,12.35%,3,6,9
"Judge, County Criminal Court No.4",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0938,30,14,44,231,19.05%,16,27,43
"Judge, County Criminal Court No.4",0939,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No.4",0940,0,0,0,10,0.00%,0,0,0
"Judge, County Criminal Court No.4",0941,9,10,19,25,76.00%,19,0,19
"Judge, County Criminal Court No.4",0942,53,27,80,156,51.28%,66,10,76
"Judge, County Criminal Court No.4",0943,164,80,244,547,44.61%,165,63,228
"Judge, County Criminal Court No.4",0944,20,4,24,45,53.33%,19,0,19
"Judge, County Criminal Court No.4",0945,1,2,3,17,17.65%,1,2,3
"Judge, County Criminal Court No.4",0946,0,1,1,13,7.69%,0,1,1
"Judge, County Criminal Court No.4",0947,177,246,423,799,52.94%,226,172,398
"Judge, County Criminal Court No.4",0948,0,14,14,1,1400.00%,9,2,11
"Judge, County Criminal Court No.4",0949,34,27,61,193,31.61%,34,27,61
"Judge, County Criminal Court No.4",0950,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No.4",0951,33,30,63,277,22.74%,16,46,62
"Judge, County Criminal Court No.4",0952,16,15,31,71,43.66%,17,12,29
"Judge, County Criminal Court No.4",0953,18,9,27,275,9.82%,4,22,26
"Judge, County Criminal Court No.4",0954,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No.4",0955,3,2,5,19,26.32%,4,1,5
"Judge, County Criminal Court No.4",0956,2,4,6,11,54.55%,2,4,6
"Judge, County Criminal Court No.4",0957,97,95,192,562,34.16%,22,168,190
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0958,81,129,210,1081,19.43%,58,145,203
"Judge, County Criminal Court No.4",0959,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0960,196,157,353,976,36.17%,69,271,340
"Judge, County Criminal Court No.4",0961,15,0,16,56,28.57%,1,15,16
"Judge, County Criminal Court No.4",0962,10,17,27,88,30.68%,4,23,27
"Judge, County Criminal Court No.4",0963,54,41,105,426,24.65%,57,42,99
"Judge, County Criminal Court No.4",0964,568,437,1005,2372,42.37%,617,351,968
"Judge, County Criminal Court No.4",0965,31,21,52,343,15.16%,27,24,51
"Judge, County Criminal Court No.4",0966,129,83,212,1148,18.47%,79,128,207
"Judge, County Criminal Court No.4",0967,15,48,63,165,38.18%,19,43,62
"Judge, County Criminal Court No.4",0968,119,30,149,692,21.53%,31,116,147
"Judge, County Criminal Court No.4",0969,156,73,229,604,37.91%,1,226,227
"Judge, County Criminal Court No.4",0970,83,36,119,731,16.28%,17,99,116
"Judge, County Criminal Court No.4",0971,11,8,19,147,12.93%,1,15,16
"Judge, County Criminal Court No.4",0972,e,8,14,31,45.16%,13,0,13
"Judge, County Criminal Court No.4",0973,24,19,43,111,38.74%,21,18,39
"Judge, County Criminal Court No.4",0974,57,36,93,299,31.10%,60,31,91
"Judge, County Criminal Court No.4",0975,55,30,85,193,44.04%,41,38,79
"Judge, County Criminal Court No.4",0976,58,62,130,683,19.03%,87,41,128
"Judge, County Criminal Court No.4",0977,50,43,93,572,16.26%,40,52,92
"Judge, County Criminal Court No.4",0978,77,79,156,546,28.57%,30,123,153
"Judge, County Criminal Court No.4",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Criminal Court No.4",0980,280,321,601,1389,43.27%,452,118,570
"Judge, County Criminal Court No.4",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0982,312,312,624,1567,39.82%,514,85,599
"Judge, County Criminal Court No.4",0983,11,21,32,161,19.88%,20,11,31
"Judge, County Criminal Court No.4",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Criminal Court No.4",0985,117,63,180,351,51.28%,92,77,169
"Judge, County Criminal Court No.4",0986,43,30,73,463,15.77%,11,61,72
"Judge, County Criminal Court No.4",0987,231,90,321,1155,27.79%,30,284,314
"Judge, County Criminal Court No.4",0988,24,12,36,123,29.27%,33,3,36
"Judge, County Criminal Court No.4",0989,e,6,12,43,27.91%,9,3,12
"Judge, County Criminal Court No.4",0990,16,1,17,140,12.14%,8,8,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0991,0,0,0,1,0.00%,0,0,0
