Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0565,315,194,509,1373,37.07%,84,392,476
"Justice, 14th Court of Appeals District, Place 8",0566,1123,478,1601,2950,54.27%,406,1128,1534
"Justice, 14th Court of Appeals District, Place 8",0567,672,394,1066,2198,48.50%,276,693,969
"Justice, 14th Court of Appeals District, Place 8",0568,1628,837,2465,3487,70.69%,1570,716,2286
"Justice, 14th Court of Appeals District, Place 8",0569,1294,865,2159,3249,66.45%,1134,861,1995
"Justice, 14th Court of Appeals District, Place 8",0570,527,409,936,1473,63.54%,405,448,853
"Justice, 14th Court of Appeals District, Place 8",0571,333,312,645,1758,36.69%,178,422,600
"Justice, 14th Court of Appeals District, Place 8",0572,1283,574,1857,2998,61.94%,853,910,1763
"Justice, 14th Court of Appeals District, Place 8",0573,578,368,946,1618,58.47%,10,915,925
"Justice, 14th Court of Appeals District, Place 8",0574,98,79,177,391,45.27%,15,154,169
"Justice, 14th Court of Appeals District, Place 8",0575,27,9,36,79,45.57%,32,3,35
"Justice, 14th Court of Appeals District, Place 8",0576,1051,552,1603,2671,60.01%,50,1499,1549
"Justice, 14th Court of Appeals District, Place 8",0577,231,113,344,573,60.03%,186,140,326
"Justice, 14th Court of Appeals District, Place 8",0578,745,553,1298,1689,76.85%,777,406,1183
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0579,488,351,839,1806,46.46%,175,622,797
"Justice, 14th Court of Appeals District, Place 8",0580,429,146,575,1027,55.99%,12,550,562
"Justice, 14th Court of Appeals District, Place 8",0581,510,162,672,1041,64.55%,15,633,648
"Justice, 14th Court of Appeals District, Place 8",0582,615,256,871,1613,54.00%,42,800,842
"Justice, 14th Court of Appeals District, Place 8",0583,544,127,671,1248,53.77%,13,644,657
"Justice, 14th Court of Appeals District, Place 8",0584,392,139,531,971,54.69%,33,493,526
"Justice, 14th Court of Appeals District, Place 8",0585,934,304,1238,2403,51.52%,32,1173,1205
"Justice, 14th Court of Appeals District, Place 8",0585,1306,1189,2495,4230,58.98%,1456,941,2397
"Justice, 14th Court of Appeals District, Place 8",0587,933,465,1398,2174,64.31%,485,861,1346
"Justice, 14th Court of Appeals District, Place 8",0588,1536,871,2407,3468,69.41%,1661,644,2305
"Justice, 14th Court of Appeals District, Place 8",0589,1033,738,1771,3130,56.58%,893,798,1691
"Justice, 14th Court of Appeals District, Place 8",0590,1158,463,1621,2136,75.89%,1220,318,1538
"Justice, 14th Court of Appeals District, Place 8",0591,420,449,869,2114,41.11%,203,615,818
"Justice, 14th Court of Appeals District, Place 8",0592,370,288,658,1258,52.31%,148,481,629
"Justice, 14th Court of Appeals District, Place 8",0593,1149,999,2148,4059,52.92%,907,1135,2042
"Justice, 14th Court of Appeals District, Place 8",0594,1031,535,1566,2361,66.33%,441,1072,1513
"Justice, 14th Court of Appeals District, Place 8",0595,497,380,877,1647,53.25%,129,716,845
"Justice, 14th Court of Appeals District, Place 8",0596,946,690,1636,2848,57.44%,824,744,1568
"Justice, 14th Court of Appeals District, Place 8",0597,1067,719,1786,3267,54.67%,589,1123,1712
"Justice, 14th Court of Appeals District, Place 8",0598,335,103,438,724,60.50%,329,80,409
"Justice, 14th Court of Appeals District, Place 8",0599,1895,866,2761,4135,66.77%,887,1765,2652
"Justice, 14th Court of Appeals District, Place 8",0600,1383,869,2252,3820,58.95%,750,1397,2147
"Justice, 14th Court of Appeals District, Place 8",0601,2028,858,2886,3990,72.33%,2136,635,2771
"Justice, 14th Court of Appeals District, Place 8",0602,562,296,858,1237,69.36%,577,249,826
"Justice, 14th Court of Appeals District, Place 8",0603,1438,1163,2601,3917,66.40%,1523,983,2506
"Justice, 14th Court of Appeals District, Place 8",0604,1444,528,1972,2910,67.77%,1580,300,1880
"Justice, 14th Court of Appeals District, Place 8",0605,2227,889,3116,5251,59.34%,685,2303,2988
"Justice, 14th Court of Appeals District, Place 8",0606,420,122,542,1053,51.47%,6,519,525
"Justice, 14th Court of Appeals District, Place 8",0607,194,118,312,731,42.68%,22,276,298
"Justice, 14th Court of Appeals District, Place 8",0608,245,290,535,1256,42.60%,194,305,499
"Justice, 14th Court of Appeals District, Place 8",0609,1364,844,2208,3261,67.71%,1329,748,2077
"Justice, 14th Court of Appeals District, Place 8",0610,403,398,801,1825,43.89%,333,422,755
"Justice, 14th Court of Appeals District, Place 8",0611,1121,301,1422,2450,58.04%,39,1347,1386
"Justice, 14th Court of Appeals District, Place 8",0612,1700,579,2279,3272,69.65%,1672,474,2146
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0613,495,309,804,1450,55.45%,116,657,773
"Justice, 14th Court of Appeals District, Place 8",0614,1631,812,2443,3932,62.13%,765,1567,2332
"Justice, 14th Court of Appeals District, Place 8",0615,931,404,1335,1926,69.31%,766,510,1276
"Justice, 14th Court of Appeals District, Place 8",0616,1352,970,2322,3378,68.74%,1545,656,2201
"Justice, 14th Court of Appeals District, Place 8",0617,1320,849,2169,3546,61.17%,736,1345,2081
"Justice, 14th Court of Appeals District, Place 8",0618,1922,1021,2943,5344,55.07%,1236,1583,2819
"Justice, 14th Court of Appeals District, Place 8",0619,2133,857,2990,4266,70.09%,2181,676,2857
"Justice, 14th Court of Appeals District, Place 8",0620,2384,856,3240,5271,61.47%,1519,1513,3032
"Justice, 14th Court of Appeals District, Place 8",0621,397,203,600,1173,51.15%,284,284,568
"Justice, 14th Court of Appeals District, Place 8",0622,1722,829,2551,4305,59.26%,1434,1000,2434
"Justice, 14th Court of Appeals District, Place 8",0623,1708,626,2334,3481,67.05%,1448,752,2200
"Justice, 14th Court of Appeals District, Place 8",0624,9,0,9,16,56.25%,4,5,9
"Justice, 14th Court of Appeals District, Place 8",0625,862,454,1316,1796,73.27%,720,495,1215
"Justice, 14th Court of Appeals District, Place 8",0626,1148,655,1803,2838,63.53%,877,825,1702
"Justice, 14th Court of Appeals District, Place 8",0627,795,547,1442,2964,48.65%,391,964,1355
"Justice, 14th Court of Appeals District, Place 8",0628,292,456,748,1600,46.75%,282,424,706
"Justice, 14th Court of Appeals District, Place 8",0629,175,127,302,629,48.01%,17,279,296
"Justice, 14th Court of Appeals District, Place 8",0630,2019,535,2554,3190,80.06%,209,2254,2463
"Justice, 14th Court of Appeals District, Place 8",0631,1489,392,1881,2733,68.83%,1309,481,1790
"Justice, 14th Court of Appeals District, Place 8",0632,12,9,21,231,9.09%,5,13,18
"Justice, 14th Court of Appeals District, Place 8",0633,1782,678,2460,3257,75.53%,1753,590,2343
"Justice, 14th Court of Appeals District, Place 8",0634,1020,734,1754,2922,60.03%,1047,630,1677
"Justice, 14th Court of Appeals District, Place 8",0635,1327,706,2033,3280,61.98%,1522,427,1949
"Justice, 14th Court of Appeals District, Place 8",0636,1791,974,2765,3881,71.24%,2314,340,2654
"Justice, 14th Court of Appeals District, Place 8",0637,739,509,1248,2471,50.51%,255,913,1168
"Justice, 14th Court of Appeals District, Place 8",0638,740,684,1424,2078,68.53%,86,1276,1362
"Justice, 14th Court of Appeals District, Place 8",0639,829,711,1540,2501,61.58%,1189,292,1481
"Justice, 14th Court of Appeals District, Place 8",0640,1382,723,2105,3548,59.33%,1166,840,2006
"Justice, 14th Court of Appeals District, Place 8",0641,1265,878,2143,3375,63.50%,1281,764,2045
"Justice, 14th Court of Appeals District, Place 8",0642,873,447,1320,1779,74.20%,1058,201,1259
"Justice, 14th Court of Appeals District, Place 8",0643,2157,994,3151,5310,59.34%,1164,1840,3004
"Justice, 14th Court of Appeals District, Place 8",0644,2123,1204,3327,5261,63.24%,2036,1125,3161
"Justice, 14th Court of Appeals District, Place 8",0645,1639,895,2534,4035,62.80%,1150,1248,2398
"Justice, 14th Court of Appeals District, Place 8",0646,708,456,1164,2163,53.81%,326,780,1106
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0647,1771,1020,2791,5593,49.90%,681,1895,2576
"Justice, 14th Court of Appeals District, Place 8",0648,1590,668,2258,3197,70.63%,1533,618,2151
"Justice, 14th Court of Appeals District, Place 8",0649,1389,854,2243,4426,50.68%,595,1528,2123
"Justice, 14th Court of Appeals District, Place 8",0650,1328,939,2267,3151,71.95%,1630,526,2156
"Justice, 14th Court of Appeals District, Place 8",0651,2085,1070,3155,4931,63.98%,1911,1086,2997
"Justice, 14th Court of Appeals District, Place 8",0652,1050,653,1703,2633,64.68%,262,1380,1642
"Justice, 14th Court of Appeals District, Place 8",0653,0,8,8,0,0.00%,2,6,8
"Justice, 14th Court of Appeals District, Place 8",0654,2103,1344,3447,5765,59.79%,1633,1620,3253
"Justice, 14th Court of Appeals District, Place 8",0655,2613,1451,4064,6304,64.47%,2452,1397,3849
"Justice, 14th Court of Appeals District, Place 8",0656,1198,421,1619,2622,61.75%,47,1522,1569
"Justice, 14th Court of Appeals District, Place 8",0657,490,268,758,1200,63.17%,285,434,719
"Justice, 14th Court of Appeals District, Place 8",0658,985,708,1693,2824,59.95%,1016,608,1624
"Justice, 14th Court of Appeals District, Place 8",0659,2141,1091,3232,4588,70.44%,2231,862,3093
"Justice, 14th Court of Appeals District, Place 8",0660,2460,932,3392,5048,67.19%,314,2961,3275
"Justice, 14th Court of Appeals District, Place 8",0661,1614,1012,2626,4179,62.84%,1362,1123,2485
"Justice, 14th Court of Appeals District, Place 8",0662,2477,999,3476,4807,72.31%,2707,630,3337
"Justice, 14th Court of Appeals District, Place 8",0663,1302,913,2215,3232,68.53%,1179,870,2049
"Justice, 14th Court of Appeals District, Place 8",0664,681,607,1288,2801,45.98%,255,972,1227
"Justice, 14th Court of Appeals District, Place 8",0665,951,394,1345,2007,67.02%,1077,196,1273
"Justice, 14th Court of Appeals District, Place 8",0666,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0667,989,547,1536,2181,70.43%,1143,308,1451
"Justice, 14th Court of Appeals District, Place 8",0668,927,655,1582,2458,64.36%,960,545,1505
"Justice, 14th Court of Appeals District, Place 8",0669,1606,823,2429,3243,74.90%,1666,631,2297
"Justice, 14th Court of Appeals District, Place 8",0670,1566,518,2084,2952,70.60%,1593,364,1957
"Justice, 14th Court of Appeals District, Place 8",0671,1090,773,1863,2942,63.32%,1039,712,1751
"Justice, 14th Court of Appeals District, Place 8",0672,2301,1078,3379,4710,71.74%,2167,1082,3249
"Justice, 14th Court of Appeals District, Place 8",0673,1376,643,2019,2988,67.57%,1538,370,1908
"Justice, 14th Court of Appeals District, Place 8",0674,2092,813,2905,4055,71.64%,2112,682,2794
"Justice, 14th Court of Appeals District, Place 8",0675,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0676,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0677,220,239,459,954,48.11%,118,320,438
"Justice, 14th Court of Appeals District, Place 8",0678,297,164,461,756,60.98%,295,128,423
"Justice, 14th Court of Appeals District, Place 8",0679,1468,661,2129,3331,63.91%,1515,495,2010
"Justice, 14th Court of Appeals District, Place 8",0680,57,22,79,181,43.65%,32,40,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0681,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0682,1674,912,2586,4134,62.55%,1798,665,2463
"Justice, 14th Court of Appeals District, Place 8",0683,48,50,98,261,37.55%,21,72,93
"Justice, 14th Court of Appeals District, Place 8",0684,72,24,96,187,51.34%,56,33,89
"Justice, 14th Court of Appeals District, Place 8",0685,167,29,196,326,60.12%,88,95,183
"Justice, 14th Court of Appeals District, Place 8",0686,46,34,80,196,40.82%,18,57,75
"Justice, 14th Court of Appeals District, Place 8",0687,1084,641,1725,2497,69.08%,1117,486,1603
"Justice, 14th Court of Appeals District, Place 8",0688,1815,673,2488,3266,76.18%,1949,417,2366
"Justice, 14th Court of Appeals District, Place 8",0689,505,651,1156,2276,50.79%,507,552,1059
"Justice, 14th Court of Appeals District, Place 8",0690,1966,1116,3082,4184,73.66%,2342,595,2937
"Justice, 14th Court of Appeals District, Place 8",0691,10,2,12,34,35.29%,4,8,12
"Justice, 14th Court of Appeals District, Place 8",0692,1000,717,1717,2626,65.38%,1226,407,1633
"Justice, 14th Court of Appeals District, Place 8",0693,303,116,419,651,64.36%,100,286,386
"Justice, 14th Court of Appeals District, Place 8",0694,420,137,557,817,68.18%,370,163,533
"Justice, 14th Court of Appeals District, Place 8",0695,454,320,774,1646,47.02%,459,275,734
"Justice, 14th Court of Appeals District, Place 8",0696,600,373,973,2098,46.38%,575,352,927
"Justice, 14th Court of Appeals District, Place 8",0697,1516,941,2457,4307,57.05%,519,1846,2365
"Justice, 14th Court of Appeals District, Place 8",0698,1137,659,1796,2948,60.92%,151,1578,1729
"Justice, 14th Court of Appeals District, Place 8",0699,1031,566,1597,2288,69.80%,1003,459,1462
"Justice, 14th Court of Appeals District, Place 8",0700,531,287,818,1313,62.30%,637,142,779
"Justice, 14th Court of Appeals District, Place 8",0701,142,115,257,554,46.39%,126,118,244
"Justice, 14th Court of Appeals District, Place 8",0702,150,123,273,549,49.73%,25,235,260
"Justice, 14th Court of Appeals District, Place 8",0703,742,616,1358,1845,73.60%,955,308,1263
"Justice, 14th Court of Appeals District, Place 8",0704,1334,701,2035,2882,70.61%,1595,334,1929
"Justice, 14th Court of Appeals District, Place 8",0705,358,238,596,1520,39.21%,55,518,573
"Justice, 14th Court of Appeals District, Place 8",0706,222,135,357,529,67.49%,164,184,348
"Justice, 14th Court of Appeals District, Place 8",0707,284,136,420,707,59.41%,240,153,393
"Justice, 14th Court of Appeals District, Place 8",0708,109,95,204,568,35.92%,92,101,193
"Justice, 14th Court of Appeals District, Place 8",0709,2997,1297,4294,6239,68.83%,2488,1632,4120
"Justice, 14th Court of Appeals District, Place 8",0710,877,602,1479,2023,73.11%,846,520,1366
"Justice, 14th Court of Appeals District, Place 8",0711,1492,701,2193,3351,65.44%,1276,780,2056
"Justice, 14th Court of Appeals District, Place 8",0712,1200,858,2058,3348,61.47%,786,1213,1999
"Justice, 14th Court of Appeals District, Place 8",0713,665,436,1101,1827,60.26%,553,495,1048
"Justice, 14th Court of Appeals District, Place 8",0714,77,3,80,304,26.32%,51,24,75
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0715,405,326,731,1380,52.97%,339,353,692
"Justice, 14th Court of Appeals District, Place 8",0716,977,622,1599,2670,59.89%,1090,440,1530
"Justice, 14th Court of Appeals District, Place 8",0717,826,362,1188,1927,61.65%,151,989,1140
"Justice, 14th Court of Appeals District, Place 8",0718,1844,1019,2863,4050,70.69%,1882,777,2659
"Justice, 14th Court of Appeals District, Place 8",0719,508,260,768,1617,47.50%,398,323,721
"Justice, 14th Court of Appeals District, Place 8",0720,1575,1044,2619,3903,67.10%,1847,669,2516
"Justice, 14th Court of Appeals District, Place 8",0721,1334,637,1971,2842,69.35%,1312,535,1847
"Justice, 14th Court of Appeals District, Place 8",0722,1892,642,2534,4357,58.16%,142,2291,2433
"Justice, 14th Court of Appeals District, Place 8",0723,747,329,1076,1760,61.14%,220,812,1032
"Justice, 14th Court of Appeals District, Place 8",0724,325,170,495,716,69.13%,336,136,472
"Justice, 14th Court of Appeals District, Place 8",0725,953,329,1282,2124,60.36%,501,716,1217
"Justice, 14th Court of Appeals District, Place 8",0726,1141,304,1445,1987,72.72%,1232,148,1380
"Justice, 14th Court of Appeals District, Place 8",0727,931,466,1397,2488,56.15%,332,1006,1338
"Justice, 14th Court of Appeals District, Place 8",0728,343,208,551,881,62.54%,302,212,514
"Justice, 14th Court of Appeals District, Place 8",0729,208,93,301,446,67.49%,175,111,286
"Justice, 14th Court of Appeals District, Place 8",0730,802,437,1239,1630,76.01%,827,323,1150
"Justice, 14th Court of Appeals District, Place 8",0731,122,36,158,373,42.36%,29,119,148
"Justice, 14th Court of Appeals District, Place 8",0732,701,543,1244,1895,65.65%,713,452,1165
"Justice, 14th Court of Appeals District, Place 8",0733,25,62,87,172,50.58%,26,52,78
"Justice, 14th Court of Appeals District, Place 8",0734,3209,1114,4323,5952,72.63%,2842,1326,4168
"Justice, 14th Court of Appeals District, Place 8",0735,9,0,9,23,39.1,3%,9,0,9
"Justice, 14th Court of Appeals District, Place 8",0736,6,1,7,21,33.33%,0,6,6
"Justice, 14th Court of Appeals District, Place 8",0737,25,5,30,53,56.60%,25,5,30
"Justice, 14th Court of Appeals District, Place 8",0738,470,219,689,1294,53.25%,79,590,669
"Justice, 14th Court of Appeals District, Place 8",0739,1005,490,1495,2872,52.05%,634,807,1441
"Justice, 14th Court of Appeals District, Place 8",0740,233,205,438,935,46.84%,225,195,420
"Justice, 14th Court of Appeals District, Place 8",0741,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0742,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0743,27,4,31,199,15.58%,12,17,29
"Justice, 14th Court of Appeals District, Place 8",0744,848,509,1357,2024,67.05%,855,421,1276
"Justice, 14th Court of Appeals District, Place 8",0745,1066,542,1608,2396,67.11%,996,514,1510
"Justice, 14th Court of Appeals District, Place 8",0746,230,151,381,707,53.89%,177,173,350
"Justice, 14th Court of Appeals District, Place 8",0747,1200,873,2073,3490,59.40%,919,1069,1988
"Justice, 14th Court of Appeals District, Place 8",0748,421,307,728,1319,55.19%,313,372,685
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0749,99,57,156,359,43.45%,27,118,145
"Justice, 14th Court of Appeals District, Place 8",0750,264,147,411,720,57.08%,225,162,387
"Justice, 14th Court of Appeals District, Place 8",0751,1665,1254,2919,4451,65.58%,1895,887,2782
"Justice, 14th Court of Appeals District, Place 8",0752,571,277,848,1511,56.12%,586,217,803
"Justice, 14th Court of Appeals District, Place 8",0753,106,61,167,260,64.23%,109,54,163
"Justice, 14th Court of Appeals District, Place 8",0754,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0755,1048,896,1944,3569,54.47%,667,1187,1854
"Justice, 14th Court of Appeals District, Place 8",0756,582,300,882,1539,57.31%,293,543,836
"Justice, 14th Court of Appeals District, Place 8",0757,1416,690,2106,3498,60.21%,320,1716,2036
"Justice, 14th Court of Appeals District, Place 8",0758,1996,783,2779,3781,73.50%,2163,440,2603
"Justice, 14th Court of Appeals District, Place 8",0759,1109,590,1699,2625,64.72%,986,610,1596
"Justice, 14th Court of Appeals District, Place 8",0760,2346,647,2993,4154,72.05%,2461,375,2836
"Justice, 14th Court of Appeals District, Place 8",0761,917,219,1136,1464,77.60%,815,244,1059
"Justice, 14th Court of Appeals District, Place 8",0762,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0763,256,308,564,1184,47.64%,165,370,535
"Justice, 14th Court of Appeals District, Place 8",0764,2270,1050,3320,4931,67.33%,2028,1146,3174
"Justice, 14th Court of Appeals District, Place 8",0765,1390,815,2205,3967,55.58%,751,1364,2115
"Justice, 14th Court of Appeals District, Place 8",0766,71,92,163,383,42.56%,30,117,147
"Justice, 14th Court of Appeals District, Place 8",0767,20,15,35,90,38.89%,21,11,32
"Justice, 14th Court of Appeals District, Place 8",0768,2854,1159,4013,5364,74.81%,3097,752,3849
"Justice, 14th Court of Appeals District, Place 8",0769,117,5,122,161,75.78%,4,114,118
"Justice, 14th Court of Appeals District, Place 8",0770,58,48,106,262,40.46%,44,57,101
"Justice, 14th Court of Appeals District, Place 8",0771,702,537,1239,2378,52.10%,597,576,1173
"Justice, 14th Court of Appeals District, Place 8",0772,2929,1002,3931,5617,69.98%,2891,852,3743
"Justice, 14th Court of Appeals District, Place 8",0773,892,550,1442,2648,54.46%,337,1023,1360
"Justice, 14th Court of Appeals District, Place 8",0774,117,74,191,301,63.46%,41,144,185
"Justice, 14th Court of Appeals District, Place 8",0775,33,1,34,83,40.96%,1,32,33
"Justice, 14th Court of Appeals District, Place 8",0776,1113,741,1854,2855,64.94%,1035,736,1771
"Justice, 14th Court of Appeals District, Place 8",0777,83,123,206,642,32.09%,46,153,199
"Justice, 14th Court of Appeals District, Place 8",0778,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0779,295,221,516,1146,45.03%,153,328,481
"Justice, 14th Court of Appeals District, Place 8",0780,136,114,250,579,43.18%,101,130,231
"Justice, 14th Court of Appeals District, Place 8",0781,1152,655,1807,3716,48.63%,634,1001,1635
"Justice, 14th Court of Appeals District, Place 8",0782,851,532,1383,2188,63.21%,800,502,1302
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0783,103,43,146,265,55.09%,76,59,135
"Justice, 14th Court of Appeals District, Place 8",0784,428,156,584,1071,54.53%,7,558,565
"Justice, 14th Court of Appeals District, Place 8",0785,66,55,121,310,39.03%,57,62,119
"Justice, 14th Court of Appeals District, Place 8",0786,193,277,470,1297,36.24%,132,318,450
"Justice, 14th Court of Appeals District, Place 8",0787,154,76,230,487,47.23%,69,148,217
"Justice, 14th Court of Appeals District, Place 8",0788,156,58,214,481,44.49%,70,132,202
"Justice, 14th Court of Appeals District, Place 8",0789,3,1,4,4,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 8",0790,1,0,1,4,25.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0791,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0792,549,409,958,1834,52.24%,200,709,909
"Justice, 14th Court of Appeals District, Place 8",0793,889,338,1227,2437,50.35%,680,499,1179
"Justice, 14th Court of Appeals District, Place 8",0794,575,484,1059,2602,40.70%,74,947,1021
"Justice, 14th Court of Appeals District, Place 8",0795,265,255,520,1207,43.08%,140,337,477
"Justice, 14th Court of Appeals District, Place 8",0796,145,92,237,485,48.87%,117,108,225
"Justice, 14th Court of Appeals District, Place 8",0797,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0798,176,263,439,496,88.51%,120,279,399
"Justice, 14th Court of Appeals District, Place 8",0799,65,12,77,146,52.74%,18,56,74
"Justice, 14th Court of Appeals District, Place 8",0800,1188,795,1983,2817,70.39%,1298,581,1879
"Justice, 14th Court of Appeals District, Place 8",0801,68,55,123,253,48.62%,37,79,116
"Justice, 14th Court of Appeals District, Place 8",0802,98,58,156,299,52.17%,34,108,142
"Justice, 14th Court of Appeals District, Place 8",0803,1305,530,1935,2718,71.19%,1407,433,1840
"Justice, 14th Court of Appeals District, Place 8",0804,1807,960,2767,4348,63.64%,1611,1025,2636
"Justice, 14th Court of Appeals District, Place 8",0805,1509,529,2038,2812,72.48%,1599,339,1938
"Justice, 14th Court of Appeals District, Place 8",0806,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0807,652,402,1054,2001,52.67%,155,854,1009
"Justice, 14th Court of Appeals District, Place 8",0808,41,26,67,84,79.76%,29,29,58
"Justice, 14th Court of Appeals District, Place 8",0809,21,e,27,86,31.40%,8,16,24
"Justice, 14th Court of Appeals District, Place 8",0810,30,48,78,215,36.28%,16,56,72
"Justice, 14th Court of Appeals District, Place 8",0811,39,106,145,271,53.51%,25,114,139
"Justice, 14th Court of Appeals District, Place 8",0812,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0813,1967,1258,3225,5423,59.47%,1483,1624,3107
"Justice, 14th Court of Appeals District, Place 8",0814,1773,955,2728,4503,60.58%,581,2029,2610
"Justice, 14th Court of Appeals District, Place 8",0815,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0816,20,13,33,76,43.42%,5,27,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0817,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0818,134,101,235,527,44.59%,42,186,228
"Justice, 14th Court of Appeals District, Place 8",0819,97,45,142,238,59.66%,86,37,123
"Justice, 14th Court of Appeals District, Place 8",0820,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0821,354,203,557,1206,46.19%,46,489,535
"Justice, 14th Court of Appeals District, Place 8",0822,584,282,866,1544,56.09%,22,820,842
"Justice, 14th Court of Appeals District, Place 8",0823,1850,1015,2865,4710,60.83%,1429,1296,2725
"Justice, 14th Court of Appeals District, Place 8",0824,984,471,1455,2729,53.32%,291,1106,1397
"Justice, 14th Court of Appeals District, Place 8",0825,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0826,153,89,242,342,70.76%,135,90,225
"Justice, 14th Court of Appeals District, Place 8",0827,169,186,355,997,35.61%,118,219,337
"Justice, 14th Court of Appeals District, Place 8",0828,1074,343,1417,1875,75.57%,1123,211,1334
"Justice, 14th Court of Appeals District, Place 8",0829,107,56,163,266,61.28%,32,129,161
"Justice, 14th Court of Appeals District, Place 8",0830,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0831,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0832,109,46,155,351,44.16%,44,101,145
"Justice, 14th Court of Appeals District, Place 8",0833,8,1,9,20,45.00%,0,9,9
"Justice, 14th Court of Appeals District, Place 8",0834,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0835,87,53,140,292,47.95%,37,97,134
"Justice, 14th Court of Appeals District, Place 8",0836,8,3,11,19,57.89%,1,8,9
"Justice, 14th Court of Appeals District, Place 8",0837,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0838,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0839,353,240,593,1122,52.85%,105,452,557
"Justice, 14th Court of Appeals District, Place 8",0840,712,251,963,1621,59.41%,305,621,926
"Justice, 14th Court of Appeals District, Place 8",0841,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 8",0842,988,715,1703,3091,55.10%,702,926,1628
"Justice, 14th Court of Appeals District, Place 8",0843,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 8",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 14th Court of Appeals District, Place 8",0845,85,10,95,100,95.00%,57,31,88
"Justice, 14th Court of Appeals District, Place 8",0846,70,29,99,210,47.14%,6,90,96
"Justice, 14th Court of Appeals District, Place 8",0847,795,321,1116,1804,61.86%,283,782,1065
"Justice, 14th Court of Appeals District, Place 8",0848,782,431,1213,1873,64.76%,366,794,1160
"Justice, 14th Court of Appeals District, Place 8",0849,553,514,1067,2073,51.47%,299,711,1010
