Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0563,1699,415,2114,2969,71.20%,1606,387,1993
"Justice, 14th Court of Appeals District, Place 5",0564,1150,713,1863,3096,60.17%,511,1216,1727
"Justice, 14th Court of Appeals District, Place 5",0565,315,194,509,1373,37.07%,91,382,473
"Justice, 14th Court of Appeals District, Place 5",0566,1123,478,1601,2950,54.27%,428,1106,1534
"Justice, 14th Court of Appeals District, Place 5",0567,672,394,1066,2198,48.50%,281,689,970
"Justice, 14th Court of Appeals District, Place 5",0568,1628,837,2465,3487,70.69%,1584,692,2276
"Justice, 14th Court of Appeals District, Place 5",0569,1294,865,2159,3249,66.45%,1171,822,1993
"Justice, 14th Court of Appeals District, Place 5",0570,527,409,936,1473,63.54%,412,439,851
"Justice, 14th Court of Appeals District, Place 5",0571,333,312,645,1758,36.69%,201,394,595
"Justice, 14th Court of Appeals District, Place 5",0572,1283,574,1857,2998,61.94%,866,890,1756
"Justice, 14th Court of Appeals District, Place 5",0573,578,368,946,1618,58.47%,10,918,928
"Justice, 14th Court of Appeals District, Place 5",0574,98,79,177,391,45.27%,18,146,164
"Justice, 14th Court of Appeals District, Place 5",0575,27,9,36,79,45.57%,32,3,35
"Justice, 14th Court of Appeals District, Place 5",0576,1051,552,1603,2671,60.01%,50,1501,1551
"Justice, 14th Court of Appeals District, Place 5",0577,231,113,344,573,60.03%,194,131,325
"Justice, 14th Court of Appeals District, Place 5",0578,745,553,1298,1689,76.85%,783,390,1173
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0579,488,351,839,1806,46.46%,193,598,791
"Justice, 14th Court of Appeals District, Place 5",0580,429,146,575,1027,55.99%,13,546,559
"Justice, 14th Court of Appeals District, Place 5",0581,510,162,672,1041,64.55%,22,628,650
"Justice, 14th Court of Appeals District, Place 5",0582,615,256,871,1613,54.00%,51,793,844
"Justice, 14th Court of Appeals District, Place 5",0583,544,127,671,1248,53.77%,16,641,657
"Justice, 14th Court of Appeals District, Place 5",0584,392,139,531,971,54.69%,36,489,525
"Justice, 14th Court of Appeals District, Place 5",0585,934,304,1238,2403,51.52%,33,1171,1204
"Justice, 14th Court of Appeals District, Place 5",0585,1306,1189,2495,4230,58.98%,1490,899,2389
"Justice, 14th Court of Appeals District, Place 5",0587,933,465,1398,2174,64.31%,483,865,1348
"Justice, 14th Court of Appeals District, Place 5",0588,1536,871,2407,3468,69.41%,1684,624,2308
"Justice, 14th Court of Appeals District, Place 5",0589,1033,738,1771,3130,56.58%,923,774,1697
"Justice, 14th Court of Appeals District, Place 5",0590,1158,463,1621,2136,75.89%,1234,304,1538
"Justice, 14th Court of Appeals District, Place 5",0591,420,449,869,2114,41.11%,233,581,814
"Justice, 14th Court of Appeals District, Place 5",0592,370,288,658,1258,52.31%,159,473,632
"Justice, 14th Court of Appeals District, Place 5",0593,1149,999,2148,4059,52.92%,953,1080,2033
"Justice, 14th Court of Appeals District, Place 5",0594,1031,535,1566,2361,66.33%,441,1069,1510
"Justice, 14th Court of Appeals District, Place 5",0595,497,380,877,1647,53.25%,142,703,845
"Justice, 14th Court of Appeals District, Place 5",0596,946,690,1636,2848,57.44%,846,727,1573
"Justice, 14th Court of Appeals District, Place 5",0597,1067,719,1786,3267,54.67%,611,1105,1716
"Justice, 14th Court of Appeals District, Place 5",0598,335,103,438,724,60.50%,329,80,409
"Justice, 14th Court of Appeals District, Place 5",0599,1895,866,2761,4135,66.77%,929,1728,2657
"Justice, 14th Court of Appeals District, Place 5",0600,1383,869,2252,3820,58.95%,784,1360,2144
"Justice, 14th Court of Appeals District, Place 5",0601,2028,858,2886,3990,72.33%,2149,620,2769
"Justice, 14th Court of Appeals District, Place 5",0602,562,296,858,1237,69.36%,590,237,827
"Justice, 14th Court of Appeals District, Place 5",0603,1438,1163,2601,3917,66.40%,1555,950,2505
"Justice, 14th Court of Appeals District, Place 5",0604,1444,528,1972,2910,67.77%,1600,288,1888
"Justice, 14th Court of Appeals District, Place 5",0605,2227,889,3116,5251,59.34%,731,2258,2989
"Justice, 14th Court of Appeals District, Place 5",0606,420,122,542,1053,51.47%,6,517,523
"Justice, 14th Court of Appeals District, Place 5",0607,194,118,312,731,42.68%,20,278,298
"Justice, 14th Court of Appeals District, Place 5",0608,245,290,535,1256,42.60%,204,289,493
"Justice, 14th Court of Appeals District, Place 5",0609,1364,844,2208,3261,67.71%,1329,754,2083
"Justice, 14th Court of Appeals District, Place 5",0610,403,398,801,1825,43.89%,345,407,752
"Justice, 14th Court of Appeals District, Place 5",0611,1121,301,1422,2450,58.04%,41,1349,1390
"Justice, 14th Court of Appeals District, Place 5",0612,1700,579,2279,3272,69.65%,1710,436,2146
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0613,495,309,804,1450,55.45%,130,644,774
"Justice, 14th Court of Appeals District, Place 5",0614,1631,812,2443,3932,62.13%,806,1529,2335
"Justice, 14th Court of Appeals District, Place 5",0615,931,404,1335,1926,69.31%,781,488,1269
"Justice, 14th Court of Appeals District, Place 5",0616,1352,970,2322,3378,68.74%,1569,628,2197
"Justice, 14th Court of Appeals District, Place 5",0617,1320,849,2169,3546,61.17%,768,1315,2083
"Justice, 14th Court of Appeals District, Place 5",0618,1922,1021,2943,5344,55.07%,1269,1547,2816
"Justice, 14th Court of Appeals District, Place 5",0619,2133,857,2990,4266,70.09%,2207,647,2854
"Justice, 14th Court of Appeals District, Place 5",0620,2384,856,3240,5271,61.47%,1558,1472,3030
"Justice, 14th Court of Appeals District, Place 5",0621,397,203,600,1173,51.15%,296,274,570
"Justice, 14th Court of Appeals District, Place 5",0622,1722,829,2551,4305,59.26%,1481,944,2425
"Justice, 14th Court of Appeals District, Place 5",0623,1708,626,2334,3481,67.05%,1464,735,2199
"Justice, 14th Court of Appeals District, Place 5",0624,9,0,9,16,56.25%,4,5,9
"Justice, 14th Court of Appeals District, Place 5",0625,862,454,1316,1796,73.27%,746,467,1213
"Justice, 14th Court of Appeals District, Place 5",0626,1148,655,1803,2838,63.53%,902,802,1704
"Justice, 14th Court of Appeals District, Place 5",0627,795,547,1442,2964,48.65%,425,931,1356
"Justice, 14th Court of Appeals District, Place 5",0628,292,456,748,1600,46.75%,311,392,703
"Justice, 14th Court of Appeals District, Place 5",0629,175,127,302,629,48.01%,22,274,296
"Justice, 14th Court of Appeals District, Place 5",0630,2019,535,2554,3190,80.06%,222,2239,2461
"Justice, 14th Court of Appeals District, Place 5",0631,1489,392,1881,2733,68.83%,1331,457,1788
"Justice, 14th Court of Appeals District, Place 5",0632,12,9,21,231,9.09%,4,13,17
"Justice, 14th Court of Appeals District, Place 5",0633,1782,678,2460,3257,75.53%,1758,584,2342
"Justice, 14th Court of Appeals District, Place 5",0634,1020,734,1754,2922,60.03%,1069,607,1676
"Justice, 14th Court of Appeals District, Place 5",0635,1327,706,2033,3280,61.98%,1531,415,1946
"Justice, 14th Court of Appeals District, Place 5",0636,1791,974,2765,3881,71.24%,2326,336,2662
"Justice, 14th Court of Appeals District, Place 5",0637,739,509,1248,2471,50.51%,281,871,1152
"Justice, 14th Court of Appeals District, Place 5",0638,740,684,1424,2078,68.53%,99,1265,1364
"Justice, 14th Court of Appeals District, Place 5",0639,829,711,1540,2501,61.58%,1198,283,1481
"Justice, 14th Court of Appeals District, Place 5",0640,1382,723,2105,3548,59.33%,1187,819,2006
"Justice, 14th Court of Appeals District, Place 5",0641,1265,878,2143,3375,63.50%,1303,743,2046
"Justice, 14th Court of Appeals District, Place 5",0642,873,447,1320,1779,74.20%,1074,183,1257
"Justice, 14th Court of Appeals District, Place 5",0643,2157,994,3151,5310,59.34%,1199,1797,2996
"Justice, 14th Court of Appeals District, Place 5",0644,2123,1204,3327,5261,63.24%,2064,1098,3162
"Justice, 14th Court of Appeals District, Place 5",0645,1639,895,2534,4035,62.80%,1163,1225,2388
"Justice, 14th Court of Appeals District, Place 5",0646,708,456,1164,2163,53.81%,343,762,1105
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0647,1771,1020,2791,5593,49.90%,678,1897,2575
"Justice, 14th Court of Appeals District, Place 5",0648,1590,668,2258,3197,70.63%,1577,583,2160
"Justice, 14th Court of Appeals District, Place 5",0649,1389,854,2243,4426,50.68%,624,1493,2117
"Justice, 14th Court of Appeals District, Place 5",0650,1328,939,2267,3151,71.95%,1648,506,2154
"Justice, 14th Court of Appeals District, Place 5",0651,2085,1070,3155,4931,63.98%,1944,1049,2993
"Justice, 14th Court of Appeals District, Place 5",0652,1050,653,1703,2633,64.68%,282,1357,1639
"Justice, 14th Court of Appeals District, Place 5",0653,0,8,8,0,0.00%,2,6,8
"Justice, 14th Court of Appeals District, Place 5",0654,2103,1344,3447,5765,59.79%,1744,1500,3244
"Justice, 14th Court of Appeals District, Place 5",0655,2613,1451,4064,6304,64.47%,2496,1340,3836
"Justice, 14th Court of Appeals District, Place 5",0656,1198,421,1619,2622,61.75%,52,1517,1569
"Justice, 14th Court of Appeals District, Place 5",0657,490,268,758,1200,63.17%,294,417,711
"Justice, 14th Court of Appeals District, Place 5",0658,985,708,1693,2824,59.95%,1042,584,1626
"Justice, 14th Court of Appeals District, Place 5",0659,2141,1091,3232,4588,70.44%,2267,825,3092
"Justice, 14th Court of Appeals District, Place 5",0660,2460,932,3392,5048,67.19%,330,2945,3275
"Justice, 14th Court of Appeals District, Place 5",0661,1614,1012,2626,4179,62.84%,1390,1089,2479
"Justice, 14th Court of Appeals District, Place 5",0662,2477,999,3476,4807,72.31%,2742,585,3327
"Justice, 14th Court of Appeals District, Place 5",0663,1302,913,2215,3232,68.53%,1212,833,2045
"Justice, 14th Court of Appeals District, Place 5",0664,681,607,1288,2801,45.98%,286,933,1219
"Justice, 14th Court of Appeals District, Place 5",0665,951,394,1345,2007,67.02%,1079,197,1276
"Justice, 14th Court of Appeals District, Place 5",0666,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0667,989,547,1536,2181,70.43%,1169,277,1446
"Justice, 14th Court of Appeals District, Place 5",0668,927,655,1582,2458,64.36%,966,537,1503
"Justice, 14th Court of Appeals District, Place 5",0669,1606,823,2429,3243,74.90%,1686,618,2304
"Justice, 14th Court of Appeals District, Place 5",0670,1566,518,2084,2952,70.60%,1613,334,1947
"Justice, 14th Court of Appeals District, Place 5",0671,1090,773,1863,2942,63.32%,1069,678,1747
"Justice, 14th Court of Appeals District, Place 5",0672,2301,1078,3379,4710,71.74%,2211,1036,3247
"Justice, 14th Court of Appeals District, Place 5",0673,1376,643,2019,2988,67.57%,1548,356,1904
"Justice, 14th Court of Appeals District, Place 5",0674,2092,813,2905,4055,71.64%,2150,647,2797
"Justice, 14th Court of Appeals District, Place 5",0675,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0676,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0677,220,239,459,954,48.11%,126,302,428
"Justice, 14th Court of Appeals District, Place 5",0678,297,164,461,756,60.98%,309,115,424
"Justice, 14th Court of Appeals District, Place 5",0679,1468,661,2129,3331,63.91%,1553,450,2003
"Justice, 14th Court of Appeals District, Place 5",0680,57,22,79,181,43.65%,35,37,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0681,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0682,1674,912,2586,4134,62.55%,1823,640,2463
"Justice, 14th Court of Appeals District, Place 5",0683,48,50,98,261,37.55%,26,66,92
"Justice, 14th Court of Appeals District, Place 5",0684,72,24,96,187,51.34%,58,31,89
"Justice, 14th Court of Appeals District, Place 5",0685,167,29,196,326,60.12%,89,95,184
"Justice, 14th Court of Appeals District, Place 5",0686,46,34,80,196,40.82%,18,57,75
"Justice, 14th Court of Appeals District, Place 5",0687,1084,641,1725,2497,69.08%,1148,458,1606
"Justice, 14th Court of Appeals District, Place 5",0688,1815,673,2488,3266,76.18%,1971,395,2366
"Justice, 14th Court of Appeals District, Place 5",0689,505,651,1156,2276,50.79%,526,528,1054
"Justice, 14th Court of Appeals District, Place 5",0690,1966,1116,3082,4184,73.66%,2368,577,2945
"Justice, 14th Court of Appeals District, Place 5",0691,10,2,12,34,35.29%,5,7,12
"Justice, 14th Court of Appeals District, Place 5",0692,1000,717,1717,2626,65.38%,1252,381,1633
"Justice, 14th Court of Appeals District, Place 5",0693,303,116,419,651,64.36%,111,274,385
"Justice, 14th Court of Appeals District, Place 5",0694,420,137,557,817,68.18%,373,157,530
"Justice, 14th Court of Appeals District, Place 5",0695,454,320,774,1646,47.02%,470,264,734
"Justice, 14th Court of Appeals District, Place 5",0696,600,373,973,2098,46.38%,587,344,931
"Justice, 14th Court of Appeals District, Place 5",0697,1516,941,2457,4307,57.05%,555,1810,2365
"Justice, 14th Court of Appeals District, Place 5",0698,1137,659,1796,2948,60.92%,182,1550,1732
"Justice, 14th Court of Appeals District, Place 5",0699,1031,566,1597,2288,69.80%,1032,426,1458
"Justice, 14th Court of Appeals District, Place 5",0700,531,287,818,1313,62.30%,643,133,776
"Justice, 14th Court of Appeals District, Place 5",0701,142,115,257,554,46.39%,130,112,242
"Justice, 14th Court of Appeals District, Place 5",0702,150,123,273,549,49.73%,29,230,259
"Justice, 14th Court of Appeals District, Place 5",0703,742,616,1358,1845,73.60%,970,288,1258
"Justice, 14th Court of Appeals District, Place 5",0704,1334,701,2035,2882,70.61%,1619,312,1931
"Justice, 14th Court of Appeals District, Place 5",0705,358,238,596,1520,39.21%,58,516,574
"Justice, 14th Court of Appeals District, Place 5",0706,222,135,357,529,67.49%,177,171,348
"Justice, 14th Court of Appeals District, Place 5",0707,284,136,420,707,59.41%,247,148,395
"Justice, 14th Court of Appeals District, Place 5",0708,109,95,204,568,35.92%,96,96,192
"Justice, 14th Court of Appeals District, Place 5",0709,2997,1297,4294,6239,68.83%,2533,1589,4122
"Justice, 14th Court of Appeals District, Place 5",0710,877,602,1479,2023,73.11%,880,486,1366
"Justice, 14th Court of Appeals District, Place 5",0711,1492,701,2193,3351,65.44%,1311,746,2057
"Justice, 14th Court of Appeals District, Place 5",0712,1200,858,2058,3348,61.47%,820,1174,1994
"Justice, 14th Court of Appeals District, Place 5",0713,665,436,1101,1827,60.26%,568,480,1048
"Justice, 14th Court of Appeals District, Place 5",0714,77,3,80,304,26.32%,54,19,73
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0715,405,326,731,1380,52.97%,361,328,689
"Justice, 14th Court of Appeals District, Place 5",0716,977,522,1599,2670,59.89%,1106,422,1528
"Justice, 14th Court of Appeals District, Place 5",0717,826,362,1188,1927,61.65%,155,982,1137
"Justice, 14th Court of Appeals District, Place 5",0718,1844,1019,2863,4050,70.69%,1918,734,2652
"Justice, 14th Court of Appeals District, Place 5",0719,508,260,768,1617,47.50%,406,311,717
"Justice, 14th Court of Appeals District, Place 5",0720,1575,1044,2619,3903,67.10%,1889,627,2516
"Justice, 14th Court of Appeals District, Place 5",0721,1334,637,1971,2842,69.35%,1329,509,1838
"Justice, 14th Court of Appeals District, Place 5",0722,1892,542,2534,4357,58.16%,156,2279,2435
"Justice, 14th Court of Appeals District, Place 5",0723,747,329,1076,1760,61.14%,227,799,1026
"Justice, 14th Court of Appeals District, Place 5",0724,325,170,495,716,69.13%,339,131,470
"Justice, 14th Court of Appeals District, Place 5",0725,953,329,1282,2124,60.36%,513,696,1209
"Justice, 14th Court of Appeals District, Place 5",0726,1141,304,1445,1987,72.72%,1244,137,1381
"Justice, 14th Court of Appeals District, Place 5",0727,931,466,1397,2488,56.15%,345,995,1340
"Justice, 14th Court of Appeals District, Place 5",0728,343,208,551,881,62.54%,308,205,513
"Justice, 14th Court of Appeals District, Place 5",0729,208,93,301,446,67.49%,177,111,288
"Justice, 14th Court of Appeals District, Place 5",0730,802,437,1239,1630,76.01%,832,311,1143
"Justice, 14th Court of Appeals District, Place 5",0731,122,36,158,373,42.36%,34,113,147
"Justice, 14th Court of Appeals District, Place 5",0732,701,543,1244,1895,65.65%,737,420,1157
"Justice, 14th Court of Appeals District, Place 5",0733,25,62,87,172,50.58%,29,49,78
"Justice, 14th Court of Appeals District, Place 5",0734,3209,1114,4323,5952,72.63%,2895,1272,4167
"Justice, 14th Court of Appeals District, Place 5",0735,9,0,9,23,39.13%,9,0,9
"Justice, 14th Court of Appeals District, Place 5",0736,6,1,7,21,33.33%,0,6,6
"Justice, 14th Court of Appeals District, Place 5",0737,25,5,30,53,56.60%,24,6,30
"Justice, 14th Court of Appeals District, Place 5",0738,470,219,689,1294,53.25%,81,590,671
"Justice, 14th Court of Appeals District, Place 5",0739,1005,490,1495,2872,52.05%,653,783,1436
"Justice, 14th Court of Appeals District, Place 5",0740,233,205,438,935,46.84%,232,189,421
"Justice, 14th Court of Appeals District, Place 5",0741,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0742,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0743,27,4,31,199,15.58%,14,15,29
"Justice, 14th Court of Appeals District, Place 5",0744,848,509,1357,2024,67.05%,877,393,1270
"Justice, 14th Court of Appeals District, Place 5",0745,1066,542,1608,2396,67.11%,1022,483,1505
"Justice, 14th Court of Appeals District, Place 5",0746,230,151,381,707,53.89%,184,164,348
"Justice, 14th Court of Appeals District, Place 5",0747,1200,873,2073,3490,59.40%,961,1026,1987
"Justice, 14th Court of Appeals District, Place 5",0748,421,307,728,1319,55.19%,323,362,685
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0749,99,57,156,359,43.45%,30,113,143
"Justice, 14th Court of Appeals District, Place 5",0750,264,147,411,720,57.08%,227,160,387
"Justice, 14th Court of Appeals District, Place 5",0751,1665,1254,2919,4451,65.58%,1925,858,2783
"Justice, 14th Court of Appeals District, Place 5",0752,571,277,848,1511,56.12%,593,208,801
"Justice, 14th Court of Appeals District, Place 5",0753,106,61,167,260,64.23%,109,54,163
"Justice, 14th Court of Appeals District, Place 5",0754,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0755,1048,896,1944,3569,54.47%,725,1119,1844
"Justice, 14th Court of Appeals District, Place 5",0756,582,300,882,1539,57.31%,299,537,836
"Justice, 14th Court of Appeals District, Place 5",0757,1416,690,2106,3498,60.21%,340,1703,2043
"Justice, 14th Court of Appeals District, Place 5",0758,1996,783,2779,3781,73.50%,2202,421,2623
"Justice, 14th Court of Appeals District, Place 5",0759,1109,590,1699,2625,64.72%,1013,586,1599
"Justice, 14th Court of Appeals District, Place 5",0760,2346,647,2993,4154,72.05%,2484,354,2838
"Justice, 14th Court of Appeals District, Place 5",0761,917,219,1136,1464,77.60%,823,238,1061
"Justice, 14th Court of Appeals District, Place 5",0762,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0763,256,308,564,1184,47.64%,199,331,530
"Justice, 14th Court of Appeals District, Place 5",0764,2270,1050,3320,4931,67.33%,2080,1095,3175
"Justice, 14th Court of Appeals District, Place 5",0765,1390,815,2205,3967,55.58%,773,1336,2109
"Justice, 14th Court of Appeals District, Place 5",0766,71,92,163,383,42.56%,36,109,145
"Justice, 14th Court of Appeals District, Place 5",0767,20,15,35,90,38.89%,22,10,32
"Justice, 14th Court of Appeals District, Place 5",0768,2854,1159,4013,5364,74.81%,3144,707,3851
"Justice, 14th Court of Appeals District, Place 5",0769,117,5,122,161,75.78%,6,112,118
"Justice, 14th Court of Appeals District, Place 5",0770,58,48,106,262,40.46%,44,55,99
"Justice, 14th Court of Appeals District, Place 5",0771,702,537,1239,2378,52.10%,618,550,1168
"Justice, 14th Court of Appeals District, Place 5",0772,2929,1002,3931,5617,69.98%,2924,819,3743
"Justice, 14th Court of Appeals District, Place 5",0773,892,550,1442,2648,54.46%,347,1009,1356
"Justice, 14th Court of Appeals District, Place 5",0774,117,74,191,301,63.46%,45,140,185
"Justice, 14th Court of Appeals District, Place 5",0775,33,1,34,83,40.96%,2,31,33
"Justice, 14th Court of Appeals District, Place 5",0776,1113,741,1854,2855,64.94%,1078,693,1771
"Justice, 14th Court of Appeals District, Place 5",0777,83,123,206,642,32.09%,54,143,197
"Justice, 14th Court of Appeals District, Place 5",0778,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0779,295,221,516,1146,45.03%,165,315,480
"Justice, 14th Court of Appeals District, Place 5",0780,136,114,250,579,43.18%,107,127,234
"Justice, 14th Court of Appeals District, Place 5",0781,1152,655,1807,3716,48.63%,676,954,1630
"Justice, 14th Court of Appeals District, Place 5",0782,851,532,1383,2188,63.21%,829,464,1293
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0783,103,43,146,265,55.09%,78,58,136
"Justice, 14th Court of Appeals District, Place 5",0784,428,156,584,1071,54.53%,9,555,564
"Justice, 14th Court of Appeals District, Place 5",0785,66,55,121,310,39.03%,62,57,119
"Justice, 14th Court of Appeals District, Place 5",0786,193,277,470,1297,36.24%,149,300,449
"Justice, 14th Court of Appeals District, Place 5",0787,154,76,230,487,47.23%,75,139,214
"Justice, 14th Court of Appeals District, Place 5",0788,156,58,214,481,44.49%,69,132,201
"Justice, 14th Court of Appeals District, Place 5",0789,3,1,4,4,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 5",0790,1,0,1,4,25.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0791,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0792,549,409,958,1834,52.24%,218,684,902
"Justice, 14th Court of Appeals District, Place 5",0793,889,338,1227,2437,50.35%,698,478,1176
"Justice, 14th Court of Appeals District, Place 5",0794,575,484,1059,2602,40.70%,75,947,1022
"Justice, 14th Court of Appeals District, Place 5",0795,265,255,520,1207,43.08%,159,315,474
"Justice, 14th Court of Appeals District, Place 5",0796,145,92,237,485,48.87%,117,108,225
"Justice, 14th Court of Appeals District, Place 5",0797,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0798,176,263,439,496,88.51%,134,265,399
"Justice, 14th Court of Appeals District, Place 5",0799,65,12,77,146,52.74%,17,56,73
"Justice, 14th Court of Appeals District, Place 5",0800,1188,795,1983,2817,70.39%,1310,562,1872
"Justice, 14th Court of Appeals District, Place 5",0801,68,55,123,253,48.62%,42,74,116
"Justice, 14th Court of Appeals District, Place 5",0802,98,58,156,299,52.17%,32,109,141
"Justice, 14th Court of Appeals District, Place 5",0803,1305,530,1935,2718,71.19%,1424,416,1840
"Justice, 14th Court of Appeals District, Place 5",0804,1807,960,2767,4348,63.64%,1637,988,2625
"Justice, 14th Court of Appeals District, Place 5",0805,1509,529,2038,2812,72.48%,1612,319,1931
"Justice, 14th Court of Appeals District, Place 5",0806,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0807,652,402,1054,2001,52.67%,166,839,1005
"Justice, 14th Court of Appeals District, Place 5",0808,41,26,67,84,79.76%,29,29,58
"Justice, 14th Court of Appeals District, Place 5",0809,21,e,27,86,31.40%,8,16,24
"Justice, 14th Court of Appeals District, Place 5",0810,30,48,78,215,36.28%,22,47,69
"Justice, 14th Court of Appeals District, Place 5",0811,39,106,145,271,53.51%,32,105,137
"Justice, 14th Court of Appeals District, Place 5",0812,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0813,1967,1258,3225,5423,59.47%,1539,1566,3105
"Justice, 14th Court of Appeals District, Place 5",0814,1773,955,2728,4503,60.58%,613,1996,2609
"Justice, 14th Court of Appeals District, Place 5",0815,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0817,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0818,134,101,235,527,44.59%,47,180,227
"Justice, 14th Court of Appeals District, Place 5",0819,97,45,142,238,59.66%,89,35,124
"Justice, 14th Court of Appeals District, Place 5",0820,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0821,354,203,557,1206,46.19%,52,482,534
"Justice, 14th Court of Appeals District, Place 5",0822,584,282,866,1544,56.09%,24,815,839
"Justice, 14th Court of Appeals District, Place 5",0823,1850,1015,2865,4710,60.83%,1478,1247,2725
"Justice, 14th Court of Appeals District, Place 5",0824,984,471,1455,2729,53.32%,329,1068,1397
"Justice, 14th Court of Appeals District, Place 5",0825,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0826,153,89,242,342,70.76%,136,88,224
"Justice, 14th Court of Appeals District, Place 5",0827,169,186,355,997,35.61%,135,201,336
"Justice, 14th Court of Appeals District, Place 5",0828,1074,343,1417,1875,75.57%,1142,196,1338
"Justice, 14th Court of Appeals District, Place 5",0829,107,56,163,266,61.28%,35,124,159
"Justice, 14th Court of Appeals District, Place 5",0830,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0831,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0832,109,46,155,351,44.16%,45,100,145
"Justice, 14th Court of Appeals District, Place 5",0833,8,1,9,20,45.00%,0,9,9
"Justice, 14th Court of Appeals District, Place 5",0834,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0835,87,53,140,292,47.95%,39,96,135
"Justice, 14th Court of Appeals District, Place 5",0836,8,3,11,19,57.89%,1,8,9
"Justice, 14th Court of Appeals District, Place 5",0837,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0838,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0839,353,240,593,1122,52.85%,114,441,555
"Justice, 14th Court of Appeals District, Place 5",0840,712,251,963,1621,59.41%,310,613,923
"Justice, 14th Court of Appeals District, Place 5",0841,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 5",0842,988,715,1703,3091,55.10%,751,871,1622
"Justice, 14th Court of Appeals District, Place 5",0843,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 5",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 14th Court of Appeals District, Place 5",0845,85,10,95,100,95.00%,54,34,88
"Justice, 14th Court of Appeals District, Place 5",0846,70,29,99,210,47.14%,7,89,96
"Justice, 14th Court of Appeals District, Place 5",0847,795,321,1116,1804,61.86%,293,776,1069
