Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0780,6,7,13,20,65.00%,2,5,7
"City of Houston, Proposition No. 1",0781,1152,655,1807,3716,48.63%,747,437,1184
"City of Houston, Proposition No. 1",0782,50,23,73,156,46.79%,38,16,54
"City of Houston, Proposition No. 1",0784,428,156,584,1071,54.53%,167,108,275
"City of Houston, Proposition No. 1",0787,154,76,230,487,47.23%,90,72,162
"City of Houston, Proposition No. 1",0788,156,58,214,481,44.49%,99,52,151
"City of Houston, Proposition No. 1",0789,3,1,4,4,100.00%,1,0,1
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0790,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0791,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0793,318,153,471,976,48.26%,213,131,344
"City of Houston, Proposition No. 1",0794,471,395,866,2136,40.54%,360,181,541
"City of Houston, Proposition No. 1",0795,265,255,520,1207,43.08%,215,159,374
"City of Houston, Proposition No. 1",0797,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0798,176,263,439,496,88.51%,211,126,337
"City of Houston, Proposition No. 1",0799,8,3,11,28,39.29%,4,6,10
"City of Houston, Proposition No. 1",0800,0,90,90,0,0.00%,60,19,79
"City of Houston, Proposition No. 1",0801,58,55,123,253,48.62%,46,36,82
"City of Houston, Proposition No. 1",0802,98,58,156,299,52.17%,95,29,124
"City of Houston, Proposition No. 1",0803,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0804,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0805,14,1,15,23,65.22%,6,6,12
"City of Houston, Proposition No. 1",0806,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0807,652,402,1054,2001,52.67%,521,227,748
"City of Houston, Proposition No. 1",0808,41,26,67,84,79.76%,45,9,54
"City of Houston, Proposition No. 1",0809,21,6,27,86,31.40%,13,2,15
"City of Houston, Proposition No. 1",0810,30,48,78,215,36.28%,31,16,47
"City of Houston, Proposition No. 1",0811,39,106,145,271,53.51%,56,49,105
"City of Houston, Proposition No. 1",0812,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0813,0,23,23,0,0.00%,10,8,18
"City of Houston, Proposition No. 1",0814,561,157,718,1141,62.93%,316,121,437
"City of Houston, Proposition No. 1",0815,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0816,20,13,33,76,43.42%,13,8,21
"City of Houston, Proposition No. 1",0817,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0818,134,101,235,527,44.59%,85,81,166
"City of Houston, Proposition No. 1",0819,97,45,142,238,59.66%,77,31,108
"City of Houston, Proposition No. 1",0820,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0821,354,203,557,1206,46.19%,235,128,363
"City of Houston, Proposition No. 1",0822,584,282,866,1544,56.09%,356,173,529
"City of Houston, Proposition No. 1",0823,359,157,516,789,65.40%,217,107,324
"City of Houston, Proposition No. 1",0824,86,53,139,290,47.93%,54,44,98
"City of Houston, Proposition No. 1",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0826,153,89,242,342,70.76%,161,45,206
"City of Houston, Proposition No. 1",0827,16,7,23,54,42.59%,11,5,16
"City of Houston, Proposition No. 1",0828,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0829,107,56,163,266,61.28%,79,33,112
"City of Houston, Proposition No. 1",0830,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",0831,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0833,8,1,9,20,45.00%,3,3,6
"City of Houston, Proposition No. 1",0835,87,53,140,292,47.95%,61,39,100
"City of Houston, Proposition No. 1",0836,8,3,11,19,57.89%,8,1,9
"City of Houston, Proposition No. 1",0837,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0839,353,240,593,1122,52.85%,285,143,428
"City of Houston, Proposition No. 1",0840,51,17,68,138,49.28%,23,24,47
"City of Houston, Proposition No. 1",0841,0,1,1,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0842,715,505,1220,2266,53.84%,592,299,891
"City of Houston, Proposition No. 1",0843,0,2,2,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0844,2,4,6,1,3,46.1,5%,4,0,4
"City of Houston, Proposition No. 1",0845,85,10,95,100,95.00%,38,14,52
"City of Houston, Proposition No. 1",0846,70,29,99,210,47.14%,46,14,60
"City of Houston, Proposition No. 1",0847,4,3,7,2,350.00%,3,2,5
"City of Houston, Proposition No. 1",0848,782,431,1213,1873,64.76%,619,311,930
"City of Houston, Proposition No. 1",0849,553,514,1067,2073,51.47%,433,315,748
"City of Houston, Proposition No. 1",0850,87,38,125,205,60.98%,54,44,98
"City of Houston, Proposition No. 1",0851,0,1,1,1,100.00%,1,0,1
"City of Houston, Proposition No. 1",0852,0,4,4,2,200.00%,1,1,2
"City of Houston, Proposition No. 1",0854,41,30,71,175,40.57%,32,12,44
"City of Houston, Proposition No. 1",0856,0,4,4,0,0.00%,1,1,2
"City of Houston, Proposition No. 1",0857,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",0858,132,18,150,372,40.32%,52,38,90
"City of Houston, Proposition No. 1",0859,309,201,510,860,59.30%,207,139,346
"City of Houston, Proposition No. 1",0860,0,1,1,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0861,21,5,26,91,28.57%,12,5,17
"City of Houston, Proposition No. 1",0862,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0863,210,69,279,620,45.00%,90,72,162
"City of Houston, Proposition No. 1",0864,0,167,167,8,2087.50%,52,49,101
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0865,9,2,11,23,47.83%,3,6,9
"City of Houston, Proposition No. 1",0866,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0867,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0868,1,1,2,3,66.67%,2,0,2
"City of Houston, Proposition No. 1",0869,153,76,229,473,48.41%,98,31,129
"City of Houston, Proposition No. 1",0870,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0871,3,0,3,4,75.00%,3,0,3
"City of Houston, Proposition No. 1",0872,5,1,6,22,27.27%,3,0,3
"City of Houston, Proposition No. 1",0873,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0874,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0875,2,1,3,0,0.00%,2,0,2
"City of Houston, Proposition No. 1",0876,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0877,1,1,2,2,100.00%,1,0,1
"City of Houston, Proposition No. 1",0878,0,1,1,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0879,0,117,117,0,0.00%,59,26,85
"City of Houston, Proposition No. 1",0880,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0881,44,8,52,55,94.55%,19,5,24
"City of Houston, Proposition No. 1",0882,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0883,90,29,119,161,73.91%,57,21,78
"City of Houston, Proposition No. 1",0884,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0885,0,9,9,0,0.00%,2,2,4
"City of Houston, Proposition No. 1",0886,301,154,455,713,63.81%,296,68,364
"City of Houston, Proposition No. 1",0887,138,83,221,313,70.61%,131,33,164
"City of Houston, Proposition No. 1",0889,22,0,22,61,36.07%,13,5,18
"City of Houston, Proposition No. 1",0890,319,118,437,994,43.96%,267,58,325
"City of Houston, Proposition No. 1",0891,539,392,931,1413,65.89%,525,211,736
"City of Houston, Proposition No. 1",0892,193,130,323,696,46.41%,187,57,244
"City of Houston, Proposition No. 1",0893,1,0,1,5,20.00%,0,0,0
"City of Houston, Proposition No. 1",0894,0,31,31,0,0.00%,21,2,23
"City of Houston, Proposition No. 1",0895,335,325,660,784,84.18%,455,99,554
"City of Houston, Proposition No. 1",0896,670,303,973,1437,67.71%,666,142,808
"City of Houston, Proposition No. 1",0897,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0899,4,0,4,8,50.00%,3,1,4
"City of Houston, Proposition No. 1",0900,5,0,5,12,41.67%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0902,865,621,1486,2065,71.96%,842,374,1216
"City of Houston, Proposition No. 1",0903,10,1,11,41,26.83%,5,5,10
"City of Houston, Proposition No. 1",0904,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0905,290,168,458,908,50.44%,203,131,334
"City of Houston, Proposition No. 1",0909,5,7,12,19,63.16%,9,2,11
"City of Houston, Proposition No. 1",0910,55,34,89,226,39.38%,37,29,66
"City of Houston, Proposition No. 1",0912,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0917,280,137,417,481,86.69%,237,109,346
"City of Houston, Proposition No. 1",0918,489,135,624,883,70.67%,358,148,506
"City of Houston, Proposition No. 1",0922,0,2,2,0,0.00%,1,1,2
"City of Houston, Proposition No. 1",0924,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0925,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0926,1,0,1,2,50.00%,0,0,0
"City of Houston, Proposition No. 1",0927,84,74,158,262,60.31%,83,46,129
"City of Houston, Proposition No. 1",0928,4,2,6,9,66.67%,4,2,6
"City of Houston, Proposition No. 1",0929,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0930,200,77,277,567,48.85%,108,52,160
"City of Houston, Proposition No. 1",0931,48,53,101,122,82.79%,62,21,83
"City of Houston, Proposition No. 1",0932,0,5,5,0,0.00%,5,0,5
"City of Houston, Proposition No. 1",0933,233,121,354,566,62.54%,198,84,282
"City of Houston, Proposition No. 1",0934,3,0,3,10,30.00%,1,2,3
"City of Houston, Proposition No. 1",0935,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0936,3,4,7,21,33.33%,2,0,2
"City of Houston, Proposition No. 1",0938,73,14,87,256,33.98%,46,18,64
"City of Houston, Proposition No. 1",0940,1,0,1,13,7.69%,1,0,1
"City of Houston, Proposition No. 1",0941,13,9,22,25,88.00%,9,7,16
"City of Houston, Proposition No. 1",0942,68,24,92,159,57.86%,46,28,74
"City of Houston, Proposition No. 1",0943,296,63,359,536,66.98%,206,62,268
"City of Houston, Proposition No. 1",0944,30,6,36,39,92.31%,22,6,28
"City of Houston, Proposition No. 1",0945,4,7,11,16,68.75%,3,4,7
"City of Houston, Proposition No. 1",0946,3,3,6,14,42.86%,2,1,3
"City of Houston, Proposition No. 1",0947,320,292,612,822,74.45%,336,149,485
"City of Houston, Proposition No. 1",0948,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0949,59,37,96,201,47.76%,51,24,75
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0950,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0951,2,4,6,6,100.00%,2,2,4
"City of Houston, Proposition No. 1",0952,24,16,40,70,57.14%,27,6,33
"City of Houston, Proposition No. 1",0953,59,52,111,420,26.43%,54,29,83
"City of Houston, Proposition No. 1",0954,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0955,5,20,25,18,138.89%,5,9,14
"City of Houston, Proposition No. 1",0956,5,2,7,12,58.33%,5,0,5
"City of Houston, Proposition No. 1",0958,1,0,1,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0959,0,4,4,0,0.00%,1,1,2
"City of Houston, Proposition No. 1",0960,2,1,3,4,75.00%,1,1,2
"City of Houston, Proposition No. 1",0962,24,13,37,73,50.68%,24,4,28
"City of Houston, Proposition No. 1",0963,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0964,886,426,1312,1476,88.89%,653,316,969
"City of Houston, Proposition No. 1",0965,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0966,305,160,465,1073,43.34%,196,138,334
"City of Houston, Proposition No. 1",0968,0,3,3,0,0.00%,2,1,3
"City of Houston, Proposition No. 1",0969,335,82,417,584,71.40%,152,108,260
"City of Houston, Proposition No. 1",0970,212,76,288,704,40.91%,113,56,169
"City of Houston, Proposition No. 1",0971,27,21,48,129,37.21%,19,11,30
"City of Houston, Proposition No. 1",0972,10,7,17,29,58.62%,9,3,12
"City of Houston, Proposition No. 1",0973,49,24,73,107,68.22%,45,17,62
"City of Houston, Proposition No. 1",0974,100,71,171,299,57.19%,81,59,140
"City of Houston, Proposition No. 1",0975,72,41,113,170,66.47%,58,33,91
"City of Houston, Proposition No. 1",0976,0,1,7,1,7,0,0.00%,5,7,1,2
"City of Houston, Proposition No. 1",0977,0,1,1,1,100.00%,0,0,0
"City of Houston, Proposition No. 1",0981,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0982,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0983,2,0,2,5,40.00%,2,0,2
"City of Houston, Proposition No. 1",0984,43,49,92,198,46.46%,43,19,62
"City of Houston, Proposition No. 1",0985,172,67,239,336,71.13%,145,44,189
"City of Houston, Proposition No. 1",0986,129,86,215,404,53.22%,93,46,139
"City of Houston, Proposition No. 1",0987,465,191,656,1138,57.64%,244,162,406
"City of Houston, Proposition No. 1",0989,18,8,26,36,72.22%,10,8,18
"City of Houston, Proposition No. 1",0990,37,15,52,154,33.77%,26,7,33
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0991,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",0994,6,5,11,8,137.50%,5,3,8
"City of Houston, Proposition No. 1",0995,596,190,786,1269,61.94%,344,168,512
"City of Houston, Proposition No. 1",0996,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0997,136,100,236,394,59.90%,99,48,147
"City of Houston, Proposition No. 1",1000,105,0,105,458,22.93%,44,19,63
"City of Houston, Proposition No. 1",1001,496,294,790,1566,50.45%,319,182,501
"City of Houston, Proposition No. 1",1002,464,314,778,1738,44.76%,362,167,529
"City of Houston, Proposition No. 1",1003,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",1004,224,153,377,656,57.47%,187,115,302
"City of Houston, Proposition No. 1",1005,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1006,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1007,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1010,124,74,198,317,62.46%,96,58,154
"City of Houston, Proposition No. 1",1011,12,3,15,29,51.72%,4,7,11
"City of Houston, Proposition No. 1",1012,1,0,1,3,33.33%,0,1,1
"City of Houston, Proposition No. 1",1016,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",1017,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1018,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1019,426,4,430,1518,28.33%,184,83,267
"City of Houston, Proposition No. 1",1020,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",1021,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1022,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1023,3,2,5,6,83.33%,1,0,1
"City of Houston, Proposition No. 1",1024,113,77,190,259,73.36%,108,52,160
"City of Houston, Proposition No. 1",1025,0,0,0,2,0.00%,0,0,0
"City of Houston, Proposition No. 1",1026,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1027,0,1,1,1,100.00%,1,0,1
"City of Houston, Proposition No. 1",1030,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1033,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1034,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",1035,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1037,27,16,43,73,58.90%,19,13,32
"City of Houston, Proposition No. 1",1038,94,10,104,156,66.67%,39,17,56
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",1039,3,5,8,20,40.00%,4,3,7
"City of Houston, Proposition No. 1",1040,43,45,88,159,55.35%,42,22,64
"City of Houston, Proposition No. 1",1041,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1045,18,16,34,113,30.09%,17,4,21
"City of Houston, Proposition No. 1",1046,19,18,37,54,68.52%,15,8,23
"City of Houston, Proposition No. 1",1047,0,1,1,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1048,3,1,4,18,22.22%,2,0,2
"City of Houston, Proposition No. 1",1049,57,71,128,266,48.12%,48,48,96
"City of Houston, Proposition No. 1",1050,148,153,301,506,59.49%,122,92,214
"City of Houston, Proposition No. 1",1,051,0,1,2,1,2,0,0.00%,8,3,1,1
"City of Houston, Proposition No. 1",1052,0,2,2,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",1054,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",1055,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1056,4,0,4,6,66.67%,3,0,3
"City of Houston, Proposition No. 1",1057,34,7,41,115,35.65%,12,10,22
"City of Houston, Proposition No. 1",1058,540,246,786,1190,66.05%,345,235,580
"City of Houston, Proposition No. 1",1059,7,3,10,23,43.48%,5,3,8
"City of Houston, Proposition No. 1",1060,10,3,13,43,30.23%,4,4,8
"City of Houston, Proposition No. 1",1061,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",1062,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",1063,1,1,2,2,100.00%,2,0,2
"City of Houston, Proposition No. 1",1064,45,1,46,120,38.33%,21,13,34
"City of Houston, Proposition No. 1",Totals:,364272,212277,576549,953350,284927,136890,421817
