Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0563,1699,415,2114,2969,71.20%,1620,373,1993
"Justice, 14th Court of Appeals District, Place 4",0564,1150,713,1863,3096,60.17%,508,1218,1726
"Justice, 14th Court of Appeals District, Place 4",0565,315,194,509,1373,37.07%,96,381,477
"Justice, 14th Court of Appeals District, Place 4",0566,1123,478,1601,2950,54.27%,432,1100,1532
"Justice, 14th Court of Appeals District, Place 4",0567,672,394,1066,2198,48.50%,286,683,969
"Justice, 14th Court of Appeals District, Place 4",0568,1628,837,2465,3487,70.69%,1606,675,2281
"Justice, 14th Court of Appeals District, Place 4",0569,1294,865,2159,3249,66.45%,1171,829,2000
"Justice, 14th Court of Appeals District, Place 4",0570,527,409,936,1473,63.54%,413,435,848
"Justice, 14th Court of Appeals District, Place 4",0571,333,312,645,1758,36.69%,201,397,598
"Justice, 14th Court of Appeals District, Place 4",0572,1283,574,1857,2998,61.94%,875,884,1759
"Justice, 14th Court of Appeals District, Place 4",0573,578,368,946,1618,58.47%,12,915,927
"Justice, 14th Court of Appeals District, Place 4",0574,98,79,177,391,45.27%,18,147,165
"Justice, 14th Court of Appeals District, Place 4",0575,27,9,36,79,45.57%,32,3,35
"Justice, 14th Court of Appeals District, Place 4",0576,1051,552,1603,2671,60.01%,45,1504,1549
"Justice, 14th Court of Appeals District, Place 4",0577,231,113,344,573,60.03%,191,134,325
"Justice, 14th Court of Appeals District, Place 4",0578,745,553,1298,1689,76.85%,792,383,1175
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0579,488,351,839,1806,46.46%,196,589,785
"Justice, 14th Court of Appeals District, Place 4",0580,429,146,575,1027,55.99%,13,548,561
"Justice, 14th Court of Appeals District, Place 4",0581,510,162,672,1041,64.55%,19,630,649
"Justice, 14th Court of Appeals District, Place 4",0582,615,256,871,1613,54.00%,49,794,843
"Justice, 14th Court of Appeals District, Place 4",0583,544,127,671,1248,53.77%,14,645,659
"Justice, 14th Court of Appeals District, Place 4",0584,392,139,531,971,54.69%,37,489,526
"Justice, 14th Court of Appeals District, Place 4",0585,934,304,1238,2403,51.52%,34,1169,1203
"Justice, 14th Court of Appeals District, Place 4",0585,1306,1189,2495,4230,58.98%,1491,899,2390
"Justice, 14th Court of Appeals District, Place 4",0587,933,465,1398,2174,64.31%,491,858,1349
"Justice, 14th Court of Appeals District, Place 4",0588,1536,871,2407,3468,69.41%,1688,617,2305
"Justice, 14th Court of Appeals District, Place 4",0589,1033,738,1771,3130,56.58%,920,770,1690
"Justice, 14th Court of Appeals District, Place 4",0590,1158,463,1621,2136,75.89%,1246,296,1542
"Justice, 14th Court of Appeals District, Place 4",0591,420,449,869,2114,41.11%,232,578,810
"Justice, 14th Court of Appeals District, Place 4",0592,370,288,658,1258,52.31%,155,475,630
"Justice, 14th Court of Appeals District, Place 4",0593,1149,999,2148,4059,52.92%,956,1072,2028
"Justice, 14th Court of Appeals District, Place 4",0594,1031,535,1566,2361,66.33%,451,1063,1514
"Justice, 14th Court of Appeals District, Place 4",0595,497,380,877,1647,53.25%,144,703,847
"Justice, 14th Court of Appeals District, Place 4",0596,946,690,1636,2848,57.44%,847,722,1569
"Justice, 14th Court of Appeals District, Place 4",0597,1067,719,1786,3267,54.67%,607,1107,1714
"Justice, 14th Court of Appeals District, Place 4",0598,335,103,438,724,60.50%,330,79,409
"Justice, 14th Court of Appeals District, Place 4",0599,1895,866,2761,4135,66.77%,933,1717,2650
"Justice, 14th Court of Appeals District, Place 4",0600,1383,869,2252,3820,58.95%,778,1368,2146
"Justice, 14th Court of Appeals District, Place 4",0601,2028,858,2886,3990,72.33%,2159,610,2769
"Justice, 14th Court of Appeals District, Place 4",0602,562,296,858,1237,69.36%,595,231,826
"Justice, 14th Court of Appeals District, Place 4",0603,1438,1163,2601,3917,66.40%,1559,947,2506
"Justice, 14th Court of Appeals District, Place 4",0604,1444,528,1972,2910,67.77%,1609,277,1886
"Justice, 14th Court of Appeals District, Place 4",0605,2227,889,3116,5251,59.34%,751,2243,2994
"Justice, 14th Court of Appeals District, Place 4",0606,420,122,542,1053,51.47%,8,514,522
"Justice, 14th Court of Appeals District, Place 4",0607,194,118,312,731,42.68%,20,277,297
"Justice, 14th Court of Appeals District, Place 4",0608,245,290,535,1256,42.60%,204,293,497
"Justice, 14th Court of Appeals District, Place 4",0609,1364,844,2208,3261,67.71%,1364,707,2071
"Justice, 14th Court of Appeals District, Place 4",0610,403,398,801,1825,43.89%,353,400,753
"Justice, 14th Court of Appeals District, Place 4",0611,1121,301,1422,2450,58.04%,41,1349,1390
"Justice, 14th Court of Appeals District, Place 4",0612,1700,579,2279,3272,69.65%,1705,438,2143
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0613,495,309,804,1450,55.45%,124,650,774
"Justice, 14th Court of Appeals District, Place 4",0614,1631,812,2443,3932,62.13%,811,1526,2337
"Justice, 14th Court of Appeals District, Place 4",0615,931,404,1335,1926,69.31%,786,487,1273
"Justice, 14th Court of Appeals District, Place 4",0616,1352,970,2322,3378,68.74%,1587,613,2200
"Justice, 14th Court of Appeals District, Place 4",0617,1320,849,2169,3546,61.17%,776,1306,2082
"Justice, 14th Court of Appeals District, Place 4",0618,1922,1021,2943,5344,55.07%,1267,1544,2811
"Justice, 14th Court of Appeals District, Place 4",0619,2133,857,2990,4266,70.09%,2204,649,2853
"Justice, 14th Court of Appeals District, Place 4",0620,2384,856,3240,5271,61.47%,1550,1478,3028
"Justice, 14th Court of Appeals District, Place 4",0621,397,203,600,1173,51.15%,306,264,570
"Justice, 14th Court of Appeals District, Place 4",0622,1722,829,2551,4305,59.26%,1482,942,2424
"Justice, 14th Court of Appeals District, Place 4",0623,1708,626,2334,3481,67.05%,1466,731,2197
"Justice, 14th Court of Appeals District, Place 4",0624,9,0,9,16,56.25%,5,4,9
"Justice, 14th Court of Appeals District, Place 4",0625,862,454,1316,1796,73.27%,744,465,1209
"Justice, 14th Court of Appeals District, Place 4",0626,1148,655,1803,2838,63.53%,900,802,1702
"Justice, 14th Court of Appeals District, Place 4",0627,795,547,1442,2964,48.65%,422,931,1353
"Justice, 14th Court of Appeals District, Place 4",0628,292,456,748,1600,46.75%,310,395,705
"Justice, 14th Court of Appeals District, Place 4",0629,175,127,302,629,48.01%,22,274,296
"Justice, 14th Court of Appeals District, Place 4",0630,2019,535,2554,3190,80.06%,223,2239,2462
"Justice, 14th Court of Appeals District, Place 4",0631,1489,392,1881,2733,68.83%,1327,455,1782
"Justice, 14th Court of Appeals District, Place 4",0632,12,9,21,231,9.09%,4,14,18
"Justice, 14th Court of Appeals District, Place 4",0633,1782,678,2460,3257,75.53%,1773,574,2347
"Justice, 14th Court of Appeals District, Place 4",0634,1020,734,1754,2922,60.03%,1072,606,1678
"Justice, 14th Court of Appeals District, Place 4",0635,1327,706,2033,3280,61.98%,1547,400,1947
"Justice, 14th Court of Appeals District, Place 4",0636,1791,974,2765,3881,71.24%,2331,328,2659
"Justice, 14th Court of Appeals District, Place 4",0637,739,509,1248,2471,50.51%,301,849,1150
"Justice, 14th Court of Appeals District, Place 4",0638,740,684,1424,2078,68.53%,98,1262,1360
"Justice, 14th Court of Appeals District, Place 4",0639,829,711,1540,2501,61.58%,1210,273,1483
"Justice, 14th Court of Appeals District, Place 4",0640,1382,723,2105,3548,59.33%,1189,821,2010
"Justice, 14th Court of Appeals District, Place 4",0641,1265,878,2143,3375,63.50%,1315,732,2047
"Justice, 14th Court of Appeals District, Place 4",0642,873,447,1320,1779,74.20%,1070,186,1256
"Justice, 14th Court of Appeals District, Place 4",0643,2157,994,3151,5310,59.34%,1219,1780,2999
"Justice, 14th Court of Appeals District, Place 4",0644,2123,1204,3327,5261,63.24%,2073,1086,3159
"Justice, 14th Court of Appeals District, Place 4",0645,1639,895,2534,4035,62.80%,1169,1219,2388
"Justice, 14th Court of Appeals District, Place 4",0646,708,456,1164,2163,53.81%,341,765,1106
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0647,1771,1020,2791,5593,49.90%,689,1881,2570
"Justice, 14th Court of Appeals District, Place 4",0648,1590,668,2258,3197,70.63%,1571,581,2152
"Justice, 14th Court of Appeals District, Place 4",0649,1389,854,2243,4426,50.68%,622,1496,2118
"Justice, 14th Court of Appeals District, Place 4",0650,1328,939,2267,3151,71.95%,1671,487,2158
"Justice, 14th Court of Appeals District, Place 4",0651,2085,1070,3155,4931,63.98%,1959,1042,3001
"Justice, 14th Court of Appeals District, Place 4",0652,1050,653,1703,2633,64.68%,291,1347,1638
"Justice, 14th Court of Appeals District, Place 4",0653,0,8,8,0,0.00%,2,6,8
"Justice, 14th Court of Appeals District, Place 4",0654,2103,1344,3447,5765,59.79%,1752,1492,3244
"Justice, 14th Court of Appeals District, Place 4",0655,2613,1451,4064,6304,64.47%,2517,1325,3842
"Justice, 14th Court of Appeals District, Place 4",0656,1198,421,1619,2622,61.75%,46,1520,1566
"Justice, 14th Court of Appeals District, Place 4",0657,490,268,758,1200,63.17%,291,421,712
"Justice, 14th Court of Appeals District, Place 4",0658,985,708,1693,2824,59.95%,1042,584,1626
"Justice, 14th Court of Appeals District, Place 4",0659,2141,1091,3232,4588,70.44%,2280,809,3089
"Justice, 14th Court of Appeals District, Place 4",0660,2460,932,3392,5048,67.19%,328,2940,3268
"Justice, 14th Court of Appeals District, Place 4",0661,1614,1012,2626,4179,62.84%,1404,1083,2487
"Justice, 14th Court of Appeals District, Place 4",0662,2477,999,3476,4807,72.31%,2748,577,3325
"Justice, 14th Court of Appeals District, Place 4",0663,1302,913,2215,3232,68.53%,1217,829,2046
"Justice, 14th Court of Appeals District, Place 4",0664,681,607,1288,2801,45.98%,291,928,1219
"Justice, 14th Court of Appeals District, Place 4",0665,951,394,1345,2007,67.02%,1078,196,1274
"Justice, 14th Court of Appeals District, Place 4",0666,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0667,989,547,1536,2181,70.43%,1158,292,1450
"Justice, 14th Court of Appeals District, Place 4",0668,927,655,1582,2458,64.36%,980,523,1503
"Justice, 14th Court of Appeals District, Place 4",0669,1606,823,2429,3243,74.90%,1696,601,2297
"Justice, 14th Court of Appeals District, Place 4",0670,1566,518,2084,2952,70.60%,1629,326,1955
"Justice, 14th Court of Appeals District, Place 4",0671,1090,773,1863,2942,63.32%,1074,674,1748
"Justice, 14th Court of Appeals District, Place 4",0672,2301,1078,3379,4710,71.74%,2218,1025,3243
"Justice, 14th Court of Appeals District, Place 4",0673,1376,643,2019,2988,67.57%,1556,350,1906
"Justice, 14th Court of Appeals District, Place 4",0674,2092,813,2905,4055,71.64%,2151,640,2791
"Justice, 14th Court of Appeals District, Place 4",0675,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0676,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0677,220,239,459,954,48.11%,126,304,430
"Justice, 14th Court of Appeals District, Place 4",0678,297,164,461,756,60.98%,310,112,422
"Justice, 14th Court of Appeals District, Place 4",0679,1468,661,2129,3331,63.91%,1564,438,2002
"Justice, 14th Court of Appeals District, Place 4",0680,57,22,79,181,43.65%,35,37,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0681,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0682,1674,912,2586,4134,62.55%,1838,624,2462
"Justice, 14th Court of Appeals District, Place 4",0683,48,50,98,261,37.55%,23,69,92
"Justice, 14th Court of Appeals District, Place 4",0684,72,24,96,187,51.34%,57,32,89
"Justice, 14th Court of Appeals District, Place 4",0685,167,29,196,326,60.12%,89,94,183
"Justice, 14th Court of Appeals District, Place 4",0686,46,34,80,196,40.82%,17,58,75
"Justice, 14th Court of Appeals District, Place 4",0687,1084,641,1725,2497,69.08%,1155,453,1608
"Justice, 14th Court of Appeals District, Place 4",0688,1815,673,2488,3266,76.18%,1979,385,2364
"Justice, 14th Court of Appeals District, Place 4",0689,505,651,1156,2276,50.79%,526,534,1060
"Justice, 14th Court of Appeals District, Place 4",0690,1966,1116,3082,4184,73.66%,2385,558,2943
"Justice, 14th Court of Appeals District, Place 4",0691,10,2,12,34,35.29%,5,7,12
"Justice, 14th Court of Appeals District, Place 4",0692,1000,717,1717,2626,65.38%,1251,382,1633
"Justice, 14th Court of Appeals District, Place 4",0693,303,116,419,651,64.36%,107,279,386
"Justice, 14th Court of Appeals District, Place 4",0694,420,137,557,817,68.18%,373,155,528
"Justice, 14th Court of Appeals District, Place 4",0695,454,320,774,1646,47.02%,478,260,738
"Justice, 14th Court of Appeals District, Place 4",0696,600,373,973,2098,46.38%,587,346,933
"Justice, 14th Court of Appeals District, Place 4",0697,1516,941,2457,4307,57.05%,565,1794,2359
"Justice, 14th Court of Appeals District, Place 4",0698,1137,659,1796,2948,60.92%,178,1552,1730
"Justice, 14th Court of Appeals District, Place 4",0699,1031,566,1597,2288,69.80%,1024,434,1458
"Justice, 14th Court of Appeals District, Place 4",0700,531,287,818,1313,62.30%,646,132,778
"Justice, 14th Court of Appeals District, Place 4",0701,142,115,257,554,46.39%,130,114,244
"Justice, 14th Court of Appeals District, Place 4",0702,150,123,273,549,49.73%,30,229,259
"Justice, 14th Court of Appeals District, Place 4",0703,742,616,1358,1845,73.60%,966,291,1257
"Justice, 14th Court of Appeals District, Place 4",0704,1334,701,2035,2882,70.61%,1624,307,1931
"Justice, 14th Court of Appeals District, Place 4",0705,358,238,596,1520,39.21%,62,513,575
"Justice, 14th Court of Appeals District, Place 4",0706,222,135,357,529,67.49%,175,174,349
"Justice, 14th Court of Appeals District, Place 4",0707,284,136,420,707,59.41%,247,150,397
"Justice, 14th Court of Appeals District, Place 4",0708,109,95,204,568,35.92%,98,94,192
"Justice, 14th Court of Appeals District, Place 4",0709,2997,1297,4294,6239,68.83%,2535,1580,4115
"Justice, 14th Court of Appeals District, Place 4",0710,877,602,1479,2023,73.11%,870,495,1365
"Justice, 14th Court of Appeals District, Place 4",0711,1492,701,2193,3351,65.44%,1302,757,2059
"Justice, 14th Court of Appeals District, Place 4",0712,1200,858,2058,3348,61.47%,834,1161,1995
"Justice, 14th Court of Appeals District, Place 4",0713,665,436,1101,1827,60.26%,567,484,1051
"Justice, 14th Court of Appeals District, Place 4",0714,77,3,80,304,26.32%,52,22,74
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0715,405,326,731,1380,52.97%,359,329,688
"Justice, 14th Court of Appeals District, Place 4",0716,977,522,1599,2670,59.89%,1110,418,1528
"Justice, 14th Court of Appeals District, Place 4",0717,826,362,1188,1927,61.65%,162,979,1141
"Justice, 14th Court of Appeals District, Place 4",0718,1844,1019,2863,4050,70.69%,1925,727,2652
"Justice, 14th Court of Appeals District, Place 4",0719,508,260,768,1617,47.50%,419,298,717
"Justice, 14th Court of Appeals District, Place 4",0720,1575,1044,2619,3903,67.10%,1889,627,2516
"Justice, 14th Court of Appeals District, Place 4",0721,1334,637,1971,2842,69.35%,1332,505,1837
"Justice, 14th Court of Appeals District, Place 4",0722,1892,542,2534,4357,58.16%,157,2281,2438
"Justice, 14th Court of Appeals District, Place 4",0723,747,329,1076,1760,61.14%,220,803,1023
"Justice, 14th Court of Appeals District, Place 4",0724,325,170,495,716,69.13%,338,131,469
"Justice, 14th Court of Appeals District, Place 4",0725,953,329,1282,2124,60.36%,520,692,1212
"Justice, 14th Court of Appeals District, Place 4",0726,1141,304,1445,1987,72.72%,1243,135,1378
"Justice, 14th Court of Appeals District, Place 4",0727,931,466,1397,2488,56.15%,342,994,1336
"Justice, 14th Court of Appeals District, Place 4",0728,343,208,551,881,62.54%,317,199,516
"Justice, 14th Court of Appeals District, Place 4",0729,208,93,301,446,67.49%,178,109,287
"Justice, 14th Court of Appeals District, Place 4",0730,802,437,1239,1630,76.01%,828,318,1146
"Justice, 14th Court of Appeals District, Place 4",0731,122,36,158,373,42.36%,32,116,148
"Justice, 14th Court of Appeals District, Place 4",0732,701,543,1244,1895,65.65%,735,422,1157
"Justice, 14th Court of Appeals District, Place 4",0733,25,62,87,172,50.58%,30,49,79
"Justice, 14th Court of Appeals District, Place 4",0734,3209,1114,4323,5952,72.63%,2896,1271,4167
"Justice, 14th Court of Appeals District, Place 4",0735,9,0,9,23,39.13%,9,0,9
"Justice, 14th Court of Appeals District, Place 4",0736,6,1,7,21,33.33%,1,6,7
"Justice, 14th Court of Appeals District, Place 4",0737,25,5,30,53,56.60%,24,6,30
"Justice, 14th Court of Appeals District, Place 4",0738,470,219,689,1294,53.25%,83,585,668
"Justice, 14th Court of Appeals District, Place 4",0739,1005,490,1495,2872,52.05%,661,773,1434
"Justice, 14th Court of Appeals District, Place 4",0740,233,205,438,935,46.84%,233,188,421
"Justice, 14th Court of Appeals District, Place 4",0741,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0742,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0743,27,4,31,199,15.58%,15,14,29
"Justice, 14th Court of Appeals District, Place 4",0744,848,509,1357,2024,67.05%,884,388,1272
"Justice, 14th Court of Appeals District, Place 4",0745,1066,542,1608,2396,67.11%,1019,488,1507
"Justice, 14th Court of Appeals District, Place 4",0746,230,151,381,707,53.89%,184,164,348
"Justice, 14th Court of Appeals District, Place 4",0747,1200,873,2073,3490,59.40%,966,1020,1986
"Justice, 14th Court of Appeals District, Place 4",0748,421,307,728,1319,55.19%,326,360,686
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0749,99,57,156,359,43.45%,29,114,143
"Justice, 14th Court of Appeals District, Place 4",0750,264,147,411,720,57.08%,235,154,389
"Justice, 14th Court of Appeals District, Place 4",0751,1665,1254,2919,4451,65.58%,1940,841,2781
"Justice, 14th Court of Appeals District, Place 4",0752,571,277,848,1511,56.12%,596,203,799
"Justice, 14th Court of Appeals District, Place 4",0753,106,61,167,260,64.23%,111,52,163
"Justice, 14th Court of Appeals District, Place 4",0754,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0755,1048,896,1944,3569,54.47%,744,1100,1844
"Justice, 14th Court of Appeals District, Place 4",0756,582,300,882,1539,57.31%,298,535,833
"Justice, 14th Court of Appeals District, Place 4",0757,1416,690,2106,3498,60.21%,340,1698,2038
"Justice, 14th Court of Appeals District, Place 4",0758,1996,783,2779,3781,73.50%,2208,410,2618
"Justice, 14th Court of Appeals District, Place 4",0759,1109,590,1699,2625,64.72%,1011,587,1598
"Justice, 14th Court of Appeals District, Place 4",0760,2346,647,2993,4154,72.05%,2493,351,2844
"Justice, 14th Court of Appeals District, Place 4",0761,917,219,1136,1464,77.60%,830,230,1060
"Justice, 14th Court of Appeals District, Place 4",0762,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0763,256,308,564,1184,47.64%,191,341,532
"Justice, 14th Court of Appeals District, Place 4",0764,2270,1050,3320,4931,67.33%,2076,1098,3174
"Justice, 14th Court of Appeals District, Place 4",0765,1390,815,2205,3967,55.58%,776,1334,2110
"Justice, 14th Court of Appeals District, Place 4",0766,71,92,163,383,42.56%,37,107,144
"Justice, 14th Court of Appeals District, Place 4",0767,20,15,35,90,38.89%,22,10,32
"Justice, 14th Court of Appeals District, Place 4",0768,2854,1159,4013,5364,74.81%,3147,703,3850
"Justice, 14th Court of Appeals District, Place 4",0769,117,5,122,161,75.78%,5,113,118
"Justice, 14th Court of Appeals District, Place 4",0770,58,48,106,262,40.46%,46,53,99
"Justice, 14th Court of Appeals District, Place 4",0771,702,537,1239,2378,52.10%,615,555,1170
"Justice, 14th Court of Appeals District, Place 4",0772,2929,1002,3931,5617,69.98%,2944,809,3753
"Justice, 14th Court of Appeals District, Place 4",0773,892,550,1442,2648,54.46%,359,1000,1359
"Justice, 14th Court of Appeals District, Place 4",0774,117,74,191,301,63.46%,44,140,184
"Justice, 14th Court of Appeals District, Place 4",0775,33,1,34,83,40.96%,1,32,33
"Justice, 14th Court of Appeals District, Place 4",0776,1113,741,1854,2855,64.94%,1077,694,1771
"Justice, 14th Court of Appeals District, Place 4",0777,83,123,206,642,32.09%,53,145,198
"Justice, 14th Court of Appeals District, Place 4",0778,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0779,295,221,516,1146,45.03%,170,311,481
"Justice, 14th Court of Appeals District, Place 4",0780,136,114,250,579,43.18%,106,128,234
"Justice, 14th Court of Appeals District, Place 4",0781,1152,655,1807,3716,48.63%,673,949,1622
"Justice, 14th Court of Appeals District, Place 4",0782,851,532,1383,2188,63.21%,836,463,1299
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0783,103,43,146,265,55.09%,79,55,134
"Justice, 14th Court of Appeals District, Place 4",0784,428,156,584,1071,54.53%,9,556,565
"Justice, 14th Court of Appeals District, Place 4",0785,66,55,121,310,39.03%,63,56,119
"Justice, 14th Court of Appeals District, Place 4",0786,193,277,470,1297,36.24%,144,301,445
"Justice, 14th Court of Appeals District, Place 4",0787,154,76,230,487,47.23%,77,138,215
"Justice, 14th Court of Appeals District, Place 4",0788,156,58,214,481,44.49%,71,130,201
"Justice, 14th Court of Appeals District, Place 4",0789,3,1,4,4,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 4",0790,1,0,1,4,25.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0791,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0792,549,409,958,1834,52.24%,217,687,904
"Justice, 14th Court of Appeals District, Place 4",0793,889,338,1227,2437,50.35%,703,468,1171
"Justice, 14th Court of Appeals District, Place 4",0794,575,484,1059,2602,40.70%,78,945,1023
"Justice, 14th Court of Appeals District, Place 4",0795,265,255,520,1207,43.08%,157,321,478
"Justice, 14th Court of Appeals District, Place 4",0796,145,92,237,485,48.87%,118,106,224
"Justice, 14th Court of Appeals District, Place 4",0797,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0798,176,263,439,496,88.51%,128,269,397
"Justice, 14th Court of Appeals District, Place 4",0799,65,12,77,146,52.74%,16,57,73
"Justice, 14th Court of Appeals District, Place 4",0800,1188,795,1983,2817,70.39%,1335,545,1880
"Justice, 14th Court of Appeals District, Place 4",0801,68,55,123,253,48.62%,41,74,115
"Justice, 14th Court of Appeals District, Place 4",0802,98,58,156,299,52.17%,35,110,145
"Justice, 14th Court of Appeals District, Place 4",0803,1305,530,1935,2718,71.19%,1423,420,1843
"Justice, 14th Court of Appeals District, Place 4",0804,1807,960,2767,4348,63.64%,1665,969,2634
"Justice, 14th Court of Appeals District, Place 4",0805,1509,529,2038,2812,72.48%,1620,310,1930
"Justice, 14th Court of Appeals District, Place 4",0806,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0807,652,402,1054,2001,52.67%,167,838,1005
"Justice, 14th Court of Appeals District, Place 4",0808,41,26,67,84,79.76%,31,27,58
"Justice, 14th Court of Appeals District, Place 4",0809,21,e,27,86,31.40%,7,17,24
"Justice, 14th Court of Appeals District, Place 4",0810,30,48,78,215,36.28%,23,45,68
"Justice, 14th Court of Appeals District, Place 4",0811,39,106,145,271,53.51%,30,105,135
"Justice, 14th Court of Appeals District, Place 4",0812,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0813,1967,1258,3225,5423,59.47%,1550,1560,3110
"Justice, 14th Court of Appeals District, Place 4",0814,1773,955,2728,4503,60.58%,608,2007,2615
"Justice, 14th Court of Appeals District, Place 4",0815,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0816,20,13,33,76,43.42%,5,27,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0817,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0818,134,101,235,527,44.59%,47,180,227
"Justice, 14th Court of Appeals District, Place 4",0819,97,45,142,238,59.66%,88,35,123
"Justice, 14th Court of Appeals District, Place 4",0820,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0821,354,203,557,1206,46.19%,51,484,535
"Justice, 14th Court of Appeals District, Place 4",0822,584,282,866,1544,56.09%,24,819,843
"Justice, 14th Court of Appeals District, Place 4",0823,1850,1015,2865,4710,60.83%,1483,1245,2728
"Justice, 14th Court of Appeals District, Place 4",0824,984,471,1455,2729,53.32%,320,1073,1393
"Justice, 14th Court of Appeals District, Place 4",0825,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0826,153,89,242,342,70.76%,139,88,227
"Justice, 14th Court of Appeals District, Place 4",0827,169,186,355,997,35.61%,139,197,336
"Justice, 14th Court of Appeals District, Place 4",0828,1074,343,1417,1875,75.57%,1142,194,1336
"Justice, 14th Court of Appeals District, Place 4",0829,107,56,163,266,61.28%,34,125,159
"Justice, 14th Court of Appeals District, Place 4",0830,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0831,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0832,109,46,155,351,44.16%,47,97,144
"Justice, 14th Court of Appeals District, Place 4",0833,8,1,9,20,45.00%,0,9,9
"Justice, 14th Court of Appeals District, Place 4",0834,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0835,87,53,140,292,47.95%,36,96,132
"Justice, 14th Court of Appeals District, Place 4",0836,8,3,11,19,57.89%,1,8,9
"Justice, 14th Court of Appeals District, Place 4",0837,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0838,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0839,353,240,593,1122,52.85%,110,447,557
"Justice, 14th Court of Appeals District, Place 4",0840,712,251,963,1621,59.41%,316,608,924
"Justice, 14th Court of Appeals District, Place 4",0841,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 4",0842,988,715,1703,3091,55.10%,739,881,1620
"Justice, 14th Court of Appeals District, Place 4",0843,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 4",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 14th Court of Appeals District, Place 4",0845,85,10,95,100,95.00%,54,34,88
"Justice, 14th Court of Appeals District, Place 4",0846,70,29,99,210,47.14%,6,90,96
"Justice, 14th Court of Appeals District, Place 4",0847,795,321,1116,1804,61.86%,297,770,1067
