Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0563,1699,415,2114,2969,71.20%,1606,392,1998
"Justice, 1st Court of Appeals District, Place 7",0564,1150,713,1863,3096,60.17%,495,1233,1728
"Justice, 1st Court of Appeals District, Place 7",0565,315,194,509,1373,37.07%,88,386,474
"Justice, 1st Court of Appeals District, Place 7",0566,1123,478,1601,2950,54.27%,427,1114,1541
"Justice, 1st Court of Appeals District, Place 7",0567,672,394,1066,2198,48.50%,275,697,972
"Justice, 1st Court of Appeals District, Place 7",0568,1628,837,2465,3487,70.69%,1561,724,2285
"Justice, 1st Court of Appeals District, Place 7",0569,1294,865,2159,3249,66.45%,1146,858,2004
"Justice, 1st Court of Appeals District, Place 7",0570,527,409,936,1473,63.54%,406,445,851
"Justice, 1st Court of Appeals District, Place 7",0571,333,312,645,1758,36.69%,199,399,598
"Justice, 1st Court of Appeals District, Place 7",0572,1283,574,1857,2998,61.94%,853,908,1761
"Justice, 1st Court of Appeals District, Place 7",0573,578,368,946,1618,58.47%,15,913,928
"Justice, 1st Court of Appeals District, Place 7",0574,98,79,177,391,45.27%,17,148,165
"Justice, 1st Court of Appeals District, Place 7",0575,27,9,36,79,45.57%,32,3,35
"Justice, 1st Court of Appeals District, Place 7",0576,1051,552,1603,2671,60.01%,50,1501,1551
"Justice, 1st Court of Appeals District, Place 7",0577,231,113,344,573,60.03%,188,137,325
"Justice, 1st Court of Appeals District, Place 7",0578,745,553,1298,1689,76.85%,788,396,1184
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0579,488,351,839,1806,46.46%,187,606,793
"Justice, 1st Court of Appeals District, Place 7",0580,429,146,575,1027,55.99%,15,547,562
"Justice, 1st Court of Appeals District, Place 7",0581,510,162,672,1041,64.55%,18,630,648
"Justice, 1st Court of Appeals District, Place 7",0582,615,256,871,1613,54.00%,45,798,843
"Justice, 1st Court of Appeals District, Place 7",0583,544,127,671,1248,53.77%,15,644,659
"Justice, 1st Court of Appeals District, Place 7",0584,392,139,531,971,54.69%,29,496,525
"Justice, 1st Court of Appeals District, Place 7",0585,934,304,1238,2403,51.52%,37,1169,1206
"Justice, 1st Court of Appeals District, Place 7",0585,1306,1189,2495,4230,58.98%,1489,901,2390
"Justice, 1st Court of Appeals District, Place 7",0587,933,465,1398,2174,64.31%,489,859,1348
"Justice, 1st Court of Appeals District, Place 7",0588,1536,871,2407,3468,69.41%,1680,627,2307
"Justice, 1st Court of Appeals District, Place 7",0589,1033,738,1771,3130,56.58%,912,781,1693
"Justice, 1st Court of Appeals District, Place 7",0590,1158,463,1621,2136,75.89%,1231,311,1542
"Justice, 1st Court of Appeals District, Place 7",0591,420,449,869,2114,41.11%,218,596,814
"Justice, 1st Court of Appeals District, Place 7",0592,370,288,658,1258,52.31%,149,482,631
"Justice, 1st Court of Appeals District, Place 7",0593,1149,999,2148,4059,52.92%,954,1081,2035
"Justice, 1st Court of Appeals District, Place 7",0594,1031,535,1566,2361,66.33%,441,1073,1514
"Justice, 1st Court of Appeals District, Place 7",0595,497,380,877,1647,53.25%,137,713,850
"Justice, 1st Court of Appeals District, Place 7",0596,946,690,1636,2848,57.44%,841,727,1568
"Justice, 1st Court of Appeals District, Place 7",0597,1067,719,1786,3267,54.67%,594,1120,1714
"Justice, 1st Court of Appeals District, Place 7",0598,335,103,438,724,60.50%,330,80,410
"Justice, 1st Court of Appeals District, Place 7",0599,1895,866,2761,4135,66.77%,912,1746,2658
"Justice, 1st Court of Appeals District, Place 7",0600,1383,869,2252,3820,58.95%,770,1374,2144
"Justice, 1st Court of Appeals District, Place 7",0601,2028,858,2886,3990,72.33%,2136,634,2770
"Justice, 1st Court of Appeals District, Place 7",0602,562,296,858,1237,69.36%,589,239,828
"Justice, 1st Court of Appeals District, Place 7",0603,1438,1163,2601,3917,66.40%,1545,964,2509
"Justice, 1st Court of Appeals District, Place 7",0604,1444,528,1972,2910,67.77%,1599,288,1887
"Justice, 1st Court of Appeals District, Place 7",0605,2227,889,3116,5251,59.34%,726,2260,2986
"Justice, 1st Court of Appeals District, Place 7",0606,420,122,542,1053,51.47%,5,521,526
"Justice, 1st Court of Appeals District, Place 7",0607,194,118,312,731,42.68%,20,278,298
"Justice, 1st Court of Appeals District, Place 7",0608,245,290,535,1256,42.60%,198,301,499
"Justice, 1st Court of Appeals District, Place 7",0609,1364,844,2208,3261,67.71%,1345,736,2081
"Justice, 1st Court of Appeals District, Place 7",0610,403,398,801,1825,43.89%,343,408,751
"Justice, 1st Court of Appeals District, Place 7",0611,1121,301,1422,2450,58.04%,43,1342,1385
"Justice, 1st Court of Appeals District, Place 7",0612,1700,579,2279,3272,69.65%,1696,451,2147
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0613,495,309,804,1450,55.45%,118,658,776
"Justice, 1st Court of Appeals District, Place 7",0614,1631,812,2443,3932,62.13%,790,1547,2337
"Justice, 1st Court of Appeals District, Place 7",0615,931,404,1335,1926,69.31%,772,500,1272
"Justice, 1st Court of Appeals District, Place 7",0616,1352,970,2322,3378,68.74%,1564,638,2202
"Justice, 1st Court of Appeals District, Place 7",0617,1320,849,2169,3546,61.17%,751,1328,2079
"Justice, 1st Court of Appeals District, Place 7",0618,1922,1021,2943,5344,55.07%,1260,1565,2825
"Justice, 1st Court of Appeals District, Place 7",0619,2133,857,2990,4266,70.09%,2192,670,2862
"Justice, 1st Court of Appeals District, Place 7",0620,2384,856,3240,5271,61.47%,1532,1508,3040
"Justice, 1st Court of Appeals District, Place 7",0621,397,203,600,1173,51.15%,291,281,572
"Justice, 1st Court of Appeals District, Place 7",0622,1722,829,2551,4305,59.26%,1457,972,2429
"Justice, 1st Court of Appeals District, Place 7",0623,1708,626,2334,3481,67.05%,1456,741,2197
"Justice, 1st Court of Appeals District, Place 7",0624,9,0,9,16,56.25%,4,5,9
"Justice, 1st Court of Appeals District, Place 7",0625,862,454,1316,1796,73.27%,731,482,1213
"Justice, 1st Court of Appeals District, Place 7",0626,1148,655,1803,2838,63.53%,889,813,1702
"Justice, 1st Court of Appeals District, Place 7",0627,795,547,1442,2964,48.65%,415,944,1359
"Justice, 1st Court of Appeals District, Place 7",0628,292,456,748,1600,46.75%,301,406,707
"Justice, 1st Court of Appeals District, Place 7",0629,175,127,302,629,48.01%,20,277,297
"Justice, 1st Court of Appeals District, Place 7",0630,2019,535,2554,3190,80.06%,222,2241,2463
"Justice, 1st Court of Appeals District, Place 7",0631,1489,392,1881,2733,68.83%,1334,458,1792
"Justice, 1st Court of Appeals District, Place 7",0632,12,9,21,231,9.09%,5,12,17
"Justice, 1st Court of Appeals District, Place 7",0633,1782,678,2460,3257,75.53%,1765,583,2348
"Justice, 1st Court of Appeals District, Place 7",0634,1020,734,1754,2922,60.03%,1069,606,1675
"Justice, 1st Court of Appeals District, Place 7",0635,1327,706,2033,3280,61.98%,1533,412,1945
"Justice, 1st Court of Appeals District, Place 7",0636,1791,974,2765,3881,71.24%,2320,343,2663
"Justice, 1st Court of Appeals District, Place 7",0637,739,509,1248,2471,50.51%,291,858,1149
"Justice, 1st Court of Appeals District, Place 7",0638,740,684,1424,2078,68.53%,87,1277,1364
"Justice, 1st Court of Appeals District, Place 7",0639,829,711,1540,2501,61.58%,1199,284,1483
"Justice, 1st Court of Appeals District, Place 7",0640,1382,723,2105,3548,59.33%,1180,828,2008
"Justice, 1st Court of Appeals District, Place 7",0641,1265,878,2143,3375,63.50%,1301,745,2046
"Justice, 1st Court of Appeals District, Place 7",0642,873,447,1320,1779,74.20%,1066,192,1258
"Justice, 1st Court of Appeals District, Place 7",0643,2157,994,3151,5310,59.34%,1186,1819,3005
"Justice, 1st Court of Appeals District, Place 7",0644,2123,1204,3327,5261,63.24%,2045,1120,3165
"Justice, 1st Court of Appeals District, Place 7",0645,1639,895,2534,4035,62.80%,1154,1242,2396
"Justice, 1st Court of Appeals District, Place 7",0646,708,456,1164,2163,53.81%,334,771,1105
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0647,1771,1020,2791,5593,49.90%,677,1900,2577
"Justice, 1st Court of Appeals District, Place 7",0648,1590,668,2258,3197,70.63%,1559,597,2156
"Justice, 1st Court of Appeals District, Place 7",0649,1389,854,2243,4426,50.68%,612,1506,2118
"Justice, 1st Court of Appeals District, Place 7",0650,1328,939,2267,3151,71.95%,1644,515,2159
"Justice, 1st Court of Appeals District, Place 7",0651,2085,1070,3155,4931,63.98%,1922,1082,3004
"Justice, 1st Court of Appeals District, Place 7",0652,1050,653,1703,2633,64.68%,272,1366,1638
"Justice, 1st Court of Appeals District, Place 7",0653,0,8,8,0,0.00%,2,6,8
"Justice, 1st Court of Appeals District, Place 7",0654,2103,1344,3447,5765,59.79%,1711,1535,3246
"Justice, 1st Court of Appeals District, Place 7",0655,2613,1451,4064,6304,64.47%,2488,1361,3849
"Justice, 1st Court of Appeals District, Place 7",0656,1198,421,1619,2622,61.75%,50,1521,1571
"Justice, 1st Court of Appeals District, Place 7",0657,490,268,758,1200,63.17%,284,432,716
"Justice, 1st Court of Appeals District, Place 7",0658,985,708,1693,2824,59.95%,1032,602,1634
"Justice, 1st Court of Appeals District, Place 7",0659,2141,1091,3232,4588,70.44%,2254,839,3093
"Justice, 1st Court of Appeals District, Place 7",0660,2460,932,3392,5048,67.19%,321,2952,3273
"Justice, 1st Court of Appeals District, Place 7",0661,1614,1012,2626,4179,62.84%,1388,1105,2493
"Justice, 1st Court of Appeals District, Place 7",0662,2477,999,3476,4807,72.31%,2741,589,3330
"Justice, 1st Court of Appeals District, Place 7",0663,1302,913,2215,3232,68.53%,1192,864,2056
"Justice, 1st Court of Appeals District, Place 7",0664,681,607,1288,2801,45.98%,278,942,1220
"Justice, 1st Court of Appeals District, Place 7",0665,951,394,1345,2007,67.02%,1073,200,1273
"Justice, 1st Court of Appeals District, Place 7",0666,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0557,989,547,1536,2181,70.43%,1157,295,1452
"Justice, 1st Court of Appeals District, Place 7",0668,927,655,1582,2458,64.36%,968,535,1503
"Justice, 1st Court of Appeals District, Place 7",0669,1606,823,2429,3243,74.90%,1691,609,2300
"Justice, 1st Court of Appeals District, Place 7",0670,1566,518,2084,2952,70.60%,1615,347,1962
"Justice, 1st Court of Appeals District, Place 7",0671,1090,773,1863,2942,63.32%,1058,691,1749
"Justice, 1st Court of Appeals District, Place 7",0672,2301,1078,3379,4710,71.74%,2197,1057,3254
"Justice, 1st Court of Appeals District, Place 7",0673,1376,643,2019,2988,67.57%,1550,356,1906
"Justice, 1st Court of Appeals District, Place 7",0674,2092,813,2905,4055,71.64%,2135,659,2794
"Justice, 1st Court of Appeals District, Place 7",0675,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0676,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0677,220,239,459,954,48.11%,120,310,430
"Justice, 1st Court of Appeals District, Place 7",0678,297,164,461,756,60.98%,301,126,427
"Justice, 1st Court of Appeals District, Place 7",0679,1468,661,2129,3331,63.91%,1553,452,2005
"Justice, 1st Court of Appeals District, Place 7",0680,57,22,79,181,43.65%,32,40,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0681,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0682,1674,912,2586,4134,62.55%,1825,636,2461
"Justice, 1st Court of Appeals District, Place 7",0683,48,50,98,261,37.55%,24,68,92
"Justice, 1st Court of Appeals District, Place 7",0684,72,24,96,187,51.34%,54,35,89
"Justice, 1st Court of Appeals District, Place 7",0685,167,29,196,326,60.12%,90,92,182
"Justice, 1st Court of Appeals District, Place 7",0686,46,34,80,196,40.82%,16,58,74
"Justice, 1st Court of Appeals District, Place 7",0687,1084,641,1725,2497,69.08%,1139,474,1613
"Justice, 1st Court of Appeals District, Place 7",0688,1815,673,2488,3266,76.18%,1958,408,2366
"Justice, 1st Court of Appeals District, Place 7",0689,505,651,1156,2276,50.79%,521,542,1063
"Justice, 1st Court of Appeals District, Place 7",0690,1955,1115,3082,4184,73.66%,2373,575,2948
"Justice, 1st Court of Appeals District, Place 7",0691,10,2,12,34,35.29%,3,9,12
"Justice, 1st Court of Appeals District, Place 7",0692,1000,717,1717,2626,65.38%,1244,394,1638
"Justice, 1st Court of Appeals District, Place 7",0693,303,116,419,651,64.36%,107,279,386
"Justice, 1st Court of Appeals District, Place 7",0694,420,137,557,817,68.18%,367,161,528
"Justice, 1st Court of Appeals District, Place 7",0695,454,320,774,1646,47.02%,468,270,738
"Justice, 1st Court of Appeals District, Place 7",0696,600,373,973,2098,46.38%,593,340,933
"Justice, 1st Court of Appeals District, Place 7",0697,1516,941,2457,4307,57.05%,551,1813,2364
"Justice, 1st Court of Appeals District, Place 7",0698,1137,659,1796,2948,60.92%,173,1560,1733
"Justice, 1st Court of Appeals District, Place 7",0699,1031,566,1597,2288,69.80%,1011,452,1463
"Justice, 1st Court of Appeals District, Place 7",0700,531,287,818,1313,62.30%,641,137,778
"Justice, 1st Court of Appeals District, Place 7",0701,142,115,257,554,46.39%,128,116,244
"Justice, 1st Court of Appeals District, Place 7",0702,150,123,273,549,49.73%,30,229,259
"Justice, 1st Court of Appeals District, Place 7",0703,742,616,1358,1845,73.60%,968,295,1263
"Justice, 1st Court of Appeals District, Place 7",0704,1334,701,2035,2882,70.61%,1614,319,1933
"Justice, 1st Court of Appeals District, Place 7",0705,358,238,596,1520,39.21%,60,515,575
"Justice, 1st Court of Appeals District, Place 7",0706,222,135,357,529,67.49%,167,182,349
"Justice, 1st Court of Appeals District, Place 7",0707,284,135,420,707,59.41%,246,149,395
"Justice, 1st Court of Appeals District, Place 7",0708,109,95,204,568,35.92%,98,93,191
"Justice, 1st Court of Appeals District, Place 7",0709,2997,1297,4294,6239,68.83%,2515,1607,4122
"Justice, 1st Court of Appeals District, Place 7",0710,877,602,1479,2023,73.11%,852,513,1365
"Justice, 1st Court of Appeals District, Place 7",0711,1492,701,2193,3351,65.44%,1292,771,2063
"Justice, 1st Court of Appeals District, Place 7",0712,1200,858,2058,3348,61.47%,816,1177,1993
"Justice, 1st Court of Appeals District, Place 7",0713,665,436,1101,1827,60.26%,565,486,1051
"Justice, 1st Court of Appeals District, Place 7",0714,77,3,80,304,26.32%,54,22,76
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0715,405,326,731,1380,52.97%,355,336,691
"Justice, 1st Court of Appeals District, Place 7",0716,977,522,1599,2670,59.89%,1110,420,1530
"Justice, 1st Court of Appeals District, Place 7",0717,826,362,1188,1927,61.65%,153,987,1140
"Justice, 1st Court of Appeals District, Place 7",0718,1844,1019,2863,4050,70.69%,1900,758,2658
"Justice, 1st Court of Appeals District, Place 7",0719,508,260,768,1617,47.50%,413,308,721
"Justice, 1st Court of Appeals District, Place 7",0720,1575,1044,2619,3903,67.10%,1877,644,2521
"Justice, 1st Court of Appeals District, Place 7",0721,1334,637,1971,2842,69.35%,1303,540,1843
"Justice, 1st Court of Appeals District, Place 7",0722,1892,542,2534,4357,58.16%,155,2281,2436
"Justice, 1st Court of Appeals District, Place 7",0723,747,329,1076,1760,61.14%,220,808,1028
"Justice, 1st Court of Appeals District, Place 7",0724,325,170,495,716,69.13%,336,135,471
"Justice, 1st Court of Appeals District, Place 7",0725,953,329,1282,2124,60.36%,520,693,1213
"Justice, 1st Court of Appeals District, Place 7",0726,1141,304,1445,1987,72.72%,1245,136,1381
"Justice, 1st Court of Appeals District, Place 7",0727,931,466,1397,2488,56.15%,338,1002,1340
"Justice, 1st Court of Appeals District, Place 7",0728,343,208,551,881,62.54%,311,205,516
"Justice, 1st Court of Appeals District, Place 7",0729,208,93,301,446,67.49%,176,111,287
"Justice, 1st Court of Appeals District, Place 7",0730,802,437,1239,1630,76.01%,826,325,1151
"Justice, 1st Court of Appeals District, Place 7",0731,122,36,158,373,42.36%,34,112,146
"Justice, 1st Court of Appeals District, Place 7",0732,701,543,1244,1895,65.65%,733,426,1159
"Justice, 1st Court of Appeals District, Place 7",0733,25,62,87,172,50.58%,27,51,78
"Justice, 1st Court of Appeals District, Place 7",0734,3209,1114,4323,5952,72.63%,2882,1290,4172
"Justice, 1st Court of Appeals District, Place 7",0735,9,0,9,23,39.13%,9,0,9
"Justice, 1st Court of Appeals District, Place 7",0736,6,1,7,21,33.33%,1,5,6
"Justice, 1st Court of Appeals District, Place 7",0737,25,5,30,53,56.60%,24,6,30
"Justice, 1st Court of Appeals District, Place 7",0738,470,219,689,1294,53.25%,82,588,670
"Justice, 1st Court of Appeals District, Place 7",0739,1005,490,1495,2872,52.05%,648,786,1434
"Justice, 1st Court of Appeals District, Place 7",0740,233,205,438,935,46.84%,229,192,421
"Justice, 1st Court of Appeals District, Place 7",0741,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0742,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0743,27,4,31,199,15.58%,13,16,29
"Justice, 1st Court of Appeals District, Place 7",0744,848,509,1357,2024,67.05%,869,408,1277
"Justice, 1st Court of Appeals District, Place 7",0745,1066,542,1608,2396,67.11%,1004,508,1512
"Justice, 1st Court of Appeals District, Place 7",0746,230,151,381,707,53.89%,181,166,347
"Justice, 1st Court of Appeals District, Place 7",0747,1200,873,2073,3490,59.40%,953,1038,1991
"Justice, 1st Court of Appeals District, Place 7",0748,421,307,728,1319,55.19%,319,368,687
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0749,99,57,156,359,43.45%,27,116,143
"Justice, 1st Court of Appeals District, Place 7",0750,264,147,411,720,57.08%,228,158,386
"Justice, 1st Court of Appeals District, Place 7",0751,1665,1254,2919,4451,65.58%,1930,860,2790
"Justice, 1st Court of Appeals District, Place 7",0752,571,277,848,1511,56.12%,593,209,802
"Justice, 1st Court of Appeals District, Place 7",0753,106,61,167,260,64.23%,108,56,164
"Justice, 1st Court of Appeals District, Place 7",0754,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0755,1048,896,1944,3569,54.47%,716,1130,1846
"Justice, 1st Court of Appeals District, Place 7",0756,582,300,882,1539,57.31%,294,541,835
"Justice, 1st Court of Appeals District, Place 7",0757,1416,690,2106,3498,60.21%,326,1712,2038
"Justice, 1st Court of Appeals District, Place 7",0758,1996,783,2779,3781,73.50%,2189,432,2621
"Justice, 1st Court of Appeals District, Place 7",0759,1109,590,1699,2625,64.72%,1000,598,1598
"Justice, 1st Court of Appeals District, Place 7",0760,2346,647,2993,4154,72.05%,2475,373,2848
"Justice, 1st Court of Appeals District, Place 7",0761,917,219,1136,1464,77.60%,819,243,1062
"Justice, 1st Court of Appeals District, Place 7",0762,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0763,256,308,564,1184,47.64%,188,342,530
"Justice, 1st Court of Appeals District, Place 7",0764,2270,1050,3320,4931,67.33%,2053,1124,3177
"Justice, 1st Court of Appeals District, Place 7",0765,1390,815,2205,3967,55.58%,762,1349,2111
"Justice, 1st Court of Appeals District, Place 7",0766,71,92,163,383,42.56%,37,109,146
"Justice, 1st Court of Appeals District, Place 7",0767,20,15,35,90,38.89%,22,10,32
"Justice, 1st Court of Appeals District, Place 7",0768,2854,1159,4013,5364,74.81%,3128,728,3856
"Justice, 1st Court of Appeals District, Place 7",0769,117,5,122,161,75.78%,5,112,117
"Justice, 1st Court of Appeals District, Place 7",0770,58,48,106,262,40.46%,43,56,99
"Justice, 1st Court of Appeals District, Place 7",0771,702,537,1239,2378,52.10%,607,565,1172
"Justice, 1st Court of Appeals District, Place 7",0772,2929,1002,3931,5617,69.98%,2922,830,3752
"Justice, 1st Court of Appeals District, Place 7",0773,892,550,1442,2648,54.46%,348,1012,1360
"Justice, 1st Court of Appeals District, Place 7",0774,117,74,191,301,63.46%,41,144,185
"Justice, 1st Court of Appeals District, Place 7",0775,33,1,34,83,40.96%,0,33,33
"Justice, 1st Court of Appeals District, Place 7",0776,1113,741,1854,2855,64.94%,1061,714,1775
"Justice, 1st Court of Appeals District, Place 7",0777,83,123,206,642,32.09%,53,146,199
"Justice, 1st Court of Appeals District, Place 7",0778,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0779,295,221,516,1146,45.03%,162,318,480
"Justice, 1st Court of Appeals District, Place 7",0780,136,114,250,579,43.18%,106,128,234
"Justice, 1st Court of Appeals District, Place 7",0781,1152,655,1807,3716,48.63%,658,963,1621
"Justice, 1st Court of Appeals District, Place 7",0782,851,532,1383,2188,63.21%,819,478,1297
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0783,103,43,146,265,55.09%,77,58,135
"Justice, 1st Court of Appeals District, Place 7",0784,428,156,584,1071,54.53%,8,557,565
"Justice, 1st Court of Appeals District, Place 7",0785,66,55,121,310,39.03%,64,55,119
"Justice, 1st Court of Appeals District, Place 7",0786,193,277,470,1297,36.24%,141,303,444
"Justice, 1st Court of Appeals District, Place 7",0787,154,76,230,487,47.23%,73,141,214
"Justice, 1st Court of Appeals District, Place 7",0788,156,58,214,481,44.49%,72,130,202
"Justice, 1st Court of Appeals District, Place 7",0789,3,1,4,4,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 7",0790,1,0,1,4,25.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0791,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0792,549,409,958,1834,52.24%,211,693,904
"Justice, 1st Court of Appeals District, Place 7",0793,889,338,1227,2437,50.35%,695,475,1170
"Justice, 1st Court of Appeals District, Place 7",0794,575,484,1059,2602,40.70%,73,949,1022
"Justice, 1st Court of Appeals District, Place 7",0795,265,255,520,1207,43.08%,153,320,473
"Justice, 1st Court of Appeals District, Place 7",0796,145,92,237,485,48.87%,117,107,224
"Justice, 1st Court of Appeals District, Place 7",0797,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0798,176,263,439,496,88.51%,129,268,397
"Justice, 1st Court of Appeals District, Place 7",0799,65,12,77,146,52.74%,17,57,74
"Justice, 1st Court of Appeals District, Place 7",0800,1188,795,1983,2817,70.39%,1315,564,1879
"Justice, 1st Court of Appeals District, Place 7",0801,68,55,123,253,48.62%,36,79,115
"Justice, 1st Court of Appeals District, Place 7",0802,98,58,156,299,52.17%,33,113,146
"Justice, 1st Court of Appeals District, Place 7",0803,1305,530,1935,2718,71.19%,1400,441,1841
"Justice, 1st Court of Appeals District, Place 7",0804,1807,960,2767,4348,63.64%,1634,996,2630
"Justice, 1st Court of Appeals District, Place 7",0805,1509,529,2038,2812,72.48%,1611,320,1931
"Justice, 1st Court of Appeals District, Place 7",0806,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0807,652,402,1054,2001,52.67%,162,847,1009
"Justice, 1st Court of Appeals District, Place 7",0808,41,26,67,84,79.76%,29,29,58
"Justice, 1st Court of Appeals District, Place 7",0809,21,e,27,86,31.40%,8,16,24
"Justice, 1st Court of Appeals District, Place 7",0810,30,48,78,215,36.28%,17,51,68
"Justice, 1st Court of Appeals District, Place 7",0811,39,106,145,271,53.51%,28,107,135
"Justice, 1st Court of Appeals District, Place 7",0812,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0813,1967,1258,3225,5423,59.47%,1520,1588,3108
"Justice, 1st Court of Appeals District, Place 7",0814,1773,955,2728,4503,60.58%,601,2011,2612
"Justice, 1st Court of Appeals District, Place 7",0815,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0816,20,13,33,76,43.42%,5,27,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0817,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0818,134,101,235,527,44.59%,49,178,227
"Justice, 1st Court of Appeals District, Place 7",0819,97,45,142,238,59.66%,88,36,124
"Justice, 1st Court of Appeals District, Place 7",0820,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0821,354,203,557,1206,46.19%,46,487,533
"Justice, 1st Court of Appeals District, Place 7",0822,584,282,866,1544,56.09%,24,815,839
"Justice, 1st Court of Appeals District, Place 7",0823,1850,1015,2865,4710,60.83%,1467,1258,2725
"Justice, 1st Court of Appeals District, Place 7",0824,984,471,1455,2729,53.32%,307,1089,1396
"Justice, 1st Court of Appeals District, Place 7",0825,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0826,153,89,242,342,70.76%,138,89,227
"Justice, 1st Court of Appeals District, Place 7",0827,169,186,355,997,35.61%,126,208,334
"Justice, 1st Court of Appeals District, Place 7",0828,1074,343,1417,1875,75.57%,1133,204,1337
"Justice, 1st Court of Appeals District, Place 7",0829,107,56,163,266,61.28%,33,126,159
"Justice, 1st Court of Appeals District, Place 7",0830,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0831,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0832,109,46,155,351,44.16%,45,100,145
"Justice, 1st Court of Appeals District, Place 7",0833,8,1,9,20,45.00%,0,9,9
"Justice, 1st Court of Appeals District, Place 7",0834,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0835,87,53,140,292,47.95%,35,98,133
"Justice, 1st Court of Appeals District, Place 7",0836,8,3,11,19,57.89%,1,8,9
"Justice, 1st Court of Appeals District, Place 7",0837,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0838,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0839,353,240,593,1122,52.85%,114,442,556
"Justice, 1st Court of Appeals District, Place 7",0840,712,251,963,1621,59.41%,312,612,924
"Justice, 1st Court of Appeals District, Place 7",0841,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 7",0842,988,715,1703,3091,55.10%,729,894,1623
"Justice, 1st Court of Appeals District, Place 7",0843,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 7",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 1st Court of Appeals District, Place 7",0845,85,10,95,100,95.00%,56,33,89
"Justice, 1st Court of Appeals District, Place 7",0846,70,29,99,210,47.14%,4,93,97
