Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Parker Hervey,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 7",0596,947,690,1637,2848,57.48%,888,296,1184
"Judge, Court of Criminal Appeals, Place 7",0597,1067,719,1786,3267,54.67%,730,356,1086
"Judge, Court of Criminal Appeals, Place 7",0598,335,103,438,724,60.50%,338,34,372
"Judge, Court of Criminal Appeals, Place 7",0599,1895,855,2761,4135,66.77%,1052,599,1651
"Judge, Court of Criminal Appeals, Place 7",0600,1383,869,2252,3820,58.95%,891,443,1334
"Judge, Court of Criminal Appeals, Place 7",0601,2028,858,2886,3990,72.33%,2190,305,2495
"Judge, Court of Criminal Appeals, Place 7",0602,563,296,859,1237,69.44%,611,102,713
"Judge, Court of Criminal Appeals, Place 7",0603,1438,1163,2601,3917,66.40%,1632,385,2017
"Judge, Court of Criminal Appeals, Place 7",0604,1446,528,1974,2910,67.84%,1624,166,1790
"Judge, Court of Criminal Appeals, Place 7",0605,2228,889,3117,5251,59.36%,966,655,1621
"Judge, Court of Criminal Appeals, Place 7",0606,420,122,542,1053,51.47%,25,81,106
"Judge, Court of Criminal Appeals, Place 7",0607,194,118,312,731,42.68%,27,48,75
"Judge, Court of Criminal Appeals, Place 7",0608,245,290,535,1256,42.60%,269,88,357
"Judge, Court of Criminal Appeals, Place 7",0609,1365,844,2209,3261,67.74%,1448,310,1758
"Judge, Court of Criminal Appeals, Place 7",0610,403,398,801,1825,43.89%,406,128,534
"Judge, Court of Criminal Appeals, Place 7",0611,1122,301,1423,2450,58.08%,72,210,282
"Judge, Court of Criminal Appeals, Place 7",0612,1702,579,2281,3272,69.71%,1760,251,2011
"Judge, Court of Criminal Appeals, Place 7",0613,495,309,804,1450,55.45%,156,164,320
"Judge, Court of Criminal Appeals, Place 7",0614,1632,812,2444,3932,62.16%,939,443,1382
"Judge, Court of Criminal Appeals, Place 7",0615,931,404,1335,1926,69.31%,817,190,1007
"Judge, Court of Criminal Appeals, Place 7",0616,1353,970,2323,3378,68.77%,1645,307,1952
"Judge, Court of Criminal Appeals, Place 7",0617,1322,849,2171,3546,61.22%,886,498,1384
"Judge, Court of Criminal Appeals, Place 7",0618,1924,1021,2945,5344,55.11%,1418,519,1937
"Judge, Court of Criminal Appeals, Place 7",0619,2134,857,2991,4266,70.11%,2258,321,2579
"Judge, Court of Criminal Appeals, Place 7",0620,2387,856,3243,5271,61.53%,1710,580,2290
"Judge, Court of Criminal Appeals, Place 7",0621,398,203,601,1173,51.24%,329,129,458
"Judge, Court of Criminal Appeals, Place 7",0622,1724,829,2553,4305,59.30%,1582,383,1965
"Judge, Court of Criminal Appeals, Place 7",0623,1709,626,2335,3481,67.08%,1541,291,1832
"Judge, Court of Criminal Appeals, Place 7",0624,9,0,9,16,56.25%,5,1,6
"Judge, Court of Criminal Appeals, Place 7",0625,865,454,1319,1796,73.44%,794,240,1034
"Judge, Court of Criminal Appeals, Place 7",0626,1150,655,1805,2838,63.60%,973,352,1325
"Judge, Court of Criminal Appeals, Place 7",0627,795,547,1442,2964,48.65%,495,277,772
"Judge, Court of Criminal Appeals, Place 7",0628,292,456,748,1600,46.75%,371,122,493
"Judge, Court of Criminal Appeals, Place 7",0629,177,127,304,629,48.33%,52,71,123
"Judge, Court of Criminal Appeals, Place 7",0630,2023,535,2558,3190,80.19%,406,809,1215
"Judge, Court of Criminal Appeals, Place 7",0631,1490,392,1882,2733,68.86%,1368,207,1575
"Judge, Court of Criminal Appeals, Place 7",0632,12,9,21,231,9.09%,5,7,12
"Judge, Court of Criminal Appeals, Place 7",0633,1783,578,2461,3257,75.56%,1846,253,2099
"Judge, Court of Criminal Appeals, Place 7",0634,1022,734,1756,2922,60.10%,1122,272,1394
"Judge, Court of Criminal Appeals, Place 7",0635,1328,706,2034,3280,62.01%,1557,230,1787
"Judge, Court of Criminal Appeals, Place 7",0636,1793,974,2767,3881,71.30%,2343,190,2533
"Judge, Court of Criminal Appeals, Place 7",0637,740,509,1249,2471,50.55%,388,282,670
"Judge, Court of Criminal Appeals, Place 7",0638,741,684,1425,2078,68.58%,168,354,522
"Judge, Court of Criminal Appeals, Place 7",0639,833,711,1544,2501,61.74%,1223,119,1342
"Judge, Court of Criminal Appeals, Place 7",0640,1385,723,2108,3548,59.41%,1272,340,1612
"Judge, Court of Criminal Appeals, Place 7",0641,1265,878,2143,3375,63.50%,1343,309,1652
"Judge, Court of Criminal Appeals, Place 7",0642,873,447,1320,1779,74.20%,1097,81,1178
"Judge, Court of Criminal Appeals, Place 7",0643,2160,994,3154,5310,59.40%,1389,668,2057
"Judge, Court of Criminal Appeals, Place 7",0644,2125,1204,3329,5261,63.28%,2190,463,2653
"Judge, Court of Criminal Appeals, Place 7",0645,1648,895,2543,4035,63.02%,1294,552,1846
"Judge, Court of Criminal Appeals, Place 7",0646,708,456,1164,2163,53.81%,417,238,655
"Judge, Court of Criminal Appeals, Place 7",0647,1771,1020,2791,5593,49.90%,836,530,1366
"Judge, Court of Criminal Appeals, Place 7",0648,1591,668,2259,3197,70.66%,1625,263,1888
"Judge, Court of Criminal Appeals, Place 7",0649,1390,854,2244,4426,50.70%,744,487,1231
"Judge, Court of Criminal Appeals, Place 7",0650,1329,939,2268,3151,71.98%,1711,237,1948
"Judge, Court of Criminal Appeals, Place 7",0651,2087,1070,3157,4931,64.02%,2066,450,2516
"Judge, Court of Criminal Appeals, Place 7",0652,1054,653,1707,2633,64.83%,383,395,778
"Judge, Court of Criminal Appeals, Place 7",0653,0,8,8,0,0.00%,4,2,6
"Judge, Court of Criminal Appeals, Place 7",0654,2106,1344,3450,5765,59.84%,1925,548,2473
"Judge, Court of Criminal Appeals, Place 7",0655,2614,1451,4065,6304,64.48%,2604,559,3163
"Judge, Court of Criminal Appeals, Place 7",0656,1199,421,1620,2622,61.78%,106,257,363
"Judge, Court of Criminal Appeals, Place 7",0657,491,268,759,1200,63.25%,331,139,470
"Judge, Court of Criminal Appeals, Place 7",0658,986,708,1694,2824,59.99%,1083,258,1341
"Judge, Court of Criminal Appeals, Place 7",0659,2143,1091,3234,4588,70.49%,2319,397,2716
"Judge, Court of Criminal Appeals, Place 7",0660,2461,932,3393,5048,67.21%,485,824,1309
"Judge, Court of Criminal Appeals, Place 7",0661,1616,1012,2628,4179,62.89%,1519,451,1970
"Judge, Court of Criminal Appeals, Place 7",0662,2477,999,3476,4807,72.31%,2823,239,3062
"Judge, Court of Criminal Appeals, Place 7",0663,1304,913,2217,3232,68.60%,1283,417,1700
"Judge, Court of Criminal Appeals, Place 7",0664,681,607,1288,2801,45.98%,370,197,567
"Judge, Court of Criminal Appeals, Place 7",0665,951,394,1345,2007,67.02%,1105,88,1193
"Judge, Court of Criminal Appeals, Place 7",0666,0,1,1,0,0.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0667,990,547,1537,2181,70.47%,1217,122,1339
"Judge, Court of Criminal Appeals, Place 7",0668,928,655,1583,2458,64.40%,1036,218,1254
"Judge, Court of Criminal Appeals, Place 7",0669,1609,823,2432,3243,74.99%,1779,284,2063
"Judge, Court of Criminal Appeals, Place 7",0670,1567,518,2085,2952,70.63%,1651,180,1831
"Judge, Court of Criminal Appeals, Place 7",0671,1091,773,1864,2942,63.36%,1117,324,1441
"Judge, Court of Criminal Appeals, Place 7",0672,2303,1078,3381,4710,71.78%,2284,407,2691
"Judge, Court of Criminal Appeals, Place 7",0673,1377,643,2020,2988,67.60%,1581,144,1725
"Judge, Court of Criminal Appeals, Place 7",0674,2092,813,2905,4055,71.64%,2211,273,2484
"Judge, Court of Criminal Appeals, Place 7",0675,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0676,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0677,220,239,459,954,48.11%,176,88,264
"Judge, Court of Criminal Appeals, Place 7",0678,297,164,461,756,60.98%,317,59,376
"Judge, Court of Criminal Appeals, Place 7",0679,1469,661,2130,3331,63.94%,1601,197,1798
"Judge, Court of Criminal Appeals, Place 7",0680,57,22,79,181,43.65%,41,22,63
"Judge, Court of Criminal Appeals, Place 7",0681,1,0,1,5,20.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0682,1674,912,2586,4134,62.55%,1871,260,2131
"Judge, Court of Criminal Appeals, Place 7",0683,48,50,98,261,37.55%,31,23,54
"Judge, Court of Criminal Appeals, Place 7",0684,73,24,97,187,51.87%,62,16,78
"Judge, Court of Criminal Appeals, Place 7",0685,167,29,196,326,60.12%,91,23,114
"Judge, Court of Criminal Appeals, Place 7",0686,46,34,80,196,40.82%,17,20,37
"Judge, Court of Criminal Appeals, Place 7",0687,1088,641,1729,2497,69.24%,1201,222,1423
"Judge, Court of Criminal Appeals, Place 7",0688,1818,673,2491,3266,76.27%,2013,200,2213
"Judge, Court of Criminal Appeals, Place 7",0689,506,651,1157,2276,50.83%,586,197,783
"Judge, Court of Criminal Appeals, Place 7",0690,1959,1115,3085,4184,73.73%,2435,276,2711
"Judge, Court of Criminal Appeals, Place 7",0691,10,2,12,34,35.29%,5,2,7
"Judge, Court of Criminal Appeals, Place 7",0692,1001,717,1718,2626,65.42%,1269,195,1464
"Judge, Court of Criminal Appeals, Place 7",0693,303,116,419,651,64.36%,128,100,228
"Judge, Court of Criminal Appeals, Place 7",0694,420,137,557,817,68.18%,391,78,469
"Judge, Court of Criminal Appeals, Place 7",0695,455,320,775,1646,47.08%,513,90,603
"Judge, Court of Criminal Appeals, Place 7",0696,600,373,973,2098,46.38%,610,138,748
"Judge, Court of Criminal Appeals, Place 7",0697,1517,941,2458,4307,57.07%,671,471,1142
"Judge, Court of Criminal Appeals, Place 7",0698,1137,659,1796,2948,60.92%,272,320,592
"Judge, Court of Criminal Appeals, Place 7",0699,1032,566,1598,2288,69.84%,1089,189,1278
"Judge, Court of Criminal Appeals, Place 7",0700,531,287,818,1313,62.30%,664,68,732
"Judge, Court of Criminal Appeals, Place 7",0701,142,115,257,554,46.39%,153,39,192
"Judge, Court of Criminal Appeals, Place 7",0702,150,123,273,549,49.73%,52,48,100
"Judge, Court of Criminal Appeals, Place 7",0703,743,616,1359,1845,73.66%,1002,148,1150
"Judge, Court of Criminal Appeals, Place 7",0704,1336,701,2037,2882,70.68%,1651,137,1788
"Judge, Court of Criminal Appeals, Place 7",0705,358,238,596,1520,39.21%,87,79,166
"Judge, Court of Criminal Appeals, Place 7",0706,222,135,357,529,67.49%,177,82,259
"Judge, Court of Criminal Appeals, Place 7",0707,284,135,420,707,59.41%,264,77,341
"Judge, Court of Criminal Appeals, Place 7",0708,109,95,204,568,35.92%,106,40,146
"Judge, Court of Criminal Appeals, Place 7",0709,2997,1297,4294,6239,68.83%,2709,690,3399
"Judge, Court of Criminal Appeals, Place 7",0710,881,602,1483,2023,73.31%,926,302,1228
"Judge, Court of Criminal Appeals, Place 7",0711,1493,701,2194,3351,65.47%,1396,339,1735
"Judge, Court of Criminal Appeals, Place 7",0712,1205,858,2063,3348,61.62%,963,448,1411
"Judge, Court of Criminal Appeals, Place 7",0713,666,436,1102,1827,60.32%,602,191,793
"Judge, Court of Criminal Appeals, Place 7",0714,77,3,80,304,26.32%,54,6,60
"Judge, Court of Criminal Appeals, Place 7",0715,405,326,731,1380,52.97%,378,149,527
"Judge, Court of Criminal Appeals, Place 7",0716,977,622,1599,2670,59.89%,1138,156,1294
"Judge, Court of Criminal Appeals, Place 7",0717,826,362,1188,1927,61.65%,229,222,451
"Judge, Court of Criminal Appeals, Place 7",0718,1844,1019,2863,4050,70.69%,2006,314,2320
"Judge, Court of Criminal Appeals, Place 7",0719,508,260,768,1617,47.50%,459,101,560
"Judge, Court of Criminal Appeals, Place 7",0720,1575,1044,2619,3903,67.10%,1929,282,2211
"Judge, Court of Criminal Appeals, Place 7",0721,1335,637,1972,2842,69.39%,1357,276,1633
"Judge, Court of Criminal Appeals, Place 7",0722,1895,642,2537,4357,58.23%,296,642,938
"Judge, Court of Criminal Appeals, Place 7",0723,749,329,1078,1760,61.25%,274,212,486
"Judge, Court of Criminal Appeals, Place 7",0724,325,170,495,716,69.13%,354,55,409
"Judge, Court of Criminal Appeals, Place 7",0725,953,329,1282,2124,60.36%,567,180,747
"Judge, Court of Criminal Appeals, Place 7",0726,1141,304,1445,1987,72.72%,1238,86,1324
"Judge, Court of Criminal Appeals, Place 7",0727,935,466,1401,2488,56.31%,440,387,827
"Judge, Court of Criminal Appeals, Place 7",0728,343,208,551,881,62.54%,337,102,439
"Judge, Court of Criminal Appeals, Place 7",0729,208,93,301,446,67.49%,181,40,221
"Judge, Court of Criminal Appeals, Place 7",0730,808,437,1245,1630,76.38%,877,144,1021
"Judge, Court of Criminal Appeals, Place 7",0731,122,36,158,373,42.36%,47,34,81
"Judge, Court of Criminal Appeals, Place 7",0732,701,543,1244,1895,65.65%,755,230,985
"Judge, Court of Criminal Appeals, Place 7",0733,25,62,87,172,50.58%,34,13,47
"Judge, Court of Criminal Appeals, Place 7",0734,3213,1114,4327,5952,72.70%,3004,539,3543
"Judge, Court of Criminal Appeals, Place 7",0735,9,0,9,23,39.1,3%,7,2,9
"Judge, Court of Criminal Appeals, Place 7",0736,6,1,7,21,33.33%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0737,25,5,30,53,56.60%,24,3,27
"Judge, Court of Criminal Appeals, Place 7",0738,470,219,689,1294,53.25%,104,137,241
"Judge, Court of Criminal Appeals, Place 7",0739,1006,490,1496,2872,52.09%,712,227,939
"Judge, Court of Criminal Appeals, Place 7",0740,233,205,438,935,46.84%,236,57,293
"Judge, Court of Criminal Appeals, Place 7",0741,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0742,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0743,27,4,31,199,15.58%,13,7,20
"Judge, Court of Criminal Appeals, Place 7",0744,848,509,1357,2024,67.05%,914,180,1094
"Judge, Court of Criminal Appeals, Place 7",0745,1068,542,1610,2396,67.20%,1048,237,1285
"Judge, Court of Criminal Appeals, Place 7",0746,230,151,381,707,53.89%,195,65,260
"Judge, Court of Criminal Appeals, Place 7",0747,1200,873,2073,3490,59.40%,1063,382,1445
"Judge, Court of Criminal Appeals, Place 7",0748,421,307,728,1319,55.19%,363,158,521
"Judge, Court of Criminal Appeals, Place 7",0749,99,57,156,359,43.45%,33,29,62
"Judge, Court of Criminal Appeals, Place 7",0750,264,147,411,720,57.08%,241,74,315
"Judge, Court of Criminal Appeals, Place 7",0751,1668,1254,2922,4451,65.65%,1988,402,2390
"Judge, Court of Criminal Appeals, Place 7",0752,572,277,849,1511,56.19%,632,81,713
"Judge, Court of Criminal Appeals, Place 7",0753,106,61,167,260,64.23%,116,18,134
"Judge, Court of Criminal Appeals, Place 7",0754,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0755,1050,896,1946,3569,54.53%,868,429,1297
"Judge, Court of Criminal Appeals, Place 7",0756,582,300,882,1539,57.31%,331,147,478
"Judge, Court of Criminal Appeals, Place 7",0757,1417,690,2107,3498,60.23%,467,480,947
"Judge, Court of Criminal Appeals, Place 7",0758,1996,783,2779,3781,73.50%,2226,236,2462
"Judge, Court of Criminal Appeals, Place 7",0759,1112,590,1702,2625,64.84%,1071,261,1332
"Judge, Court of Criminal Appeals, Place 7",0760,2347,647,2994,4154,72.08%,2510,222,2732
"Judge, Court of Criminal Appeals, Place 7",0761,917,219,1136,1464,77.60%,848,129,977
"Judge, Court of Criminal Appeals, Place 7",0762,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0763,256,308,564,1184,47.64%,239,100,339
"Judge, Court of Criminal Appeals, Place 7",0764,2274,1050,3324,4931,67.41%,2163,455,2618
"Judge, Court of Criminal Appeals, Place 7",0765,1393,815,2208,3967,55.66%,883,527,1410
"Judge, Court of Criminal Appeals, Place 7",0766,72,92,164,383,42.82%,47,36,83
"Judge, Court of Criminal Appeals, Place 7",0767,20,15,35,90,38.89%,23,4,27
"Judge, Court of Criminal Appeals, Place 7",0768,2855,1159,4014,5364,74.83%,3182,373,3555
"Judge, Court of Criminal Appeals, Place 7",0769,117,5,122,161,75.78%,5,14,19
"Judge, Court of Criminal Appeals, Place 7",0770,58,48,106,262,40.46%,46,23,69
"Judge, Court of Criminal Appeals, Place 7",0771,703,537,1240,2378,52.14%,665,226,891
"Judge, Court of Criminal Appeals, Place 7",0772,2932,1002,3934,5617,70.04%,3034,376,3410
"Judge, Court of Criminal Appeals, Place 7",0773,892,550,1442,2648,54.46%,436,299,735
"Judge, Court of Criminal Appeals, Place 7",0774,117,74,191,301,63.46%,51,44,95
"Judge, Court of Criminal Appeals, Place 7",0775,33,1,34,83,40.96%,2,0,2
"Judge, Court of Criminal Appeals, Place 7",0776,1115,741,1856,2855,65.01%,1143,278,1421
"Judge, Court of Criminal Appeals, Place 7",0777,83,123,206,642,32.09%,74,32,106
"Judge, Court of Criminal Appeals, Place 7",0778,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0779,295,221,516,1146,45.03%,201,97,298
"Judge, Court of Criminal Appeals, Place 7",0780,136,114,250,579,43.18%,133,31,164
"Judge, Court of Criminal Appeals, Place 7",0781,1152,655,1807,3716,48.63%,782,300,1082
"Judge, Court of Criminal Appeals, Place 7",0782,851,532,1383,2188,63.21%,872,205,1077
"Judge, Court of Criminal Appeals, Place 7",0783,103,43,146,265,55.09%,84,18,102
"Judge, Court of Criminal Appeals, Place 7",0784,430,156,586,1071,54.72%,22,86,108
"Judge, Court of Criminal Appeals, Place 7",0785,66,55,121,310,39.03%,67,21,88
"Judge, Court of Criminal Appeals, Place 7",0786,193,277,470,1297,36.24%,176,75,251
"Judge, Court of Criminal Appeals, Place 7",0787,154,76,230,487,47.23%,93,41,134
"Judge, Court of Criminal Appeals, Place 7",0788,156,58,214,481,44.49%,82,52,134
"Judge, Court of Criminal Appeals, Place 7",0789,3,1,4,4,100.00%,0,2,2
"Judge, Court of Criminal Appeals, Place 7",0790,1,0,1,4,25.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0791,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0792,549,409,958,1834,52.24%,289,147,436
"Judge, Court of Criminal Appeals, Place 7",0793,890,338,1228,2437,50.39%,756,151,907
"Judge, Court of Criminal Appeals, Place 7",0794,575,484,1059,2602,40.70%,141,232,373
"Judge, Court of Criminal Appeals, Place 7",0795,265,255,520,1207,43.08%,204,103,307
"Judge, Court of Criminal Appeals, Place 7",0796,145,92,237,485,48.87%,132,40,172
"Judge, Court of Criminal Appeals, Place 7",0797,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0798,176,263,439,496,88.51%,159,101,260
"Judge, Court of Criminal Appeals, Place 7",0799,65,12,77,146,52.74%,18,22,40
"Judge, Court of Criminal Appeals, Place 7",0800,1188,795,1983,2817,70.39%,1381,282,1663
"Judge, Court of Criminal Appeals, Place 7",0801,68,55,123,253,48.62%,50,33,83
"Judge, Court of Criminal Appeals, Place 7",0802,98,58,156,299,52.17%,41,64,105
"Judge, Court of Criminal Appeals, Place 7",0803,1305,530,1935,2718,71.19%,1446,190,1636
"Judge, Court of Criminal Appeals, Place 7",0804,1810,960,2770,4348,63.71%,1762,393,2155
"Judge, Court of Criminal Appeals, Place 7",0805,1509,529,2038,2812,72.48%,1626,194,1820
"Judge, Court of Criminal Appeals, Place 7",0806,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0807,653,402,1055,2001,52.72%,230,347,577
"Judge, Court of Criminal Appeals, Place 7",0808,42,26,68,84,80.95%,31,18,49
"Judge, Court of Criminal Appeals, Place 7",0809,216,27,86,31.40%,11,3,14
"Judge, Court of Criminal Appeals, Place 7",0810,30,48,78,215,36.28%,22,14,36
"Judge, Court of Criminal Appeals, Place 7",0811,39,106,145,271,53.51%,39,42,81
"Judge, Court of Criminal Appeals, Place 7",0812,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0813,1969,1258,3227,5423,59.51%,1712,527,2239
"Judge, Court of Criminal Appeals, Place 7",0814,1774,955,2729,4503,60.60%,773,656,1429
"Judge, Court of Criminal Appeals, Place 7",0815,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0816,20,13,33,76,43.42%,8,13,21
"Judge, Court of Criminal Appeals, Place 7",0817,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0818,134,101,235,527,44.59%,82,49,111
"Judge, Court of Criminal Appeals, Place 7",0819,97,45,142,238,59.88%,94,17,111
"Judge, Court of Criminal Appeals, Place 7",0820,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0821,354,203,557,1208,48.19%,73,117,190
"Judge, Court of Criminal Appeals, Place 7",0822,584,282,888,1544,58.09%,82,151,213
"Judge, Court of Criminal Appeals, Place 7",0823,1854,1015,2889,4710,80.91%,1808,507,2113
"Judge, Court of Criminal Appeals, Place 7",0824,985,471,1458,2729,53.35%,398,303,899
"Judge, Court of Criminal Appeals, Place 7",0825,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0828,153,89,242,342,70.78%,144,47,191
"Judge, Court of Criminal Appeals, Place 7",0827,189,188,355,997,35.81%,158,51,207
"Judge, Court of Criminal Appeals, Place 7",0828,1074,343,1417,1875,75.57%,1181,112,1273
"Judge, Court of Criminal Appeals, Place 7",0829,107,58,183,288,81.28%,39,38,77
"Judge, Court of Criminal Appeals, Place 7",0830,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0831,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0832,109,48,155,351,44.18%,53,27,80
"Judge, Court of Criminal Appeals, Place 7",0833,8,1,9,20,45.00%,0,2,2
"Judge, Court of Criminal Appeals, Place 7",0834,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0835,87,53,140,292,47.95%,50,29,79
"Judge, Court of Criminal Appeals, Place 7",0838,8,3,11,19,57.89%,2,3,5
"Judge, Court of Criminal Appeals, Place 7",0837,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0838,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0839,355,240,595,1122,53.03%,188,171,337
"Judge, Court of Criminal Appeals, Place 7",0840,712,251,983,1821,59.41%,384,159,523
"Judge, Court of Criminal Appeals, Place 7",0841,0,2,2,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 7",0842,989,715,1704,3091,55.13%,843,334,1177
"Judge, Court of Criminal Appeals, Place 7",0843,0,2,2,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0844,2,4,8,13,48.15%,1,1,2
"Judge, Court of Criminal Appeals, Place 7",0845,88,10,98,100,98.00%,82,9,71
"Judge, Court of Criminal Appeals, Place 7",0848,70,29,99,210,47.14%,10,19,29
"Judge, Court of Criminal Appeals, Place 7",0847,797,321,1118,1804,81.97%,352,230,582
"Judge, Court of Criminal Appeals, Place 7",0848,782,431,1213,1873,84.78%,438,258,898
"Judge, Court of Criminal Appeals, Place 7",0849,553,514,1087,2073,51.47%,429,232,881
"Judge, Court of Criminal Appeals, Place 7",0850,87,38,125,205,80.98%,58,21,77
"Judge, Court of Criminal Appeals, Place 7",0851,2194,816,3010,4317,69.72%,2008,384,2392
"Judge, Court of Criminal Appeals, Place 7",0852,0,4,4,2,200.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0853,1414,605,2019,2773,72.81%,1583,179,1762
"Judge, Court of Criminal Appeals, Place 7",0854,41,30,71,175,40.57%,8,11,19
"Judge, Court of Criminal Appeals, Place 7",0855,4,13,17,18,94.44%,9,1,10
"Judge, Court of Criminal Appeals, Place 7",0856,0,4,4,0,0.00%,1,2,3
"Judge, Court of Criminal Appeals, Place 7",0857,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0858,132,18,150,372,40.32%,8,21,29
"Judge, Court of Criminal Appeals, Place 7",0859,309,201,510,860,59.30%,128,100,228
"Judge, Court of Criminal Appeals, Place 7",0860,0,1,1,0,0.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0861,705,319,1024,1786,57.33%,232,185,417
"Judge, Court of Criminal Appeals, Place 7",0862,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0863,210,69,279,620,45.00%,18,53,71
"Judge, Court of Criminal Appeals, Place 7",0864,497,609,1106,2464,44.89%,331,174,505
"Judge, Court of Criminal Appeals, Place 7",0865,9,2,11,23,47.83%,0,2,2
"Judge, Court of Criminal Appeals, Place 7",0866,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0867,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0868,573,586,1159,2292,50.57%,391,195,586
"Judge, Court of Criminal Appeals, Place 7",0869,153,76,229,473,48.41%,49,49,98
"Judge, Court of Criminal Appeals, Place 7",0870,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0871,3,0,3,4,75.00%,0,3,3
"Judge, Court of Criminal Appeals, Place 7",0872,13,5,18,66,27.27%,11,1,12
"Judge, Court of Criminal Appeals, Place 7",0873,253,125,378,701,53.92%,118,81,199
"Judge, Court of Criminal Appeals, Place 7",0874,1535,748,2283,3107,73.48%,1770,225,1995
"Judge, Court of Criminal Appeals, Place 7",0875,1721,927,2648,4031,65.69%,1392,509,1901
"Judge, Court of Criminal Appeals, Place 7",0876,1630,639,2269,3013,75.31%,1677,244,1921
"Judge, Court of Criminal Appeals, Place 7",0877,1032,542,1674,2480,67.50%,780,393,1173
"Judge, Court of Criminal Appeals, Place 7",0878,853,350,1203,1641,73.31%,998,99,1097
"Judge, Court of Criminal Appeals, Place 7",0879,890,527,1417,2334,60.71%,742,267,1009
"Judge, Court of Criminal Appeals, Place 7",0880,1070,472,1542,2007,76.83%,1202,141,1343
"Judge, Court of Criminal Appeals, Place 7",0881,1511,877,2388,3619,65.99%,919,539,1458
"Judge, Court of Criminal Appeals, Place 7",0882,941,457,1398,2328,60.05%,822,245,1067
"Judge, Court of Criminal Appeals, Place 7",0883,1920,1042,2962,4651,63.69%,703,653,1356
"Judge, Court of Criminal Appeals, Place 7",0884,119,37,156,330,47.27%,29,14,43
"Judge, Court of Criminal Appeals, Place 7",0885,1222,541,1763,2466,71.49%,1099,238,1337
"Judge, Court of Criminal Appeals, Place 7",0886,301,154,455,713,63.81%,258,102,360
"Judge, Court of Criminal Appeals, Place 7",0887,142,83,225,313,71.88%,124,50,174
"Judge, Court of Criminal Appeals, Place 7",0888,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0889,22,0,22,61,36.07%,13,5,18
"Judge, Court of Criminal Appeals, Place 7",0890,325,118,443,994,44.57%,179,122,301
"Judge, Court of Criminal Appeals, Place 7",0891,540,392,932,1413,65.96%,437,204,641
"Judge, Court of Criminal Appeals, Place 7",0892,195,130,325,696,46.70%,110,80,190
"Judge, Court of Criminal Appeals, Place 7",0893,1,0,1,5,20.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0894,0,31,31,0,0.00%,6,13,19
"Judge, Court of Criminal Appeals, Place 7",0895,337,325,662,784,84.44%,357,1,34,491
"Judge, Court of Criminal Appeals, Place 7",0896,670,303,973,1437,67.71%,453,251,704
