Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0656,1198,421,1619,2622,61.75%,55,1507,1562
"District Judge, 337th Judicial District",0657,490,268,758,1200,63.17%,288,425,713
"District Judge, 337th Judicial District",0658,985,708,1693,2824,59.95%,1031,581,1612
"District Judge, 337th Judicial District",0659,2141,1091,3232,4588,70.44%,2244,830,3074
"District Judge, 337th Judicial District",0660,2460,932,3392,5048,67.19%,332,2928,3260
"District Judge, 337th Judicial District",0661,1614,1012,2626,4179,62.84%,1372,1087,2459
"District Judge, 337th Judicial District",0662,2477,999,3476,4807,72.31%,2735,573,3308
"District Judge, 337th Judicial District",0663,1302,913,2215,3232,68.53%,1198,822,2020
"District Judge, 337th Judicial District",0664,681,607,1288,2801,45.98%,280,931,1211
"District Judge, 337th Judicial District",0665,951,394,1345,2007,67.02%,1074,197,1271
"District Judge, 337th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 337th Judicial District",0657,989,547,1536,2181,70.43%,1154,289,1443
"District Judge, 337th Judicial District",0668,927,655,1582,2458,64.36%,970,530,1500
"District Judge, 337th Judicial District",0669,1606,823,2429,3243,74.90%,1675,608,2283
"District Judge, 337th Judicial District",0670,1566,518,2084,2952,70.60%,1611,331,1942
"District Judge, 337th Judicial District",0671,1090,773,1863,2942,63.32%,1063,675,1738
"District Judge, 337th Judicial District",0672,2301,1078,3379,4710,71.74%,2195,1040,3235
"District Judge, 337th Judicial District",0673,1376,643,2019,2988,67.57%,1537,364,1901
"District Judge, 337th Judicial District",0674,2092,813,2905,4055,71.64%,2145,630,2775
"District Judge, 337th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0677,220,239,459,954,48.11%,125,307,432
"District Judge, 337th Judicial District",0678,297,164,461,756,60.98%,307,116,423
"District Judge, 337th Judicial District",0679,1466,661,2127,3331,63.85%,1548,446,1994
"District Judge, 337th Judicial District",0680,56,22,78,181,43.09%,36,35,71
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 337th Judicial District",0682,1673,912,2585,4134,62.53%,1820,627,2447
"District Judge, 337th Judicial District",0683,48,50,98,261,37.55%,23,67,90
"District Judge, 337th Judicial District",0684,72,24,96,187,51.34%,56,32,88
"District Judge, 337th Judicial District",0685,167,29,196,326,60.12%,85,94,179
"District Judge, 337th Judicial District",0686,46,34,80,196,40.82%,16,59,75
"District Judge, 337th Judicial District",0687,1084,641,1725,2497,69.08%,1142,459,1601
"District Judge, 337th Judicial District",0688,1815,673,2488,3266,76.18%,1951,398,2349
"District Judge, 337th Judicial District",0689,505,651,1156,2276,50.79%,526,531,1057
"District Judge, 337th Judicial District",0690,1965,1116,3081,4184,73.64%,2366,560,2926
"District Judge, 337th Judicial District",0691,10,2,12,34,35.29%,5,7,12
"District Judge, 337th Judicial District",0692,999,717,1716,2626,65.35%,1249,371,1620
"District Judge, 337th Judicial District",0693,303,116,419,651,64.36%,108,270,378
"District Judge, 337th Judicial District",0694,420,137,557,817,68.18%,364,163,527
"District Judge, 337th Judicial District",0695,454,320,774,1646,47.02%,468,264,732
"District Judge, 337th Judicial District",0696,600,373,973,2098,46.38%,586,335,921
"District Judge, 337th Judicial District",0697,1516,941,2457,4307,57.05%,544,1805,2349
"District Judge, 337th Judicial District",0698,1137,659,1796,2948,60.92%,181,1544,1725
"District Judge, 337th Judicial District",0699,1031,566,1597,2288,69.80%,1022,424,1446
"District Judge, 337th Judicial District",0700,531,287,818,1313,62.30%,640,134,774
"District Judge, 337th Judicial District",0701,142,115,257,554,46.39%,132,112,244
"District Judge, 337th Judicial District",0702,150,123,273,549,49.73%,28,230,258
"District Judge, 337th Judicial District",0703,742,616,1358,1845,73.60%,969,282,1251
"District Judge, 337th Judicial District",0704,1334,701,2035,2882,70.61%,1610,317,1927
"District Judge, 337th Judicial District",0705,358,238,596,1520,39.21%,59,517,576
"District Judge, 337th Judicial District",0706,222,135,357,529,67.49%,171,174,345
"District Judge, 337th Judicial District",0707,284,136,420,707,59.41%,236,156,392
"District Judge, 337th Judicial District",0708,109,95,204,568,35.92%,95,97,192
"District Judge, 337th Judicial District",0709,2996,1297,4293,6239,68.81%,2524,1577,4101
"District Judge, 337th Judicial District",0710,877,602,1479,2023,73.11%,857,491,1348
"District Judge, 337th Judicial District",0711,1492,701,2193,3351,65.44%,1299,744,2043
"District Judge, 337th Judicial District",0712,1200,858,2058,3348,61.47%,826,1165,1991
"District Judge, 337th Judicial District",0713,665,436,1101,1827,60.26%,569,474,1043
"District Judge, 337th Judicial District",0714,77,3,80,304,26.32%,53,19,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0715,405,326,731,1380,52.97%,353,331,684
"District Judge, 337th Judicial District",0716,977,522,1599,2670,59.89%,1101,415,1516
"District Judge, 337th Judicial District",0717,826,362,1188,1927,61.65%,158,977,1135
"District Judge, 337th Judicial District",0718,1844,1019,2863,4050,70.69%,1890,745,2635
"District Judge, 337th Judicial District",0719,508,260,768,1617,47.50%,406,305,711
"District Judge, 337th Judicial District",0720,1575,1044,2619,3903,67.10%,1868,635,2503
"District Judge, 337th Judicial District",0721,1334,637,1971,2842,69.35%,1319,511,1830
"District Judge, 337th Judicial District",0722,1892,542,2534,4357,58.16%,159,2272,2431
"District Judge, 337th Judicial District",0723,747,329,1076,1760,61.14%,226,799,1025
"District Judge, 337th Judicial District",0724,325,170,495,716,69.13%,337,134,471
"District Judge, 337th Judicial District",0725,953,329,1282,2124,60.36%,519,684,1203
"District Judge, 337th Judicial District",0726,1141,304,1445,1987,72.72%,1239,142,1381
"District Judge, 337th Judicial District",0727,931,466,1397,2488,56.15%,335,998,1333
"District Judge, 337th Judicial District",0728,343,208,551,881,62.54%,306,206,512
"District Judge, 337th Judicial District",0729,208,93,301,446,67.49%,171,113,284
"District Judge, 337th Judicial District",0730,800,437,1237,1630,75.89%,811,322,1133
"District Judge, 337th Judicial District",0731,121,36,157,373,42.09%,30,114,144
"District Judge, 337th Judicial District",0732,701,543,1244,1895,65.65%,729,426,1155
"District Judge, 337th Judicial District",0733,25,62,87,172,50.58%,27,52,79
"District Judge, 337th Judicial District",0734,3209,1114,4323,5952,72.63%,2872,1273,4145
"District Judge, 337th Judicial District",0735,9,0,9,23,39.13%,9,0,9
"District Judge, 337th Judicial District",0736,6,1,7,21,33.33%,1,6,7
"District Judge, 337th Judicial District",0737,25,5,30,53,56.60%,24,6,30
"District Judge, 337th Judicial District",0738,470,219,689,1294,53.25%,81,585,666
"District Judge, 337th Judicial District",0739,1005,490,1495,2872,52.05%,648,782,1430
"District Judge, 337th Judicial District",0740,233,205,438,935,46.84%,225,191,416
"District Judge, 337th Judicial District",0741,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0742,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0743,27,4,31,199,15.58%,16,13,29
"District Judge, 337th Judicial District",0744,848,509,1357,2024,67.05%,870,398,1268
"District Judge, 337th Judicial District",0745,1066,542,1608,2396,67.11%,1007,488,1495
"District Judge, 337th Judicial District",0746,230,151,381,707,53.89%,179,166,345
"District Judge, 337th Judicial District",0747,1200,873,2073,3490,59.40%,973,1012,1985
"District Judge, 337th Judicial District",0748,420,307,727,1319,55.12%,325,351,676
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0749,99,57,156,359,43.45%,26,115,141
"District Judge, 337th Judicial District",0750,264,147,411,720,57.08%,227,160,387
"District Judge, 337th Judicial District",0751,1664,1254,2918,4451,65.56%,1918,850,2768
"District Judge, 337th Judicial District",0752,571,277,848,1511,56.12%,594,204,798
"District Judge, 337th Judicial District",0753,106,61,167,260,64.23%,112,51,163
"District Judge, 337th Judicial District",0754,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0755,1048,896,1944,3569,54.47%,723,1109,1832
"District Judge, 337th Judicial District",0756,582,300,882,1539,57.31%,296,539,835
"District Judge, 337th Judicial District",0757,1416,690,2106,3498,60.21%,331,1708,2039
"District Judge, 337th Judicial District",0758,1996,783,2779,3781,73.50%,2173,425,2598
"District Judge, 337th Judicial District",0759,1109,590,1699,2625,64.72%,1014,577,1591
"District Judge, 337th Judicial District",0760,2346,647,2993,4154,72.05%,2451,361,2812
"District Judge, 337th Judicial District",0761,917,219,1136,1464,77.60%,822,223,1045
"District Judge, 337th Judicial District",0762,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0763,255,308,563,1184,47.55%,200,328,528
"District Judge, 337th Judicial District",0764,2270,1050,3320,4931,67.33%,2061,1100,3161
"District Judge, 337th Judicial District",0765,1390,815,2205,3967,55.58%,773,1323,2096
"District Judge, 337th Judicial District",0766,71,92,163,383,42.56%,35,109,144
"District Judge, 337th Judicial District",0767,20,15,35,90,38.89%,22,10,32
"District Judge, 337th Judicial District",0768,2854,1159,4013,5364,74.81%,3133,703,3836
"District Judge, 337th Judicial District",0769,117,5,122,161,75.78%,6,111,117
"District Judge, 337th Judicial District",0770,58,48,106,262,40.46%,45,55,100
"District Judge, 337th Judicial District",0771,701,537,1238,2378,52.06%,617,545,1162
"District Judge, 337th Judicial District",0772,2927,1002,3929,5617,69.95%,2901,830,3731
"District Judge, 337th Judicial District",0773,892,550,1442,2648,54.46%,343,1013,1356
"District Judge, 337th Judicial District",0774,116,74,190,301,63.12%,42,142,184
"District Judge, 337th Judicial District",0775,33,1,34,83,40.96%,0,33,33
"District Judge, 337th Judicial District",0776,1113,741,1854,2855,64.94%,1065,696,1761
"District Judge, 337th Judicial District",0777,83,123,206,642,32.09%,53,145,198
"District Judge, 337th Judicial District",0778,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0779,295,221,516,1146,45.03%,166,315,481
"District Judge, 337th Judicial District",0780,136,114,250,579,43.18%,106,126,232
"District Judge, 337th Judicial District",0781,1152,655,1807,3716,48.63%,668,957,1625
"District Judge, 337th Judicial District",0782,851,532,1383,2188,63.21%,821,468,1289
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0783,103,43,146,265,55.09%,76,59,135
"District Judge, 337th Judicial District",0784,428,156,584,1071,54.53%,10,553,563
"District Judge, 337th Judicial District",0785,66,55,121,310,39.03%,63,56,119
"District Judge, 337th Judicial District",0786,193,277,470,1297,36.24%,148,297,445
"District Judge, 337th Judicial District",0787,154,76,230,487,47.23%,73,139,212
"District Judge, 337th Judicial District",0788,156,58,214,481,44.49%,68,133,201
"District Judge, 337th Judicial District",0789,3,1,4,4,100.00%,1,2,3
"District Judge, 337th Judicial District",0790,1,0,1,4,25.00%,0,1,1
"District Judge, 337th Judicial District",0791,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0792,549,409,958,1834,52.24%,218,688,906
"District Judge, 337th Judicial District",0793,889,338,1227,2437,50.35%,694,474,1168
"District Judge, 337th Judicial District",0794,575,484,1059,2602,40.70%,78,938,1016
"District Judge, 337th Judicial District",0795,265,255,520,1207,43.08%,150,316,466
"District Judge, 337th Judicial District",0796,145,92,237,485,48.87%,116,107,223
"District Judge, 337th Judicial District",0797,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0798,176,263,439,496,88.51%,128,263,391
"District Judge, 337th Judicial District",0799,65,12,77,146,52.74%,16,58,74
"District Judge, 337th Judicial District",0800,1188,795,1983,2817,70.39%,1301,560,1861
"District Judge, 337th Judicial District",0801,68,55,123,253,48.62%,40,75,115
"District Judge, 337th Judicial District",0802,98,58,156,299,52.17%,37,105,142
"District Judge, 337th Judicial District",0803,1305,530,1935,2718,71.19%,1405,428,1833
"District Judge, 337th Judicial District",0804,1806,960,2766,4348,63.62%,1627,979,2606
"District Judge, 337th Judicial District",0805,1509,529,2038,2812,72.48%,1601,319,1920
"District Judge, 337th Judicial District",0806,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0807,652,402,1054,2001,52.67%,159,845,1004
"District Judge, 337th Judicial District",0808,41,26,67,84,79.76%,30,28,58
"District Judge, 337th Judicial District",0809,21,e,27,86,31.40%,8,16,24
"District Judge, 337th Judicial District",0810,30,48,78,215,36.28%,18,52,70
"District Judge, 337th Judicial District",0811,39,106,145,271,53.51%,30,105,135
"District Judge, 337th Judicial District",0812,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0813,1967,1258,3225,5423,59.47%,1531,1570,3101
"District Judge, 337th Judicial District",0814,1772,955,2727,4503,60.56%,605,1994,2599
"District Judge, 337th Judicial District",0815,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0817,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0818,134,101,235,527,44.59%,45,180,225
"District Judge, 337th Judicial District",0819,97,45,142,238,59.66%,83,39,122
"District Judge, 337th Judicial District",0820,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0821,354,203,557,1206,46.19%,46,488,534
"District Judge, 337th Judicial District",0822,584,282,866,1544,56.09%,25,813,838
"District Judge, 337th Judicial District",0823,1849,1015,2864,4710,60.81%,1483,1232,2715
"District Judge, 337th Judicial District",0824,984,471,1455,2729,53.32%,320,1080,1400
"District Judge, 337th Judicial District",0825,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0826,153,89,242,342,70.76%,133,91,224
"District Judge, 337th Judicial District",0827,169,186,355,997,35.61%,134,203,337
"District Judge, 337th Judicial District",0828,1074,343,1417,1875,75.57%,1123,206,1329
"District Judge, 337th Judicial District",0829,107,56,163,266,61.28%,35,123,158
"District Judge, 337th Judicial District",0830,0,0,0,1,0.00%,0,0,0
"District Judge, 337th Judicial District",0831,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0832,109,46,155,351,44.16%,46,99,145
"District Judge, 337th Judicial District",0833,8,1,9,20,45.00%,0,9,9
"District Judge, 337th Judicial District",0834,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0835,87,53,140,292,47.95%,37,95,132
"District Judge, 337th Judicial District",0836,8,3,11,19,57.89%,1,8,9
"District Judge, 337th Judicial District",0837,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0838,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0839,353,240,593,1122,52.85%,112,443,555
"District Judge, 337th Judicial District",0840,712,251,963,1621,59.41%,305,615,920
"District Judge, 337th Judicial District",0841,0,2,2,0,0.00%,0,2,2
"District Judge, 337th Judicial District",0842,987,715,1702,3091,55.06%,745,870,1615
"District Judge, 337th Judicial District",0843,0,2,2,0,0.00%,0,2,2
"District Judge, 337th Judicial District",0844,2,4,6,1,3,46.1,5%,1,4,5
"District Judge, 337th Judicial District",0845,85,10,95,100,95.00%,53,35,88
"District Judge, 337th Judicial District",0846,70,29,99,210,47.14%,6,89,95
"District Judge, 337th Judicial District",0847,795,321,1116,1804,61.86%,301,763,1064
"District Judge, 337th Judicial District",0848,782,431,1213,1873,64.76%,373,778,1151
"District Judge, 337th Judicial District",0849,553,514,1067,2073,51.47%,338,653,991
"District Judge, 337th Judicial District",0850,87,38,125,205,60.98%,52,69,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0851,2192,816,3008,4317,69.68%,1931,917,2848
"District Judge, 337th Judicial District",0852,0,4,4,2,200.00%,0,4,4
"District Judge, 337th Judicial District",0853,1412,605,2017,2773,72.74%,1514,382,1896
"District Judge, 337th Judicial District",0854,41,30,71,175,40.57%,6,63,69
"District Judge, 337th Judicial District",0855,4,13,17,18,94.44%,9,8,17
"District Judge, 337th Judicial District",0856,0,4,4,0,0.00%,1,2,3
"District Judge, 337th Judicial District",0857,0,0,0,1,0.00%,0,0,0
"District Judge, 337th Judicial District",0858,132,18,150,372,40.32%,4,141,145
"District Judge, 337th Judicial District",0859,309,201,510,860,59.30%,102,394,496
"District Judge, 337th Judicial District",0860,0,1,1,0,0.00%,0,1,1
"District Judge, 337th Judicial District",0861,705,319,1024,1786,57.33%,179,813,992
"District Judge, 337th Judicial District",0862,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0863,210,69,279,620,45.00%,10,262,272
"District Judge, 337th Judicial District",0864,497,609,1106,2464,44.89%,271,768,1039
"District Judge, 337th Judicial District",0865,9,2,11,23,47.83%,0,11,11
"District Judge, 337th Judicial District",0866,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0867,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0868,573,586,1159,2292,50.57%,349,744,1093
"District Judge, 337th Judicial District",0869,153,76,229,473,48.41%,36,184,220
"District Judge, 337th Judicial District",0870,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0871,3,0,3,4,75.00%,0,3,3
"District Judge, 337th Judicial District",0872,13,5,18,66,27.27%,9,7,16
"District Judge, 337th Judicial District",0873,253,125,378,701,53.92%,94,276,370
"District Judge, 337th Judicial District",0874,1534,748,2282,3107,73.45%,1710,448,2158
"District Judge, 337th Judicial District",0875,1719,927,2646,4031,65.64%,1251,1279,2530
"District Judge, 337th Judicial District",0876,1629,639,2268,3013,75.27%,1619,542,2161
"District Judge, 337th Judicial District",0877,1030,642,1672,2480,67.42%,698,914,1612
"District Judge, 337th Judicial District",0878,853,350,1203,1641,73.31%,989,150,1139
"District Judge, 337th Judicial District",0879,890,527,1417,2334,60.71%,660,693,1353
"District Judge, 337th Judicial District",0880,1068,472,1540,2007,76.73%,1145,309,1454
"District Judge, 337th Judicial District",0881,1510,877,2387,3619,65.96%,757,1538,2295
"District Judge, 337th Judicial District",0882,940,457,1397,2328,60.01%,773,559,1332
"District Judge, 337th Judicial District",0883,1918,1042,2960,4651,63.64%,535,2321,2856
"District Judge, 337th Judicial District",0884,118,37,155,330,46.97%,19,130,149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0885,1222,541,1763,2466,71.49%,1044,629,1673
"District Judge, 337th Judicial District",0886,301,154,455,713,63.81%,234,172,406
"District Judge, 337th Judicial District",0887,138,83,221,313,70.61%,119,73,192
"District Judge, 337th Judicial District",0888,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0889,22,0,22,61,36.07%,13,8,21
"District Judge, 337th Judicial District",0890,319,118,437,994,43.96%,162,246,408
"District Judge, 337th Judicial District",0891,539,392,931,1413,65.89%,373,484,857
"District Judge, 337th Judicial District",0892,193,130,323,696,46.41%,90,205,295
"District Judge, 337th Judicial District",0893,1,0,1,5,20.00%,0,1,1
"District Judge, 337th Judicial District",0894,0,31,31,0,0.00%,8,20,28
"District Judge, 337th Judicial District",0895,335,325,660,784,84.18%,302,279,581
"District Judge, 337th Judicial District",0896,670,303,973,1437,67.71%,394,486,880
"District Judge, 337th Judicial District",0897,742,375,1117,1624,68.78%,607,451,1058
"District Judge, 337th Judicial District",0898,0,0,0,2,0.00%,0,0,0
"District Judge, 337th Judicial District",0899,4,0,4,8,50.00%,1,3,4
"District Judge, 337th Judicial District",0900,5,0,5,12,41.67%,1,3,4
"District Judge, 337th Judicial District",0901,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0902,865,621,1486,2065,71.96%,852,507,1359
"District Judge, 337th Judicial District",0903,10,1,11,41,26.83%,6,4,10
"District Judge, 337th Judicial District",0904,0,1,1,1,100.00%,0,1,1
"District Judge, 337th Judicial District",0905,290,158,458,908,50.44%,171,241,412
"District Judge, 337th Judicial District",0906,12,6,18,26,69.23%,9,8,17
"District Judge, 337th Judicial District",0907,60,43,103,134,76.87%,20,81,101
"District Judge, 337th Judicial District",0908,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0909,5,7,12,19,63.16%,4,6,10
"District Judge, 337th Judicial District",0910,55,34,89,226,39.38%,36,46,82
"District Judge, 337th Judicial District",0911,227,79,306,570,53.68%,193,91,284
"District Judge, 337th Judicial District",0912,675,221,896,1235,72.55%,534,293,827
"District Judge, 337th Judicial District",0913,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0914,169,67,236,221,106.79%,182,39,221
"District Judge, 337th Judicial District",0915,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0916,504,182,786,1045,75.22%,635,110,745
"District Judge, 337th Judicial District",0917,280,137,417,481,86.69%,288,93,381
"District Judge, 337th Judicial District",0918,489,135,624,883,70.67%,488,89,577
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0919,0,3,3,3,100.00%,1,2,3
"District Judge, 337th Judicial District",0920,6,0,6,13,46.15%,6,0,6
"District Judge, 337th Judicial District",0921,71,9,80,87,91.95%,61,18,79
"District Judge, 337th Judicial District",0922,0,2,2,0,0.00%,1,1,2
"District Judge, 337th Judicial District",0923,663,87,750,826,90.80%,569,149,718
"District Judge, 337th Judicial District",0924,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0925,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0926,351,1,20,481,621,77.46%,358,95,453
"District Judge, 337th Judicial District",0927,84,74,158,262,60.31%,79,68,147
"District Judge, 337th Judicial District",0928,4,2,6,9,66.67%,0,6,6
"District Judge, 337th Judicial District",0929,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0930,200,77,277,567,48.85%,6,263,269
"District Judge, 337th Judicial District",0931,48,53,101,122,82.79%,46,39,85
"District Judge, 337th Judicial District",0932,0,5,5,0,0.00%,1,4,5
"District Judge, 337th Judicial District",0933,233,1,21,354,566,62.54%,93,243,336
"District Judge, 337th Judicial District",0934,12,1,13,41,31.71%,6,7,13
"District Judge, 337th Judicial District",0935,8,17,25,65,38.46%,11,12,23
"District Judge, 337th Judicial District",0936,12,10,22,70,31.43%,7,12,19
"District Judge, 337th Judicial District",0937,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0938,73,14,87,256,33.98%,28,57,85
"District Judge, 337th Judicial District",0939,1,0,1,1,100.00%,0,1,1
"District Judge, 337th Judicial District",0940,1,0,1,13,7.69%,0,1,1
"District Judge, 337th Judicial District",0941,13,9,22,25,88.00%,20,2,22
"District Judge, 337th Judicial District",0942,68,24,92,159,57.86%,71,14,85
"District Judge, 337th Judicial District",0943,296,63,359,536,66.98%,246,78,324
"District Judge, 337th Judicial District",0944,30,6,36,39,92.31%,30,3,33
"District Judge, 337th Judicial District",0945,4,7,11,16,68.75%,0,8,8
"District Judge, 337th Judicial District",0946,3,3,6,14,42.86%,0,4,4
"District Judge, 337th Judicial District",0947,320,292,612,822,74.45%,314,226,540
"District Judge, 337th Judicial District",0948,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0949,59,37,96,201,47.76%,43,47,90
"District Judge, 337th Judicial District",0950,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0951,79,44,123,218,56.42%,24,95,119
"District Judge, 337th Judicial District",0952,24,16,40,70,57.14%,21,15,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0953,59,52,111,420,26.43%,6,104,110
"District Judge, 337th Judicial District",0954,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0955,5,20,25,18,138.89%,15,9,24
"District Judge, 337th Judicial District",0956,5,2,7,12,58.33%,4,3,7
"District Judge, 337th Judicial District",0957,261,115,376,551,68.24%,60,302,362
"District Judge, 337th Judicial District",0958,289,266,555,989,56.12%,120,404,524
"District Judge, 337th Judicial District",0959,0,4,4,0,0.00%,0,4,4
"District Judge, 337th Judicial District",0960,362,143,505,586,86.18%,141,345,486
"District Judge, 337th Judicial District",0961,23,11,34,53,64.15%,7,27,34
"District Judge, 337th Judicial District",0962,24,13,37,73,50.68%,9,24,33
"District Judge, 337th Judicial District",0963,129,69,198,353,56.09%,104,80,184
"District Judge, 337th Judicial District",0964,945,447,1392,1571,88.61%,838,490,1328
"District Judge, 337th Judicial District",0965,93,27,120,355,33.80%,78,35,113
"District Judge, 337th Judicial District",0966,305,160,465,1073,43.34%,124,314,438
"District Judge, 337th Judicial District",0967,48,15,63,98,64.29%,25,36,61
"District Judge, 337th Judicial District",0968,243,83,326,517,63.06%,63,253,316
"District Judge, 337th Judicial District",0969,335,82,417,584,71.40%,3,401,404
"District Judge, 337th Judicial District",0970,212,76,288,704,40.91%,28,240,268
"District Judge, 337th Judicial District",0971,27,21,48,129,37.21%,1,47,48
"District Judge, 337th Judicial District",0972,10,7,17,29,58.62%,11,5,16
"District Judge, 337th Judicial District",0973,49,24,73,107,68.22%,34,33,67
"District Judge, 337th Judicial District",0974,100,71,171,299,57.19%,106,55,161
"District Judge, 337th Judicial District",0975,72,41,113,170,66.47%,54,48,102
"District Judge, 337th Judicial District",0976,159,131,290,684,42.40%,163,104,267
"District Judge, 337th Judicial District",0977,104,83,187,535,34.95%,69,107,176
"District Judge, 337th Judicial District",0978,201,102,303,506,59.88%,52,238,290
"District Judge, 337th Judicial District",0979,5,e,11,26,42.31%,11,0,11
"District Judge, 337th Judicial District",0980,595,356,951,1323,71.88%,681,209,890
"District Judge, 337th Judicial District",0981,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0982,534,218,752,1021,73.65%,575,137,712
"District Judge, 337th Judicial District",0983,41,28,69,165,41.82%,39,26,65
"District Judge, 337th Judicial District",0984,43,49,92,198,46.46%,6,81,87
"District Judge, 337th Judicial District",0985,172,67,239,336,71.13%,118,100,218
"District Judge, 337th Judicial District",0986,129,86,215,404,53.22%,20,182,202
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0987,465,191,656,1138,57.64%,47,586,633
"District Judge, 337th Judicial District",0988,44,21,65,111,58.56%,52,9,61
"District Judge, 337th Judicial District",0989,18,8,26,36,72.22%,12,13,25
"District Judge, 337th Judicial District",0990,37,15,52,154,33.77%,16,29,45
"District Judge, 337th Judicial District",0991,0,0,0,1,0.00%,0,0,0
"District Judge, 337th Judicial District",0992,309,202,511,1015,50.34%,281,205,486
"District Judge, 337th Judicial District",0993,272,91,363,551,65.88%,287,51,338
"District Judge, 337th Judicial District",0994,6,5,11,8,137.50%,2,8,10
"District Judge, 337th Judicial District",0995,596,190,786,1269,61.94%,35,718,753
"District Judge, 337th Judicial District",0996,297,125,422,699,60.37%,238,156,394
